"id","name","type_tax_use","amount_type","sequence","amount","description","l10n_ec_code_base","l10n_ec_code_applied","tax_group_id","l10n_ec_code_ats","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@es","description@es","invoice_label@es","invoice_label","active"
"","","","","","","","","","","","100","tax","invoice","+421 (Reporte 104)","ec_sale_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-411 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-421 (Reporte 104)","ec_sale_vat","","","","",""
"tax_vat_411_services","VAT 12% S","sale","percent","20","12","VAT 12% (411, Services)","411","421","tax_group_vat_12","","","base","invoice","+401 (Reporte 104)||+411 (Reporte 104)","","IVA 12% (411, S)","IVA 12% (411, Servicios)","IVA 12%","VAT 12% S","False"
"","","","","","","","","","","","","tax","invoice","+421 (Reporte 104)","ec_sale_vat","","","","",""
"","","","","","","","","","","","","base","refund","-411 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-421 (Reporte 104)","ec_sale_vat","","","","",""
"tax_vat_412","VAT 12% assets","sale","percent","20","12","VAT 12% (412, Assets)","412","422","tax_group_vat_12","","","base","invoice","+402 (Reporte 104)||+412 (Reporte 104)","","IVA 12% (412, A)","IVA 12% (412, Activos)","IVA 12%","VAT 12% assets","False"
"","","","","","","","","","","","","tax","invoice","+422 (Reporte 104)","ec_sale_vat","","","","",""
"","","","","","","","","","","","","base","refund","-412 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-422 (Reporte 104)","ec_sale_vat","","","","",""
"tax_vat_05_411_goods","VAT 5% G","sale","percent","25","5","VAT 5% (435, Goods)","435","445","tax_group_vat_05","","100","base","invoice","+425 (Reporte 104)||+435 (Reporte 104)","","IVA 5% (435, B)","IVA 5% (435, Bienes)","IVA 5%","VAT 5% G","False"
"","","","","","","","","","","","100","tax","invoice","+445 (Reporte 104)","ec_sale_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-435 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-445 (Reporte 104)","ec_sale_vat","","","","",""
"tax_vat_05_411_services","VAT 5% S","sale","percent","25","5","VAT 5% (411, Services)","411","421","tax_group_vat_05","","","base","invoice","+401 (Reporte 104)||+411 (Reporte 104)","","IVA 5% (411, S)","IVA 5% (411, Servicios)","IVA 5%","VAT 5% S","False"
"","","","","","","","","","","","","tax","invoice","+421 (Reporte 104)","ec_sale_vat","","","","",""
"","","","","","","","","","","","","base","refund","-411 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-421 (Reporte 104)","ec_sale_vat","","","","",""
"tax_vat_05_412","VAT 5% assets","sale","percent","25","5","VAT 5% (412, Assets)","412","422","tax_group_vat_05","","","base","invoice","+402 (Reporte 104)||+412 (Reporte 104)","","IVA 5% (412, A)","IVA 5% (412, Activos)","IVA 5%","VAT 5% assets","False"
"","","","","","","","","","","","","tax","invoice","+422 (Reporte 104)","ec_sale_vat","","","","",""
"","","","","","","","","","","","","base","refund","-412 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-422 (Reporte 104)","ec_sale_vat","","","","",""
"tax_vat_415_goods","VAT 0% G","sale","percent","40","0","VAT 0% (415, Goods)","415","","tax_group_vat0","","100","base","invoice","+405 (Reporte 104)||+415 (Reporte 104)","","IVA 0% (415, B)","IVA 0% (415, Bienes)","IVA 0%","VAT 0% G","True"
"","","","","","","","","","","","100","tax","invoice","","ec_sale_vat_zero","","","","",""
"","","","","","","","","","","","100","base","refund","-415 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","","ec_sale_vat_zero","","","","",""
"tax_vat_415_services","VAT 0% S","sale","percent","50","0","VAT 0% (415, Services)","415","","tax_group_vat0","","","base","invoice","+405 (Reporte 104)||+415 (Reporte 104)","","IVA 0% (415, S)","IVA 0% (415, Servicios)","IVA 0%","VAT 0% S","True"
"","","","","","","","","","","","","tax","invoice","","ec_sale_vat_zero","","","","",""
"","","","","","","","","","","","","base","refund","-415 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","","ec_sale_vat_zero","","","","",""
"tax_vat_416","VAT 0% assets","sale","percent","60","0","VAT 0% (416, Assets)","416","","tax_group_vat0","","","base","invoice","+406 (Reporte 104)||+416 (Reporte 104)","","IVA 0% (416, A)","IVA 0% (416, Activos)","IVA 0%","VAT 0% assets","True"
"","","","","","","","","","","","","tax","invoice","","ec_sale_vat_zero","","","","",""
"","","","","","","","","","","","","base","refund","-416 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","","ec_sale_vat_zero","","","","",""
"tax_vat_413","VAT 0% NTC","sale","percent","70","0","VAT 0% (413, No Tax Credit)","413","","tax_group_vat0","","","base","invoice","+403 (Reporte 104)||+413 (Reporte 104)","","IVA 0% (413, Sin Créd Trib)","IVA 0% (413, Sin Crédito Tributario)","IVA 0%","VAT 0% NTC","True"
"","","","","","","","","","","","","tax","invoice","","ec_sale_vat_zero","","","","",""
"","","","","","","","","","","","","base","refund","-413 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","","ec_sale_vat_zero","","","","",""
"tax_vat_414","VAT 0% assets NTC","sale","percent","80","0","VAT 0% (414, Assets Without Tax Credit)","414","","tax_group_vat0","","","base","invoice","+404 (Reporte 104)||+414 (Reporte 104)","","IVA 0% (414, A Sin Créd Trib)","IVA 0% (414, Activos Sin Crédito Tributario)","IVA 0%","VAT 0% assets NTC","True"
"","","","","","","","","","","","","tax","invoice","","ec_sale_vat_zero","","","","",""
"","","","","","","","","","","","","base","refund","-414 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","","ec_sale_vat_zero","","","","",""
"tax_vat_417","VAT 0% EX G","sale","percent","90","0","VAT 0% (417, Export Goods)","417","","tax_group_vat0","","","base","invoice","+407 (Reporte 104)||+417 (Reporte 104)","","IVA 0% (417, Expo B)","IVA 0% (417, Exportación Bienes)","IVA 0%","VAT 0% EX G","True"
"","","","","","","","","","","","","tax","invoice","","ec_sale_vat_goods_exports","","","","",""
"","","","","","","","","","","","","base","refund","-417 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","","ec_sale_vat_goods_exports","","","","",""
"tax_vat_418","VAT 0% EX S","sale","percent","100","0","VAT 0% (418, Export Services)","418","","tax_group_vat0","","","base","invoice","+408 (Reporte 104)||+418 (Reporte 104)","","IVA 0% (418, Expo S)","IVA 0% (418, Exportación Servicios)","IVA 0%","VAT 0% EX S","True"
"","","","","","","","","","","","","tax","invoice","","ec_sale_vat_services_exports","","","","",""
"","","","","","","","","","","","","base","refund","-418 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","","ec_sale_vat_services_exports","","","","",""
"tax_vat_441","VAT 0% EX","sale","percent","110","0","VAT 0% (441, Exempt/Non-Object)","441","","tax_group_vat_exempt","","","base","invoice","+431 (Reporte 104)||+441 (Reporte 104)","","IVA 0% (441, No Obj/Exen)","IVA 0% (441, No Objeto/Exentas)","IVA EXENTO","VAT 0% EX","True"
"","","","","","","","","","","","","tax","invoice","","ec_sale_vat_zero","","","","",""
"","","","","","","","","","","","","base","refund","-441 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","","ec_sale_vat_zero","","","","",""
"tax_vat_15_444","VAT 15% REIMB","sale","percent","115","15","VAT 15% (444, Reimbursement)","444","454","tax_group_vat_15","","","base","invoice","+434 (Reporte 104)||+444 (Reporte 104)","","IVA 15% (444, Reemb)","IVA 15% (444, Reembolsos)","IVA 15%","VAT 15% REIMB","True"
"","","","","","","","","","","","","tax","invoice","+454 (Reporte 104)","ec_other_downpayments","","","","",""
"","","","","","","","","","","","","base","refund","-444 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-454 (Reporte 104)","ec_other_downpayments","","","","",""
"tax_vat_444","VAT 12% REIMB","sale","percent","125","12","VAT 12% (444, Reimbursement)","444","454","tax_group_vat_12","","","base","invoice","+434 (Reporte 104)||+444 (Reporte 104)","","IVA 12% (444, Reemb)","IVA 12% (444, Reembolsos)","IVA 12%","VAT 12% REIMB","False"
"","","","","","","","","","","","","tax","invoice","+454 (Reporte 104)","ec_other_downpayments","","","","",""
"","","","","","","","","","","","","base","refund","-444 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-454 (Reporte 104)","ec_other_downpayments","","","","",""
"tax_vat_05_444","VAT 5% REIMB","sale","percent","128","5","VAT 5% (444, Reimbursement)","444","454","tax_group_vat_05","","","base","invoice","+434 (Reporte 104)||+444 (Reporte 104)","","IVA 5% (444, Reemb)","IVA 5% (444, Reembolsos)","IVA 5%","VAT 5% REIMB","False"
"","","","","","","","","","","","","tax","invoice","+454 (Reporte 104)","ec_other_downpayments","","","","",""
"","","","","","","","","","","","","base","refund","-444 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-454 (Reporte 104)","ec_other_downpayments","","","","",""
"tax_vat_444_zero_vat","VAT 0% REIMB","sale","percent","130","0","VAT 0% (444, Reimbursement)","444","454","tax_group_vat0","","","base","invoice","+434 (Reporte 104)||+444 (Reporte 104)","","IVA 0% (444, Reemb)","IVA 0% (444, Reembolsos)","IVA 0%","VAT 0% REIMB","True"
"","","","","","","","","","","","","tax","invoice","+454 (Reporte 104)","ec_other_downpayments","","","","",""
"","","","","","","","","","","","","base","refund","-444 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-454 (Reporte 104)","ec_other_downpayments","","","","",""
"tax_vat_444_not_charged_vat","VAT 0% N S REIMB","sale","percent","140","0","VAT 0% Non-Subject (444, Reimbursement)","444","454","tax_group_vat_not_charged","","","base","invoice","+434 (Reporte 104)||+444 (Reporte 104)","","No Obj IVA 0% (444, Reemb)","No Objeto IVA 0% (444, Reembolsos)","IVA 0%","VAT 0% N S REIMB","True"
"","","","","","","","","","","","","tax","invoice","+454 (Reporte 104)","ec_other_downpayments","","","","",""
"","","","","","","","","","","","","base","refund","-444 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-454 (Reporte 104)","ec_other_downpayments","","","","",""
"tax_vat_444_not_exempt_vat","VAT 0% EXEMPT REIMB","sale","percent","150","0","VAT 0% Exempt (444, Reimbursement)","444","454","tax_group_vat_exempt","","","base","invoice","+434 (Reporte 104)||+444 (Reporte 104)","","Exen IVA 0% (444, Reemb)","Exento IVA 0% (444, Reembolsos)","IVA EXENTO","VAT 0% EXEMPT REIMB","True"
"","","","","","","","","","","","","tax","invoice","+454 (Reporte 104)","ec_other_downpayments","","","","",""
"","","","","","","","","","","","","base","refund","-444 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-454 (Reporte 104)","ec_other_downpayments","","","","",""
"tax_vat_15_510_sup_01","VAT 15% 510 01","purchase","percent","5","15","VAT 15% (510, 01 VAT Credit)","510","520","tax_group_vat_15","","100","base","invoice","+500 (Reporte 104)||+510 (Reporte 104)","","IVA 15% (510, 01 Créd)","IVA 15% (510, 01 Crédito IVA)","IVA 15%","VAT 15% 510 01","True"
"","","","","","","","","","","","100","tax","invoice","+520 (Reporte 104)","ec_purchase_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-510 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-520 (Reporte 104)","ec_purchase_vat","","","","",""
"tax_vat_15_510_sup_05","VAT 15% 510 05 S T E IR","purchase","percent","5","15","VAT 15% (510, 05 Settlement Trip Expense IR)","510","520","tax_group_vat_15","","100","base","invoice","+500 (Reporte 104)||+510 (Reporte 104)","","IVA 15% (510, 05 Liq. V G IR)","IVA 15% (510, 05 Liq. Viaje Gasto IR)","IVA 15%","VAT 15% 510 05 S T E IR","True"
"","","","","","","","","","","","100","tax","invoice","+520 (Reporte 104)","ec_purchase_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-510 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-520 (Reporte 104)","ec_purchase_vat","","","","",""
"tax_vat_15_510_sup_06","VAT 15% 510 06 I","purchase","percent","5","15","VAT 15% (510, 06 Inventory VAT Credit)","510","520","tax_group_vat_15","","100","base","invoice","+500 (Reporte 104)||+510 (Reporte 104)","","IVA 15% (510, 06 Inv Créd)","IVA 15% (510, 06 Inventario Crédito IVA)","IVA 15%","VAT 15% 510 06 I","True"
"","","","","","","","","","","","100","tax","invoice","+520 (Reporte 104)","ec_purchase_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-510 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-520 (Reporte 104)","ec_purchase_vat","","","","",""
"tax_vat_15_510_sup_15","VAT 15% 511 15 D S","purchase","percent","5","15","VAT 15% (510, 15 Digital Services)","510","520","tax_group_vat_15","","100","base","invoice","+500 (Reporte 104)||+510 (Reporte 104)","","IVA 15% (510, 15 Serv Dig)","IVA 15% (510, 15 Servicios Digitales)","IVA 15%","VAT 15% 511 15 D S","True"
"","","","","","","","","","","","100","tax","invoice","+520 (Reporte 104)","ec_purchase_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-510 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-520 (Reporte 104)","ec_purchase_vat","","","","",""
"tax_vat_15_511_sup_03","VAT 15% 511 03 assets","purchase","percent","6","15","VAT 15% (511, 03 VAT Credit Assets)","511","521","tax_group_vat_15","","","base","invoice","+501 (Reporte 104)||+511 (Reporte 104)","","IVA 15% (511, 03 A Créd)","IVA 15% (511, 03 Activos Crédito IVA)","IVA 15%","VAT 15% 511 03 assets","True"
"","","","","","","","","","","","","tax","invoice","+521 (Reporte 104)","ec_purchase_vat_assets","","","","",""
"","","","","","","","","","","","","base","refund","-511 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-521 (Reporte 104)","ec_purchase_vat_assets","","","","",""
"tax_vat_15_512_sup_04","VAT 15% 512 04 Assets IR C","purchase","percent","6","15","VAT 15% (512, 04 Assets IR Cost)","512","522","tax_group_vat_15","","","base","invoice","+502 (Reporte 104)||+512 (Reporte 104)","","IVA 15% (512, 04 Act. Costo IR)","IVA 15% (512, 04 Activos Costo IR)","IVA 15%","VAT 15% 512 04 Assets IR C","True"
"","","","","","","","","","","","","tax","invoice","+522 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","base","refund","-512 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-522 (Reporte 104)","","","","","",""
"tax_vat_15_512_sup_05","VAT 15% 512 05 S T E IR","purchase","percent","6","15","VAT 15% (512, 05 Settlement Trip Expense IR)","512","522","tax_group_vat_15","","","base","invoice","+502 (Reporte 104)||+512 (Reporte 104)","","IVA 15% (512, 05 Liq. Viaje G. IR)","IVA 15% (512, 05 Liq. Viaje Gasto IR)","IVA 15%","VAT 15% 512 05 S T E IR","True"
"","","","","","","","","","","","","tax","invoice","+522 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","base","refund","-512 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-522 (Reporte 104)","","","","","",""
"tax_vat_15_512_sup_07","VAT 15% 512 07 I C IR","purchase","percent","6","15","VAT 15% (512, 07 Inventory Cost IR)","512","522","tax_group_vat_15","","100","base","invoice","+502 (Reporte 104)||+512 (Reporte 104)","","IVA 15% (512, 07 Inv. Costo IR)","IVA 15% (512, 07 Inventario Costo IR)","IVA 15%","VAT 15% 512 07 I C IR","True"
"","","","","","","","","","","","100","tax","invoice","+522 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","base","refund","-512 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-522 (Reporte 104)","","","","","",""
"tax_vat_15_513_sup_01","VAT 15% 513 01","purchase","percent","6","15","VAT 15% (513, 01 VAT Credit)","513","523","tax_group_vat_15","","","base","invoice","+503 (Reporte 104)||+513 (Reporte 104)","","IVA 15% (513, 01 Créd)","IVA 15% (513, 01 Crédito IVA)","IVA 15%","VAT 15% 513 01","True"
"","","","","","","","","","","","","tax","invoice","+523 (Reporte 104)","ec_purchase_vat_service_imports","","","","",""
"","","","","","","","","","","","","base","refund","-513 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-523 (Reporte 104)","ec_purchase_vat_service_imports","","","","",""
"tax_vat_15_514_sup_06","VAT 15% 514 06 I","purchase","percent","6","15","VAT 15% (514, 06 Inventory VAT Credit)","514","524","tax_group_vat_15","","","base","invoice","+504 (Reporte 104)||+514 (Reporte 104)","","IVA 15% (514, 06 Inv. Créd)","IVA 15% (514, 06 Inventario Crédito IVA)","IVA 15%","VAT 15% 514 06 I","True"
"","","","","","","","","","","","","tax","invoice","+524 (Reporte 104)","ec_purchase_vat_goods_imports","","","","",""
"","","","","","","","","","","","","base","refund","-514 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-524 (Reporte 104)","ec_purchase_vat_goods_imports","","","","",""
"tax_vat_15_515_sup_03","VAT 15% 515 03 assets","purchase","percent","6","15","VAT 15% (515, 03 VAT Credit Assets)","515","525","tax_group_vat_15","","","base","invoice","+505 (Reporte 104)||+515 (Reporte 104)","","IVA 15% (515, 03 A. Créd)","IVA 15% (515, 03 Activos Crédito IVA)","IVA 15%","VAT 15% 515 03 assets","True"
"","","","","","","","","","","","","tax","invoice","+525 (Reporte 104)","ec_purchase_vat_assets_imports","","","","",""
"","","","","","","","","","","","","base","refund","-515 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-525 (Reporte 104)","ec_purchase_vat_assets_imports","","","","",""
"tax_vat_510_sup_01","VAT 12% 510 01","purchase","percent","9","12","VAT 12% (510, 01 VAT Credit)","510","520","tax_group_vat_12","","100","base","invoice","+500 (Reporte 104)||+510 (Reporte 104)","","IVA 12% (510, 01 Créd)","IVA 12% (510, 01 Crédito IVA)","IVA 12%","VAT 12% 510 01","False"
"","","","","","","","","","","","100","tax","invoice","+520 (Reporte 104)","ec_purchase_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-510 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-520 (Reporte 104)","ec_purchase_vat","","","","",""
"tax_vat_510_sup_05","VAT 12% 510 05 S T E IR","purchase","percent","9","12","VAT 12% (510, 05 Settlement Trip Expense IR)","510","520","tax_group_vat_12","","100","base","invoice","+500 (Reporte 104)||+510 (Reporte 104)","","IVA 12% (510, 05 Liq. V G IR)","IVA 12% (510, 05 Liq. Viaje Gasto IR)","IVA 12%","VAT 12% 510 05 S T E IR","False"
"","","","","","","","","","","","100","tax","invoice","+520 (Reporte 104)","ec_purchase_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-510 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-520 (Reporte 104)","ec_purchase_vat","","","","",""
"tax_vat_510_sup_06","VAT 12% 510 06 I","purchase","percent","9","12","VAT 12% (510, 06 Inventory VAT Credit)","510","520","tax_group_vat_12","","100","base","invoice","+500 (Reporte 104)||+510 (Reporte 104)","","IVA 12% (510, 06 Inv Créd)","IVA 12% (510, 06 Inventario Crédito IVA)","IVA 12%","VAT 12% 510 06 I","False"
"","","","","","","","","","","","100","tax","invoice","+520 (Reporte 104)","ec_purchase_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-510 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-520 (Reporte 104)","ec_purchase_vat","","","","",""
"tax_vat_510_sup_15","VAT 12% 511 15 D S","purchase","percent","9","12","VAT 12% (510, 15 Digital Services)","510","520","tax_group_vat_12","","100","base","invoice","+500 (Reporte 104)||+510 (Reporte 104)","","IVA 12% (510, 15 Serv Dig)","IVA 12% (510, 15 Servicios Digitales)","IVA 12%","VAT 12% 511 15 D S","False"
"","","","","","","","","","","","100","tax","invoice","+520 (Reporte 104)","ec_purchase_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-510 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-520 (Reporte 104)","ec_purchase_vat","","","","",""
"tax_vat_511_sup_03","VAT 12% 511 03 assets","purchase","percent","10","12","VAT 12% (511, 03 VAT Credit Assets)","511","521","tax_group_vat_12","","","base","invoice","+501 (Reporte 104)||+511 (Reporte 104)","","IVA 12% (511, 03 A Créd)","IVA 12% (511, 03 Activos Crédito IVA)","IVA 12%","VAT 12% 511 03 assets","False"
"","","","","","","","","","","","","tax","invoice","+521 (Reporte 104)","ec_purchase_vat_assets","","","","",""
"","","","","","","","","","","","","base","refund","-511 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-521 (Reporte 104)","ec_purchase_vat_assets","","","","",""
"tax_vat_512_sup_04","VAT 12% 512 04 Assets IR C","purchase","percent","10","12","VAT 12% (512, 04 Assets IR Cost)","512","522","tax_group_vat_12","","","base","invoice","+502 (Reporte 104)||+512 (Reporte 104)","","IVA 12% (512, 04 Act. Costo IR)","IVA 12% (512, 04 Activos Costo IR)","IVA 12%","VAT 12% 512 04 Assets IR C","False"
"","","","","","","","","","","","","tax","invoice","+522 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","base","refund","-512 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-522 (Reporte 104)","","","","","",""
"tax_vat_512_sup_05","VAT 12% 512 05 S T E IR","purchase","percent","10","12","VAT 12% (512, 05 Settlement Trip Expense IR)","512","522","tax_group_vat_12","","","base","invoice","+502 (Reporte 104)||+512 (Reporte 104)","","IVA 12% (512, 05 Liq. Viaje G. IR)","IVA 12% (512, 05 Liq. Viaje Gasto IR)","IVA 12%","VAT 12% 512 05 S T E IR","False"
"","","","","","","","","","","","","tax","invoice","+522 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","base","refund","-512 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-522 (Reporte 104)","","","","","",""
"tax_vat_512_sup_07","VAT 12% 512 07 I C IR","purchase","percent","10","12","VAT 12% (512, 07 Inventory Cost IR)","512","522","tax_group_vat_12","","100","base","invoice","+502 (Reporte 104)||+512 (Reporte 104)","","IVA 12% (512, 07 Inv. Costo IR)","IVA 12% (512, 07 Inventario Costo IR)","IVA 12%","VAT 12% 512 07 I C IR","False"
"","","","","","","","","","","","100","tax","invoice","+522 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","base","refund","-512 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-522 (Reporte 104)","","","","","",""
"tax_vat_513_sup_01","VAT 12% 513 01","purchase","percent","10","12","VAT 12% (513, 01 VAT Credit)","513","523","tax_group_vat_12","","","base","invoice","+503 (Reporte 104)||+513 (Reporte 104)","","IVA 12% (513, 01 Créd)","IVA 12% (513, 01 Crédito IVA)","IVA 12%","VAT 12% 513 01","False"
"","","","","","","","","","","","","tax","invoice","+523 (Reporte 104)","ec_purchase_vat_service_imports","","","","",""
"","","","","","","","","","","","","base","refund","-513 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-523 (Reporte 104)","ec_purchase_vat_service_imports","","","","",""
"tax_vat_514_sup_06","VAT 12% 514 06 I","purchase","percent","10","12","VAT 12% (514, 06 Inventory VAT Credit)","514","524","tax_group_vat_12","","","base","invoice","+504 (Reporte 104)||+514 (Reporte 104)","","IVA 12% (514, 06 Inv. Créd)","IVA 12% (514, 06 Inventario Crédito IVA)","IVA 12%","VAT 12% 514 06 I","False"
"","","","","","","","","","","","","tax","invoice","+524 (Reporte 104)","ec_purchase_vat_goods_imports","","","","",""
"","","","","","","","","","","","","base","refund","-514 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-524 (Reporte 104)","ec_purchase_vat_goods_imports","","","","",""
"tax_vat_515_sup_03","VAT 12% 515 03 assets","purchase","percent","10","12","VAT 12% (515, 03 VAT Credit Assets)","515","525","tax_group_vat_12","","","base","invoice","+505 (Reporte 104)||+515 (Reporte 104)","","IVA 12% (515, 03 A. Créd)","IVA 12% (515, 03 Activos Crédito IVA)","IVA 12%","VAT 12% 515 03 assets","False"
"","","","","","","","","","","","","tax","invoice","+525 (Reporte 104)","ec_purchase_vat_assets_imports","","","","",""
"","","","","","","","","","","","","base","refund","-515 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-525 (Reporte 104)","ec_purchase_vat_assets_imports","","","","",""
"tax_vat_05_510_sup_01","VAT 5% 550 01","purchase","percent","13","5","VAT 5% (550, 01 VAT Credit)","550","560","tax_group_vat_05","","100","base","invoice","+540 (Reporte 104)||+550 (Reporte 104)","","IVA 5% (550, 01 Créd)","IVA 5% (550, 01 Crédito IVA)","IVA 5%","VAT 5% 550 01","True"
"","","","","","","","","","","","100","tax","invoice","+560 (Reporte 104)","ec_purchase_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-550 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-560 (Reporte 104)","ec_purchase_vat","","","","",""
"tax_vat_05_510_sup_05","VAT 5% 510 05 S T E IR","purchase","percent","13","5","VAT 5% (510, 05 Settlement Trip Expense IR)","510","520","tax_group_vat_05","","100","base","invoice","+500 (Reporte 104)||+510 (Reporte 104)","","IVA 5% (510, 05 Liq. V G IR)","IVA 5% (510, 05 Liq. Viaje Gasto IR)","IVA 5%","VAT 5% 510 05 S T E IR","True"
"","","","","","","","","","","","100","tax","invoice","+520 (Reporte 104)","ec_purchase_vat","","","","",""
