"id","name","code","account_type","chart_template_id:id","tag_ids/id","reconcile"
"ke5130","Accounting","5130","expense","l10n_ke.l10nke_chart_template","","False"
"ke5131","Auditing","5131","expense","l10n_ke.l10nke_chart_template","","False"
"ke5132","Consultancy","5132","expense","l10n_ke.l10nke_chart_template","","False"
"ke5133","Legal and professional charges","5133","expense","l10n_ke.l10nke_chart_template","","False"
"ke5134","Exchange gains/losses","5134","expense","l10n_ke.l10nke_chart_template","","False"
"ke5135","Other sundry expenses","5135","expense","l10n_ke.l10nke_chart_template","","False"
"ke5136","Bad debts","5136","expense","l10n_ke.l10nke_chart_template","","False"
"ke5137","Interest paid","5137","expense","l10n_ke.l10nke_chart_template","","False"
"ke5138","Bank Charges","5138","expense","l10n_ke.l10nke_chart_template","","False"
"ke5139","Donations","5139","expense","l10n_ke.l10nke_chart_template","","False"
"ke5140","Entertaining","5140","expense","l10n_ke.l10nke_chart_template","","False"
"ke5141","Insurance","5141","expense","l10n_ke.l10nke_chart_template","","False"
"ke5142","Travel and subsistence","5142","expense","l10n_ke.l10nke_chart_template","","False"
"ke5143","Corporation tax expense","5143","expense","l10n_ke.l10nke_chart_template","","False"
"ke5144","Foreign Exchange Gains/Losses","5144","expense","l10n_ke.l10nke_chart_template","","False"
"ke5145","Price Differences Control Account","5145","expense","l10n_ke.l10nke_chart_template","","False"
"ke5146","Cash Register Gains/Losses","5146","expense","l10n_ke.l10nke_chart_template","","False"
"ke5147","Cash Discount Loss","5147","expense","l10n_ke.l10nke_chart_template","","False"
"ke5201","Software Depreciation","5201","expense_depreciation","l10n_ke.l10nke_chart_template","","False"
"ke5202","Patents & Trademarks Depreciation","5202","expense_depreciation","l10n_ke.l10nke_chart_template","","False"
"ke5203","Fixtures and fittings Depreciation","5203","expense_depreciation","l10n_ke.l10nke_chart_template","","False"
"ke5204","Land and buildings Depreciation","5204","expense_depreciation","l10n_ke.l10nke_chart_template","","False"
"ke5205","Motor vehicles Depreciation","5205","expense_depreciation","l10n_ke.l10nke_chart_template","","False"
"ke5206","Office equipment (inc computer equipment) Depreciation","5206","expense_depreciation","l10n_ke.l10nke_chart_template","","False"
"ke5207","Plant and machinery Depreciation","5207","expense_depreciation","l10n_ke.l10nke_chart_template","","False"
