"id","sequence","name","height","weight","types_ids/id","parent_id/id"
"pokemon_66",66,"Machop",8,195,"type_2",
"pokemon_67",67,"Machoke",15,705,"type_2","pokemon_66"
"pokemon_68",68,"Machamp",16,1300,"type_2","pokemon_67"
"pokemon_69",69,"Bellsprout",7,40,"type_12,type_4",
"pokemon_70",70,"Weepinbell",10,64,"type_12,type_4","pokemon_69"
"pokemon_71",71,"Victreebel",17,155,"type_12,type_4","pokemon_70"
"pokemon_72",72,"Tentacool",9,455,"type_11,type_4",
"pokemon_73",73,"Tentacruel",16,550,"type_11,type_4","pokemon_72"
"pokemon_74",74,"Geodude",4,200,"type_6,type_5",
"pokemon_75",75,"Graveler",10,1050,"type_6,type_5","pokemon_74"
"pokemon_76",76,"Golem",14,3000,"type_6,type_5","pokemon_75"
"pokemon_77",77,"Ponyta",10,300,"type_10",
"pokemon_78",78,"Rapidash",17,950,"type_10","pokemon_77"
"pokemon_79",79,"Slowpoke",12,360,"type_11,type_14",
"pokemon_80",80,"Slowbro",16,785,"type_11,type_14","pokemon_79"
"pokemon_81",81,"Magnemite",3,60,"type_13,type_9",
"pokemon_82",82,"Magneton",10,600,"type_13,type_9","pokemon_81"
"pokemon_83",83,"Farfetchd",8,150,"type_1,type_3",
"pokemon_84",84,"Doduo",14,392,"type_1,type_3",
"pokemon_85",85,"Dodrio",18,852,"type_1,type_3","pokemon_84"
"pokemon_86",86,"Seel",11,900,"type_11",
"pokemon_87",87,"Dewgong",17,1200,"type_11,type_15","pokemon_86"
"pokemon_88",88,"Grimer",9,300,"type_4",
"pokemon_89",89,"Muk",12,300,"type_4","pokemon_88"
"pokemon_90",90,"Shellder",3,40,"type_11",
"pokemon_91",91,"Cloyster",15,1325,"type_11,type_15","pokemon_90"
"pokemon_92",92,"Gastly",13,1,"type_8,type_4",
"pokemon_93",93,"Haunter",16,1,"type_8,type_4","pokemon_92"
"pokemon_94",94,"Gengar",15,405,"type_8,type_4","pokemon_93"
"pokemon_95",95,"Onix",88,2100,"type_6,type_5",
"pokemon_96",96,"Drowzee",10,324,"type_14",
"pokemon_97",97,"Hypno",16,756,"type_14","pokemon_96"
"pokemon_98",98,"Krabby",4,65,"type_11",
"pokemon_99",99,"Kingler",13,600,"type_11","pokemon_98"
"pokemon_100",100,"Voltorb",5,104,"type_13",
"pokemon_101",101,"Electrode",12,666,"type_13","pokemon_100"
"pokemon_102",102,"Exeggcute",4,25,"type_12,type_14",
"pokemon_103",103,"Exeggutor",20,1200,"type_12,type_14","pokemon_102"
"pokemon_104",104,"Cubone",4,65,"type_5",
"pokemon_105",105,"Marowak",10,450,"type_5","pokemon_104"
"pokemon_106",106,"Hitmonlee",15,498,"type_2",
"pokemon_107",107,"Hitmonchan",14,502,"type_2",
"pokemon_108",108,"Lickitung",12,655,"type_1",
"pokemon_109",109,"Koffing",6,10,"type_4",
"pokemon_110",110,"Weezing",12,95,"type_4","pokemon_109"
"pokemon_111",111,"Rhyhorn",10,1150,"type_5,type_6",
"pokemon_112",112,"Rhydon",19,1200,"type_5,type_6","pokemon_111"
"pokemon_113",113,"Chansey",11,346,"type_1",
"pokemon_114",114,"Tangela",10,350,"type_12",
"pokemon_115",115,"Kangaskhan",22,800,"type_1",
"pokemon_116",116,"Horsea",4,80,"type_11",
"pokemon_117",117,"Seadra",12,250,"type_11","pokemon_116"
"pokemon_118",118,"Goldeen",6,150,"type_11",
"pokemon_119",119,"Seaking",13,390,"type_11","pokemon_118"
"pokemon_120",120,"Staryu",8,345,"type_11",
"pokemon_121",121,"Starmie",11,800,"type_11,type_14","pokemon_120"
"pokemon_122",122,"Mr-mime",13,545,"type_14,type_18",
"pokemon_123",123,"Scyther",15,560,"type_7,type_3",
"pokemon_124",124,"Jynx",14,406,"type_15,type_14",
"pokemon_125",125,"Electabuzz",11,300,"type_13",
"pokemon_126",126,"Magmar",13,445,"type_10",
"pokemon_127",127,"Pinsir",15,550,"type_7",
"pokemon_128",128,"Tauros",14,884,"type_1",
"pokemon_129",129,"Magikarp",9,100,"type_11",
"pokemon_130",130,"Gyarados",65,2350,"type_11,type_3","pokemon_129"
"pokemon_131",131,"Lapras",25,2200,"type_11,type_15",
"pokemon_132",132,"Ditto",3,40,"type_1",
"pokemon_133",133,"Eevee",3,65,"type_1",
"pokemon_134",134,"Vaporeon",10,290,"type_11","pokemon_133"
"pokemon_135",135,"Jolteon",8,245,"type_13","pokemon_133"
"pokemon_136",136,"Flareon",9,250,"type_10","pokemon_133"
"pokemon_137",137,"Porygon",8,365,"type_1",
"pokemon_138",138,"Omanyte",4,75,"type_6,type_11",
"pokemon_139",139,"Omastar",10,350,"type_6,type_11","pokemon_138"
"pokemon_140",140,"Kabuto",5,115,"type_6,type_11",
"pokemon_141",141,"Kabutops",13,405,"type_6,type_11","pokemon_140"
"pokemon_142",142,"Aerodactyl",18,590,"type_6,type_3",
"pokemon_143",143,"Snorlax",21,4600,"type_1",
"pokemon_144",144,"Articuno",17,554,"type_15,type_3",
"pokemon_145",145,"Zapdos",16,526,"type_13,type_3",
"pokemon_146",146,"Moltres",20,600,"type_10,type_3",
"pokemon_147",147,"Dratini",18,33,"type_16",
"pokemon_148",148,"Dragonair",40,165,"type_16","pokemon_147"
"pokemon_149",149,"Dragonite",22,2100,"type_16,type_3","pokemon_148"
"pokemon_150",150,"Mewtwo",20,1220,"type_14",
"pokemon_151",151,"Mew",4,40,"type_14",
