"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@ar"
"","","","","","","","","","base","refund","-8. Taxable Imports 15% Paid to Customs (Base)","","",""
"","","","","","","","","","tax","refund","-8. Taxable Imports 15% Paid to Customs (Tax)","sa_account_101060","",""
"sa_purchases_tax_0","0%","purchase","0.0","percent","","Purchases 0%","sa_tax_group_taxes_other","","base","invoice","+10. Zero Rated Purchases (Base)","","","المشتريات الخاضعة لنسبة %0"
"","","","","","","","","","tax","invoice","+10. Zero Rated Purchases (Tax)","","",""
"","","","","","","","","","base","refund","-10. Zero Rated Purchases (Base)","","",""
"","","","","","","","","","tax","refund","-10. Zero Rated Purchases (Tax)","","",""
"sa_exempt_purchases_tax","0% EXEMPT","purchase","0.0","percent","","Exempt Purchases","sa_tax_group_taxes_other","","base","invoice","+11. Exempt Purchases (Base)","","","المشتريات المعفاة من الضريبة"
"","","","","","","","","","tax","invoice","+11. Exempt Purchases (Tax)","","",""
"","","","","","","","","","base","refund","-11. Exempt Purchases (Base)","","",""
"","","","","","","","","","tax","refund","-11. Exempt Purchases (Tax)","","",""
"sa_withholding_tax_5_rental","5% WH R","purchase","5.0","percent","Withholding Tax 5% (Rental)","Withholding Tax 5%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 5% (Rental) (Base)","","","استقطاع الضريبة 5 % (إيجار)"
"","","","","","","","","","tax","invoice","+Withholding Tax 5% (Rental) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 5% (Rental) (Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 5% (Rental) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_5_tickets_or_air_freight","5% WH T A","purchase","5.0","percent","Withholding Tax 5% (Tickets or Air Freight)","Withholding Tax 5%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 5% (Tickets or Air Freight) (Base)","","","استقطاع الضريبة 5 % (تذاكر طيران أو شحن جوي)"
"","","","","","","","","","tax","invoice","+Withholding Tax 5% (Tickets or Air Freight) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 5% (Tickets or Air Freight) (Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 5% (Tickets or Air Freight) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_5_tickets_or_sea_freight","5% WH T S","purchase","5.0","percent","Withholding Tax 5% (Tickets or Sea Freight)","Withholding Tax 5%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 5% (Tickets or Sea Freight)(Base)","","","استقطاع الضريبة 5 % (تذاكر أو شحن بحري)"
"","","","","","","","","","tax","invoice","+Withholding Tax 5% (Tickets or Sea Freight)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 5% (Tickets or Sea Freight)(Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 5% (Tickets or Sea Freight)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_5_international_telecommunication","5% WH I T","purchase","5.0","percent","Withholding Tax 5% (International Telecommunication)","Withholding Tax 5%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 5% (International Telecommunication)(Base)","","","استقطاع الضريبة 5 % (خدمات اتصاالت هاتفية دولية)"
"","","","","","","","","","tax","invoice","+Withholding Tax 5% (International Telecommunication)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 5% (International Telecommunication)(Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 5% (International Telecommunication)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_5_distributed_profits","5% WH D P","purchase","5.0","percent","Withholding Tax 5% (Distributed Profits)","Withholding Tax 5%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 5% (Distributed Profits) (Base)","","","استقطاع الضريبة 5 % (أرباح موزعة)"
"","","","","","","","","","tax","invoice","+Withholding Tax 5% (Distributed Profits) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 5% (Distributed Profits) (Tax)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 5% (Distributed Profits) (Base)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_5_consulting_and_technical","5% WH C","purchase","5.0","percent","Withholding Tax 5% (Consulting and Technical)","Withholding Tax 5%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 5% (Consulting and Technical) (Base)","","","استقطاع الضريبة 5 % (خدمات فنية أو استشارية)"
"","","","","","","","","","tax","invoice","+Withholding Tax 5% (Consulting and Technical) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 5% (Consulting and Technical) (Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 5% (Consulting and Technical) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_5_return_from_loans","5% WH L","purchase","5.0","percent","Withholding Tax 5% (Return from Loans)","Withholding Tax 5%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 5% (Return from Loans) (Base)","","","استقطاع الضريبة 5 % (عوائد قروض)"
"","","","","","","","","","tax","invoice","+Withholding Tax 5% (Return from Loans) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 5% (Return from Loans) (Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 5% (Return from Loans) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_5_insurance_amd_reinsurance","5% WH I","purchase","5.0","percent","Withholding Tax 5% (Insurance & Reinsurance)","Withholding Tax 5%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 5% (Insurance & Reinsurance) (Base)","","","استقطاع الضريبة 5 % (قسط تأمين أو إعادة تأمين)"
"","","","","","","","","","tax","invoice","+Withholding Tax 5% (Insurance & Reinsurance) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 5% (Insurance & Reinsurance) (Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 5% (Insurance & Reinsurance) (Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_15_royalties","15% WH R","purchase","15.0","percent","Withholding Tax 15% (Royalties)","Withholding Tax 15%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 15% (Royalties)(Base)","","","استقطاع الضريبة 15 % (أتاوة أو ريع)"
"","","","","","","","","","tax","invoice","+Withholding Tax 15% (Royalties)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 15% (Royalties)(Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 15% (Royalties)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_15_paid_services_from_main_branch","15% WH S M","purchase","15.0","percent","Withholding Tax 15% (Paid Services from Main Branch)","Withholding Tax 15%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 15% (Paid Services from Main Branch)(Base)","","","استقطاع الضريبة 15 % (خدمات مدفوعة للمركز الرئيسي)"
"","","","","","","","","","tax","invoice","+Withholding Tax 15% (Paid Services from Main Branch)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 15% (Paid Services from Main Branch)(Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 15% (Paid Services from Main Branch)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_15_paid_services_from_another_branch","15% WH S O","purchase","15.0","percent","Withholding Tax 15% (Paid Services from another branch)","Withholding Tax 15%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 15% (Paid Services from another branch)(Base)","","","استقطاع الضريبة 15 % (خدمات مدفوعة لشركة مرتبطة)"
"","","","","","","","","","tax","invoice","+Withholding Tax 15% (Paid Services from another branch)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 15% (Paid Services from another branch)(Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 15% (Paid Services from another branch)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_15_others","15% WH O","purchase","15.0","percent","Withholding Tax 15% (Others)","Withholding Tax 15%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 15% (Others)(Base)","","","استقطاع الضريبة 15 % (لأي دفعات أخرى)"
"","","","","","","","","","tax","invoice","+Withholding Tax 15% (Others)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 15% (Others)(Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 15% (Others)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
"sa_withholding_tax_20_managerial","20% WH M","purchase","20.0","percent","Withholding Tax 20% (Managerial)","Withholding Tax 20%","sa_tax_group_taxes_withholding","service","base","invoice","+Withholding Tax 20% (Managerial)(Base)","","","استقطاع الضريبة 20 % (أتعاب إدارة)"
"","","","","","","","","","tax","invoice","+Withholding Tax 20% (Managerial)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","invoice","","sa_account_201020","-100",""
"","","","","","","","","","base","refund","-Withholding Tax 20% (Managerial)(Base)","","",""
"","","","","","","","","","tax","refund","-Withholding Tax 20% (Managerial)(Tax)","sa_account_400073","",""
"","","","","","","","","","tax","refund","","sa_account_201020","-100",""
