"id","name","consider_amount","is_per_transaction_limit","per_transaction_limit","is_aggregate_limit","aggregate_limit","aggregate_period","tax_source_type"
"tcs_section_394_1_7_a_lrs_edu","TCS 394(1)7(a) Remittance (Education or Medical)","total_amount","","","True","1000000","fiscal_yearly","tcs"
"tcs_section_394_1_7_b_lrs_oth","TCS 394(1)7(b) Remittance (Other)","total_amount","","","True","1000000","fiscal_yearly","tcs"
"tcs_section_394_1_9_parking","394(1)9 Parking lot","total_amount","","","True","0","fiscal_yearly","tcs"
"tds_section_192","(ACT 1961) 192","untaxed_amount","","","","","fiscal_yearly","tds"
"tds_section_192a","(ACT 1961) 192A","untaxed_amount","","","True","50000","fiscal_yearly","tds"
"tds_section_193","(ACT 1961) 193","untaxed_amount","","","True","5000","fiscal_yearly","tds"
"tds_section_194","(ACT 1961) 194","untaxed_amount","","","True","5000","fiscal_yearly","tds"
"tds_section_194a","(ACT 1961) 194A","untaxed_amount","","","True","5000","fiscal_yearly","tds"
"tds_section_194b","(ACT 1961) 194B","untaxed_amount","","","True","10000","fiscal_yearly","tds"
"tds_section_194ba","(ACT 1961) 194BA","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194bb","(ACT 1961) 194BB","untaxed_amount","","","True","10000","fiscal_yearly","tds"
"tds_section_194c","(ACT 1961) 194C","untaxed_amount","True","30000","True","100000","fiscal_yearly","tds"
"tds_section_194d","(ACT 1961) 194D","untaxed_amount","","","True","15000","fiscal_yearly","tds"
"tds_section_194da","(ACT 1961) 194DA","untaxed_amount","","","True","100000","fiscal_yearly","tds"
"tds_section_194e","(ACT 1961) 194E","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194ee","(ACT 1961) 194EE","untaxed_amount","","","True","2500","fiscal_yearly","tds"
"tds_section_194f","(ACT 1961) 194F","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194g","(ACT 1961) 194G","untaxed_amount","","","True","15000","fiscal_yearly","tds"
"tds_section_194h","(ACT 1961) 194H","untaxed_amount","","","True","15000","fiscal_yearly","tds"
"tds_section_194i","(ACT 1961) 194I","untaxed_amount","","","True","240000","fiscal_yearly","tds"
"tds_section_194ia","(ACT 1961) 194IA","untaxed_amount","True","5000000","","","fiscal_yearly","tds"
"tds_section_194ib","(ACT 1961) 194IB","untaxed_amount","","","True","50000","monthly","tds"
"tds_section_194ic","(ACT 1961) 194IC","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194j","(ACT 1961) 194J","untaxed_amount","","","True","30000","fiscal_yearly","tds"
"tds_section_194j_dir","(ACT 1961) 194J(DIRECTORS)","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194k","(ACT 1961) 194K","untaxed_amount","","","True","5000","fiscal_yearly","tds"
"tds_section_194la","(ACT 1961) 194LA","untaxed_amount","","","True","250000","fiscal_yearly","tds"
"tds_section_194lba1","(ACT 1961) 194LBA(1)","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194lbb","(ACT 1961) 194LBB","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194lb","(ACT 1961) 194LB","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194lbc","(ACT 1961) 194LBC","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194m","(ACT 1961) 194M","untaxed_amount","","","True","5000000","fiscal_yearly","tds"
"tds_section_194n","(ACT 1961) 194N","untaxed_amount","","","True","10000000","fiscal_yearly","tds"
"tds_section_194o_huf","(ACT 1961) 194O(HUF)","untaxed_amount","","","True","500000","fiscal_yearly","tds"
"tds_section_194o","(ACT 1961) 194O","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tds_section_194q","(ACT 1961) 194Q","untaxed_amount","","","True","5000000","fiscal_yearly","tds"
"tds_section_195","(ACT 1961) 195","untaxed_amount","","","True","0","fiscal_yearly","tds"
"tcs_section_206c1_alc","(ACT 1961) 206C(1) Liquor","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1_tl","(ACT 1961) 206C(1) Tendu leaves","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1_tim","(ACT 1961) 206C(1) Timber woods(FL)","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1_tim_o","(ACT 1961) 206C(1) Timber woods","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1_fo","(ACT 1961) 206C(1) OFP","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1_sc","(ACT 1961) 206C(1) Scrap","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1_min","(ACT 1961) 206C(1) Min","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1c_p","(ACT 1961) 206C(1C) Parking lot","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1c_t","(ACT 1961) 206C(1C) Toll plaza","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1c_mq","(ACT 1961) 206C(1C) MQ","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_206c1f_mv","(ACT 1961) 206C(1F) Motor Vehicle","total_amount","True","1000000","","","fiscal_yearly","tcs"
"tcs_section_206c1g_r","(ACT 1961) 206C(1G) Remittance","total_amount","","","True","700000","fiscal_yearly","tcs"
"tcs_section_206c1g_ot","(ACT 1961) 206C(1G) Overseas Tour","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section206c1h_g","(ACT 1961) 206C(1H)","total_amount","","","True","5000000","fiscal_yearly","tcs"
