"id","parent_id","active","code","name","reconcile","non_trade","account_type","name@es","description","description@es_419","tax_ids","depreciation_model_id"
"ec520203","ec5202","False","520203","Social benefits and indemnities","","","expense","Beneficios sociales e indemnizaciones","","","",""
"ec520204","ec5202","False","520204","Employee benefit plan expense","","","expense","Gasto planes de beneficios a empleados","","","",""
"ec520218","ec5202","False","520218","Water, power, electricity and telecommunications","","","expense","Agua, energia, luz, y telecomunicaciones","","","",""
"ec520220","ec5202","False","520220","Taxes, contributions and other","","","expense","Impuestos, contribuciones y otros","","","",""
"ec520221","ec5202","False","520221","Depreciation","","","expense_depreciation","Depreciaciones","","","",""
"ec52022101","ec520221","False","52022101","Property, plant and equipment","","","expense_depreciation","Propiedades, planta y equipo","","","",""
"ec520222","ec5202","False","520222","Amortizations","","","expense","Amortizaciones","","","",""
"ec520223","ec5202","False","520223","Impairment expense","","","expense","Gasto deterioro","","","",""
"ec52022301","ec520223","False","52022301","Property, plant and equipment","","","expense","Propiedades, planta y equipo","","","",""
"ec520228","ec5202","False","520228","Other expenses","","","expense","Otros gastos","","","",""
"ec52022818","ec520228","False","52022818","Non-deductible expenses","","","expense","Gnd gastos no deducibles","","","",""
"ec5203","ec52","False","5203","Financial expenses","","","expense","Gastos financieros","","","",""
"ec5204","ec52","False","5204","Other expenses","","","expense","Otros gastos","","","",""
"ec520402","ec5204","False","520402","Others","","","expense","Otros","","","",""
"ec11010201","ec110102","True","11010202","Outstanding Receipts","True","","asset_current","Recibos pendientes","","","",""
"ec11010202","ec110102","True","11010203","Outstanding Payments","True","","asset_current","Pagos pendientes","","","",""
"l10n_ec_ifrs_liquidity_transfer","ec110103","True","11010301","Interbank transfers","True","","asset_current","Transferencias interbancarias","","","",""
"ec11010401","ec110104","True","11010401","Securities in custody","False","","asset_current","Valores en custodia","","","",""
"ec110201","ec1102","True","110201","Financial assets at fair value through profit or loss","False","","asset_current","Activos financieros a valor razonable con cambios en resultados","","","",""
"ec110202","ec1102","True","110202","Available-for-sale financial assets","False","","asset_current","Activos financieros disponibles para la venta","","","",""
"ec110203","ec1102","True","110203","Financial assets held to maturity","False","","asset_current","Activos financieros mantenidos hasta el vencimiento","","","",""
"ec110204","ec1102","True","110204","Provision for impairment","False","","asset_current","Provision por deterioro","","","",""
"ec1102050101","ec11020501","True","1102050101","Accounts receivable from local unrelated customers","True","","asset_receivable","Cuentas por cobrar clientes no relacionados locales","","","",""
"ec1102050102","ec11020501","True","1102050102","Accounts receivable from unrelated foreign customers","True","","asset_receivable","Cuentas por cobrar clientes no relacionados extranjeros","","","",""
"ec1102050103","ec11020501","True","1102050103","Accounts receivable from customers at point of sale","True","","asset_receivable","Cuentas por cobrar clientes para punto de venta","","","",""
"ec1102050201","ec11020502","True","1102050201","Customer checks to be deposited","False","","asset_current","Cheques de cliente por depositar","","","",""
"ec1102050202","ec11020502","True","1102050202","Protested checks","True","","asset_receivable","Cheques protestados","","","",""
"ec11020601","ec110206","True","11020601","Local customer related notes and accounts receivable","True","","asset_receivable","Documentos y cuentas por cobrar cliente relacionados locales","","","",""
"ec11020602","ec110206","True","11020602","Foreign customer related notes and accounts receivable","True","","asset_receivable","Documentos y cuentas por cobrar cliente relacionados extranjeros","","","",""
"ec11020701","ec110207","True","11020701","Salary advances","False","","asset_current","Anticipo sueldos","","","",""
"ec11020702","ec110207","True","11020702","Thirteenth salary advance","False","","asset_current","Anticipo décimo tercer sueldo","","","",""
"ec11020703","ec110207","True","11020703","Fourteenth salary advance","False","","asset_current","Anticipo décimo cuarto sueldo","","","",""
"ec11020704","ec110207","True","11020704","Profit sharing advance","False","","asset_current","Anticipo utilidades","","","",""
"ec11020705","ec110207","True","11020705","Employee loans","False","","asset_current","Prestamos Empleados","","","",""
"ec11020706","ec110207","True","11020706","Payroll overdraft advance","False","","asset_current","Anticipo por sobregiro en Nómina","","","",""
"ec110208","ec1102","True","110208","Other related accounts receivable","True","","asset_receivable","Otras cuentas por cobrar relacionadas","","","",""
"ec110209","ec1102","True","110209","Other accounts receivable","True","","asset_receivable","Otras cuentas por cobrar","","","",""
"ec110210","ec1102","True","110210","Allowance for doubtful accounts","False","","asset_current","Provision por cuentas incobrables","","","",""
"ec110301","ec1103","True","110301","Raw material inventories","False","","asset_current","Inventarios de materia prima","","","",""
"ec110302","ec1103","True","110302","Work in process inventories","False","","asset_current","Inventarios de productos en proceso","","","",""
"ec110303","ec1103","True","110303","Inventories of supplies or materials to be consumed in the production process","False","","asset_current","Inventarios de suministros o materiales a ser consumidos en el proceso de produccion","","","",""
"ec110304","ec1103","True","110304","Inventories of supplies or materials to be consumed in the provision of services","False","","asset_current","Inventarios de suministros o materiales a ser consumidos en la prestacion de servicios","","","",""
"ec110305","ec1103","True","110305","Inventories of finished goods and merchandise in stock - produced by the company","False","","asset_current","Inventarios de prod. term. y mercad. en almacen - producido por la compañia","","","",""
"ec110306","ec1103","True","110306","Inventories of finished goods and merchandise in stock - purchased from third parties","False","","asset_current","Inventarios de prod. term. y mercad. en almacen - comprado a terceros","","","",""
"ec110307","ec1103","True","110307","Goods in transit","False","","asset_current","Mercaderias en transito","","","",""
"ec110308","ec1103","True","110308","Provision for inventories at net realizable value","False","","asset_current","Provision de inventarios por valor neto de realizacion","","","",""
"ec110309","ec1103","True","110309","Provision for physical deterioration of inventories","False","","asset_current","Provision de inventarios por deterioro fisico","","","",""
"ec110310","ec1103","True","110310","Inventories of finished goods and merchandise in stock - purchased from third parties variation","False","","expense","Variación Inventarios de prod. term. y mercad. en almacen - comprado a terceros","","","",""
"ec110401","ec1104","True","110401","Prepaid insurance","True","","asset_prepayments","Seguros pagados por anticipado","","","",""
"ec110402","ec1104","True","110402","Prepaid leases","True","","asset_prepayments","Arriendos pagados por anticipado","","","",""
"ec110403","ec1104","True","110403","Advances to suppliers","True","","asset_prepayments","Anticipos a proveedores","","","",""
"ec_other_downpayments","ec110404","True","11040401","Other advances delivered","False","","asset_prepayments","Otros anticipos entregados","","","",""
"ec_purchase_vat","ec110501","True","11050101","VAT paid on local purchases","False","","asset_current","IVA pagado en compras locales","","","",""
"ec_purchase_vat_assets","ec110501","True","11050102","VAT paid on local purchases of fixed assets","False","","asset_current","IVA pagado en compras locales de activos fijos","","","",""
"ec_purchase_vat_service_imports","ec110501","True","11050103","VAT paid on import of services","False","","asset_current","IVA pagado en importacion de servicios","","","",""
"ec_purchase_vat_goods_imports","ec110501","True","11050104","VAT paid on imported goods","False","","asset_current","IVA pagado en importacion de bienes","","","",""
"ec_purchase_vat_assets_imports","ec110501","True","11050105","VAT paid on import of fixed assets","False","","asset_current","IVA pagado en importacion de activos fijos","","","",""
"ec_sale_vat_outstanding_withholds","ec110501","True","11050106","VAT paid on withholdings at source","False","","asset_current","IVA pagado en retenciones de la fuente","","","",""
"ec_purchase_vat_zero","ec110501","True","11050107","VAT on purchases 0%","False","","asset_current","IVA en compras 0%","","","",""
"ec_purchase_vat_credit_cards","ec110501","True","11050108","VAT paid on withholding tax on credit card profits","False","","asset_current","IVA pagado en retenciones de la fuente de tarjetas de crédito","","","",""
"ec_profit_tax_credit","ec110502","True","11050201","Tributary credit for income tax","True","True","asset_receivable","Crédito tributario por Impuesto a la Renta","","","",""
"ec_vat_tax_credit","ec110502","True","11050202","VAT income tax","True","True","asset_receivable","Crédito tributario de IVA","","","",""
"ec_withhold_tax_credit","ec110502","True","11050203","Income tax for withhold VAT","True","True","asset_receivable","Crédito tributario por Retenciones IVA","","","",""
"ec_isd_tax_credit","ec110502","True","11050204","Income tax for ISD VAT","False","","asset_current","Crédito tributario por impuesto ISD","","","",""
"ec_bank_withhold","ec110502","True","11050205","Bank Withholdings to be Reconciled Transitional Account","True","","asset_current","Cuenta Transitoria Retenciones Bancarias por Conciliar","","","",""
"ec_others_tax_credit","ec110502","True","11050206","Tax Credit for other concepts","True","True","asset_receivable","Crédito Tributario por otros conceptos","","","",""
"ec110503","ec1105","True","110503","Income tax advance","False","","asset_current","Anticipo de impuesto a la renta","","","",""
"ec_sale_profit_withhold","ec1105","True","110504","Withholding taxes paid","False","","asset_current","Retenciones en la fuente pagadas","","","",""
"ec110505","ec1105","True","110505","Withholdings on benefits paid with credit cards","False","","asset_current","Retenciones en la fuente pagadas de tarjetas de crédito","","","",""
"ec_sale_withhold_tax_base","ec1105","True","110506","Sales Withholding Base Amount","False","","asset_current","Base Imponible de Retenciones en Ventas","","","",""
"ec1106","ec11","True","1106","Non-current assets held for sale and discontinued operations","False","","asset_current","Activos no corrientes mantenidos para la venta y operaciones discontinuadas","","","",""
"ec1107","ec11","True","1107","Construction in progress (nic 11 and sec.23 SMEs)","False","","asset_current","Construcciones en proceso (nic 11 y secc.23 pymes)","","","",""
"ec1108","ec11","True","1108","Other current assets","False","","asset_current","Otros activos corrientes","","","",""
"ec120101","ec1201","True","120101","Land","False","","asset_fixed","Terrenos","Land owned by the company for operational or investment use. Land is not depreciated.","Terrenos propiedad de la empresa utilizados para operaciones o inversión. No se deprecian.","",""
"ec120102","ec1201","True","120102","Buildings","False","","asset_fixed","Edificios","Structures used for administrative, commercial, or industrial purposes.","Edificaciones utilizadas con fines administrativos, comerciales o industriales.","tax_vat_15_511_sup_03","asset_20_year_linear"
"ec120103","ec1201","True","120103","Construction in progress","False","","asset_fixed","Contrucciones en curso","Work in progress for buildings or installations not yet completed.","Obras en curso correspondientes a edificaciones o instalaciones aún no terminadas.","tax_vat_15_511_sup_03",""
"ec120104","ec1201","True","120104","Facilities","False","","asset_fixed","Instalaciones","Installations and permanent improvements in owned or leased properties.","Instalaciones y mejoras permanentes en propiedades o locales arrendados.","tax_vat_15_511_sup_03","asset_10_year_linear"
"ec120105","ec1201","True","120105","Furniture and fixtures","False","","asset_fixed","Muebles y enseres","Office furniture, shelves, lighting, and similar items used in work areas.","Muebles, estanterías, luminarias y elementos similares utilizados en las áreas de trabajo.","tax_vat_15_511_sup_03","asset_10_year_linear"
"ec120106","ec1201","True","120106","Machinery and equipment","False","","asset_fixed","Maquinaria y equipo","Industrial machinery, tools, and equipment used in production or services.","Maquinaria, herramientas y equipos industriales utilizados en producción o servicios.","tax_vat_15_511_sup_03","asset_10_year_linear"
"ec120107","ec1201","True","120107","Vessels, aircraft, barges and the like","False","","asset_fixed","Naves, aeronaves, barcazas y similares","Heavy transport or industrial equipment such as ships, aircraft, or barges.","Equipos industriales o de transporte pesado como barcos, aeronaves o barcazas.","tax_vat_15_511_sup_03","asset_15_year_linear"
"ec120108","ec1201","True","120108","Computer equipment","False","","asset_fixed","Equipo de computacion","Computers, servers, and related hardware used in business operations.","Computadoras, servidores y equipos informáticos utilizados en operaciones empresariales.","tax_vat_15_511_sup_03","asset_5_year_linear"
"ec120109","ec1201","True","120109","Vehicles, transport equipment and mobile road equipment","False","","asset_fixed","Vehiculos, equipos de transporte y equipo caminero movil","Cars, trucks, and mobile equipment used for logistics or company operations.","Vehículos, camiones y maquinaria móvil utilizada para operaciones o logística.","tax_vat_15_511_sup_03","asset_5_year_linear"
"ec120110","ec1201","True","120110","Other property, plant and equipment","False","","asset_fixed","Otros propiedades, planta y equipo","Other tangible fixed assets not included in the above categories.","Otros activos fijos tangibles no incluidos en las categorías anteriores.","tax_vat_15_511_sup_03","asset_8_year_linear"
"ec120111","ec1201","True","120111","Spare parts and tools","False","","asset_fixed","Repuestos y herramientas","Tools, spare parts and replacements used for maintenance or production.","Herramientas, repuestos y reemplazos utilizados en mantenimiento o producción.","tax_vat_15_511_sup_03","asset_3_year_linear"
"ec12011201","ec120112","True","12011201","Accumulated depreciation of buildings","False","","asset_fixed","Depreciacion acumulada edificios","","","",""
"ec12011202","ec120112","True","12011202","Accumulated depreciation of construction in progress","False","","asset_fixed","Depreciacion acumulada contrucciones en curso","","","",""
"ec12011203","ec120112","True","12011203","Accumulated depreciation of facilities","False","","asset_fixed","Depreciacion acumulada instalaciones","","","",""
"ec12011204","ec120112","True","12011204","Accumulated depreciation of furniture and fixtures","False","","asset_fixed","Depreciacion acumulada muebles y enseres","","","",""
"ec12011205","ec120112","True","12011205","Accumulated depreciation of machinery and equipment","False","","asset_fixed","Depreciacion acumulada maquinaria y equipo","","","",""
"ec12011206","ec120112","True","12011206","Accumulated depreciation of vessels, aircraft, barges and similar items","False","","asset_fixed","Depreciacion acumulada naves, aeronaves, barcazas y similares","","","",""
"ec12011207","ec120112","True","12011207","Accumulated depreciation computer equipment","False","","asset_fixed","Depreciacion acumulada equipo de computacion","","","",""
"ec12011208","ec120112","True","12011208","Accumulated depreciation vehicles, transportation equipment and mobile road equipment","False","","asset_fixed","Depreciacion acumulada vehiculos, equipos de transporte y equipo caminero movil","","","",""
"ec12011209","ec120112","True","12011209","Accumulated depreciation other property, plant and equipment","False","","asset_fixed","Depreciacion acumulada otros propiedades, planta y equipo","","","",""
"ec12011210","ec120112","True","12011210","Accumulated depreciation parts and tools","False","","asset_fixed","Depreciacion acumulada repuestos y herramientas","","","",""
"ec12011301","ec120113","True","12011301","Accumulated impairment of buildings","False","","asset_fixed","Deterioro acumulado edificios","Records the cumulative impairment losses recognized for buildings.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para edificios.","",""
"ec12011302","ec120113","True","12011302","Accumulated impairment of construction in progress","False","","asset_fixed","Deterioro acumulado contrucciones en curso","Records the cumulative impairment losses recognized for construction in progress.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para construcciones en curso.","",""
"ec12011303","ec120113","True","12011303","Accumulated impairment of facilities","False","","asset_fixed","Deterioro acumulado instalaciones","Records the cumulative impairment losses recognized for facilities.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para instalaciones.","",""
"ec12011304","ec120113","True","12011304","Accumulated impairment of furniture and fixtures","False","","asset_fixed","Deterioro acumulado muebles y enseres","Records the cumulative impairment losses recognized for furniture and fixtures.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para muebles y enseres.","",""
"ec12011305","ec120113","True","12011305","Accumulated impairment of machinery and equipment","False","","asset_fixed","Deterioro acumulado maquinaria y equipo","Records the cumulative impairment losses recognized for machinery and equipment.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para maquinaria y equipo.","",""
"ec12011306","ec120113","True","12011306","Accumulated impairment vessels, aircraft, barges and similar","False","","asset_fixed","Deterioro acumulado naves, aeronaves, barcazas y similares","Records the cumulative impairment losses recognized for vessels, aircraft, barges, and similar assets.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para naves, aeronaves, barcazas y similares.","",""
"ec12011307","ec120113","True","12011307","Accumulated impairment of computer equipment","False","","asset_fixed","Deterioro acumulado equipo de computacion","Records the cumulative impairment losses recognized for computer equipment.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para equipos de computación.","",""
"ec12011308","ec120113","True","12011308","Accumulated impairment of vehicles, transportation equipment and mobile road equipment","False","","asset_fixed","Deterioro acumulado vehiculos, equipos de transporte y equipo caminero movil","Records the cumulative impairment losses recognized for vehicles, transportation equipment, and mobile road equipment.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para vehículos, equipos de transporte y equipos camineros móviles.","",""
"ec12011309","ec120113","True","12011309","Accumulated impairment of other property, plant and equipment","False","","asset_fixed","Deterioro acumulado otros propiedades, planta y equipo","Records the cumulative impairment losses recognized for other property, plant, and equipment not classified elsewhere.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para otras propiedades, planta y equipo no clasificadas en otras categorías.","",""
"ec12011310","ec120113","True","12011310","Accumulated impairment of spare parts and tools","False","","asset_fixed","Deterioro acumulado repuestos y herramientas","Records the cumulative impairment losses recognized for spare parts and tools.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para repuestos y herramientas.","",""
"ec120201","ec1202","True","120201","Land","False","","asset_fixed","Terrenos","Land held for long-term capital appreciation or for a currently undetermined future use (Investment Property).","Terrenos mantenidos para la apreciación de capital a largo plazo o para un uso futuro actualmente no determinado (Propiedad de Inversión).","",""
"ec120202","ec1202","True","120202","Buildings","False","","asset_fixed","Edificios","Buildings held to earn rentals or for capital appreciation, or both (Investment Property).","Edificios mantenidos para obtener rentas o para la apreciación de capital, o ambos (Propiedad de Inversión).","",""
"ec120203","ec1202","True","120203","Accumulated depreciation of investment property","False","","asset_fixed","Depreciacion acumulada de propiedades de inversion","Records the cumulative depreciation recognized on investment property (e.g., buildings).","Registra la depreciación acumulada reconocida sobre propiedades de inversión (p. ej., edificios).","",""
"ec120204","ec1202","True","120204","Accumulated impairment of investment properties","False","","asset_fixed","Deterioro acumulado de propiedades de inversion","Records the cumulative impairment losses recognized for investment properties.","Registra las pérdidas por deterioro de valor acumuladas reconocidas para propiedades de inversión.","",""
"ec120301","ec1203","True","120301","Live animals growing","False","","asset_current","Animales vivos en crecimiento","","","",""
"ec120302","ec1203","True","120302","Live animals in production","False","","asset_current","Animales vivos en produccion","","","",""
"ec120303","ec1203","True","120303","Growing plants","False","","asset_current","Plantas en crecimiento","","","",""
"ec120304","ec1203","True","120304","Plants in production","False","","asset_current","Plantas en produccion","","","",""
"ec120305","ec1203","True","120305","(-) accumulated depreciation of biological assets","False","","asset_current","(-) depreciacion acumulada de activos biológicos","","","",""
"ec120306","ec1203","True","120306","(-) accumulated impairment of biological assets","False","","asset_current","(-) deterioro acumulado de activos biologícos","","","",""
"ec120401","ec1204","True","120401","Capital gains","False","","asset_current","Plusvalias","","","",""
"ec120402","ec1204","True","120402","Trademarks, patents, key rights, patrimonial quotas and other similar rights","False","","asset_current","Marcas, patentes, derechos de llave , cuotas patrimoniales y otros similares","","","",""
"ec120403","ec1204","True","120403","Exploration and development assets","False","","asset_current","Activos de exploracion y explotacion","","","",""
"ec120404","ec1204","True","120404","Accumulated amortization of intangible assets","False","","asset_current","Amortizacion acumulada de activos intangible","","","",""
"ec120405","ec1204","True","120405","Accumulated impairment of intangible assets","False","","asset_current","Deterioro acumulado de activo intangible","","","",""
"ec120406","ec1204","True","120406","Other intangibles","False","","asset_current","Otros intangibles","","","",""
"ec120501","ec1205","True","120501","Deferred tax assets","False","","asset_non_current","Activos por impuestos diferidos","","","",""
