"id","code_prefix_start","name","parent_id","name@es"
"ec510204","510204","Social benefits and indemnities","ec5102","Beneficios sociales e indemnizaciones"
"ec5103","5103","Indirect labor","ec51","Mano de obra indirecta"
"ec510301","510301","Wages, salaries and other remuneration","ec5103","Sueldos, salarios y demas remuneraciones"
"ec510302","510302","Employee benefit plan expense","ec5103","Gasto planes de beneficios a empleados"
"ec51030205","51030205","Other employee benefit plan expenses","ec510302","Otros gastos de planes de beneficios a empleados"
"ec510303","510303","Social security contributions (including reserve fund)","ec5103","Aportes a la seguridad social (incluido fondo de reserva)"
"ec510304","510304","Social benefits and indemnities","ec5103","Beneficios sociales e indemnizaciones"
"ec5104","5104","Other indirect manufacturing costs","ec51","Otros costos indirectos de fabricacion"
"ec510401","510401","Depreciation of property, plant and equipment","ec5104","Depreciacion propiedades, planta y equipo"
"ec510403","510403","Impairment of property, plant and equipment","ec5104","Deterioro de propiedad, planta y equipo"
"ec510408","510408","Other production costs","ec5104","Otros costos de produccion"
"ec52","52","Expenses","ec5","Gastos"
"ec5201","5201","Cost of sales","ec52","Gastos de ventas"
"ec520101","520101","Wages, salaries and other remuneration","ec5201","Sueldos, salarios y demas remuneraciones"
"ec520102","520102","Social security contributions (including reserve fund)","ec5201","Aportes a la seguridad social (incluido fondo de reserva)"
"ec520103","520103","Social benefits and indemnities","ec5201","Beneficios sociales e indemnizaciones"
"ec520104","520104","Employee benefit plan expense","ec5201","Gasto planes de beneficios a empleados"
"ec52010405","52010405","Other employee benefit plan expenses","ec520104","Otros gastos de planes de beneficios a empleados"
"ec520118","520118","Water, power, electricity and telecommunications","ec5201","Agua, energia, luz, y telecomunicaciones"
"ec520121","520121","Depreciation","ec5201","Depreciaciones"
"ec52012101","52012101","Property, plant and equipment","ec520121","Propiedades, planta y equipo"
"ec520122","520122","Amortizations","ec5201","Amortizaciones"
"ec520123","520123","Impairment expense","ec5201","Gasto deterioro"
"ec52012301","52012301","Property, plant and equipment","ec520123","Propiedades, planta y equipo"
"ec520127","520127","Other expenses","ec5201","Otros gastos"
"ec5202","5202","Administrative expenses","ec52","Gastos administrativos"
"ec520201","520201","Wages, salaries and other remuneration","ec5202","Sueldos, salarios y demas remuneraciones"
"ec520202","520202","Social security contributions","ec5202","Aportes a la seguridad social"
"ec520203","520203","Social benefits and indemnities","ec5202","Beneficios sociales e indemnizaciones"
"ec520204","520204","Employee benefit plan expense","ec5202","Gasto planes de beneficios a empleados"
"ec520218","520218","Water, power, electricity and telecommunications","ec5202","Agua, energia, luz, y telecomunicaciones"
"ec520220","520220","Taxes, contributions and other","ec5202","Impuestos, contribuciones y otros"
"ec520221","520221","Depreciation","ec5202","Depreciaciones"
"ec52022101","52022101","Property, plant and equipment","ec520221","Propiedades, planta y equipo"
"ec520222","520222","Amortizations","ec5202","Amortizaciones"
"ec520223","520223","Impairment expense","ec5202","Gasto deterioro"
"ec52022301","52022301","Property, plant and equipment","ec520223","Propiedades, planta y equipo"
"ec520228","520228","Other expenses","ec5202","Otros gastos"
"ec52022818","52022818","Non-deductible expenses","ec520228","Gnd gastos no deducibles"
"ec5203","5203","Financial expenses","ec52","Gastos financieros"
"ec5204","5204","Other expenses","ec52","Otros gastos"
"ec520402","520402","Others","ec5204","Otros"
