"id","parent_id","active","name","code","account_type","reconcile","non_trade","name@ar_001"
"jo_account_200901","jo_group_16","True","VAT Input","200901","asset_current","False","","مدخلات ضريبة القيمة المضافة"
"jo_account_200902","jo_group_16","True","VAT Output","200902","liability_current","False","","مخرجات ضريبة القيمة المضافة"
"jo_account_200903","jo_group_16","True","VAT Receivable","200903","asset_non_current","False","","ضريبة القيمة المضافة مستحقة الدفع"
"jo_account_200904","jo_group_16","True","VAT Payable","200904","liability_non_current","False","","ضريبة القيمة المضافة المستحقة"
"jo_account_200905","jo_group_16","True","Tax Payable","200905","liability_payable","True","True","الضريبة المستحقة"
"jo_account_200906","jo_group_16","True","Tax Receivable","200906","asset_receivable","True","True","ضريبة مستحقة القبض"
"jo_account_300100","","True","Retained Earnings","300100","equity","False","","الأرباح المستبقاة"
"jo_account_300101","","True","Undistributed Profits/Losses","300101","equity_unaffected","False","","الأرباح/الخسائر غير الموزعة"
"jo_account_400100","jo_group_17","True","Income Clearing Account","400100","income","False","","حساب مقاصة الدخل"
"jo_account_400101","jo_group_17","True","Sales Account","400101","income","False","","حساب المبيعات"
"jo_account_400102","jo_group_17","True","Sales of I/C","400102","income","False","","المبيعات بين الشركات التابعة"
"jo_account_400103","jo_group_17","True","Sales from Other Region","400103","income","False","","المبيعات من منطقة أخرى"
"jo_account_400104","jo_group_17","True","Management Consultancy Fees","400104","income","False","","رسوم الاستشارة الإدارية"
"jo_account_400105","jo_group_17","True","Advertising Income","400105","income","False","","دخل الإعلان"
"jo_account_400201","jo_group_18","True","Other Income","400201","income_other","False","","دخل آخر"
"jo_account_400301","jo_group_19","True","Gain on Difference on Exchange","400301","income_other","False","","أرباح فرق صرف العملة"
"jo_account_400302","jo_group_19","True","Cash Difference Gain","400302","income_other","False","","أرباح فرق النقد"
"jo_account_400303","jo_group_19","True","Excess In Till","400303","income_other","False","","الفائض في صندوق النقود"
"jo_account_400304","jo_group_19","True","Cash Discount Gain","400304","income_other","False","","مكاسب الخصم النقدي"
"jo_account_500101","jo_group_20","True","Cost of Goods Sold in Trading","500101","expense_direct_cost","False","","تكاليف البضائع المباعة في التجارة"
"jo_account_500102","jo_group_20","True","Cost Of Goods Sold I/C Sales","500102","expense_direct_cost","False","","تكاليف البضائع المباعة - المبيعات بين الشركات التابعة"
"jo_account_500200","jo_group_21","True","Expense Clearing Account","500200","expense","False","","حساب مقاصة النفقات"
"jo_account_500201","jo_group_21","True","Medical Insurance","500201","expense","False","","التأمين الصحي"
"jo_account_500202","jo_group_21","True","End of Service Indemnity","500202","expense","False","","تعويض نهاية الخدمة"
"jo_account_500203","jo_group_21","True","Sponsorship Fees","500203","expense","False","","رسوم الكفالة"
"jo_account_500301","jo_group_22","True","Basic Salary","500301","expense","False","","الراتب الأساسي"
"jo_account_500302","jo_group_22","True","Housing Allowance","500302","expense","False","","بدل السكن"
"jo_account_500303","jo_group_22","True","Transportation Allowance","500303","expense","False","","بدل المواصلات"
"jo_account_500304","jo_group_22","True","Leave Ticket","500304","expense","False","","تذكرة الطيران"
"jo_account_500305","jo_group_22","True","Leave Salary","500305","expense","False","","راتب الإجازة"
"jo_account_500306","jo_group_22","True","Sales Commission","500306","expense","False","","عمولة المبيعات"
"jo_account_500307","jo_group_22","True","Visa Expenses","500307","expense","False","","نفقات الفيزا"
"jo_account_500308","jo_group_22","True","Staff Other Allowances","500308","expense","False","","نفقات الموظفين الأخرى"
"jo_account_500309","jo_group_22","True","Air tickets","500309","expense","False","","تذاكر الطيران"
"jo_account_500310","jo_group_22","True","Salary Deductions","500310","expense","False","","خصومات الرواتب"
"jo_account_500311","jo_group_22","True","Social Security Expenses","500311","expense","False","","خصومات التأمينات الإجتماعية"
"jo_account_500401","jo_group_23","True","Office Rent","500401","expense","False","","إيجار المكتب"
"jo_account_500402","jo_group_23","True","Warehouse Rent","500402","expense","False","","إيجار المستودع"
"jo_account_500403","jo_group_23","True","Water & Electricity","500403","expense","False","","الماء والكهرباء"
"jo_account_500404","jo_group_23","True","Other Utility Charges","500404","expense","False","","رسوم المرافق الأخرى"
"jo_account_500501","jo_group_24","True","Audit Fees","500501","expense","False","","رسوم التدقيق"
"jo_account_500502","jo_group_24","True","Legal fees","500502","expense","False","","الرسوم القانونية"
"jo_account_500503","jo_group_24","True","Trade License Fees","500503","expense","False","","رسوم الرخصة التجارية"
"jo_account_500504","jo_group_24","True","Others - Professional Fees","500504","expense","False","","غير ذلك - الرسوم المهنية"
"jo_account_500505","jo_group_24","True","Insurance","500505","expense","False","","التأمين"
"jo_account_500506","jo_group_24","True","Previous Year Adjustments Account","500506","expense","False","","حساب تعديلات العام الماضي"
"jo_account_500601","jo_group_25","True","Credit Card Charges","500601","expense","False","","رسوم البطاقة الائتمانية"
"jo_account_500602","jo_group_25","True","Other Bank Charges","500602","expense","False","","الرسوم البنكية الأخرى"
"jo_account_500603","jo_group_25","True","Bank Finance & Loan Charges","500603","expense","False","","رسوم القروض والتمويل البنكي"
"jo_account_500651","jo_group_26","True","Income Tax Expense","500651","expense","False","","نفقات ضريبة الدخل"
"jo_account_500701","jo_group_27","True","Other - Advertising Expenses","500701","expense","False","","غير ذلك - نفقات الإعلان"
"jo_account_500702","jo_group_27","True","Training","500702","expense","False","","التدريب"
"jo_account_500703","jo_group_27","True","Consultancy Fees","500703","expense","False","","الرسوم الاستشارية"
"jo_account_500801","jo_group_28","True","Amortisation on Leasehold Improvement","500801","expense_depreciation","False","","الاستهلاك عند تحسين العقارات المستأجرة"
"jo_account_500802","jo_group_28","True","Vehicle Expenses","500802","expense_depreciation","False","","نفقات المركبات"
"jo_account_500803","jo_group_28","True","Depreciation of Motor Vehicles","500803","expense_depreciation","False","","إهلاك المركبات"
"jo_account_500804","jo_group_28","True","Depreciation of Furniture & Office Equipment","500804","expense_depreciation","False","","إهلاك الأثاث والمعدات المكتبية"
"jo_account_500805","jo_group_28","True","Depreciation of Computer Hard & Soft","500805","expense_depreciation","False","","إهلاك أجهزة وبرامج الحاسوب"
"jo_account_500851","jo_group_29","True","Depreciation on Right of use Asset (IFRS 16)","500851","expense_depreciation","False","","إهلاك حق استخدام الأصل (IFRS 16)"
"jo_account_500901","jo_group_30","True","Loss on Fixed Assets Disposal","500901","expense","False","","خسائر التصرف في الأصول الثابتة"
"jo_account_500902","jo_group_30","True","Cash Shortage","500902","expense","False","","القصور النقدي"
"jo_account_500903","jo_group_30","True","Loss on Difference on Exchange","500903","expense","False","","حسائر فرق صرف العملة"
"jo_account_500904","jo_group_30","True","Write Off Receivables & Payables","500904","expense","False","","شطب الحسابات المدينة والدائنة"
"jo_account_500905","jo_group_30","True","Write Off Inventory","500905","expense","False","","شطب المخزون"
"jo_account_500906","jo_group_30","True","Others - Provision & Write Off","500906","expense","False","","غير ذلك - المَحافظ والتعديلات"
"jo_account_500907","jo_group_30","True","Others","500907","expense","False","","غير ذلك"
"jo_account_500908","jo_group_30","True","Other Non-Operating Expenses","500908","expense","False","","النفقات الأخرى غير التشغيلية"
"jo_account_500909","jo_group_30","True","Cash Difference Loss","500909","expense","False","","خسائر فريق النقد"
"jo_account_501101","jo_group_31","True","Telephone","501101","expense","False","","الهاتف"
"jo_account_501102","jo_group_31","True","Others - Communication","501102","expense","False","","غير ذلك - التواصل"
"jo_account_501103","jo_group_31","True","Maintenance","501103","expense","False","","الصيانة"
"jo_account_501104","jo_group_31","True","Security & Guard","501104","expense","False","","الأمن والحراسة"
"jo_account_501105","jo_group_31","True","Cleaning","501105","expense","False","","التنظيف"
"jo_account_501106","jo_group_31","True","Others - Office Various Expenses","501106","expense","False","","غير ذلك - نفقات المكتب المختلفة"
"jo_account_501107","jo_group_31","True","Cash Discount Loss","501107","expense","False","","خسارة الخصم النقدي"
