"id","code_prefix_start","name","name@pt"
"chart_group_268","268","Other operations","Outras operações"
"chart_group_269","269","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_2696","2696","Loans granted - Mother company","Empréstimos concedidos - empresa-mãe"
"chart_group_2697","2697","Other operations","Outras operações"
"chart_group_27","27","Other receivable and payable accounts","Outras contas a receber e a pagar"
"chart_group_271","271","Investment suppliers","Fornecedores de investimentos"
"chart_group_2711","2711","Investment suppliers - General accounts","Fornecedores de investimentos - contas gerais"
"chart_group_2712","2712","Invoices received and checked","Faturas em receção e conferência"
"chart_group_2713","2713","Advances to investment suppliers","Adiantamentos a fornecedores de investimentos"
"chart_group_272","272","Debtors and creditors by additions (economic periodization)","Devedores e credores por acréscimos (periodização económica)"
"chart_group_274","274","Deferred taxes","Ativos por impostos diferidos"
"chart_group_275","275","Creditors for unreleased subscriptions","Credores por subscrições não liberadas"
"chart_group_278","278","Other debtors and creditors","Outros devedores e credores"
"chart_group_279","279","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_2791","2791","Advances to investment suppliers","Adiantamentos a fornecedores de investimentos"
"chart_group_2794","2794","Other debtors and creditors","Outros devedores e credores"
"chart_group_28","28","Deferments","Diferimentos"
"chart_group_29","29","Provisions","Provisões"
"chart_group_3","3","Inventories and biological assets","Inventários e ativos biológicos"
"chart_group_31","31","Purchases","Compras"
"chart_group_317","317","Purchase returns","Devoluções de compras"
"chart_group_318","318","Discounts and rebates on purchases","Descontos e abatimentos em compras"
"chart_group_329","329","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_33","33","Raw materials, subsidiaries and consumption","Matérias-primas, subsidiárias e de consumo"
"chart_group_339","339","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_34","34","Finished and intermediate products","Produtos acabados e intermédios"
"chart_group_349","349","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_35","35","Byproducts, waste, residues and refuses","Subprodutos, desperdícios, resíduos e refugos"
"chart_group_359","359","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_36","36","Products and work in progress","Produtos e trabalhos em curso"
"chart_group_37","37","Biological assets","Ativos biológicos"
"chart_group_371","371","Consumables","Consumíveis"
"chart_group_372","372","Of production","De produção"
"chart_group_378","378","Accumulated depreciation","Depreciações acumuladas"
"chart_group_379","379","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_39","39","Down payments on account of purchases","Adiantamentos por conta de compras"
"chart_group_4","4","Investment","Investimentos"
"chart_group_41","41","Financial investments","Investimentos Financeiros"
"chart_group_411","411","Investments in subsidiaries","Investimentos em subsidiárias"
"chart_group_4111","4111","Capital participations - Equivalence method","Participações de capital - método da equivalência patrimonial"
"chart_group_412","412","Investments in associates","Investimentos em associadas"
"chart_group_4121","4121","Capital participations - Equivalence method","Participações de capital - método da equivalência patrimonial"
"chart_group_413","413","Investments in jointly controlled entities","Investimentos em entidades conjuntamente controladas"
"chart_group_414","414","Investments in other companies","Investimentos noutras empresas"
"chart_group_415","415","Other financial investments","Outros investimentos financeiros"
"chart_group_418","418","Accumulated amortization","Amortizações acumuladas"
"chart_group_4181","4181","Capital participations - Equivalence method","Participações de capital - método da equivalência patrimonial"
"chart_group_41813","41813","Investments in jointly controlled entities","Investimentos em entidades conjuntamente controladas"
"chart_group_419","419","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_4191","4191","Investments in subsidiaries","Investimentos em subsidiárias"
"chart_group_41911","41911","Capital participations - Equivalence method","Participações de capital - método da equivalência patrimonial"
"chart_group_4192","4192","Investments in associates","Investimentos em associadas"
"chart_group_41921","41921","Capital participations - Equivalence method","Participações de capital - método da equivalência patrimonial"
"chart_group_4193","4193","Investments in jointly controlled entities","Investimentos em entidades conjuntamente controladas"
"chart_group_41931","41931","Capital participations - Equivalence method","Participações de capital - método da equivalência patrimonial"
"chart_group_4194","4194","Investments in other companies","Investimentos noutras empresas"
"chart_group_4195","4195","Other financial investments","Outros investimentos financeiros"
"chart_group_42","42","Investment properties","Propriedades de investimento"
"chart_group_428","428","Accumulated depreciation","Depreciações acumuladas"
"chart_group_429","429","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_43","43","Tangible fixed assets","Ativos fixos tangíveis"
"chart_group_438","438","Accumulated depreciation","Depreciações acumuladas"
"chart_group_439","439","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_44","44","Intangible assets","Ativos intangíveis"
"chart_group_448","448","Accumulated amortization","Amortizações acumuladas"
"chart_group_449","449","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_45","45","Ongoing investments","Investimentos em curso"
"chart_group_455","455","Advances on account of investments","Adiantamentos por conta de investimentos"
"chart_group_459","459","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_4595","4595","Advances on account of investments","Adiantamentos por conta de investimentos"
"chart_group_46","46","Non-current assets held for sale","Ativos não correntes detidos para venda"
"chart_group_469","469","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_5","5","Capital, reserves and retained earnings","Capital, Reservas e Resultados Transitados"
"chart_group_52","52","Own shares","Ações (quotas) próprias"
"chart_group_55","55","Reserves","Reservas"
"chart_group_57","57","Adjustments in financial assets","Ajustamentos em ativos financeiros"
"chart_group_571","571","Related to the equivalence method","Relacionados com o método da equivalência patrimonial"
"chart_group_581","581","Reevaluations resulting from legal diplomas","Reavaliações decorrentes de diplomas legais"
"chart_group_589","589","Other surplus","Outros excedentes"
"chart_group_59","59","Other variations in equity","Outras variações no capital próprio"
"chart_group_593","593","Subsidies","Subsídios"
"chart_group_6","6","Expenses","Gastos"
"chart_group_61","61","Cost of goods sold and materials consumed","Custo das mercadorias vendidas e das matérias consumidas"
"chart_group_62","62","Supplies and external services","Fornecimentos e serviços externos"
"chart_group_622","622","Specialized services","Serviços especializados"
"chart_group_623","623","Materials","Materiais"
"chart_group_624","624","Energy and fluids","Energia e fluidos"
"chart_group_625","625","Travel, accommodation and transportation","Deslocações, estadas e transportes"
"chart_group_626","626","Miscellaneous services","Serviços diversos"
"chart_group_63","63","Staff spending","Gastos com o pessoal"
"chart_group_633","633","Post-employment benefits","Benefícios pós-emprego"
"chart_group_64","64","Depreciation and amortization expenses","Gastos de depreciação e de amortização"
"chart_group_641","641","Investment properties","Propriedades de investimento"
"chart_group_642","642","Tangible fixed assets","Ativos fixos tangíveis"
"chart_group_643","643","Intangible assets","Ativos intangíveis"
"chart_group_65","65","Impairment losses","Perdas por imparidade"
"chart_group_651","651","In debt receivable","Em dívidas a receber"
"chart_group_652","652","In inventory","Em inventários"
"chart_group_653","653","In financial investments","Em investimentos financeiros"
"chart_group_654","654","In investment properties","Em propriedades de investimento"
"chart_group_655","655","In tangible fixed assets","Em ativos fixos tangíveis"
"chart_group_656","656","In intangible assets","Em ativos intangíveis"
"chart_group_657","657","In investments in progress","Em investimentos em curso"
"chart_group_6575","6575","Advances on account of investments","Adiantamentos por conta de investimentos"
"chart_group_658","658","In non-current assets held for sale","Em ativos não correntes detidos para venda"
"chart_group_66","66","Losses due to reductions in fair value","Perdas por reduções de justo valor"
"chart_group_663","663","In investment properties","Em propriedades de investimento"
"chart_group_664","664","In biological assets","Em ativos biológicos"
"chart_group_67","67","Provisions of the period","Provisões do período"
"chart_group_68","68","Other expenses","Outros gastos"
"chart_group_681","681","Taxes","Impostos"
"chart_group_684","684","Inventory losses","Perdas em inventários"
"chart_group_686","686","Expenses on remaining financial investments","Gastos nos restantes investimentos financeiros"
"chart_group_687","687","Expenses on non-financial investments","Gastos em investimentos não financeiros"
"chart_group_688","688","Others","Outros"
"chart_group_69","69","Financing expenses","Gastos de financiamento"
"chart_group_691","691","Supported interests","Juros suportados"
"chart_group_692","692","Unfavorable exchange rate differences","Diferenças de câmbio desfavoráveis"
"chart_group_698","698","Other financing expenses","Outros gastos de financiamento"
"chart_group_7","7","Income","Rendimentos"
"chart_group_71","71","Sales","Vendas"
"chart_group_72","72","Services","Prestações de serviços"
"chart_group_73","73","Variations in production inventories","Variações nos inventários da produção"
"chart_group_74","74","Work for the entity itself","Trabalhos para a própria entidade"
"chart_group_75","75","Exploration subsidies","Subsídios à exploração"
"chart_group_76","76","Reversals","Reversões"
"chart_group_761","761","Depreciation and amortization","De depreciações e de amortizações"
"chart_group_7611","7611","Investment properties","Propriedades de investimento"
"chart_group_7612","7612","Tangible fixed assets","Ativos fixos tangíveis"
"chart_group_7613","7613","Intangible assets","Ativos intangíveis"
"chart_group_7614","7614","Biological assets","Ativos biológicos"
"chart_group_7615","7615","Financial investments","Investimentos Financeiros"
"chart_group_762","762","Impairment losses","Perdas por imparidade"
"chart_group_7621","7621","In debt receivable","Em dívidas a receber"
"chart_group_7622","7622","In inventory","Em inventários"
"chart_group_7623","7623","In financial investments","Em investimentos financeiros"
"chart_group_7624","7624","In investment properties","Em propriedades de investimento"
"chart_group_7625","7625","In tangible fixed assets","Em ativos fixos tangíveis"
"chart_group_7626","7626","In intangible assets","Em ativos intangíveis"
"chart_group_7627","7627","In investements in progress","Em investimentos em curso"
"chart_group_76275","76275","Advances on account of investments","Adiantamentos por conta de investimentos"
"chart_group_7628","7628","In non-current assets held for sale","Em ativos não correntes detidos para venda"
"chart_group_763","763","Provisions","Provisões"
"chart_group_77","77","Gains for fair value increases","Ganhos por aumentos de justo valor"
"chart_group_772","772","In financial investments","Em investimentos financeiros"
"chart_group_773","773","In investment properties","Em propriedades de investimento"
"chart_group_774","774","In biological assets","Em ativos biológicos"
"chart_group_78","78","Other income","Outros rendimentos"
"chart_group_781","781","Supplementary income","Rendimentos suplementares"
"chart_group_784","784","Inventory gains","Ganhos em inventários"
"chart_group_786","786","Income in the remaining financial assets","Rendimentos nos restantes ativos financeiros"
"chart_group_787","787","Income in non-financial investments","Rendimentos em investimentos não financeiros"
"chart_group_788","788","Others","Outros"
"chart_group_79","79","Interest, dividends and other similar income","Juros, dividendos e outros rendimentos similares"
"chart_group_791","791","Interest obtained","Juros obtidos"
"chart_group_792","792","Dividends obtained","Dividendos obtidos"
"chart_group_8","8","Results","Resultados"
"chart_group_81","81","Net result of the period","Resultado líquido do período"
"chart_group_812","812","Tax over the period's income","Imposto sobre o rendimento do período"
"chart_group_89","89","Early dividends","Dividendos antecipados"
