"id","name","code_prefix_start","code_prefix_end","name@uz","name@ru"
"group_5500_5599","Restricted & Special Purpose Bank Accounts","5500","5599","Bankdagi maxsus hisobvaraqlardagi pul mablagʻlari","Специальные банковские счета"
"group_5600_5699","Cash Equivalents","5600","5699","Pul ekvivalentlari","Денежные эквиваленты"
"group_5700_5799","Cash in Transit","5700","5799","Yoʻldagi pul mablagʻ (oʻtkazma)lari","Денежные средства в пути"
"group_5800_5899","Short-Term Investments","5800","5899","Qisqa muddatli investitsiyalar","Краткосрочные инвестиции"
"group_5900_5999","Shortages & Losses from Asset Impairment & Other Current Assets","5900","5999","Kamomadlar va qiymatliklarning buzilishidan yoʻqotishlar hamda boshqa joriy aktivlar","Недостачи и убытки от обесценения активов и прочие текущие активы"
"group_6000_6099","Current Trade Payables","6000","6099","Mol yetkazib beruvchilar va pudratchilarga toʻlovlar boʻyicha joriy majburiyatlar","Текущая торговая кредиторская задолженность"
"group_6100_6199","Payables to Branches, Subsidiaries & Associates (Current)","6100","6199","Ajratilgan boʻlinmalar, shuʼba va qaram xoʻjalik jamiyatlariga toʻlovlar boʻyicha joriy majburiyatlar","Кредиторская задолженность филиалам, дочерним и ассоциированным компаниям (текущая)"
"group_6200_6299","Deferred Current Liabilities","6200","6299","Kechiktirilgan joriy majburiyatlar","Отложенные текущие обязательства"
"group_6300_6399","Advances Received — Current Portion","6300","6399","Olingan boʻnaklarning joriy qismi","Полученные авансы — текущая часть"
"group_6400_6499","Taxes Payable","6400","6499","Budjetga toʻlovlar boʻyicha qarzlar","Задолженность по налогам и сборам"
"group_6500_6599","Social Contributions & Insurance Payable","6500","6599","Sugʻurta va davlat maqsadli jamgʻarmalariga toʻlovlar boʻyicha joriy qarzlar","Задолженность по социальным взносам и страхованию"
"group_6600_6699","Current Payables to Founders / Shareholders","6600","6699","Taʼsischilarga boʻlgan joriy qarzlar","Текущая задолженность перед учредителями / акционерами"
"group_6700_6799","Accrued Payroll Liabilities","6700","6799","Ish haqi boʻyicha xodimlar bilan hisob-kitoblar","Расчеты с персоналом по оплате труда"
"group_6800_6899","Short-Term Loans & Borrowings","6800","6899","Qisqa muddatli kreditlar va qarzlar","Краткосрочные кредиты и займы"
"group_6900_6999","Other Current Payables","6900","6999","Boshqa joriy kreditorlik qarzlar","Прочая текущая кредиторская задолженность"
"group_7000_7099","Non-Current Trade Payables","7000","7099","Mol yetkazib beruvchilar va pudratchilarga uzoq muddatli toʻlovlar","Долгосрочная торговая кредиторская задолженность"
"group_7100_7199","Long-Term Payables to Branches, Subsidiaries & Associates","7100","7199","Ajratilgan boʻlinmalar, shuʼba va qaram xoʻjalik jamiyatlariga toʻlovlar boʻyicha uzoq muddatli majburiyatlar","Долгосрочная кредиторская задолженность филиалам, дочерним и ассоциированным компаниям"
"group_7200_7299","Non-Current Deferred Liabilities","7200","7299","Kechiktirilgan uzoq muddatli majburiyatlar","Долгосрочные отложенные обязательства"
"group_7300_7799","Advances from Customers — Non-Current Portion","7300","7799","Xaridorlar va buyurtmachilardan olingan boʻnaklar — uzoq muddatli qismi","Авансы от покупателей — долгосрочная часть"
"group_7800_7899","Long-Term Loans & Borrowings","7800","7899","Uzoq muddatli kreditlar va qarzlar","Долгосрочные кредиты и займы"
"group_7900_7999","Other Non-Current Payables","7900","7999","Boshqa uzoq muddatli kreditorlik qarzlar","Прочая долгосрочная кредиторская задолженность"
"group_8300_8399","Share Capital (Issued Capital)","8300","8399","Ustav kapitali","Уставный капитал"
"group_8400_8499","Additional Paid-In Capital","8400","8499","Qoʻshilgan kapital","Добавочный капитал"
"group_8500_8599","Reserves","8500","8599","Rezerv kapitali","Резервный капитал"
"group_8600_8699","Treasury Shares","8600","8699","Sotib olingan xususiy aksiyalar","Выкупленные собственные акции"
"group_8700_8799","Retained Earnings (Accumulated Deficit)","8700","8799","Taqsimlanmagan foyda (qoplanmagan zarar)","Нераспределенная прибыль (непокрытый убыток)"
"group_8800_8899","Targeted (Restricted) Funding","8800","8899","Maqsadli tushumlar","Целевое финансирование"
"group_8900_8999","Provisions for Future Expenditure & Payments","8900","8999","Kelgusi xarajatlar va toʻlovlar rezervlari","Резервы предстоящих расходов и платежей"
"group_9000_9099","Revenue from Operating Activities","9000","9099","Asosiy (operatsion) faoliyatning daromadlari","Доходы от основной деятельности"
"group_9100_9199","Cost of Goods Sold (COGS)","9100","9199","Sotilgan mahsulot (tovar, ish, xizmat)larning tannarxi","Себестоимость реализованной продукции (товаров, работ, услуг)"
"group_9200_9299","Disposal of Fixed Assets & Other Assets","9200","9299","Asosiy vositalar va boshqa aktivlarning chiqib ketishi","Выбытие основных средств и прочих активов"
"group_9300_9399","Other Operating Income","9300","9399","Asosiy faoliyatning boshqa daromadlari","Прочие доходы от основной деятельности"
"group_9400_9499","Operating Expenses","9400","9499","Davr xarajatlari","Расходы периода"
"group_9500_9599","Finance Income","9500","9599","Moliyaviy faoliyat boʻyicha daromadlar","Доходы от финансовой деятельности"
"group_9600_9699","Finance Costs","9600","9699","Moliyaviy faoliyat boʻyicha xarajatlar","Расходы по финансовой деятельности"
"group_9700_9799","Other Non-Operating Income (Expenses)","9700","9799","Favqulodda vaziyatlardan olingan foyda (zarar)","Прибыль (убыток) от чрезвычайных ситуаций"
"group_9800_9899","Income Tax Expense","9800","9899","Soliq majburiyatlarini toʻlash uchun foydaning ishlatilishi","Расходы по налогу на прибыль"
"group_9900_9999","Net Income / Loss","9900","9999","Yakuniy moliyaviy natija","Конечный финансовый результат"
"group_0001_0001","Fixed Assets Held Under Operating Leases","0001","0001","Operativ ijaraga olingan asosiy vositalar","Основные средства, находящиеся в операционной аренде."
"group_0002_0002","Inventories Held in Custody","0002","0002","Masʼul saqlashga qabul qilingan tovar-moddiy zaxiralar","Инвентарь, находящийся на хранении"
"group_0003_0003","Materials Accepted for Processing","0003","0003","Qayta ishlovga qabul qilingan materiallar","Материалы, принятые к обработке"
"group_0004_0004","Goods Accepted on Consignment","0004","0004","Vositachilik shartnomasi boʻyicha qabul qilingan tovarlar","Товары, принятые на комиссию"
"group_0005_0005","Equipment Accepted for Installation","0005","0005","Oʻrnatish uchun qabul qilingan uskunalar","Оборудование, принятое для установки."
"group_0006_0006","Strict Accountability Forms (Controlled Documents)","0006","0006","Qatʼiy hisobdagi blankalar","Формы строгой подотчетности (контролируемые документы)"
"group_0007_0007","Written-Off Receivables from Insolvent Debtors","0007","0007","Toʻlovga qobiliyatsiz debitorlarning zararga oʻtkazilib hisobdan chiqarilgan qarzi","Списанная дебиторская задолженность неплатежеспособных должников"
"group_0008_0008","Collateral & Security Received","0008","0008","Majburiyatlar va toʻlovlarni taʼminlash — olingan","Получено залоговое обеспечение и обеспечение."
"group_0009_0009","Collateral & Security Given","0009","0009","Majburiyatlar va toʻlovlarni taʼminlash — berilgan","Предоставлены залог и обеспечение."
"group_0010_0010","Fixed Assets Leased Out Under Finance Leases","0010","0010","Moliyaviy ijara shartnomasi boʻyicha berilgan asosiy vositalar","Основные средства, сданные в аренду по договорам финансовой аренды."
"group_0011_0011","Assets Received Under Loan (Gratuitous Use) Agreements","0011","0011","Ssuda shartnomasi boʻyicha olingan mulk","Активы, полученные по договорам займа (безвозмездного пользования)."
"group_0012_0012","Future Tax-Deductible Expenses","0012","0012","Kelgusi davrlarda soliq solinadigan bazadan chegiriladigan xarajatlar","Будущие расходы, подлежащие налоговому вычету"
"group_0013_0013","Temporary Tax & Customs Exemptions — By Type","0013","0013","Vaqtinchalik soliq va bojxona imtiyozlari (turlari boʻyicha)","Временные налоговые и таможенные льготы — по видам"
"group_0014_0014","Tools & Small Equipment in Use","0014","0014","Foydalanishdagi inventar va xoʻjalik jihozlari","Используемые инструменты и малое оборудование"
"group_0015_0015","Assets Received Under Joint Activity (Simple Partnership) Agreements","0015","0015","Oddiy shirkat shartnomasi (birgalikdagi faoliyat) boʻyicha olingan mulk","Активы, полученные в рамках соглашений о совместной деятельности (простом товариществе)."
"group_0016_0016","Intangible Assets Received Under Right-of-Use Agreements","0016","0016","Foydalanish huquqi boʻyicha olingan nomoddiy aktivlar","Нематериальные активы, полученные по соглашениям о праве пользования"
