"id","code","name","account_type","tag_ids","name@uz","name@ru"
"uz0490","0490","Other Intangible Assets","asset_fixed","l10n_uz.account_tag_bs_0140","Boshqa nomoddiy aktivlar","Прочие нематериальные активы"
"uz0510","0510","Amortization — Patents, Licenses & Know-How","asset_non_current","l10n_uz.account_tag_bs_0140","Patentlar, litsenziyalar va nou-xauning amortizatsiyasi","Амортизация — Патенты, лицензии и ноу-хау"
"uz0520","0520","Amortization — Trademarks, Trade Names & Industrial Designs","asset_non_current","l10n_uz.account_tag_bs_0140","Savdo markalari, tovar belgilari va sanoat namunalarining amortizatsiyasi","Амортизация — товарные знаки, торговые наименования и промышленные образцы"
"uz0530","0530","Amortization — Software","asset_non_current","l10n_uz.account_tag_bs_0140","Dasturiy taʼminotning amortizatsiyasi","Амортизация — Программное обеспечение"
"uz0540","0540","Amortization — Land & Natural Resource Rights","asset_non_current","l10n_uz.account_tag_bs_0140","Yer va tabiat resurslaridan foydalanish huquqlarining amortizatsiyasi","Амортизация — Права на землю и природные ресурсы"
"uz0560","0560","Amortization — Franchise Rights","asset_non_current","l10n_uz.account_tag_bs_0140","Franshizing amortizatsiyasi","Амортизация — Права франшизы"
"uz0570","0570","Amortization — Copyrights","asset_non_current","l10n_uz.account_tag_bs_0140","Mualliflik huquqlarining amortizatsiyasi","Амортизация — Авторские права"
"uz0590","0590","Amortization — Other Intangible Assets","asset_non_current","l10n_uz.account_tag_bs_0140","Boshqa nomoddiy aktivlarning amortizatsiyasi","Амортизация — Прочие нематериальные активы"
"uz0610","0610","Investment Securities","asset_non_current","l10n_uz.account_tag_bs_0250","Qimmatli qogʻozlar","Инвестиционные ценные бумаги"
"uz0620","0620","Investments in Subsidiaries","asset_non_current","l10n_uz.account_tag_bs_0210","Shuʼba xoʻjalik jamiyatlariga investitsiyalar","Инвестиции в дочерние компании"
"uz0630","0630","Investments in Associates","asset_non_current","l10n_uz.account_tag_bs_0220","Qaram xoʻjalik jamiyatlariga investitsiyalar","Инвестиции в ассоциированные компании"
"uz0640","0640","Investments in Joint Ventures / Foreign-Capital Entities","asset_non_current","l10n_uz.account_tag_bs_0260","Chet el kapitali ishtirokidagi tashkilotlarga investitsiyalar","Инвестиции в совместные предприятия / организации с иностранным капиталом"
"uz0690","0690","Other Non-Current Investments","asset_non_current","l10n_uz.account_tag_bs_0260","Boshqa uzoq muddatli investitsiyalar","Прочие долгосрочные инвестиции"
"uz0710","0710","Equipment Awaiting Installation — Domestic","asset_non_current","l10n_uz.account_tag_bs_0270","Oʻrnatiladigan asbob-uskunalar — mahalliy","Локальное оборудование, ожидающее установки"
"uz0720","0720","Equipment Awaiting Installation — Foreign","asset_non_current","l10n_uz.account_tag_bs_0270","Oʻrnatiladigan asbob-uskunalar — xorijiy","Импортное оборудование, ожидающее установки"
"uz0810","0810","Construction in Progress","asset_non_current","l10n_uz.account_tag_bs_0270","Tugallanmagan qurilish","Незавершенное строительство"
"uz0820","0820","Acquisition of Fixed Assets","asset_non_current","l10n_uz.account_tag_bs_0270","Asosiy vositalarni xarid qilish","Приобретение основных средств"
"uz0830","0830","Acquisition of Intangible Assets","asset_non_current","l10n_uz.account_tag_bs_0270","Nomoddiy aktivlarni xarid qilish","Приобретение нематериальных активов"
"uz0840","0840","Formation of Breeding Herd","asset_non_current","l10n_uz.account_tag_bs_0150","Asosiy podani tashkil qilish","Организация основного стада"
"uz0850","0850","Capital Expenditure on Land Improvements","asset_non_current","l10n_uz.account_tag_bs_0110","Yerni obodonlashtirishga kapital qoʻyilmalar","Капитальные затраты на благоустройство земельных участков"
"uz0860","0860","Capital Expenditure on Finance-Leased Fixed Assets","asset_non_current","l10n_uz.account_tag_bs_0120","Moliyaviy ijaraga olingan asosiy vositalarga kapital qoʻyilmalar","Капитальные затраты на основные средства, взятые в финансовую аренду"
"uz0870","0870","Capital Expenditure on Operating-Leased Fixed Assets","asset_non_current","l10n_uz.account_tag_bs_0120","Operativ ijaraga olingan asosiy vositalarga kapital qoʻyilmalar","Капитальные затраты на основные средства, находящиеся в операционной аренде."
"uz0890","0890","Other Capital Expenditure","asset_non_current","l10n_uz.account_tag_bs_0270","Boshqa kapital qoʻyilmalar","Прочие капитальные затраты"
"uz0910","0910","Notes Receivable (Long-Term)","asset_non_current","l10n_uz.account_tag_bs_0170","Olingan veksellar","Долгосрочные векселя к получению"
"uz0920","0920","Finance Lease Receivables (Long-Term)","asset_non_current","l10n_uz.account_tag_bs_0180","Moliyaviy ijara boʻyicha olinadigan toʻlovlar","Дебиторская задолженность по финансовой аренде (долгосрочная)"
"uz0930","0930","Long-Term Employee Loans Receivable","asset_non_current","l10n_uz.account_tag_bs_0170","Xodimlarning uzoq muddatli qarzlari","Долгосрочные займы сотрудникам (дебиторская задолженность)"
"uz0940","0940","Other Non-Current Receivables","asset_non_current","l10n_uz.account_tag_bs_0170","Boshqa uzoq muddatli debitorlik qarzlar","Прочая долгосрочная дебиторская задолженность"
"uz0950","0950","Deferred Tax Asset — Temporary Differences","asset_non_current","l10n_uz.account_tag_bs_0200","Vaqtinchalik farqlar boʻyicha kechiktirilgan foyda soligʻi","Отложенный налоговый актив — временные разницы"
"uz0960","0960","Long-Term Deferred Expenses — Discounts","asset_non_current","l10n_uz.account_tag_bs_0270","Diskont (chegirma)lar boʻyicha uzoq muddatli kechiktirilgan xarajatlar","Долгосрочные отложенные расходы — скидки"
"uz0990","0990","Other Non-Current Deferred Expenses","asset_non_current","l10n_uz.account_tag_bs_0270","Boshqa uzoq muddatli kechiktirilgan xarajatlar","Прочие долгосрочные отложенные расходы"
"uz1010","1010","Raw Materials","asset_current","l10n_uz.account_tag_bs_0310","Xom ashyo va materiallar","Сырье и материалы"
"uz1020","1020","Purchased Semi-Finished Goods & Components","asset_current","l10n_uz.account_tag_bs_0310","Sotib olingan yarim tayyor mahsulotlar va butlovchi buyumlar","Приобретенные полуфабрикаты и комплектующие"
"uz1030","1030","Fuel & Lubricants","asset_current","l10n_uz.account_tag_bs_0310","Yoqilgʻilar","Топливо и смазочные материалы"
"uz1040","1040","Spare Parts","asset_current","l10n_uz.account_tag_bs_0310","Ehtiyot qismlar","Запчасти"
"uz1050","1050","Construction Materials","asset_current","l10n_uz.account_tag_bs_0310","Qurilish materiallari","Строительные материалы"
"uz1060","1060","Packaging & Containers","asset_current","l10n_uz.account_tag_bs_0310","Tara","Упаковка и контейнеры"
"uz1070","1070","Materials Sent for External Processing","asset_current","l10n_uz.account_tag_bs_0310","Chetga qayta ishlash uchun berilgan materiallar","Материалы отправлены на внешнюю обработку"
"uz1080","1080","Tools & Small Equipment","asset_current","l10n_uz.account_tag_bs_0310","Inventar va xoʻjalik jihozlari","Инструменты и мелкое оборудование"
"uz1090","1090","Other Materials","asset_current","l10n_uz.account_tag_bs_0310","Boshqa materiallar","Другие материалы"
"uz1110","1110","Animals in Growth (Young Livestock)","asset_current","l10n_uz.account_tag_bs_0320","Oʻstirishdagi hayvonlar","Животные в период роста (молодой скот)"
"uz1120","1120","Animals in Fattening","asset_current","l10n_uz.account_tag_bs_0320","Boʻrdoqidagi hayvonlar","Животные на откорме"
"uz1510","1510","Materials Procurement & Purchase","asset_current","l10n_uz.account_tag_bs_0310","Materiallarni tayyorlash va xarid qilish","Закупка и снабжение материалами"
"uz1610","1610","Materials Cost Variance","asset_current","l10n_uz.account_tag_bs_0310","Materiallar qiymatidagi farqlar","Отклонение стоимости материалов"
"uz2010","2010","Work in Progress — Main Production","asset_current","l10n_uz.account_tag_bs_0310","Asosiy ishlab chiqarish","Учет работы в процессе производства — Основное производство"
"uz2110","2110","Self-Produced Semi-Finished Goods","asset_current","l10n_uz.account_tag_bs_0310","Oʻzida ishlab chiqarilgan yarim tayyor mahsulotlar","Полуфабрикаты собственного производства"
"uz2310","2310","Work in Progress — Auxiliary Production","asset_current","l10n_uz.account_tag_bs_0310","Yordamchi ishlab chiqarish","Учет работы в процессе производства — Вспомогательное производство"
"uz2510","2510","Manufacturing Overhead","asset_current","l10n_uz.account_tag_bs_0310","Umumiy ishlab chiqarish xarajatlari","Производственные накладные расходы"
"uz2610","2610","Defective Production (Scrap & Waste)","asset_current","l10n_uz.account_tag_bs_0310","Ishlab chiqarishdagi yaroqsiz mahsulotlar","Бракованная продукция (брак и отходы)"
"uz2710","2710","Service & Ancillary Operations","asset_current","l10n_uz.account_tag_bs_0310","Xizmat koʻrsatuvchi xoʻjaliklar","Сервисные и вспомогательные операции"
"uz2810","2810","Finished Goods — Warehouse","asset_current","l10n_uz.account_tag_bs_0310","Ombordagi tayyor mahsulotlar","Готовая продукция на складе"
"uz2820","2820","Finished Goods — On Display","asset_current","l10n_uz.account_tag_bs_0310","Koʻrgazmadagi tayyor mahsulotlar","Выставленная готовая продукция"
"uz2830","2830","Finished Goods — Consignment","asset_current","l10n_uz.account_tag_bs_0310","Vositachilik shartnomasi boʻyicha berilgan tayyor mahsulotlar","Готовая продукция, переданная на комиссию"
"uz2910","2910","Goods — Warehouse","asset_current","l10n_uz.account_tag_bs_0310","Ombordagi tovarlar","Товары — Склад"
"uz2920","2920","Goods — Retail","asset_current","l10n_uz.account_tag_bs_0310","Chakana savdodagi tovarlar","Товары — Розничная торговля"
"uz2930","2930","Goods — On Display","asset_current","l10n_uz.account_tag_bs_0310","Koʻrgazmadagi tovarlar","Товары — На витрине"
"uz2940","2940","Goods for Hire","asset_current","l10n_uz.account_tag_bs_0310","Prokatdagi buyumlar","Товары в аренду"
"uz2950","2950","Returnable Containers (Full & Empty)","asset_current","l10n_uz.account_tag_bs_0310","Tovarlar bilan band va boʻsh taralar","Возвратная тара (полная и пустая)"
"uz2960","2960","Goods — Consignment","asset_current","l10n_uz.account_tag_bs_0310","Vositachilik shartnomasi boʻyicha berilgan tovarlar","Товары, переданные на комиссию"
"uz2970","2970","Goods in Transit","asset_current","l10n_uz.account_tag_bs_0310","Yoʻldagi tovarlar","Товары в пути"
"uz2980","2980","Trade Markup Reserve","asset_current","l10n_uz.account_tag_bs_0310","Savdo ustamasi","Резерв торговой наценки"
"uz2990","2990","Other Goods for Resale","asset_current","l10n_uz.account_tag_bs_0310","Boshqa tovarlar","Прочие товары для перепродажи"
"uz3110","3110","Prepaid Operating Lease Payments","asset_prepayments","l10n_uz.account_tag_bs_0360","Oldindan toʻlangan operativ ijara haqi","Предоплаченные платежи по операционной аренде"
"uz3120","3120","Prepaid Service Fees","asset_prepayments","l10n_uz.account_tag_bs_0360","Oldindan toʻlangan xizmat haqi","Предоплаченные сервисные сборы"
"uz3190","3190","Other Prepaid Expenses","asset_prepayments","l10n_uz.account_tag_bs_0360","Boshqa kelgusi davr xarajatlari","Прочие предоплаченные расходы"
"uz3210","3210","Deferred Tax Asset — Current Portion","asset_current","l10n_uz.account_tag_bs_0370","Vaqtinchalik farqlar boʻyicha kechiktirilgan foyda soligʻi","Отложенный налоговый актив — Текущая часть"
"uz3220","3220","Deferred Expenses — Discounts (Current)","asset_current","l10n_uz.account_tag_bs_0440","Diskont (chegirma)lar boʻyicha kechiktirilgan xarajatlar","Отложенные расходы — Скидки (текущие)"
"uz3290","3290","Other Deferred Expenses (Current)","asset_current","l10n_uz.account_tag_bs_0440","Boshqa kechiktirilgan xarajatlar","Прочие отложенные расходы (текущие)"
"uz4010","4010","Trade Receivables — Customers & Clients","asset_receivable","l10n_uz.account_tag_bs_0330","Xaridorlar va buyurtmachilardan olinadigan toʻlovlar","Дебиторская задолженность — Клиенты и заказчики"
"uz4020","4020","Notes Receivable (Current)","asset_current","l10n_uz.account_tag_bs_0330","Olingan veksellar","Векселя к получению (текущие)"
"uz4110","4110","Receivables from Branches","asset_current","l10n_uz.account_tag_bs_0330","Ajratilgan boʻlinmalardan olinadigan toʻlovlar","Дебиторская задолженность от филиалов"
"uz4120","4120","Receivables from Subsidiaries & Associates","asset_current","l10n_uz.account_tag_bs_0330","Shuʼba va qaram xoʻjalik jamiyatlaridan olinadigan toʻlovlar","Дебиторская задолженность от дочерних и ассоциированных компаний"
"uz4210","4210","Salary Advances","asset_current","l10n_uz.account_tag_bs_0330","Ish haqi boʻyicha berilgan boʻnaklar","Авансы по заработной плате"
"uz4220","4220","Travel Advances","asset_current","l10n_uz.account_tag_bs_0330","Xizmat safarlariga berilgan boʻnaklar","Авансы на поездки"
"uz4230","4230","General Business Expense Advances","asset_current","l10n_uz.account_tag_bs_0330","Umumxoʻjalik xarajatlari uchun berilgan boʻnaklar","Авансы на общие деловые расходы"
"uz4290","4290","Other Advances to Employees","asset_current","l10n_uz.account_tag_bs_0330","Xodimlarga berilgan boshqa boʻnaklar","Прочие авансы сотрудникам"
"uz4310","4310","Advances to Suppliers — Inventories","asset_current","l10n_uz.account_tag_bs_0360","Tovar-moddiy zaxiralar uchun mol yetkazib beruvchilar va pudratchilarga berilgan boʻnaklar","Авансы поставщикам — Складские запасы"
"uz4320","4320","Advances to Suppliers — Non-Current Assets","asset_non_current","l10n_uz.account_tag_bs_0360","Uzoq muddatli aktivlar uchun mol yetkazib beruvchilar va pudratchilarga berilgan boʻnaklar","Авансы поставщикам — Долгосрочные активы"
"uz4330","4330","Other Advances Paid","asset_current","l10n_uz.account_tag_bs_0360","Boshqa berilgan boʻnaklar","Другие выплаченные авансы"
"uz4410","4410","Tax Prepayments — By Tax Type","asset_current","l10n_uz.account_tag_bs_0380","Budjetga soliqlar va yigʻimlar boʻyicha boʻnak toʻlovlari (turlari boʻyicha)","Авансовые налоговые платежи — по видам налогов"
"uz4411","4411","VAT Input","asset_current","l10n_uz.account_tag_bs_0380","Kiritilgan QQS","Входной НДС"
"uz4412","4412","VAT Receivable","asset_receivable","l10n_uz.account_tag_bs_0380","Qaytariladigan QQS","НДС к возмещению"
"uz4510","4510","Prepaid Insurance Premiums","asset_current","l10n_uz.account_tag_bs_0360","Sugʻurtalar boʻyicha boʻnak toʻlovlari","Предоплаченные страховые взносы"
"uz4520","4520","Prepaid State Fund Contributions","asset_current","l10n_uz.account_tag_bs_0360","Davlat maqsadli jamgʻarmalariga boʻnak toʻlovlari","Предварительно оплаченные взносы в Государственный фонд"
"uz4610","4610","Unpaid Capital Contributions from Founders","asset_current","l10n_uz.account_tag_bs_0330","Ustav kapitaliga taʼsischilarning ulushlari boʻyicha qarzi","Невыплаченные учредительские взносы"
"uz4710","4710","Employee Receivables — Goods Sold on Credit","asset_current","l10n_uz.account_tag_bs_0330","Kreditga sotilgan tovarlar boʻyicha xodimlarning qarzi","Дебиторская задолженность перед сотрудниками — Товары, проданные в кредит"
"uz4720","4720","Employee Loans Receivable","asset_current","l10n_uz.account_tag_bs_0330","Berilgan qarzlar boʻyicha xodimlarning qarzi","Задолженность по займам для сотрудников"
"uz4730","4730","Employee Receivables — Material Damage Claims","asset_current","l10n_uz.account_tag_bs_0330","Moddiy zararni qoplash boʻyicha xodimlarning qarzi","Дебиторская задолженность перед сотрудниками — Претензии по материальному ущербу"
"uz4790","4790","Other Employee Receivables","asset_current","l10n_uz.account_tag_bs_0330","Xodimlarning boshqa qarzlari","Прочая дебиторская задолженность перед сотрудниками"
"uz4810","4810","Finance Lease Receivables (Current)","asset_receivable","l10n_uz.account_tag_bs_0340","Moliyaviy ijara boʻyicha olinadigan joriy toʻlovlar","Дебиторская задолженность по финансовой аренде (текущая)"
"uz4820","4820","Operating Lease Receivables (Current)","asset_receivable","l10n_uz.account_tag_bs_0340","Operativ ijara boʻyicha olinadigan joriy toʻlovlar","Дебиторская задолженность по операционной аренде (текущая)"
"uz4830","4830","Accrued Interest Receivable","asset_receivable","l10n_uz.account_tag_bs_0330","Olinadigan foizlar","Начисленные проценты к получению"
"uz4840","4840","Dividends Receivable","asset_receivable","l10n_uz.account_tag_bs_0330","Olinadigan dividendlar","Дивиденды к получению"
"uz4850","4850","Royalties Receivable","asset_receivable","l10n_uz.account_tag_bs_0330","Olinadigan royalti","Дебиторская задолженность по роялти"
"uz4860","4860","Claims & Disputes Receivable","asset_receivable","l10n_uz.account_tag_bs_0330","Daʼvolar boʻyicha olinadigan toʻlovlar","Претензии и споры по дебиторской задолженности"
"uz4890","4890","Other Receivables","asset_receivable","l10n_uz.account_tag_bs_0330","Boshqa debitorlik qarzlar","Прочая дебиторская задолженность"
"uz4910","4910","Allowance for Doubtful Accounts","asset_current","l10n_uz.account_tag_bs_0330","Shubhali qarzlar boʻyicha rezerv","Резерв на сомнительные долги"
"uz5010","5010","Cash on Hand — Local Currency","asset_cash","l10n_uz.account_tag_bs_0430","Milliy valyutadagi pul mablagʻlari","Наличные — местная валюта"
"uz5020","5020","Cash on Hand — Foreign Currency","asset_cash","l10n_uz.account_tag_bs_0430","Chet el valyutasidagi pul mablagʻlari","Наличные — иностранная валюта"
"uz5110","5110","Bank Current Account","asset_cash","l10n_uz.account_tag_bs_0430","Hisob-kitob hisobvaragʻi","Текущий банковский счет"
"uz5120","5120","Unidentified payments","asset_cash","l10n_uz.account_tag_bs_0430","Aniqlanmagan to‘lovlar","Счет временного банковского хранения"
"uz5210","5210","Foreign Currency Accounts — Domestic Banks","asset_cash","l10n_uz.account_tag_bs_0430","Mamlakat ichidagi chet el valyutasi hisobvaraqlari","Валютные счета — в национальных банках"
"uz5220","5220","Foreign Currency Accounts — Overseas Banks","asset_cash","l10n_uz.account_tag_bs_0430","Chet eldagi valyuta hisobvaraqlari","Валютные счета — Зарубежные банки"
"uz5510","5510","Letters of Credit","asset_cash","l10n_uz.account_tag_bs_0430","Akkreditivlar","Аккредитивы"
"uz5520","5520","Checkbooks","asset_cash","l10n_uz.account_tag_bs_0430","Chek daftarchalari","Чековые книжки"
"uz5530","5530","Other Special Purpose Bank Accounts","asset_cash","l10n_uz.account_tag_bs_0430","Boshqa maxsus hisobvaraqlar","Другие банковские счета специального назначения"
"uz5610","5610","Cash Equivalents — By Type","asset_cash","l10n_uz.account_tag_bs_0430","Pul ekvivalentlari (turlari boʻyicha)","Денежные эквиваленты — по видам"
"uz5710","5710","Cash in Transit","asset_current","l10n_uz.account_tag_bs_0430","Yoʻldagi pul mablagʻ (oʻtkazma)lari","Инкассаторские перевозки"
"uz5810","5810","Short-Term Securities","asset_current","l10n_uz.account_tag_bs_0390","Qimmatli qogʻozlar","Краткосрочные ценные бумаги"
"uz5830","5830","Short-Term Loans Receivable","asset_current","l10n_uz.account_tag_bs_0390","Berilgan qisqa muddatli qarzlar","Краткосрочные кредиты к получению"
"uz5890","5890","Other Current Investments","asset_current","l10n_uz.account_tag_bs_0420","Boshqa joriy investitsiyalar","Прочие текущие инвестиции"
"uz5910","5910","Shortages & Losses from Asset Impairment","asset_current","l10n_uz.account_tag_bs_0440","Kamomadlar va qiymatliklarning buzilishidan yoʻqotishlar","Недостаток и убытки от обесценения активов"
"uz5920","5920","Other Current Assets","asset_current","l10n_uz.account_tag_bs_0440","Boshqa joriy aktivlar","Прочие текущие активы"
"uz6010","6010","Accounts Payable — Suppliers & Contractors","liability_payable","l10n_uz.account_tag_bs_0810","Mol yetkazib beruvchilar va pudratchilarga toʻlovlar","Кредиторская задолженность — Поставщики и подрядчики"
"uz6020","6020","Notes Payable","liability_current","l10n_uz.account_tag_bs_0810","Berilgan veksellar","Векселя к оплате"
"uz6110","6110","Payables to Branches","liability_current","l10n_uz.account_tag_bs_0810","Ajratilgan boʻlinmalarga toʻlovlar","Кредиторская задолженность перед филиалами"
"uz6120","6120","Payables to Subsidiaries & Associates","liability_current","l10n_uz.account_tag_bs_0810","Shuʼba va qaram xoʻjalik jamiyatlariga toʻlovlar","Кредиторская задолженность перед дочерними и ассоциированными компаниями"
"uz6210","6210","Deferred Revenue — Discounts Received","liability_current","l10n_uz.account_tag_bs_0860","Diskont (chegirma)lar koʻrinishidagi kechiktirilgan daromadlar","Отложенная выручка — полученные скидки"
"uz6220","6220","Deferred Revenue — Premiums Received","liability_current","l10n_uz.account_tag_bs_0860","Mukofot (ustama)lar koʻrinishidagi kechiktirilgan daromadlar","Отложенная выручка — полученные премии"
"uz6230","6230","Other Deferred Revenue (Current)","liability_current","l10n_uz.account_tag_bs_0860","Boshqa kechiktirilgan daromadlar","Прочие отложенные доходы (текущие)"
"uz6240","6240","Deferred Tax & Duty Liabilities (Current)","liability_current","l10n_uz.account_tag_bs_0910","Soliqlar va yigʻimlar boʻyicha kechiktirilgan majburiyatlar","Отложенные налоговые и таможенные обязательства (текущие)"
"uz6250","6250","Deferred Tax Liability — Temporary Differences (Current)","liability_current","l10n_uz.account_tag_bs_0900","Vaqtinchalik farqlar boʻyicha kechiktirilgan foyda soligʻi majburiyatlari","Отложенные налоговые обязательства — Временные разницы (текущие)"
"uz6290","6290","Other Deferred Liabilities (Current)","liability_current","l10n_uz.account_tag_bs_0860","Boshqa kechiktirilgan majburiyatlar","Прочие отложенные обязательства (текущие)"
"uz6310","6310","Advances from Customers & Clients (Current)","liability_current","l10n_uz.account_tag_bs_0830","Xaridorlar va buyurtmachilardan olingan boʻnaklar — joriy qismi","Авансы от клиентов (текущие)"
"uz6320","6320","Advances from Share Subscribers","liability_current","l10n_uz.account_tag_bs_0870","Aksiyaga obunachilardan olingan boʻnaklar","Авансы от подписчиков акций"
"uz6390","6390","Other Advances Received","liability_current","l10n_uz.account_tag_bs_0830","Boshqa olingan boʻnaklar","Другие полученные авансы"
"uz6410","6410","Taxes & Duties Payable — By Tax Type","liability_current","l10n_uz.account_tag_bs_0910","Budjetga toʻlovlar boʻyicha qarzlar (turlari boʻyicha)","Налоги и пошлины к уплате — по видам налогов"
"uz6411","6411","VAT Output","liability_current","l10n_uz.account_tag_bs_0910","Chiqarilgan QQS","Исходящий НДС"
"uz6412","6412","VAT Payable","liability_payable","l10n_uz.account_tag_bs_0910","To‘lanadigan QQS","НДС к уплате"
"uz6510","6510","Insurance Premiums Payable","liability_current","l10n_uz.account_tag_bs_0910","Sugʻurta boʻyicha toʻlovlar","Страховые взносы к уплате"
"uz6520","6520","State Fund Contributions Payable","liability_current","l10n_uz.account_tag_bs_0910","Davlat maqsadli jamgʻarmalariga toʻlovlar","Взносы в государственный фонд к уплате"
"uz6610","6610","Dividends Payable","liability_current","l10n_uz.account_tag_bs_0880","Toʻlanadigan dividendlar","Выплата дивидендов"
"uz6620","6620","Payables to Departing Founders — Share Redemption","liability_current","l10n_uz.account_tag_bs_0950","Chiqib ketayotgan taʼsischilarga ulushlari boʻyicha qarz","Выплаты уходящим основателям — выкуп акций"
"uz6630","6630","Founders' Contributions for Capital Increase","liability_current","l10n_uz.account_tag_bs_0950","Taʼsischilarning ustav kapitalini oshirish boʻyicha ulushlari","Взносы учредителей на увеличение капитала"
