"id","description","invoice_label","name","sequence","amount","amount_type","type_tax_use","price_include","tax_group_id","active","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@it","children_tax_ids","l10n_it_exempt_reason","l10n_it_law_reference","description@it"
"00rcm","","0%","0% G RC","300","0.0","percent","purchase","False","tax_group_fuori","","consu","base","invoice","+03||+vj9","","","0% M CI","","N1","Art. 15 DPR 633/1972",""
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj9","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rcd","22% G Deposit","22%","22% G D","310","22.0","percent","purchase","False","tax_group_iva_22","","consu","base","invoice","+03||+vj3","","","22% M Deposito","","","",""
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rcd","10% G Deposit","10%","10% G D","320","10.0","percent","purchase","False","tax_group_iva_10","","consu","base","invoice","+03||+vj3","","","10% M Deposito","","","",""
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rcd","5% G Deposit","5%","5% G D","330","5.0","percent","purchase","False","tax_group_iva_5","False","consu","base","invoice","+03||+vj3","","","5% M Deposito","","","",""
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"4rcd","4% G Deposit","4%","4% G D","340","4.0","percent","purchase","False","tax_group_iva_4","False","consu","base","invoice","+03||+vj3","","","4% M Deposito","","","",""
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"00rcd","0% G Deposit","0%","0% G D","350","0.0","percent","purchase","False","tax_group_fuori","","service","base","invoice","+03||+vj3","","","0% M Deposito","","N1","Art. 15 DPR 633/1972",""
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22vsp","22% Split Payment pos.","22%","22% SP pos.","360","22.0","percent","none","False","tax_group_iva_22","","","base","invoice","+02||+ve38","","","","","","","22% Scissione dei Pagamenti pos."
"","","","","","","","","","","","","tax","invoice","","2608","","","","","",""
"","","","","","","","","","","","","base","refund","-02||-ve38","","","","","","",""
"","","","","","","","","","","","","tax","refund","","2608","","","","","",""
"22vsp_storno","22% Split Payment neg.","22%","22% SP neg.","360","-22.0","percent","none","False","tax_group_split_payment","","","base","invoice","","","","","","","","22% Scissione dei Pagamenti neg."
"","","","","","","","","","","","","tax","invoice","","2608","","","","","",""
"","","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","","tax","refund","","2608","","","","","",""
"22vsp_group","","22%","22% SP","360","","group","sale","False","tax_group_split_payment","","","","","","","","","22vsp,22vsp_storno","","",""
"10vsp","10% Split Payment pos.","10%","10% SP pos.","360","10.0","percent","none","False","tax_group_iva_10","","","base","invoice","+02||+ve38","","","","","","","10% Scissione dei Pagamenti pos."
"","","","","","","","","","","","","tax","invoice","","2608","","","","","",""
"","","","","","","","","","","","","base","refund","-02||-ve38","","","","","","",""
"","","","","","","","","","","","","tax","refund","","2608","","","","","",""
"10vsp_storno","10% Split Payment neg.","10%","10% SP neg.","360","-10.0","percent","none","False","tax_group_split_payment","","","base","invoice","","","","","","","","10% Scissione dei Pagamenti neg."
"","","","","","","","","","","","","tax","invoice","","2608","","","","","",""
"","","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","","tax","refund","","2608","","","","","",""
"10vsp_group","","10%","10% SP","360","","group","sale","False","tax_group_split_payment","","","","","","","","","10vsp,10vsp_storno","","",""
"5vsp","5% Split Payment pos.","5%","5% SP pos.","360","5.0","percent","none","False","tax_group_iva_5","","","base","invoice","+02||+ve38","","","","","","","5% Scissione dei Pagamenti pos."
"","","","","","","","","","","","","tax","invoice","","2608","","","","","",""
"","","","","","","","","","","","","base","refund","-02||-ve38","","","","","","",""
"","","","","","","","","","","","","tax","refund","","2608","","","","","",""
"5vsp_storno","5% Split Payment neg.","5%","5% SP neg.","360","-5.0","percent","none","False","tax_group_split_payment","","","base","invoice","","","","","","","","5% Scissione dei Pagamenti neg."
"","","","","","","","","","","","","tax","invoice","","2608","","","","","",""
"","","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","","tax","refund","","2608","","","","","",""
"5vsp_group","","5%","5% SP","360","","group","sale","False","tax_group_split_payment","","","","","","","","","5vsp,5vsp_storno","","",""
"4vsp","4% Split Payment pos.","4%","4% SP pos.","360","4.0","percent","none","False","tax_group_iva_4","","","base","invoice","+02||+ve38","","","","","","","4% Scissione dei Pagamenti pos."
"","","","","","","","","","","","","tax","invoice","","2608","","","","","",""
"","","","","","","","","","","","","base","refund","-02||-ve38","","","","","","",""
"","","","","","","","","","","","","tax","refund","","2608","","","","","",""
"4vsp_storno","4% Split Payment neg.","4%","4% SP neg.","360","-4.0","percent","none","False","tax_group_split_payment","","","base","invoice","","","","","","","","4% Scissione dei Pagamenti neg."
"","","","","","","","","","","","","tax","invoice","","2608","","","","","",""
"","","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","","tax","refund","","2608","","","","","",""
"4vsp_group","","4%","4% SP","460","","group","sale","False","tax_group_split_payment","","","","","","","","","4vsp,4vsp_storno","","",""
"0rc_n61","Scrap","0%","0% RC N6.1","500","0.0","percent","sale","False","tax_group_fuori","False","","base","invoice","+02","","","0% IC N6.1","","N6.1","art.74, comma 7-8, D.P.R. 633/1972","Materiali di Scarto"
"","","","","","","","","","","","","tax","invoice","+4v","","","","","","",""
"","","","","","","","","","","","","base","refund","-02","","","","","","",""
"","","","","","","","","","","","","tax","refund","-4v","","","","","","",""
"0rc_n62","Gold","0%","0% RC N6.2","510","0.0","percent","sale","False","tax_group_fuori","False","","base","invoice","+02","","","0% IC N6.2","","N6.2","art.17, comma 5, D.P.R. 633/1972","Oro"
"","","","","","","","","","","","","tax","invoice","+4v","","","","","","",""
"","","","","","","","","","","","","base","refund","-02","","","","","","",""
"","","","","","","","","","","","","tax","refund","-4v","","","","","","",""
"0rc_n62b","Gold Investments","0%","0% RC N6.2b","520","0.0","percent","sale","False","tax_group_fuori","False","","base","invoice","+02","","","0% IC N6.2b","","N6.2","art.17, comma 5, D.P.R. 633/1972","Investimenti in Oro"
"","","","","","","","","","","","","tax","invoice","+4v","","","","","","",""
"","","","","","","","","","","","","base","refund","-02","","","","","","",""
"","","","","","","","","","","","","tax","refund","-4v","","","","","","",""
"0rc_n63","Construction subcontractors","0%","0% RC N6.3","530","0.0","percent","sale","False","tax_group_fuori","False","","base","invoice","+02","","","0% IC N6.3","","N6.3","art.17, comma 6, lett. a, D.P.R. 633/1972","Subappalto Edilizia"
"","","","","","","","","","","","","tax","invoice","+4v","","","","","","",""
"","","","","","","","","","","","","base","refund","-02","","","","","","",""
"","","","","","","","","","","","","tax","refund","-4v","","","","","","",""
"0rc_n64","Investments in construction","0%","0% RC N6.4","540","0.0","percent","sale","False","tax_group_fuori","False","","base","invoice","+02","","","0% IC N6.4","","N6.4","art.17, comma 6, lett. a-bis, D.P.R. 633/1972","Investimenti in Edilizia"
"","","","","","","","","","","","","tax","invoice","+4v","","","","","","",""
"","","","","","","","","","","","","base","refund","-02","","","","","","",""
"","","","","","","","","","","","","tax","refund","-4v","","","","","","",""
"0rc_n65","Cellphones","0%","0% RC N6.5","550","0.0","percent","sale","False","tax_group_fuori","False","","base","invoice","+02","","","0% IC N6.5","","N6.5","art.17, comma 6, lett. b, D.P.R. 633/1972","Cellulari"
"","","","","","","","","","","","","tax","invoice","+4v","","","","","","",""
"","","","","","","","","","","","","base","refund","-02","","","","","","",""
"","","","","","","","","","","","","tax","refund","-4v","","","","","","",""
"0rc_n66","Electronics","0%","0% RC N6.6","560","0.0","percent","sale","False","tax_group_fuori","False","","base","invoice","+02","","","0% IC N6.6","","N6.6","art.17, comma 6, lett. c, D.P.R. 633/1972","Elettronica"
"","","","","","","","","","","","","tax","invoice","+4v","","","","","","",""
"","","","","","","","","","","","","base","refund","-02","","","","","","",""
"","","","","","","","","","","","","tax","refund","-4v","","","","","","",""
"0rc_n67","Construction services","0%","0% RC N6.7","570","0.0","percent","sale","False","tax_group_fuori","True","","base","invoice","+02","","","0% IC N6.7","","N6.7","art 17, comma 6, lett. a-ter, D.P.R. 633/1972","Servizi edilizia"
"","","","","","","","","","","","","tax","invoice","+4v","","","","","","",""
"","","","","","","","","","","","","base","refund","-02","","","","","","",""
"","","","","","","","","","","","","tax","refund","-4v","","","","","","",""
"0rc_n68","Energy","0%","0% RC N6.8","580","0.0","percent","sale","False","tax_group_fuori","False","","base","invoice","+02","","","0% IC N6.8","","N6.8","art.17, comma 6, lett. d-bis, d-ter, d-quater, D.P.R. 633/1972","Energia"
"","","","","","","","","","","","","tax","invoice","+4v","","","","","","",""
"","","","","","","","","","","","","base","refund","-02","","","","","","",""
"","","","","","","","","","","","","tax","refund","-4v","","","","","","",""
"4rc_n61","Scrap","4%","4% RC N6.1","590","4.0","percent","purchase","False","tax_group_iva_4","False","","base","invoice","+03||+vj6","","","4% IC N6.1","","","","Materiali di Scarto"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj6","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"4rc_n62","Gold","4%","4% RC N6.2","600","4.0","percent","purchase","False","tax_group_iva_4","False","","base","invoice","+03||+vj7","","","4% IC N6.2","","","","Oro"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj7","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"4rc_n62b","Investments in gold","4%","4% RC N6.2b","610","4.0","percent","purchase","False","tax_group_iva_4","False","","base","invoice","+03||+vj8","","","4% IC N6.2b","","","","Investimenti in Oro"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj8","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"4rc_n63","Construction subcontractors","4%","4% RC N6.3","620","4.0","percent","purchase","False","tax_group_iva_4","False","","base","invoice","+03||+vj12","","","4% IC N6.3","","","","Subappalto Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj12","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"4rc_n64","Investments in construction","4%","4% RC N6.4","630","4.0","percent","purchase","False","tax_group_iva_4","False","","base","invoice","+03||+vj13","","","4% IC N6.4","","","","Investimenti in Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj13","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"4rc_n65","Cellphones","4%","4% RC N6.5","640","4.0","percent","purchase","False","tax_group_iva_4","False","","base","invoice","+03||+vj14","","","4% IC N6.5","","","","Cellulari"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj14","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"4rc_n66","Electronics","4%","4% RC N6.6","650","4.0","percent","purchase","False","tax_group_iva_4","False","","base","invoice","+03||+vj15","","","4% IC N6.6","","","","Elettronica"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj15","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"4rc_n67","Construction services","4%","4% RC N6.7","660","4.0","percent","purchase","False","tax_group_iva_4","False","","base","invoice","+03||+vj16","","","4% IC N6.7","","","","Servizi Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj16","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"4rc_n68","Energy","4%","4% RC N6.8","670","4.0","percent","purchase","False","tax_group_iva_4","False","","base","invoice","+03||+vj17","","","4% IC N6.8","","","","Energia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj17","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rc_n61","Scrap","5%","5% RC N6.1","680","5.0","percent","purchase","False","tax_group_iva_5","False","","base","invoice","+03||+vj6","","","5% IC N6.1","","","","Materiali di Scarto"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj6","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rc_n62","Gold","5%","5% RC N6.2","690","5.0","percent","purchase","False","tax_group_iva_5","False","","base","invoice","+03||+vj7","","","5% IC N6.2","","","","Oro"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj7","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rc_n62b","Investments in gold","5%","5% RC N6.2b","700","5.0","percent","purchase","False","tax_group_iva_5","False","","base","invoice","+03||+vj8","","","5% IC N6.2b","","","","Investimenti in Oro"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj8","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rc_n63","Construction subcontractors","5%","5% RC N6.3","710","5.0","percent","purchase","False","tax_group_iva_5","False","","base","invoice","+03||+vj12","","","5% IC N6.3","","","","Subappalti Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj12","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rc_n64","Investments in construction","5%","5% RC N6.4","720","5.0","percent","purchase","False","tax_group_iva_5","False","","base","invoice","+03||+vj13","","","5% IC N6.4","","","","Investimenti in Edilizia"
