"id","parent_id","active","name","code","account_type","reconcile","non_trade","tag_ids","depreciation_model_id"
"l10n_bd_113400","l10n_bd_group_113","True","Deposit Others","113400","asset_current","False","","",""
"l10n_bd_114010","l10n_bd_group_114","True","Prepaid Medical Insurance","114010","asset_prepayments","False","","",""
"l10n_bd_114020","l10n_bd_group_114","True","Prepaid Life Insurance","114020","asset_prepayments","False","","",""
"l10n_bd_114030","l10n_bd_group_114","True","Prepaid Office Rent","114030","asset_prepayments","False","","",""
"l10n_bd_114040","l10n_bd_group_114","True","Prepaid Other Insurance","114040","asset_prepayments","False","","",""
"l10n_bd_114050","l10n_bd_group_114","True","Prepaid License Fees","114050","asset_prepayments","False","","",""
"l10n_bd_114060","l10n_bd_group_114","True","Prepaid Maintenance","114060","asset_prepayments","False","","",""
"l10n_bd_114070","l10n_bd_group_114","True","Prepaid Employees Housing","114070","asset_prepayments","False","","",""
"l10n_bd_114090","l10n_bd_group_114","True","Prepaid Consultancy Fees","114090","asset_prepayments","False","","",""
"l10n_bd_114100","l10n_bd_group_114","True","Prepaid Legal Fees","114100","asset_prepayments","False","","",""
"l10n_bd_114110","l10n_bd_group_114","True","Prepaid Sponsorship Fees","114110","asset_prepayments","False","","",""
"l10n_bd_114120","l10n_bd_group_114","True","PrePaid Advertisement Expenses","114120","asset_prepayments","False","","",""
"l10n_bd_114130","l10n_bd_group_114","True","Prepaid Bank Guarantee","114130","asset_prepayments","False","","",""
"l10n_bd_114140","l10n_bd_group_114","True","Prepaid Finance charge for Loans","114140","asset_prepayments","False","","",""
"l10n_bd_114150","l10n_bd_group_114","True","Deferred Expense","114150","asset_prepayments","False","","",""
"l10n_bd_114170","l10n_bd_group_114","True","Advance Income Tax - AIT","114170","asset_current","False","","",""
"l10n_bd_115100","l10n_bd_group_115","True","Raw Materials","115100","asset_current","False","","",""
"l10n_bd_115200","l10n_bd_group_115","True","Work in Progress","115200","asset_current","False","","",""
"l10n_bd_115300","l10n_bd_group_115","True","Finished Goods","115300","asset_current","False","","",""
"l10n_bd_115600","l10n_bd_group_115","True","Handling Difference in Inventory","115600","asset_current","False","","",""
"l10n_bd_121100","l10n_bd_group_121","True","Land","121100","asset_non_current","False","","",""
"l10n_bd_121200","l10n_bd_group_121","True","Plant and Machinery","121200","asset_fixed","False","","","asset_10_year_linear"
"l10n_bd_121300","l10n_bd_group_121","True","Accumulated Depreciation Plant and Machinery","121300","asset_fixed","False","","",""
"l10n_bd_121400","l10n_bd_group_121","True","Furniture and Equipment","121400","asset_fixed","False","","","asset_5_year_linear"
"l10n_bd_121500","l10n_bd_group_121","True","Accumulated Depreciation of Furniture & Office Equipment","121500","asset_fixed","False","","",""
"l10n_bd_121600","l10n_bd_group_121","True","Motor Vehicles","121600","asset_fixed","False","","","asset_10_year_linear"
"l10n_bd_121700","l10n_bd_group_121","True","Accumulated Depreciation of Motor Vehicles","121700","asset_fixed","False","","",""
"l10n_bd_121800","l10n_bd_group_121","True","IT Equipments","121800","asset_fixed","False","","","asset_5_year_linear"
"l10n_bd_121900","l10n_bd_group_121","True","Accumulated Depreciation IT Equipment","121900","asset_fixed","False","","",""
"l10n_bd_122100","l10n_bd_group_122","True","Right of use Asset (IFRS 16)","122100","asset_fixed","False","","","asset_20_year_linear"
"l10n_bd_122200","l10n_bd_group_122","True","Accumulated Depreciation right use asset (IFRS 16)","122200","asset_fixed","False","","",""
"l10n_bd_123100","l10n_bd_group_123","True","Software and ERP System","123100","asset_fixed","False","","","asset_3_year_linear"
"l10n_bd_123200","l10n_bd_group_123","True","Accumulated Amortization Software and ERP System","123200","asset_fixed","False","","",""
"l10n_bd_211010","l10n_bd_group_211","True","Account Payable","211010","liability_payable","True","","",""
"l10n_bd_211020","l10n_bd_group_211","True","VAT Payable","211020","liability_payable","True","True","",""
"l10n_bd_211030","l10n_bd_group_211","True","Credit cards","211030","liability_credit_card","False","","",""
"l10n_bd_211040","l10n_bd_group_211","True","VAT Output","211040","liability_current","False","","",""
"l10n_bd_211050","l10n_bd_group_211","True","Employees Payables","211050","liability_payable","True","","",""
"l10n_bd_211520","l10n_bd_group_211","True","TDS Payable","211520","liability_payable","True","True","",""
"l10n_bd_211530","l10n_bd_group_211","True","VDS Payable","211530","liability_payable","True","True","",""
"l10n_bd_212010","l10n_bd_group_212","True","Accrued - Salaries","212010","liability_current","False","","",""
"l10n_bd_212020","l10n_bd_group_212","True","Accrued - Commissions","212020","liability_current","False","","",""
"l10n_bd_212030","l10n_bd_group_212","True","Accrued-Staff Bonus","212030","liability_current","False","","",""
"l10n_bd_212040","l10n_bd_group_212","True","Accrued Other Personnel Cost","212040","liability_current","False","","",""
"l10n_bd_212050","l10n_bd_group_212","True","Accrued - Sponsorship","212050","liability_current","False","","",""
"l10n_bd_213010","l10n_bd_group_213","True","Accrued - Utilities","213010","liability_current","False","","",""
"l10n_bd_213020","l10n_bd_group_213","True","Accrued - Telephone","213020","liability_current","False","","",""
"l10n_bd_213030","l10n_bd_group_213","True","Accrued - Audit Fees","213030","liability_current","False","","",""
"l10n_bd_213040","l10n_bd_group_213","True","Accrued - Office Rent","213040","liability_current","False","","",""
"l10n_bd_213050","l10n_bd_group_213","True","Accrued Others","213050","liability_current","False","","",""
"l10n_bd_213060","l10n_bd_group_213","True","Accrued Bangladesh Customs","213060","liability_current","False","","",""
"l10n_bd_214010","l10n_bd_group_214","True","Deferred income","214010","liability_current","False","","",""
"l10n_bd_225010","l10n_bd_group_225","True","Leave Tickets Provision","225010","liability_non_current","False","","",""
"l10n_bd_225020","l10n_bd_group_225","True","Leave Days Provision","225020","liability_non_current","False","","",""
"l10n_bd_225030","l10n_bd_group_225","True","End of Service Provision","225030","liability_non_current","False","","",""
"l10n_bd_225040","l10n_bd_group_225","True","Income Tax Provision","225040","liability_non_current","False","","",""
"l10n_bd_300100","l10n_bd_group_3","True","Share Capital","300100","equity","False","","",""
"l10n_bd_300200","l10n_bd_group_3","True","Undistributed Profits/Losses","300200","equity_unaffected","False","","",""
"l10n_bd_300300","l10n_bd_group_3","True","Revenue Reserves","300300","equity","False","","",""
"l10n_bd_400100","l10n_bd_group_4","True","Sale Income","400100","income","False","","",""
"l10n_bd_400200","l10n_bd_group_4","True","Sales of I/C","400200","income","False","","",""
"l10n_bd_400300","l10n_bd_group_4","True","Trade Discount","400300","income","False","","",""
"l10n_bd_500100","l10n_bd_group_5","True","Cost of Goods Sold in Trading","500100","expense_direct_cost","False","","l10n_bd.account_tags_tax_c_cog",""
"l10n_bd_500200","l10n_bd_group_5","True","Cost Of Goods Sold I/C Sales","500200","expense_direct_cost","False","","l10n_bd.account_tags_tax_c_cog",""
"l10n_bd_610010","l10n_bd_group_61","True","Expense Clearing Account","610010","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610020","l10n_bd_group_61","True","Medical Insurance","610020","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610030","l10n_bd_group_61","True","End Of Service Indemnity","610030","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610040","l10n_bd_group_61","True","Sponsorship Fees","610040","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610050","l10n_bd_group_61","True","Basic Salary","610050","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610060","l10n_bd_group_61","True","Housing Allowance","610060","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610070","l10n_bd_group_61","True","Transportation Allowance","610070","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610080","l10n_bd_group_61","True","Leave Ticket","610080","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610090","l10n_bd_group_61","True","Leave Salary","610090","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610100","l10n_bd_group_61","True","Sales Commission","610100","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610110","l10n_bd_group_61","True","Visa Expenses","610110","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610120","l10n_bd_group_61","True","Staff Other Allowances","610120","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610130","l10n_bd_group_61","True","Air tickets","610130","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610140","l10n_bd_group_61","True","Office Rent","610140","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610150","l10n_bd_group_61","True","Warehouse Rent","610150","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610160","l10n_bd_group_61","True","Water & Electricity","610160","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610170","l10n_bd_group_61","True","Other Utility Charges","610170","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610180","l10n_bd_group_61","True","Audit Fees","610180","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610190","l10n_bd_group_61","True","Legal fees","610190","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610200","l10n_bd_group_61","True","Trade License Fees","610200","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610210","l10n_bd_group_61","True","Others - Professional Fees","610210","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610220","l10n_bd_group_61","True","Insurance","610220","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610230","l10n_bd_group_61","True","Previous Year Adjustments Account","610230","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610240","l10n_bd_group_61","True","Other - Advertising Expenses","610240","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610250","l10n_bd_group_61","True","Training","610250","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610260","l10n_bd_group_61","True","Consultancy Fees","610260","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610270","l10n_bd_group_61","True","Telephone","610270","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610280","l10n_bd_group_61","True","Others - Communication","610280","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610290","l10n_bd_group_61","True","Maintenance","610290","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610300","l10n_bd_group_61","True","Security & Guard","610300","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610310","l10n_bd_group_61","True","Cleaning","610310","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610320","l10n_bd_group_61","True","Others - Office Various Expenses","610320","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_610330","l10n_bd_group_61","True","Cash Discount Loss","610330","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_620010","l10n_bd_group_62","True","Advertisement Expenses","620010","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_630010","l10n_bd_group_63","True","Credit Card Charges","630010","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_630020","l10n_bd_group_63","True","Other Bank Charges","630020","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_630030","l10n_bd_group_63","True","Bank Finance & Loan Charges","630030","expense","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_640010","l10n_bd_group_64","True","Income Tax Expense","640010","expense","False","","",""
"l10n_bd_700010","l10n_bd_group_7","True","Gain On Difference Of Exchange","700010","income_other","False","","",""
"l10n_bd_700020","l10n_bd_group_7","True","Cash Difference Gain","700020","income_other","False","","",""
"l10n_bd_700030","l10n_bd_group_7","True","Cash Discount Gain","700030","income_other","False","","",""
"l10n_bd_810100","l10n_bd_group_81","True","Depreciation Plant and Machinery","810100","expense_depreciation","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_810200","l10n_bd_group_81","True","Depreciation Of Furniture & Office Equipment","810200","expense_depreciation","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_810300","l10n_bd_group_81","True","Depreciation Of Motor Vehicles","810300","expense_depreciation","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_810400","l10n_bd_group_81","True","Depreciation Of IT Equipment","810400","expense_depreciation","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_810500","l10n_bd_group_81","True","Depreciation on right of use asset (IFRS 16)","810500","expense_depreciation","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_810600","l10n_bd_group_81","True","Amortization Of Software and ERP System","810600","expense_depreciation","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_820010","l10n_bd_group_82","True","Loss On Fixed Assets Disposal","820010","expense_other","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_820020","l10n_bd_group_82","True","Loss on Difference on Exchange","820020","expense_other","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_820030","l10n_bd_group_82","True","Write Off Receivables & Payables","820030","expense_other","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_820040","l10n_bd_group_82","True","Write Off Inventory","820040","expense_other","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_820050","l10n_bd_group_82","True","Others - Provision & Write off","820050","expense_other","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_820060","l10n_bd_group_82","True","Other Non Operating Expenses","820060","expense_other","False","","l10n_bd.account_tags_tax_c_exp",""
"l10n_bd_820070","l10n_bd_group_82","True","Cash Difference Loss","820070","expense_other","False","","l10n_bd.account_tags_tax_c_exp",""
