id,name,code,country_id:id
port_631,Gotemburgo,631,base.se
port_633,Malmo,633,base.se
port_634,Helsimborg,634,base.se
port_635,Kalmar,635,base.se
port_641,Aarhus,641,base.dk
port_642,Copenhagen,642,base.dk
port_644,Aalborg,644,base.dk
port_645,Odense,645,base.dk
port_651,Oslo,651,base.no
port_653,Stavanger,653,base.no
port_711,Durbam,711,base.za
port_712,Ciudad Del Cabo,712,base.za
port_714,Saldanha,714,base.za
port_715,Port-Elizabeth,715,base.za
port_716,Mossel-Bay,716,base.za
port_717,East-London,717,base.za
port_811,Sidney,811,base.au
port_812,Fremantle,812,base.au
port_814,Adelaida,814,base.au
port_815,Darwin,815,base.au
port_816,Geraldton,816,base.au
port_817,Puerto Cabo Froward,817,base.cl
port_818,Muelle Huachipato,818,base.cl
port_819,Terminal Marítimo Escuadrón,819,base.cl
port_820,Terminal Portuario Terquim,820,base.cl
port_821,Terminal Muelle Mecanizado Esperanza,821,base.cl
port_822,Terminal Marítimo Enaex,822,base.cl
port_823,Terminal Marítimo Oxiquim,823,base.cl
port_824,Paso Buta Mallin,824,base.cl
port_825,Aeródromo La Araucanía,825,base.cl
port_826,Estación De Medición Recinto,826,base.cl
port_827,Terminal Graneles Del Norte,827,base.cl
port_900,Rancho De Naves Y Aeronaves De Transporte Internacional,900,base.cl
port_900_2,Combustibles Y Lubricantes Destinados Al Consumo De Naves Y Aeronaves De Transporte Internacional,900,base.cl
port_901,Arica,901,base.cl
port_902,Iquique,902,base.cl
port_903,Antofagasta,903,base.cl
port_904,Coquimbo,904,base.cl
port_905,Valparaíso,905,base.cl
port_906,San Antonio,906,base.cl
port_907,Talcahuano,907,base.cl
port_908,San Vicente,908,base.cl
port_909,Lirquen,909,base.cl
port_910,Puerto Montt,910,base.cl
port_911,Chacabuco Puerto Aysen,911,base.cl
port_912,Punta Arenas,912,base.cl
port_913,Patillos,913,base.cl
port_914,Tocopilla,914,base.cl
port_915,Mejillones,915,base.cl
port_916,Taltal,916,base.cl
port_917,Chañaral Barquito,917,base.cl
port_918,Caldera,918,base.cl
port_919,Calderilla,919,base.cl
port_920,Huasco Guacolda,920,base.cl
port_921,Quintero,921,base.cl
port_922,Juan Fernandez,922,base.cl
port_923,Constitucion,923,base.cl
port_924,Tome,924,base.cl
port_925,Penco,925,base.cl
port_926,Coronel,926,base.cl
port_927,Lota,927,base.cl
port_928,Lebu,928,base.cl
port_929,Isla De Pascua,929,base.cl
port_930,Corral,930,base.cl
port_931,Ancud,931,base.cl
port_932,Castro,932,base.cl
port_933,Quellón,933,base.cl
port_934,Chaitén,934,base.cl
port_935,Tortel,935,base.cl
port_936,Natales,936,base.cl
port_937,Guarello,937,base.cl
port_938,Puerto Andino,938,base.cl
port_939,Percy,939,base.cl
port_940,Clarencia,940,base.cl
port_941,Gregorio,941,base.cl
port_942,Cabo Negro,942,base.cl
port_943,Puerto Williams,943,base.cl
port_944,Territorio Antártico Chileno,944,base.cl
port_945,Aeropuerto Carriel Sur,945,base.cl
port_946,Guayacan,946,base.cl
port_947,Paso Pehuenche,947,base.cl
port_948,Ventanas,948,base.cl
port_949,Pino Hachado (Liucura),949,base.cl
port_950,Caleta Coloso,950,base.cl
port_951,Aguas Negras,951,base.cl
port_952,Zona Franca Iquique,952,base.cl
port_953,Zona Franca Punta Arenas,953,base.cl
port_954,Río Mayer,954,base.cl
port_955,Río Mosco,955,base.cl
port_956,Visviri,956,base.cl
port_957,Chacalluta,957,base.cl
port_958,Chungará,958,base.cl
port_959,Colchane,959,base.cl
port_960,Abra De Napa,960,base.cl
port_961,Ollague,961,base.cl
port_962,San Pedro De Atacama,962,base.cl
port_963,Socompa,963,base.cl
port_964,San Francisco,964,base.cl
port_965,Los Libertadores,965,base.cl
port_966,Mahuil Malal,966,base.cl
port_967,Cardenal Samore,967,base.cl
port_968,Perez Rosales,968,base.cl
port_969,Futaleufu,969,base.cl
port_970,Palena Carrenleufu,970,base.cl
port_971,Panguipulli,971,base.cl
port_972,Huahum,972,base.cl
port_973,Lago Verde,973,base.cl
port_974,Appeleg,974,base.cl
port_975,Pampa Alta,975,base.cl
port_976,Huemules,976,base.cl
port_977,Chile Chico,977,base.cl
port_978,Baker,978,base.cl
port_979,Dorotea,979,base.cl
port_980,Casas Viejas,980,base.cl
port_981,Monte Aymond,981,base.cl
port_982,San Sebastian,982,base.cl
port_983,Coyhaique Alto,983,base.cl
port_984,Triana,984,base.cl
port_985,Ibañez Palavicini,985,base.cl
port_986,Villa O'Higgins,986,base.cl
port_987,Aerop. Chacalluta,987,base.cl
port_988,Aerop. Diego Aracena,988,base.cl
port_989,Aerop. Cerro Moreno,989,base.cl
port_990,Aerop. El Tepual,990,base.cl
port_991,Aerop. C.I. Del Campo,991,base.cl
port_992,Aerop. A.M. Benitez,992,base.cl
port_993,Aeródromo El Loa,993,base.cl
port_994,Arica-Tacna,994,base.cl
port_995,Arica-La Paz,995,base.cl
port_997,Otros Puertos Chilenos,997,base.cl
port_998,Paso Jama,998,base.cl
port_999,Gnl Mejillones,999,base.cl
