id,code,description
PA020668,PA020668,"Dual-purpose fertilizer: non-food producing plants: fertilizer w/ insecticide or herbicide"
PA020738,PA020738,"Food for farm animals, wild animals, or game"
PA021078,PA021078,"Food producing plants (vegetable / herb / fruit)"
PA028802,PA028802,"Cut flowers"
PA028858,PA028858,"Pesticides - retail sales"
PA029612,PA029612,"Fertilizer: non-food producing plants: includes:  manure / compost / scotts / lime"
PA029613,PA029613,"Peat moss / peat pots"
PA029614,PA029614,"All other seeds including grass seeds  (does not include bird seed)"
PA050500,PA050500,"Works of art"
PA050600,PA050600,"Antiques"
PA100000,PA100000,"Audio products (tapes, cds etc.)"
PA2000000,PA2000000,"Alcohol"
PA200000,PA200000,"Accessories"
PA200522,PA200522,"Containers"
PA200546,PA200546,"Mirrors"
PA2010000,PA2010000,"Alcoholic beverage"
PA2010100,PA2010100,"By the drink - spirits"
PA2010200,PA2010200,"By the drink - beer"
PA2010201,PA2010201,"By the drink - cereal malt beverage"
PA2010300,PA2010300,"By the drink - wine"
PA2010400,PA2010400,"By the drink - hard cider and other flavored beverages"
PA2010500,PA2010500,"By the drink - mixed alcoholic beverage"
PA2020100,PA2020100,"Packaged alcohol - spirits"
PA2020200,PA2020200,"Packaged alcohol - beer"
PA2020201,PA2020201,"Packaged alcohol - cereal malt beverage"
PA2020300,PA2020300,"Packaged alcohol - wine"
PA2020301,PA2020301,"Packaged alcohol - sparkling wine"
PA2020302,PA2020302,"Packaged alcohol - fortified wine"
PA2020400,PA2020400,"Packaged alcohol - hard cider and other flavored beverages"
PA2020500,PA2020500,"Packaged alcohol - mixed alcoholic beverages"
PA300000,PA300000,"Automotive products and supplies"
PA3000100,PA3000100,"Furniture"
PA3000101,PA3000101,"Furniture / mattress (home use)"
PA3000102,PA3000102,"Furniture / box spring (home use)"
PA3000200,PA3000200,"Architectural paint"
PA3000201,PA3000201,"Automotive paint"
PA3000202,PA3000202,"Aerosol paint"
PA3000203,PA3000203,"Marine paint"
PA3000204,PA3000204,"Traffic marking paint"
PA3000205,PA3000205,"Tree marking paint"
PA3000300,PA3000300,"Passenger vehicle tire"
PA3000301,PA3000301,"Commercial truck tire"
PA3000302,PA3000302,"Motorcycle tire"
PA3000303,PA3000303,"Tires not intended for automotive use"
PA3000400,PA3000400,"Lumber - solid wood product"
PA3000401,PA3000401,"Lumber - engineered wood product"
PA300741,PA300741,"Lubricants / includes grease, motor oil, transmission fluid, etc."
PA300742,PA300742,"Hydraulic fluid / includes brake and power steering fluids"
PA300743,PA300743,"Coolant / antifreeze"
PA300800,PA300800,"Automobile sales and lease / automobile sales"
PA300801,PA300801,"Automobile sales and lease / automobile sales / electric vehicle"
PA300802,PA300802,"Automotive / electric vehicle charging station / business purchaser"
PB0000000,PB0000000,"Product / consumer electronics"
PB0010000,PB0010000,"Product / consumer electronics / portable electronics"
PB0010100,PB0010100,"Product / consumer electronics / portable electronics / radios"
PB0010101,PB0010101,"Product / consumer electronics / portable electronics / radios / clock radio"
PB0010102,PB0010102,"Product / consumer electronics / portable electronics / radios / wi-fi internet radio"
PB0010103,PB0010103,"Product / consumer electronics / portable electronics / radios / lamp with embedded radio alarm clock"
PB0010104,PB0010104,"Product / consumer electronics / portable electronics / radios / citizen band (cb) radio"
PB0010105,PB0010105,"Product / consumer electronics / portable electronics / radios / frs or gmrs (walkie-talkies)"
PB0010106,PB0010106,"Product / consumer electronics / portable electronics / radios / personal fm transmitter"
PB0010107,PB0010107,"Product / consumer electronics / portable electronics / radios / portable audio monitor"
PB0010108,PB0010108,"Product / consumer electronics / portable electronics / radios / satellite radio"
PB0010200,PB0010200,"Product / consumer electronics / portable electronics / playback and recording devices"
PB0010201,PB0010201,"Product / consumer electronics / portable electronics / playback and recording devices / portable stereos"
PB0010202,PB0010202,"Product / consumer electronics / portable electronics / playback and recording devices / portable docking stations"
PB0010203,PB0010203,"Product / consumer electronics / portable electronics / playback and recording devices / portable physical media player or recorder"
PB0010204,PB0010204,"Product / consumer electronics / portable electronics / playback and recording devices / portable digital media player"
PB0010205,PB0010205,"Product / consumer electronics / portable electronics / playback and recording devices / headphones"
PB0010206,PB0010206,"Product / consumer electronics / portable electronics / playback and recording devices / amplifier"
PB0010207,PB0010207,"Product / consumer electronics / portable electronics / playback and recording devices / microphone"
PB0010300,PB0010300,"Product / consumer electronics / portable electronics / cameras and photographic equipment"
PB0010301,PB0010301,"Product / consumer electronics / portable electronics / cameras and photographic equipment / camera"
PB0010302,PB0010302,"Product / consumer electronics / portable electronics / cameras and photographic equipment / camera lenses"
PB0010303,PB0010303,"Product / consumer electronics / portable electronics / cameras and photographic equipment / camera flashes"
PB0010304,PB0010304,"Product / consumer electronics / portable electronics / cameras and photographic equipment / video camera"
PB0010305,PB0010305,"Product / consumer electronics / portable electronics / cameras and photographic equipment / webcam"
PB0010306,PB0010306,"Product / consumer electronics / portable electronics / cameras and photographic equipment / portable video monitoring system"
PB0010400,PB0010400,"Product / consumer electronics / portable electronics / portable scanners and printers"
PB0010401,PB0010401,"Product / consumer electronics / portable electronics / portable scanners and printers / portable printer"
PB0010402,PB0010402,"Product / consumer electronics / portable electronics / portable scanners and printers / portable label maker"
PB0010403,PB0010403,"Product / consumer electronics / portable electronics / portable scanners and printers / pen scanner"
PB0010404,PB0010404,"Product / consumer electronics / portable electronics / portable scanners and printers / portable magnetic stripe reader"
PB0010405,PB0010405,"Product / consumer electronics / portable electronics / portable scanners and printers / handheld barcode scanner"
PB0010406,PB0010406,"Product / consumer electronics / portable electronics / portable scanners and printers / portable receipt printer"
PB0010407,PB0010407,"Product / consumer electronics / portable electronics / portable scanners and printers / wave storage device"
PB0010408,PB0010408,"Product / consumer electronics / portable electronics / portable scanners and printers / handheld imager or scanner"
PB0010500,PB0010500,"Product / consumer electronics / portable electronics / personal devices"
PB0010501,PB0010501,"Product / consumer electronics / portable electronics / personal devices / digital photo key chains"
PB0010502,PB0010502,"Product / consumer electronics / portable electronics / personal devices / personal digital assistant (pda)"
PB0010503,PB0010503,"Product / consumer electronics / portable electronics / personal devices / digital picture frame"
PB0010504,PB0010504,"Product / consumer electronics / portable electronics / personal devices / handheld video game system"
PB0010505,PB0010505,"Product / consumer electronics / portable electronics / personal devices / e-book reader"
PB0010506,PB0010506,"Product / consumer electronics / portable electronics / personal devices / electronic calculator"
PB0010507,PB0010507,"Product / consumer electronics / portable electronics / personal devices / electronic dictionary"
PB0010508,PB0010508,"Product / consumer electronics / portable electronics / personal devices / sport or leisure gps"
PB0010509,PB0010509,"Product / consumer electronics / portable electronics / personal devices / odometer"
PB0010510,PB0010510,"Product / consumer electronics / portable electronics / personal devices / white noise machine"
PB0010511,PB0010511,"Product / consumer electronics / portable electronics / personal devices / recreational sonar"
PB0010512,PB0010512,"Product / consumer electronics / portable electronics / personal devices / portable multimedia projector"
PB0010513,PB0010513,"Product / consumer electronics / portable electronics / personal devices / breathalyzer"
PB0010514,PB0010514,"Product / consumer electronics / portable electronics / personal devices / handheld mobile computing device"
PB0010515,PB0010515,"Product / consumer electronics / portable electronics / personal devices / hd antenna"
PB0010516,PB0010516,"Product / consumer electronics / portable electronics / personal devices / satellite receiver, hand-held"
PB040000,PB040000,"Bicycles, tricycles, motorcycles and similar equipment, and parts"
PB040100,PB040100,"Bicycle - wheel diameter >14 inches - costing =>$200"
PB040101,PB040101,"Bicycle - wheel diameter >14 inches - costing <$200"
PB040102,PB040102,"Bicycle - wheel diameter <14 inches - costing =>$200"
PB040103,PB040103,"Bicycle - wheel diameter <14 inches - costing <$200"
PB100000,PB100000,"Books / manuals"
PB100100,PB100100,"Educational"
PB100110,PB100110,"Childrens books and physical media containing similar content"
PB100200,PB100200,"Books / manuals-other"
PB100210,PB100210,"Code books and textbooks for the construction industry"
PB100300,PB100300,"Books / manuals-religious"
PB100400,PB100400,"Books / manuals-bibles, hymnals, prayer books, and text books to church or religious organization"
PB100500,PB100500,"Books/other media published and sold by a 501(c)(3) (us) or qualified charitable (non-us) organization for the purpose of furthering its own mission"
PB100817,PB100817,"Comic books"
PB100818,PB100818,"Puzzle books"
PB100819,PB100819,"Books / coupon or discount book"
PB200000,PB200000,"Boats and boat accessories"
PB200742,PB200742,"Boats"
PB200743,PB200743,"Boat accessories:  seafood harvest supplies"
PB308786,PB308786,"Batteries and accessories"
PB308787,PB308787,"Lead-acid vehicle battery (excludes core charge deposits)"
PB308788,PB308788,"Lead-acid farm tractor battery (excludes core charge deposits)"
PB500000,PB500000,"Checkout bag (any material)"
PB500001,PB500001,"Checkout bag (any material; for use by retailers not passing a bag tax on to customers when wholesaler already collected the bag tax; *see additional code description)"
PB500100,PB500100,"Checkout bag (paper)"
PB500101,PB500101,"Checkout bag (paper; max. capacity 8# (approx. 5.2l); contains min. 20% postconsumer material; is compostable and recyclable; label shows percentage of recycled content)"
PB500102,PB500102,"Checkout bag (paper; min. capacity 1/8th barrel (approx. 14.5l); contains min. 40% postconsumer material and no old growth fiber; is compostable and recyclable; label shows recyclable, % of recycled content, name and location of manufacturer)"
PB500200,PB500200,"Checkout bag (plastic)"
PB500201,PB500201,"Checkout bag (plastic; min. 4 mils thick; for long-term re-use)"
PB500202,PB500202,"Checkout bag (plastic; min. 2.25 mils thick; for long-term re-use; min. capacity 15l; washable/disinfectable; label shows name and location of manufacturer, true statement that bag contains no heavy metals, percentage of postconsumer material, if any)"
PB500300,PB500300,"Checkout bag (cloth)"
PB500301,PB500301,"Checkout bag (cloth; for long-term re-use; min. capacity 15l; washable/disinfectable; label shows name and location of manufacturer, true statement that bag contains no heavy metals, percentage of postconsumer material, if any)"
PC002386,PC002386,"Carpet"
PC010000,PC010000,"Cleaning products"
PC020000,PC020000,"Child car seats & restraints"
PC020595,PC020595,"Clothing and related products / hydration packs"
PC020598,PC020598,"Clothing and related products - youth bicycle helmets"
PC030000,PC030000,"Clothing and related products (business-to-business)"
PC030100,PC030100,"Clothing and related products (business-to-business)-general"
PC030101,PC030101,"Clothing and related products (business-to-business)-aprons - household "
PC030103,PC030103,"Clothing and related products (business-to-business)-athletic supporters"
PC030105,PC030105,"Clothing and related products (business-to-business)-bandanas"
PC030106,PC030106,"Clothing and related products (business-to-business)-bathing suits and caps"
PC030108,PC030108,"Clothing and related products (business-to-business)-belts and suspenders"
PC030109,PC030109,"Clothing and related products (business-to-business)-bibs"
