"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr","fiscal_position_ids","original_tax_ids"
"","","","","","","","","base","refund","","sale_exempt_legal","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_exempt_conv_0","0% CONV","0% (conventionnally exempt)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","sale_exempt_conv","","","0% (exonérées conventionnelles)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","sale_exempt_conv","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_non_impos_0","0% (Other)","0% (other non taxable)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","non_taxed","","","0% (autres non taxables)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","non_taxed","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","","","","0% (exonéré)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
