"id","code","account_type","name","reconcile","non_trade","name@sl"
"gd_acc_040100","040100","asset_fixed","Equipment and spare parts - leasing","False","","Oprema in nadomestni deli - leasing"
"gd_acc_041000","041000","asset_fixed","Small inventory","False","","Drobni inventar"
"gd_acc_043000","043000","asset_fixed","Biological means - perennial plantations","False","","Biološka sredstva - večletni nasadi"
"gd_acc_044000","044000","asset_fixed","Biological means - basic herd","False","","Biološka sredstva - osnovna čreda"
"gd_acc_045000","045000","asset_fixed","Other tangible fixed assets","False","","Druga opredmetena osnovna sredstva"
"gd_acc_045100","045100","asset_fixed","Other tangible fixed assets - leasing","False","","Druga opredmetena osnovna sredstva - leasing"
"gd_acc_046000","046000","asset_fixed","Investments in foreign-owned tangible assets","False","","Vlaganja v opredmetena sredstva v tuji lasti"
"gd_acc_047000","047000","asset_fixed","Equipment and other tangible fixed assets in construction or production","False","","Oprema in druga opredmetena osnovna sredstva v gradnji oziroma izdelavi"
"gd_acc_048000","048000","asset_fixed","Works of art and other objects of cultural and/or historical value that are not depreciated","False","","Umetniška dela in drugi predmeti kulturne in/ali zgodovinske vrednosti, ki se ne amortizirajo"
"gd_acc_050000","050000","asset_fixed","Correction of the value of equipment and spare parts due to depreciation","False","","Popravek vrednosti opreme in nadomestnih delov zaradi amortiziranja"
"gd_acc_050100","050100","asset_fixed","Correction of the value of equipment and spare parts - leasing","False","","Popravek vrednosti opreme in nadomestnih delov - leasing"
"gd_acc_051000","051000","asset_fixed","Adjustment of value of petty inventory due to depreciation","False","","Popravek vrednosti drobnega inventarja zaradi amortiziranja"
"gd_acc_052000","052000","asset_fixed","Depreciation of equipment and spare parts","False","","Oslabitev vrednosti opreme in nadomestnih delov"
"gd_acc_053000","053000","asset_fixed","Correction of the value of biological assets - perennial plantations due to depreciation","False","","Popravek vrednosti bioloških sredstev - večletnih nasadov zaradi amortiziranja"
"gd_acc_054000","054000","asset_fixed","Correction of the value of biological assets - basic herd due to depreciation","False","","Popravek vrednosti bioloških sredstev - osnovne črede zaradi amortiziranja"
"gd_acc_055000","055000","asset_fixed","Correction of the value of other tangible fixed assets due to depreciation","False","","Popravek vrednosti drugih opredmetrenih osnovnih sredstev  zaradi amortiziranja"
"gd_acc_055100","055100","asset_fixed","Correction of the value of other tangible fixed assets - leasing","False","","Popravek vrednosti drugih opredmetrenih osnovnih sredstev - leasing"
"gd_acc_056000","056000","asset_fixed","Correction of the value of investments in tangible fixed assets in foreign ownership","False","","Popravek vrednosti vlaganj v opredmetena osnovna sredstva v tuji lasti"
"gd_acc_058000","058000","asset_fixed","Impairment of the value of biological assets","False","","Oslabitev vrednosti bioloških sredstev"
"gd_acc_059000","059000","asset_fixed","Impairment of value of other tangible fixed assets","False","","Oslabitev vrednosti drugih opredmetenih osnovnih sredstev"
"gd_acc_060000","060000","asset_non_current","Long-term financial investments in shares and shares of organizations in the group, distributed and measured by purchase value","False","","Dolgoročne finančne naložbe v delnice in deleže organizacij v skupini, razporejene in izmerjene po nabavni vrednosti"
"gd_acc_063000","063000","asset_non_current","Long-term financial investments in shares and shares of affiliated organizations and jointly controlled organizations, distributed and measured at cost","False","","Dolgoročne finančne naložbe v delnice in deleže pridruženih organizacij in skupaj obvladovanih organizacij, razporejene in izmerjene po nabavni vrednosti"
"gd_acc_066000","066000","asset_non_current","Long-term financial investments in shares and shares of affiliated organizations and jointly controlled organizations, distributed and measured at cost","False","","Druge dolgoročne finančne naložbe, razporejene in izmerjene po nabavni vrednosti"
"gd_acc_067000","067000","asset_non_current","Other long-term financial investments allocated and measured at fair value through profit or loss","False","","Druge dolgoročne finančne naložbe, razporejene in izmerjene po pošteni vrednosti prek poslovnega izida"
"gd_acc_068000","068000","asset_non_current","Other long-term financial investments, distributed and measured at fair value through capital or own source of funds","False","","Druge dolgoročne finančne naložbe, razporejene in izmerjene po pošteni vrednosti prek kapitala oziroma lastnega vira sredstev"
"gd_acc_069000","069000","asset_non_current","Impairment of the value of long-term financial investments","False","","Oslabitev vrednosti dolgoročnih finančnih naložb"
"gd_acc_070000","070000","asset_non_current","Long-term loans granted under loan agreements to group organisations, including long-term finance lease receivables","False","","Dolgoročna posojila, dana na podlagi posojilnih pogodb organizacijam v skupini, vključno z dolgoročnimi terjatvami iz finančnega najema"
"gd_acc_071000","071000","asset_non_current","Long-term loans granted under loan agreements to associates and jointly controlled entities, including long-term finance lease receivables","False","","Dolgoročna posojila, dana na podlagi posojilnih pogodb pridruženim organizacijam in skupaj obvladovanim organizacijam, vključno z dolgoročnimi terjatvami finančnega najema"
"gd_acc_072000","072000","asset_non_current","Long-term loans to others, including long-term receivables from finance leases","False","","Dolgoročna posojila, dana drugim, vključno z dolgoročnimi terjatvami iz finančnega najema"
"gd_acc_073000","073000","asset_non_current","Long-term loans granted through the repurchase of bonds from group companies","False","","Dolgoročna posojila, dana z odkupom obveznic od družb v skupini"
"gd_acc_074000","074000","asset_non_current","Long-term loans granted through the repurchase of bonds from associates and jointly controlled entities","False","","Dolgoročna posojila, dana z odkupom obveznic od pridruženih organizacij in skupaj obvladovanih organizacij"
"gd_acc_075000","075000","asset_non_current","Long-term loans granted through the repurchase of bonds from others","False","","Dolgoročna posojila, dana z odkupom obveznic od drugih"
"gd_acc_076000","076000","asset_non_current","Long-term receivables for uncalled capital","False","","Dolgoročne terjatve za nevplačani vpoklicani kapital"
"gd_acc_077000","077000","asset_non_current","Other long-term invested assets","False","","Druga dolgoročno vložena sredstva"
"gd_acc_078000","078000","asset_non_current","Long-term deposits granted","False","","Dani dolgoročni depoziti"
"gd_acc_079000","079000","asset_non_current","Impairment of long-term loans granted","False","","Oslabitev vrednosti danih dolgoročnih posojil"
"gd_acc_080000","080000","asset_non_current","Long-term commodity credits granted in the country","False","","Dolgoročni blagovni krediti, dani v državi"
"gd_acc_081000","081000","asset_non_current","Long-term commodity credits granted abroad","False","","Dolgoročni blagovni krediti, dani v tujini"
"gd_acc_082000","082000","asset_non_current","Long-term consumer credit granted","False","","Dani dolgoročni potrošniški krediti"
"gd_acc_083000","083000","asset_non_current","Long-term advances granted","False","","Dani dolgoročni predujmi"
"gd_acc_084000","084000","asset_non_current","Long-term securities given","False","","Dane dolgoročne varščine"
"gd_acc_086000","086000","asset_non_current","Other long-term trade receivables","False","","Druge dolgoročne poslovne terjatve"
"gd_acc_087000","087000","asset_non_current","Long-term trade receivables from group companies","False","","Dolgoročne poslovne terjatve do družb v skupini"
"gd_acc_089000","008900","asset_non_current","Impairment of long-term trade receivables","False","","Oslabitev vrednosti dolgoročnih poslovnih terjatev"
"gd_acc_090000","090000","asset_non_current","Deferred tax assets arising from deductible temporary differences","False","","Odložene terjatve za davek iz odbitnih začasnih razlik"
"gd_acc_091000","091000","asset_non_current","Deferred tax assets arising from unused tax loss carryforwards","False","","Odložene terjatve za davek iz neizrabljenih davčnih izgub, prenesenih v naslednja davčna obdobja"
"gd_acc_091900","091900","asset_non_current","Receivables on own account","False","","Terjatve na lastniškem računu"
"gd_acc_092000","092000","asset_non_current","Deferred tax assets arising from tax credit carry-forwards","False","","Odložene terjatve za davek iz davčnih dobropisov, prenesenih v naslednja davčna obdobja"
"gd_acc_100000","100000","asset_cash","Cash in hand, other than foreign currency","False","","Denarna sredstva v blagajni, razen deviznih"
"gd_acc_100001","100001","asset_cash","Cash","False","","Gotovina"
"gd_acc_101000","101000","asset_cash","Foreign currency in the treasury","False","","Devizna sredstva v blagajni"
"gd_acc_102000","102000","asset_cash","Cheques issued (deductible item)","False","","Izdani čeki (odbitna postavka)"
"gd_acc_103000","103000","asset_cash","Cheques received","False","","Prejeti čeki"
"gd_acc_104000","104000","asset_cash","Risk-free readily callable debt securities","False","","Netvegani takoj udenarljivi dolžniški vrednostni papirji"
"gd_acc_109000","109000","asset_cash","Money on the move","False","","Denar na poti"
"gd_acc_109001","109001","asset_current","Liquidity Transfer","True","","Liquidity Transfer"
"gd_acc_110000","110000","asset_cash","Cash on accounts other than foreign currency","False","","Denarna sredstva na računih, razen deviznih"
"gd_acc_110001","110001","asset_current","Bank","True","","Banka"
"gd_acc_110002","110002","asset_current","Bank suspense account","False","","Bančni prehodni konto"
"gd_acc_110003","110003","asset_current","Outstanding Receipts","True","","Outstanding Receipts"
"gd_acc_110004","110004","asset_current","Outstanding Payments","True","","Outstanding Payments"
"gd_acc_110005","110005","asset_cash","Payments","False","","Plačila"
"gd_acc_110900","110900","asset_cash","Transition account for unallocated payments other than foreign exchange","False","","Prehodni konto za nerazporejena plačila, razen deviznih"
"gd_acc_111000","111000","asset_cash","Short-term deposits or deposits redeemable at sight, excluding foreign currency","False","","Kratkoročni depoziti oziroma depoziti na odpoklic, razen deviznih"
"gd_acc_112000","112000","asset_cash","Foreign currency balances on accounts","False","","Devizna sredstva na računih"
"gd_acc_112900","112900","asset_cash","Transition account for unallocated foreign exchange payments","False","","Prehodni konto za nerazporejena devizna plačila"
"gd_acc_113000","113000","asset_cash","Short-term foreign currency deposits or foreign currency deposits redeemable at call","False","","Kratkoročni devizni depoziti oziroma devizni depoziti na odpoklic"
"gd_acc_114000","114000","asset_cash","Cash in special accounts or for specific purposes","False","","Denarna sredstva na posebnih računih oziroma za posebne namene"
"gd_acc_120000","120000","asset_receivable","Short-term receivables from customers in the country","True","","Kratkoročne terjatve do kupcev v državi"
"gd_acc_121000","121000","asset_receivable","Short-term receivables from customers abroad","True","","Kratkoročne terjatve do kupcev v tujini"
"gd_acc_122000","122000","asset_current","Short-term trade credits granted to customers in the country","False","","Kratkoročni blagovni krediti, dani kupcem v državi"
"gd_acc_123000","123000","asset_current","Short-term trade credits to customers abroad","False","","Kratkoročni blagovni krediti, dani kupcem v tujini"
"gd_acc_124000","124000","asset_current","Short-term consumer credit granted to customers in the country","False","","Kratkoročni potrošniški krediti, dani kupcem v državi"
"gd_acc_125000","125000","asset_receivable","Short-term receivables from members","True","","Kratkoročnet terjatve do članov"
"gd_acc_126000","126000","asset_current","Short-term receivables for unbilled goods and services","False","","Kratkoročne terjatve za nezaračunano blago in storitve"
"gd_acc_127000","127000","asset_current","Short-term trade receivables from group companies","False","","Kratkoročne poslovne terjatve do družb v skupini"
"gd_acc_129000","129000","asset_current","Impairment of short-term trade receivables","False","","Oslabitev vrednosti kratkoročnih terjatev do kupcev"
"gd_acc_130000","130000","asset_current","Short-term advances against property, plant and equipment","False","","Kratkoročni predujmi, dani za opredmetena osnovna sredstva"
"gd_acc_131000","131000","asset_current","Short-term advances made for intangible fixed assets","False","","Kratkoročni predujmi, dani za neopredmetena osnovna sredstva"
"gd_acc_132000","132000","asset_current","Short-term advances against inventories of materials and goods and services not yet rendered","False","","Kratkoročni predujmi, dani za zaloge materiala in blaga ter še ne opravljene storitve"
"gd_acc_133000","133000","asset_receivable","Other short-term advances and overpayments","True","","Drugi dani kratkoročni predujmi in preplačila"
"gd_acc_134000","134000","asset_current","Short-term securities given","False","","Dane kratkoročne varščine"
"gd_acc_139000","139000","asset_current","Impairment of short-term advances, overpayments and securities","False","","Oslabitev vrednosti danih kratkoročnih predujmov, preplačil in varščin"
"gd_acc_140000","140000","asset_current","Short-term receivables from exporters","False","","Kratkoročne terjatve do izvoznikov"
"gd_acc_141000","141000","asset_current","Short-term receivables from imports on foreign account","False","","Kratkoročne terjatve iz uvoza za tuj račun"
"gd_acc_142000","142000","asset_current","Short-term receivables from consignment and consignment sales","False","","Kratkoročne terjatve iz komisijske in konsignacijske prodaje"
"gd_acc_145000","145000","asset_current","Other short-term trade receivables due on foreign account","False","","Druge kratkoročne terjatve iz poslovanja za tuj račun"
"gd_acc_149000","149000","asset_current","Impairment of short-term trade receivables due on foreign account","False","","Oslabitev vrednosti kratkoročnih terjatev iz poslovanja za tuj račun"
"gd_acc_150000","150000","asset_current","Short-term interest receivable","False","","Kratkoročne terjatve za obresti"
"gd_acc_151000","151000","asset_current","Short-term dividend receivable","False","","Kratkoročne terjatve za dividende"
"gd_acc_152000","152000","asset_current","Short-term receivables for other profit sharing","False","","Kratkoročne terjatve za druge deleže v dobičku"
"gd_acc_155000","155000","asset_current","Other short-term receivables related to financial income","False","","Druge kratkoročne terjatve, povezane s finančnimi prihodki"
"gd_acc_159000","159000","asset_current","Impairment of short-term receivables related to financial income","False","","Oslabitev vrednosti kratkoročnih terjatev, povezanih s finančnimi prihodki"
"gd_acc_160000","160000","asset_current","Input VAT - 22% - SLO BL ST","False","","Vstopni DDV - 22% - SLO BL ST"
"gd_acc_160010","160010","asset_current","Input VAT - 9,5% - SLO BL ST","False","","Vstopni DDV - 9,5% - SLO BL ST"
"gd_acc_160020","160020","asset_current","Input VAT - 5% - SLO BL ST","False","","Vstopni DDV - 5% - SLO BL ST"
"gd_acc_160300","160300","asset_current","Input VAT - 22% - 3. svet BL","False","","Vstopni DDV - 22% - 3. svet BL"
"gd_acc_160301","160301","asset_current","Input VAT - 22% - 3. svet ST","False","","Vstopni DDV - 22% - 3. svet ST"
"gd_acc_160310","160310","asset_current","Input VAT - 9,5% - 3. svet BL","False","","Vstopni DDV - 9,5% - 3. svet BL"
"gd_acc_160311","160311","asset_current","Input VAT - 9,5% - 3. svet ST","False","","Vstopni DDV - 9,5% - 3. svet ST"
"gd_acc_160320","160320","asset_current","Input VAT - 5% 3. svet BL in ST","False","","Vstopni DDV - 5% 3. svet BL in ST"
"gd_acc_160400","160400","asset_current","Input VAT - 22% - EU BL","False","","Vstopni DDV - 22% - EU BL"
"gd_acc_160410","160410","asset_current","Input VAT - 9,5% - EU BL","False","","Vstopni DDV - 9,5% - EU BL"
"gd_acc_160420","160420","asset_current","Input VAT - 5% EU BL in ST","False","","Vstopni DDV - 5% EU BL in ST"
"gd_acc_160430","160430","asset_current","Input VAT - 22% - EU ST","False","","Vstopni DDV - 22% - EU ST"
"gd_acc_160440","160440","asset_current","Input VAT - 9,5% - EU ST","False","","Vstopni DDV - 9,5% - EU ST"
"gd_acc_160460","160460","asset_current","Input VAT - 22% - SLO - SO 76.a Article BL ST","False","","Vstopni DDV - 22% - SLO - SO 76.a člen BL ST"
"gd_acc_160470","160470","asset_current","Input VAT - 9.5% - SLO - SO Article 76a BL ST","False","","Vstopni DDV - 9,5% - SLO - SO 76.a člen BL ST"
"gd_acc_160500","160500","asset_current","Input VAT - 8% - SLO BL","False","","Vstopni DDV - 8% - SLO BL"
"gd_acc_160700","160700","asset_current","Input VAT receivable in Slovenia after accounting","False","","Terjatve za vstopni DDV v Sloveniji po obračunu"
"gd_acc_160800","160800","asset_receivable","Claims for the refund of the difference between input and input VAT in Slovenia","True","True","Terjatve za vračilo razlike med vstopnim in obračunanim DDV v Sloveniji"
"gd_acc_161000","161000","asset_current","Short-term receivables for corporation tax, including tax paid abroad","False","","Kratkoročne terjatve za davek od dohodkov pravnih oseb, vključno z davkom, plačanim v tujini"
"gd_acc_161100","161100","asset_current","Short-term debit card receivables","False","","Kratkoročne terjatve iz naslova plačilnih kartic"
"gd_acc_162000","162000","asset_current","Current receivables for income tax on s.p. income, including tax paid abroad","False","","Kratkoročne terjatve zd dohodnino od dohodka iz dejavnosti s.p., vključno z davkom plačanim v tujini"
"gd_acc_164000","164000","asset_current","Other short-term receivables from government and other institutions","False","","Druge kratkoročne terjatve do državnih in drugih inštitucij"
"gd_acc_164100","164100","asset_current","Short-term receivables for gross salary reimbursements","False","","Kratkoročne terjatve za bruto refundirane plače"
"gd_acc_165000","165000","asset_current","Other short-term receivables","False","","Ostale kratkoročne terjatve"
"gd_acc_165100","165100","asset_current","Receivables due from employees in respect of travel advances","False","","Terjatve do zaposlenih iz naslova predujmov za potne stroške"
"gd_acc_165200","165200","asset_current","Receivables from returned goods to suppliers","False","","Terjatve iz naslova vrnjenega blaga dobaviteljem"
"gd_acc_165900","165900","asset_current","Other non-current receivables","False","","Ostale nerazporeje kratkoročne terjatve"
"gd_acc_166000","166000","asset_current","Short-term receivables for VAT refunded to foreigners","False","","Kratkoročne terjatve za DDV, vrnjen tujcem"
"gd_acc_167000","167000","asset_current","Short-term receivables for VAT paid abroad","False","","Kratkoročne terjatve za DDV, plačan v tujini"
"gd_acc_169000","169000","asset_current","Impairment of other current receivables","False","","Oslabitev vrednosti drugih kratkoročnih terjatev"
"gd_acc_170000","170000","asset_current","Short-term investments in shares of group entities, classified and measured at cost","False","","Kratkoročne finančne naložbe v delnice in deleže organizacij v skupini, razporejene in izmerjene po nabavni vrednosti"
"gd_acc_173000","173000","asset_current","Short-term investments in shares of associates and jointly controlled entities, classified and measured at cost","False","","Kratkoročne finančne naložbe v delnice in deleže pridruženih organizacijin skupaj obvladovanih organizacij, razporejene in izmerjene po nabavni vrednosti"
"gd_acc_176000","176000","asset_current","Other short-term investments classified and measured at cost","False","","Druge kratkoročne finančne naložbe, razporejene in izmerjene po nabavni vrednosti"
"gd_acc_177000","177000","asset_current","Other short-term investments designated and measured at fair value through profit or loss","False","","Druge kratkoročne finančne naložbe, razporejene in izmerjene po pošteni vrednosti prek poslovnega izida"
"gd_acc_178000","178000","asset_current","Other short-term investments classified and measured at fair value through equity or own funds","False","","Druge kratkoročne finančne naložbe, razporejene in izmerjene po pošteni vrednosti prek kapitala oziroma lastnega vira sredstev"
"gd_acc_179000","179000","asset_current","Impairment of short-term investments","False","","Oslabitev vrednosti kratkoročnih finančnih naložb"
"gd_acc_180000","180000","asset_current","Short-term loans granted under loan agreements to group organisations","False","","Kratkoročna posojila, dana na podlagi posojilnih pogodb organizacijam v skupini"
"gd_acc_181000","181000","asset_current","Short-term loans granted under loan agreements to associates and jointly controlled entities","False","","Kratkoročna posojila, dana na podlagi posojilnih pogodb pridruženim organizacijam in skupaj obvladovanim družbam"
"gd_acc_182000","182000","asset_current","Short-term loans to others, including short-term receivables from finance leases (leasing)","False","","Kratkoročna posojila, dana drugim, vključno s kratkoročnimi terjatvami iz finančnega najema (leasing)"
"gd_acc_183000","183000","asset_current","Short-term deposits in banks and other financial organizations","False","","Kratkoročni depoziti v bankah in drugih finančnih organizacijah"
"gd_acc_184000","184000","asset_current","Short-term loans granted by buying bonds","False","","Dana kratkoročna posojila z odkupom obveznic"
"gd_acc_185000","185000","asset_current","Bills of exchange received","False","","Prejete menice"
"gd_acc_186000","186000","asset_current","Short-term loans granted with the purchase of other debt securities","False","","Dana kratkoročna posojila z odkupom drugih dolžniških vrednostnih papirjev"
"gd_acc_187000","187000","asset_current","Short-term unpaid called-up capital","False","","Kratkoročno nevplačani vpoklicani kapital"
"gd_acc_189000","189000","asset_current","Short-term unpaid called-up capital","False","","Oslabitev vrednosti kratkoročnih posojil"
"gd_acc_190000","190000","asset_current","Short-term deferred costs or expenses","False","","Kratkoročno odloženi stroški oziroma odhodki"
"gd_acc_190200","190200","asset_current","Subscriptions","False","","Naročnine"
"gd_acc_191000","191000","asset_current","Short-term unbilled revenue","False","","Kratkoročno nezaračunani prihodki"
"gd_acc_192000","192000","asset_current","Valuables","False","","Vrednotnice"
"gd_acc_195000","195000","asset_current","VAT on advances received","True","","DDV od prejetih predujmov"
"gd_acc_210000","210000","liability_current","Liabilities included in disposal groups","False","","Obveznosti, vključene v skupine za odtujitev"
"gd_acc_220000","220000","liability_payable","Short-term liabilities (debts) to suppliers in the country","True","","Kratkoročne obveznosti (dolgovi) do dobaviteljev v državi"
"gd_acc_221000","221000","liability_payable","Short-term liabilities (debts) to suppliers abroad","True","","Kratkoročne obveznosti (dolgovi) do dobaviteljev v tujini"
"gd_acc_222000","222000","liability_current","Short-term commodity credits received in the country","False","","Kratkoročni blagovni krediti, prejeti v državi"
"gd_acc_223000","223000","liability_current","Short-term merchandise credits received abroad","False","","Kratkoročni blagovni krediti, prejeti v tujini"
"gd_acc_224000","224000","liability_current","Short-term liabilities (debts) for unpaid goods and services SLO","False","","Kratkoročne obveznosti (dolgovi) za nezaračunane blago in storitve SLO"
"gd_acc_224100","224100","liability_current","Short-term liabilities (debts) for unbilled goods and services of TUJ","False","","Kratkoročne obveznosti (dolgovi) za nezaračunane blago in storitve TUJ"
"gd_acc_227000","227000","liability_current","Short-term business liabilities to companies in the group","False","","Kratkoročne poslovne obveznosti do družb v skupini"
"gd_acc_230000","230000","liability_payable","Received short-term advances SLO","True","","Prejeti kratkoročni predujmi SLO"
"gd_acc_230100","230100","liability_payable","Received short-term advances FOREIGN","True","","Prejeti kratkoročni predujmi TUJ"
"gd_acc_231000","231000","liability_current","Received short-term securities","False","","Prejete kratkoročne varščine"
"gd_acc_240000","240000","liability_current","Short-term liabilities from exports for a foreign account","False","","Kratkoročne obveznosti iz izvoza za tuj račun"
"gd_acc_241000","241000","liability_current","Short-term liabilities to importers","False","","Kratkoročne obveznosti do uvoznikov"
"gd_acc_242000","242000","liability_current","Short-term liabilities from commission and consignment sales","False","","Kratkoročne obveznosti iz komisijske in konsignacijske prodaje"
"gd_acc_245000","245000","liability_current","Other short-term liabilities from operations for a foreign account","False","","Druge kratkoročne obveznosti iz poslovanja za tuj račun"
"gd_acc_250000","250000","liability_current","Short-term liabilities for accrued and unpaid wages","False","","Kratkoročne obveznosti za vračunane in neobračunane plače"
"gd_acc_251000","251000","liability_current","Short-term liabilities for net wages and salary compensation","False","","Kratkoročne obveznosti za neto plače in nadomestila plač"
"gd_acc_252000","252000","liability_current","Short-term liabilities for social security contributions by types of contributions","False","","Kratkoročne obveznosti za prispevke za socialno varnost po vrstah prispevkov"
"gd_acc_253000","253000","liability_current","Short-term liabilities for contributions from gross wages and salary compensation","False","","Kratkoročne obveznosti za prispevke iz bruto plač in nadomestil plač"
"gd_acc_253042","253042","liability_current","Obligations for employment contributions. from the gross salary","False","","Obveznosti za prispevke za zaposl. iz bruto plače"
"gd_acc_253043","253043","liability_current","Contribution obligations for the parent. var. from the gross salary","False","","Obveznosti za prispevke za starš. var. iz bruto plače"
"gd_acc_253044","253044","liability_current","Obligations for ZPIZ contributions from gross salary","False","","Obveznosti za prispevke ZPIZ iz bruto plače"
"gd_acc_253045","253045","liability_current","Obligations for ZZZS contributions from gross salary","False","","Obveznosti za prispevke ZZZS iz bruto plače"
"gd_acc_254000","254000","liability_current","Short-term liabilities for taxes from gross wages and salary compensation - income tax","False","","Kratkoročne obveznosti za davke iz bruto plač in nadomestil plač - dohodnina"
"gd_acc_255000","255000","liability_current","Short-term liabilities for other employment benefits","False","","Kratkoročne obveznosti za druge prejemke iz delovnega razmerja"
"gd_acc_255100","255100","liability_current","Obligations to employees for cash material costs","False","","Obveznosti do zaposlenih za gotovinske materialne stroške"
"gd_acc_255200","255200","liability_current","Short-term liabilities to employees for travel expenses","False","","Kratkoročne obveznosti do zaposlenih za potne stroške"
"gd_acc_255300","255300","liability_current","Short-term liabilities to employees for food allowance","False","","Kratkoročne obveznosti do zaposlenih za nadomestilo za prehrano"
"gd_acc_255400","255400","liability_current","Short-term liabilities to employees for reimbursement of transportation costs to work","False","","Kratkoročne obveznosti do zaposlenih za povračilo stroškov prevoza na delo"
"gd_acc_255500","255500","liability_current","Short-term liabilities for holiday pay","False","","Kratkoročne obveznosti za regres"
"gd_acc_255600","255600","liability_current","Short-term liabilities for severance pay","False","","Kratkoročne obveznosti za odpravnino"
"gd_acc_256000","256000","liability_current","Short-term liabilities for contributions from other benefits from the employment relationship that are not calculated together with wages","False","","Kratkoročne obveznosti za prispevke iz drugih prejemkov iz delovnega razmerja, ki se ne obračunavajo skupaj s plačami"
"gd_acc_257000","257000","liability_current","Short-term tax liabilities from other employment benefits that are not calculated together with wages","False","","Kratkoročne obveznosti za davek iz drugih prejemkov iz delovnega razmerja, ki se ne obračunavajo skupaj s plačami"
"gd_acc_258000","258000","liability_current","Obligations for the payer's contributions","False","","Obveznosti za prispevke izplačevalca"
"gd_acc_258042","258042","liability_current","Obligations for employment contributions. on gross salary","False","","Obveznosti za prispevke za zaposl. na bruto plačo"
"gd_acc_258043","258043","liability_current","Contribution obligations for the parent. var. on gross salary","False","","Obveznosti za prispevke za starš. var. na bruto plačo"
"gd_acc_258044","258044","liability_current","Obligations for ZPIZ contributions on gross salary","False","","Obveznosti za prispevke ZPIZ na bruto plačo"
"gd_acc_258045","258045","liability_current","Obligations for ZZZS contributions on gross salary","False","","Obveznosti za prispevke ZZZS na bruto plačo"
"gd_acc_260000","260000","liability_current","Output VAT - 22% - SLO BL ST","False","","Izstopni DDV - 22% - SLO BL ST"
"gd_acc_260010","260010","liability_current","Output VAT - 9,5% - SLO BL ST","False","","Izstopni DDV - 9,5% - SLO BL ST"
"gd_acc_260020","260020","liability_current","Output VAT - 5% - SLO BL ST","False","","Izstopni DDV - 5% - SLO BL ST"
