"id","code_prefix_start","name","name@sl"
"gd_acc_group_2","2","Short-term liabilities (debt) and short-term accrued and deferred income","Kratkoročne obveznosti (dolg) in kratkoročne pasivne časovne razmejitve"
"gd_acc_group_21","21","Liabilities included in disposal groups","Obveznosti, vključene v skupine za odtujitev"
"gd_acc_group_22","22","Short-term liabilities (debts) to suppliers","Kratkoročne obveznosti (dolgovi) do dobaviteljev"
"gd_acc_group_23","23","Short-term advances and securities received","Prejeti kratkoročni predujmi in varščine"
"gd_acc_group_24","24","Short-term operating liabilities for a foreign account","Kratkoročne poslovne obveznosti za tuj račun"
"gd_acc_group_25","25","Short-term wage liabilities","Kratkoročne obveznosti iz plač"
"gd_acc_group_26","26","Liabilities to state and other institutions","Obveznosti do države in drugih institucij"
"gd_acc_group_27","27","Short-term financial liabilities","Kratkoročne finančne obveznosti"
"gd_acc_group_28","28","Other current liabilities","Druge kratkoročne obveznosti"
"gd_acc_group_29","29","Shorthand passive time relations","Stenografske pasivne časovne relacije"
"gd_acc_group_3","3","Stocks of raw materials","Zaloge surovin"
"gd_acc_group_30","30","Accounting for the purchase of raw materials and supplies (including small inventory and packaging)","Obračun nabave surovin in materiala (vključno z drobnim inventarjem in embalažo)"
"gd_acc_group_31","31","Inventories of raw materials and supplies","Zaloge surovin in materiala"
"gd_acc_group_32","32","Stocks of small inventory and packaging","Zaloge drobnega inventarja in embalaže"
"gd_acc_group_4","4","Costs","Stroški"
"gd_acc_group_40","40","Material costs","Materialni stroški"
"gd_acc_group_41","41","Cost of service","Stroški storitve"
"gd_acc_group_43","43","Depreciation","Amortizacija"
"gd_acc_group_44","44","Reservations","Rezervacije"
"gd_acc_group_45","45","Interest costs","Stroški obresti"
"gd_acc_group_47","47","Labor costs","Stroški dela"
"gd_acc_group_48","48","Other costs","Drugi stroški"
"gd_acc_group_49","49","Cost transfer","Prenos stroškov"
"gd_acc_group_6","6","Inventories of products, services, goods and non-current assets (disposal groups) for sale","Zaloge proizvodov, storitev, blaga in nekratkoročnih sredstev (skupine za odtujitev) za prodajo"
"gd_acc_group_60","60","Work in progress and services","Nedokončana dela in storitve"
"gd_acc_group_61","61","Stocks of crops (harvested) from biological assets","Zaloge pridelkov (pospravljenih) iz bioloških sredstev"
"gd_acc_group_63","63","Products","Izdelki"
"gd_acc_group_65","65","Accounting for the purchase of goods","Računovodstvo nabave blaga"
"gd_acc_group_66","66","Stocks of goods","Zaloge blaga"
"gd_acc_group_67","67","Non-current assets (disposal groups) for sale","Nekratkoročna sredstva (skupine za odtujitev) za prodajo"
"gd_acc_group_7","7","Expenses and revenues","Odhodki in prihodki"
"gd_acc_group_70","70","Operating expenses (I. version of the income statement)","Poslovni odhodki (I. različica izkaza poslovnega izida)"
"gd_acc_group_71","71","Operating expenses (II. Version of the income statement)","Poslovni odhodki (II. verzija izkaza poslovnega izida)"
"gd_acc_group_72","72","Revaluation operating expenses","Prevrednotovalni poslovni odhodki"
"gd_acc_group_74","74","Financial expenses","Finančni odhodki"
"gd_acc_group_75","75","Other expenses","Drugi stroški"
"gd_acc_group_76","76","Business income","Poslovni prihodki"
"gd_acc_group_77","77","Financial income","Finančni prihodki"
"gd_acc_group_78","78","Other incomes","Drugi dohodki"
"gd_acc_group_79","79","Capitalize own products and own services","Kapitalizirajte lastne izdelke in lastne storitve"
"gd_acc_group_8","8","Profit or loss","Dobiček ali izguba"
"gd_acc_group_80","80","Profit or loss before tax","Dobiček ali izguba pred obdavčitvijo"
"gd_acc_group_81","81","Distribution of profit and / or total surplus revenue","Delitev dobička in/ali celotnega presežka prihodkov"
"gd_acc_group_82","82","Allocation of net profit for the financial year or net surplus of revenues","Razporeditev čistega dobička poslovnega leta oziroma čistega presežka prihodkov"
"gd_acc_group_89","89","Net loss or net surplus of expenses and transfer of net loss or net surplus of expenses","Čista izguba oziroma čisti presežek odhodkov in prenos čiste izgube oziroma čistega presežka odhodkov"
"gd_acc_group_9","9","Capital, long-term liabilities (debt) and long-term provisions","Kapital, dolgoročne obveznosti (dolg) in dolgoročne rezervacije"
"gd_acc_group_90","90","Called-up and initial capital and founding deposits","Vpoklicani in ustanovni kapital ter ustanovitveni vlogi"
"gd_acc_group_91","91","Capital reserves and transfers of funds","Kapitalske rezerve in prenosi sredstev"
"gd_acc_group_92","92","Profit reserves or allocated net surplus of revenues","Rezerve iz dobička oziroma razporejeni čisti presežek prihodkov"
"gd_acc_group_93","93","Net profit or net loss or unallocated net surplus of revenues or net surplus of expenses","Čisti dobiček ali čista izguba ali nerazporejeni čisti presežek prihodkov ali čisti presežek odhodkov"
"gd_acc_group_94","94","Revaluation reserves","Revalorizacijske rezerve"
"gd_acc_group_95","95","Reserves arising from fair value measurement","Rezervacije iz naslova merjenja poštene vrednosti"
"gd_acc_group_96","96","Provisions and long-term accrued costs and deferred revenue","Rezervacije in dolgoročne pasivne časovne razmejitve"
"gd_acc_group_97","97","Long-term financial liabilities","Dolgoročne finančne obveznosti"
"gd_acc_group_98","98","Long-term operating liabilities","Dolgoročne poslovne obveznosti"
"gd_acc_group_99","99","Off-balance sheet accounts","Zunajbilančni računi"
