id,chart_template_id:id,code,name,account_type,reconcile
au_53000,l10n_au.l10n_au_chart_template,53000,Consignment Cost of Sales,expense_direct_cost,FALSE
au_54000,l10n_au.l10n_au_chart_template,54000,Wages for Production Labour,expense_direct_cost,FALSE
au_55000,l10n_au.l10n_au_chart_template,55000,Materials & Supplies,expense_direct_cost,FALSE
au_56000,l10n_au.l10n_au_chart_template,56000,Freight,expense_direct_cost,FALSE
au_57000,l10n_au.l10n_au_chart_template,57000,Other Costs,expense_direct_cost,FALSE
au_61000,l10n_au.l10n_au_chart_template,61000,Advertising,expense,FALSE
au_61200,l10n_au.l10n_au_chart_template,61200,Car & Truck Expenses,expense,FALSE
au_61300,l10n_au.l10n_au_chart_template,61300,Commissions Paid,expense,FALSE
au_61500,l10n_au.l10n_au_chart_template,61500,Depreciation Expense,expense_depreciation,FALSE
au_61610,l10n_au.l10n_au_chart_template,61610,Discounts Given,expense,FALSE
au_61620,l10n_au.l10n_au_chart_template,61620,Discounts Taken,expense,FALSE
au_61630,l10n_au.l10n_au_chart_template,61630,Exchange Rate Loss,expense,FALSE
au_61640,l10n_au.l10n_au_chart_template,61640,Exchange Rate Gain,income,FALSE
au_61700,l10n_au.l10n_au_chart_template,61700,Freight Paid,expense,FALSE
au_61800,l10n_au.l10n_au_chart_template,61800,Insurance,expense,FALSE
au_61910,l10n_au.l10n_au_chart_template,61910,Overdraft Interest,expense,FALSE
au_61920,l10n_au.l10n_au_chart_template,61920,Mortgage Interest,expense,FALSE
au_61930,l10n_au.l10n_au_chart_template,61930,Other Interest,expense,FALSE
au_62000,l10n_au.l10n_au_chart_template,62000,Late Fees Paid,expense,FALSE
au_62110,l10n_au.l10n_au_chart_template,62110,Machinery & Equipment,expense,FALSE
au_62120,l10n_au.l10n_au_chart_template,62120,Other Business Property,expense,FALSE
au_62200,l10n_au.l10n_au_chart_template,62200,Legal & Professional Services,expense,FALSE
au_62300,l10n_au.l10n_au_chart_template,62300,Office Expenses,expense,FALSE
au_62410,l10n_au.l10n_au_chart_template,62410,Staff Amenities,expense,FALSE
au_62420,l10n_au.l10n_au_chart_template,62420,Superannuation,expense,FALSE
au_62430,l10n_au.l10n_au_chart_template,62430,Wages & Salaries,expense,FALSE
au_62440,l10n_au.l10n_au_chart_template,62440,Workers' Compensation,expense,FALSE
au_62450,l10n_au.l10n_au_chart_template,62450,Other Employer Expenses,expense,FALSE
au_62500,l10n_au.l10n_au_chart_template,62500,Repairs,expense,FALSE
au_62550,l10n_au.l10n_au_chart_template,62550,Shrinkage/Spoilage,expense,FALSE
au_62600,l10n_au.l10n_au_chart_template,62600,Supplies,expense,FALSE
au_62700,l10n_au.l10n_au_chart_template,62700,Taxes,expense,FALSE
au_62800,l10n_au.l10n_au_chart_template,62800,Telephone,expense,FALSE
au_62910,l10n_au.l10n_au_chart_template,62910,Gas,expense,FALSE
au_62920,l10n_au.l10n_au_chart_template,62920,Electricity,expense,FALSE
au_62930,l10n_au.l10n_au_chart_template,62930,Water,expense,FALSE
au_63110,l10n_au.l10n_au_chart_template,63110,Travel,expense,FALSE
au_63120,l10n_au.l10n_au_chart_template,63120,Meals & Entertainment,expense,FALSE
au_81000,l10n_au.l10n_au_chart_template,81000,Interest Income,income_other,FALSE
au_91000,l10n_au.l10n_au_chart_template,91000,Interest Expense,expense,FALSE
au_92000,l10n_au.l10n_au_chart_template,92000,Income Tax Expense,expense,FALSE
