"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@el","description@tr","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"VAT_P_OUT_EU_G","24","VAT rate for goods purchased from outside the EU","0% OEU","0% OEU","0.0","percent","purchase","tax_group_0","100","base","invoice","7","","Συντελεστής ΦΠΑ για αγαθά που αγοράζονται από χώρες εκτός ΕΕ","AB dışından satın alınan mallar için KDV oranı","fiscal_position_cy_abroad","VAT_P_IN_CY_3_G,VAT_P_IN_CY_9_G,VAT_P_IN_CY_19_G,VAT_P_IN_CY_5_G",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"VAT_P_OUT_EU_S","25","VAT rate for services purchased from outside the EU","19% OEU","19% OEU","19.0","percent","purchase","tax_group_19","100","base","invoice","6rc||7","","Συντελεστής ΦΠΑ για υπηρεσίες που αγοράζονται εκτός ΕΕ","AB dışından satın alınan hizmetler için KDV oranı","fiscal_position_cy_abroad","VAT_P_IN_CY_9_S,VAT_P_IN_CY_5_S,VAT_P_IN_CY_3_S,VAT_P_IN_CY_19_S",""
"","","","","","","","","","100","tax","invoice","4","cy_2204","","","","",""
"","","","","","","","","","-100","tax","invoice","1","cy_2204","","","","",""
"","","","","","","","","","100","base","refund","6rc||7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2203","","","","",""
"","","","","","","","","","-100","tax","refund","1","cy_2203","","","","",""
"VAT_S_IN_EU_0_G_ES","26","VAT rate for sales of goods in EU","0% EU","0% EU","0.0","percent","sale","tax_group_0","100","base","invoice","6||8A","","Συντελεστής ΦΠΑ για πωλήσεις αγαθών στην ΕΕ","AB'de mal satışlarında KDV oranı","fiscal_position_cy_eu","VAT_S_IN_CY_19_G,VAT_S_IN_CY_3_G,VAT_S_IN_CY_5_G,VAT_S_IN_CY_9_G","Exempt intra-community supplies - Article 138 of the Directive 2006/112/EC"
"","","","","","","","","","100","tax","invoice","","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6||8A","","","","","",""
"","","","","","","","","","100","tax","refund","","cy_2201","","","","",""
"VAT_P_IN_EU_19_G_ES","27","VAT rate for purchases of goods in EU","19% EU","19% EU","19.0","percent","purchase","tax_group_19","100","base","invoice","7||11A","","Συντελεστής ΦΠΑ για αγορές αγαθών εντός ΕΕ","AB dahilinde mal alımlarında KDV oranı","fiscal_position_cy_eu","VAT_P_IN_CY_19_G,VAT_P_IN_CY_3_G,VAT_P_IN_CY_5_G,VAT_P_IN_CY_9_G",""
"","","","","","","","","","100","tax","invoice","2||4","cy_2202","","","","",""
"","","","","","","","","","-100","tax","invoice","","cy_2203","","","","",""
"","","","","","","","","","100","base","refund","7||11A","","","","","",""
"","","","","","","","","","100","tax","refund","2||4","cy_2202","","","","",""
"","","","","","","","","","-100","tax","refund","","cy_2203","","","","",""
"VAT_S_IN_EU_0_S_ESSS","30","VAT rate for sales of services in EU","0% EU S","0% EU S","0.0","percent","sale","tax_group_0","100","base","invoice","6||8B","","Συντελεστής ΦΠΑ για πωλήσεις υπηρεσιών στην ΕE","AB'de hizmet satışlarında KDV oranı","fiscal_position_cy_eu","VAT_S_IN_CY_19_S,VAT_S_IN_CY_3_S,VAT_S_IN_CY_5_S,VAT_S_IN_CY_9_S","VAT Reverse charge - Article 196 of the Directive 2006/112/EC"
"","","","","","","","","","100","tax","invoice","","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6||8B","","","","","",""
"","","","","","","","","","100","tax","refund","","cy_2201","","","","",""
"VAT_P_IN_EU_19_S_ESSS","31","VAT rate for purchases of services in EU","19% EU S","19% EU S","19.0","percent","purchase","tax_group_19","100","base","invoice","7||11B","","Συντελεστής ΦΠΑ για αγορές υπηρεσιών στην ΕE","AB'de hizmet satın alımlarında KDV oranı","fiscal_position_cy_eu","VAT_P_IN_CY_19_S,VAT_P_IN_CY_3_S,VAT_P_IN_CY_5_S,VAT_P_IN_CY_9_S",""
"","","","","","","","","","100","tax","invoice","4","cy_2204","","","","",""
"","","","","","","","","","-100","tax","invoice","1","cy_2203","","","","",""
"","","","","","","","","","100","base","refund","7||11B","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2203","","","","",""
"","","","","","","","","","-100","tax","refund","1","cy_2203","","","","",""
