"id","name","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","tax_scope","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@pl"
"vz_unia_triangular","0% EU T 2","0% EU T 2nd Payer","0%","0.0","percent","purchase","","tax_group_vat_0","consu","False","base","invoice","+K_11||+Triangular Purchase","","","0% EU T 2"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_11||-Triangular Purchase","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_unia","23% EU G","","23%","23.0","percent","purchase","","tax_group_vat_0","consu","","base","invoice","+K_42||+K_23","","","23% EU T"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020400","",""
"","","","","","","","","","","","tax","invoice","-K_24","chart22030400","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_23","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020400","",""
"","","","","","","","","","","","tax","refund","+K_24","chart22030400","-100",""
"vs_dostu","0% EU S","","0%","0.0","percent","sale","","tax_group_vat_0","service","","base","invoice","+K_12","","","0% EU U"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_12","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_nabu","23% EU S","","23%","23.0","percent","purchase","","tax_group_vat_0","service","","base","invoice","+K_42||+K_29","","","23% EU S"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020400","",""
"","","","","","","","","","","","tax","invoice","-K_30","chart22030400","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_29","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020400","",""
"","","","","","","","","","","","tax","refund","+K_30","chart22030400","-100",""
"vs_eksp_tow","0% EX G","","0%","0.0","percent","sale","","tax_group_vat_0","consu","","base","invoice","+K_22","","","0% EX T"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_22","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_imp_tow","23% EX G","","23%","23.0","percent","purchase","","tax_group_vat_0","consu","","base","invoice","+K_42||+K_25","","","23% EX T"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020400","",""
"","","","","","","","","","","","tax","invoice","-K_26","chart22030400","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_25","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020400","",""
"","","","","","","","","","","","tax","refund","+K_26","chart22030400","-100",""
"vs_ekspu","0% EX S","","0%","0.0","percent","sale","","tax_group_vat_0","service","","base","invoice","+K_11","","","0% EX U"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_11","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_impu","23% EX S","","23%","23.0","percent","purchase","","tax_group_vat_0","service","","base","invoice","+K_42||+K_27","","","23% EX U"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020400","",""
"","","","","","","","","","","","tax","invoice","-K_28","chart22030400","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_27","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020400","",""
"","","","","","","","","","","","tax","refund","+K_28","chart22030400","-100",""
