id,description,invoice_label,name,sequence,amount,amount_type,type_tax_use,tax_group_id,active,tax_scope,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent,children_tax_ids,invoice_legal_notes,price_include_override,fiscal_position_ids,original_tax_ids,tax_exigibility,cash_basis_transition_account_id,include_base_amount,l10n_it_exempt_reason,l10n_it_withholding_type,l10n_it_withholding_reason,l10n_it_pension_fund_type,name@it,description@it
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
00as,"",0%,0% S,170,0.0,percent,purchase,tax_group_fuori,"",service,base,invoice,+03,"","","",Art. 15 DPR 633/1972,"","intra_private,it","","","","",N1,"","","",0% S,""
"","","","","","","","","","","",tax,invoice,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"","","","","","","","","","","","","","","","",""
00eu,"",0%,0% EU,180,0.0,percent,sale,tax_group_fuori,"","",base,invoice,+02,"","","","Art. 41, DL 331/93","",intra,"22v,4v,10v,5v,00v","","","",N3.2,"","","",0% EU,""
"","","","","","","","","","","",tax,invoice,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"","","","","","","","","","","","","","","","",""
00ex,"",0%,0% EX,185,0.0,percent,sale,tax_group_fuori,"","",base,invoice,"","","","",Fuori dall'Unione Europea,"",extra,"22v,4v,10v,5v,00v","","","",N2.2,"","","",0% EX,""
"","","","","","","","","","","",tax,invoice,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"","","","","","","","","","","","","","","","",""
00art15v,"",0%,0% Art.15,190,0.0,percent,sale,tax_group_imp_esc_art_15,"","",base,invoice,+02,"","","",Art. 15 DPR 633/1972,"","it,intra_private","","","","",N1,"","","",0% Art.15,""
"","","","","","","","","","","",tax,invoice,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"","","","","","","","","","","","","","","","",""
00art15a,"",00art15a,0% Art.15,200,0.0,percent,purchase,tax_group_imp_esc_art_15,"","",base,invoice,+03,"","","",Art. 15 DPR 633/1972,"","it,intra_private","","","","",N1,"","","",0% Art.15,""
"","","","","","","","","","","",tax,invoice,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"","","","","","","","","","","","","","","","",""
22rcs,"",22%,22% S RC,210,22.0,percent,purchase,tax_group_iva_22,"",service,base,invoice,+03||+vj3,"","","","","",intra,22as,"","","","","","","",22% S IC,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rcs,"",10%,10% S RC,220,10.0,percent,purchase,tax_group_iva_10,"",service,base,invoice,+03||+vj3,"","","","","",intra,10as,"","","","","","","",10% S IC,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rcs,"",5%,5% S RC,230,5.0,percent,purchase,tax_group_iva_5,False,service,base,invoice,+03||+vj3,"","","","","",intra,5as,"","","","","","","",5% S IC,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rcs,"",4%,4% S RC,240,4.0,percent,purchase,tax_group_iva_4,False,service,base,invoice,+03||+vj3,"","","","","",intra,4as,"","","","","","","",4% S IC,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
00rcs,"",0%,0% S RC,250,0.0,percent,purchase,tax_group_fuori,"",service,base,invoice,+03||+vj3,"","","",Art. 15 DPR 633/1972,"",intra,00as,"","","",N1,"","","",0% S CI,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rcm,"",22%,22% G RC,260,22.0,percent,purchase,tax_group_iva_22,"",consu,base,invoice,+03||+vj9,"","","","","",intra,22am,"","","","","","","",22% M IC,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj9,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rcm,"",10%,10% G RC,270,10.0,percent,purchase,tax_group_iva_10,"",consu,base,invoice,+03||+vj9,"","","","","",intra,10am,"","","","","","","",10% M IC,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj9,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rcm,"",5%,5% G RC,280,5.0,percent,purchase,tax_group_iva_5,False,consu,base,invoice,+03||+vj9,"","","","","",intra,5am,"","","","","","","",5% M IC,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj9,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rcm,"",4%,4% G RC,290,4.0,percent,purchase,tax_group_iva_4,False,consu,base,invoice,+03||+vj9,"","","","","",intra,4am,"","","","","","","",4% M IC,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj9,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
00rcm,"",0%,0% G RC,300,0.0,percent,purchase,tax_group_fuori,"",consu,base,invoice,+03||+vj9,"","","",Art. 15 DPR 633/1972,"",intra,00am,"","","",N1,"","","",0% M CI,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj9,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rcd,22% G Deposit,22%,22% G D,310,22.0,percent,purchase,tax_group_iva_22,"",consu,base,invoice,+03||+vj3,"","","","","","it,intra_private","","","","","","","","",22% M Deposito,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rcd,10% G Deposit,10%,10% G D,320,10.0,percent,purchase,tax_group_iva_10,"",consu,base,invoice,+03||+vj3,"","","","","","it,intra_private","","","","","","","","",10% M Deposito,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rcd,5% G Deposit,5%,5% G D,330,5.0,percent,purchase,tax_group_iva_5,False,consu,base,invoice,+03||+vj3,"","","","","","it,intra_private","","","","","","","","",5% M Deposito,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rcd,4% G Deposit,4%,4% G D,340,4.0,percent,purchase,tax_group_iva_4,False,consu,base,invoice,+03||+vj3,"","","","","","it,intra_private","","","","","","","","",4% M Deposito,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
00rcd,0% G Deposit,0%,0% G D,350,0.0,percent,purchase,tax_group_fuori,"",service,base,invoice,+03||+vj3,"","","",Art. 15 DPR 633/1972,"","it,intra_private","","","","",N1,"","","",0% M Deposito,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj3,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22vsp,22% Split Payment pos.,22%,22% SP pos.,360,22.0,percent,none,tax_group_iva_22,"","",base,invoice,+02||+ve38,"","","","","","it,intra_private","","","","","","","","","",22% Scissione dei Pagamenti pos.
"","","","","","","","","","","",tax,invoice,"",2608,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02||-ve38,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2608,"","","","","","","","","","","","","","",""
22vsp_storno,22% Split Payment neg.,22%,22% SP neg.,360,-22.0,percent,none,tax_group_split_payment,"","",base,invoice,"","","","","",tax_excluded,"it,intra_private","","","","","","","","","",22% Scissione dei Pagamenti neg.
"","","","","","","","","","","",tax,invoice,"",2608,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2608,"","","","","","","","","","","","","","",""
22vsp_group,"",22%,22% SP,360,"",group,sale,tax_group_split_payment,"","","","","","","","22vsp,22vsp_storno","","",split_payment_fiscal_position,22v,"","","","","","","","",""
10vsp,10% Split Payment pos.,10%,10% SP pos.,360,10.0,percent,none,tax_group_iva_10,"","",base,invoice,+02||+ve38,"","","","","","it,intra_private","","","","","","","","","",10% Scissione dei Pagamenti pos.
"","","","","","","","","","","",tax,invoice,"",2608,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02||-ve38,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2608,"","","","","","","","","","","","","","",""
10vsp_storno,10% Split Payment neg.,10%,10% SP neg.,360,-10.0,percent,none,tax_group_split_payment,"","",base,invoice,"","","","","",tax_excluded,"it,intra_private","","","","","","","","","",10% Scissione dei Pagamenti neg.
"","","","","","","","","","","",tax,invoice,"",2608,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2608,"","","","","","","","","","","","","","",""
10vsp_group,"",10%,10% SP,360,"",group,sale,tax_group_split_payment,"","","","","","","","10vsp,10vsp_storno","","",split_payment_fiscal_position,10v,"","","","","","","","",""
5vsp,5% Split Payment pos.,5%,5% SP pos.,360,5.0,percent,none,tax_group_iva_5,"","",base,invoice,+02||+ve38,"","","","","","it,intra_private","","","","","","","","","",5% Scissione dei Pagamenti pos.
"","","","","","","","","","","",tax,invoice,"",2608,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02||-ve38,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2608,"","","","","","","","","","","","","","",""
5vsp_storno,5% Split Payment neg.,5%,5% SP neg.,360,-5.0,percent,none,tax_group_split_payment,"","",base,invoice,"","","","","",tax_excluded,"it,intra_private","","","","","","","","","",5% Scissione dei Pagamenti neg.
"","","","","","","","","","","",tax,invoice,"",2608,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2608,"","","","","","","","","","","","","","",""
5vsp_group,"",5%,5% SP,360,"",group,sale,tax_group_split_payment,"","","","","","","","5vsp,5vsp_storno","","",split_payment_fiscal_position,5v,"","","","","","","","",""
4vsp,4% Split Payment pos.,4%,4% SP pos.,360,4.0,percent,none,tax_group_iva_4,"","",base,invoice,+02||+ve38,"","","","","","it,intra_private","","","","","","","","","",4% Scissione dei Pagamenti pos.
"","","","","","","","","","","",tax,invoice,"",2608,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02||-ve38,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2608,"","","","","","","","","","","","","","",""
4vsp_storno,4% Split Payment neg.,4%,4% SP neg.,360,-4.0,percent,none,tax_group_split_payment,"","",base,invoice,"","","","","",tax_excluded,"it,intra_private","","","","","","","","","",4% Scissione dei Pagamenti neg.
"","","","","","","","","","","",tax,invoice,"",2608,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2608,"","","","","","","","","","","","","","",""
4vsp_group,"",4%,4% SP,460,"",group,sale,tax_group_split_payment,"","","","","","","","4vsp,4vsp_storno","","",split_payment_fiscal_position,4v,"","","","","","","","",""
0rc_n61,Scrap,0%,0% RC N6.1,500,0.0,percent,sale,tax_group_fuori,False,"",base,invoice,+02,"","","","art.74, comma 7-8, D.P.R. 633/1972","","it,intra_private","","","","",N6.1,"","","",0% IC N6.1,Materiali di Scarto
"","","","","","","","","","","",tax,invoice,+4v,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,"","","","","","","","","","","","","","","",""
0rc_n62,Gold,0%,0% RC N6.2,510,0.0,percent,sale,tax_group_fuori,False,"",base,invoice,+02,"","","","art.17, comma 5, D.P.R. 633/1972","","it,intra_private","","","","",N6.2,"","","",0% IC N6.2,Oro
"","","","","","","","","","","",tax,invoice,+4v,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,"","","","","","","","","","","","","","","",""
0rc_n62b,Gold Investments,0%,0% RC N6.2b,520,0.0,percent,sale,tax_group_fuori,False,"",base,invoice,+02,"","","","art.17, comma 5, D.P.R. 633/1972","","it,intra_private","","","","",N6.2,"","","",0% IC N6.2b,Investimenti in Oro
"","","","","","","","","","","",tax,invoice,+4v,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,"","","","","","","","","","","","","","","",""
0rc_n63,Construction subcontractors,0%,0% RC N6.3,530,0.0,percent,sale,tax_group_fuori,False,"",base,invoice,+02,"","","","art.17, comma 6, lett. a, D.P.R. 633/1972","",construction_fiscal_position,00v,"","","",N6.3,"","","",0% IC N6.3,Subappalto Edilizia
"","","","","","","","","","","",tax,invoice,+4v,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,"","","","","","","","","","","","","","","",""
0rc_n64,Investments in construction,0%,0% RC N6.4,540,0.0,percent,sale,tax_group_fuori,False,"",base,invoice,+02,"","","","art.17, comma 6, lett. a-bis, D.P.R. 633/1972","","it,intra_private","","","","",N6.4,"","","",0% IC N6.4,Investimenti in Edilizia
"","","","","","","","","","","",tax,invoice,+4v,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,"","","","","","","","","","","","","","","",""
0rc_n65,Cellphones,0%,0% RC N6.5,550,0.0,percent,sale,tax_group_fuori,False,"",base,invoice,+02,"","","","art.17, comma 6, lett. b, D.P.R. 633/1972","","it,intra_private","","","","",N6.5,"","","",0% IC N6.5,Cellulari
"","","","","","","","","","","",tax,invoice,+4v,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,"","","","","","","","","","","","","","","",""
0rc_n66,Electronics,0%,0% RC N6.6,560,0.0,percent,sale,tax_group_fuori,False,"",base,invoice,+02,"","","","art.17, comma 6, lett. c, D.P.R. 633/1972","","it,intra_private","","","","",N6.6,"","","",0% IC N6.6,Elettronica
"","","","","","","","","","","",tax,invoice,+4v,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,"","","","","","","","","","","","","","","",""
0rc_n67,Construction services,0%,0% RC N6.7,570,0.0,percent,sale,tax_group_fuori,True,"",base,invoice,+02,"","","","art 17, comma 6, lett. a-ter, D.P.R. 633/1972","","it,intra_private","","","","",N6.7,"","","",0% IC N6.7,Servizi edilizia
"","","","","","","","","","","",tax,invoice,+4v,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,"","","","","","","","","","","","","","","",""
0rc_n68,Energy,0%,0% RC N6.8,580,0.0,percent,sale,tax_group_fuori,False,"",base,invoice,+02,"","","","art.17, comma 6, lett. d-bis, d-ter, d-quater, D.P.R. 633/1972","","it,intra_private","","","","",N6.8,"","","",0% IC N6.8,Energia
"","","","","","","","","","","",tax,invoice,+4v,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,"","","","","","","","","","","","","","","",""
4rc_n61,Scrap,4%,4% RC N6.1,590,4.0,percent,purchase,tax_group_iva_4,False,"",base,invoice,+03||+vj6,"","","","","","it,intra_private","","","","","","","","",4% IC N6.1,Materiali di Scarto
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj6,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rc_n62,Gold,4%,4% RC N6.2,600,4.0,percent,purchase,tax_group_iva_4,False,"",base,invoice,+03||+vj7,"","","","","","it,intra_private","","","","","","","","",4% IC N6.2,Oro
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj7,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
