"id","code","name","account_type","reconcile","non_trade","tag_ids","name@it"
"2810","2810","VAT liquidations","liability_current","False","","","Liquidazioni IVA"
"2811","2811","Social security institutions","liability_current","False","","","Istituti previdenziali"
"2901","2901","Third-party assets","off_balance","False","","l10n_it.account_tag_BENI","Beni di terzi"
"2902","2902","Depositors of goods","off_balance","False","","l10n_it.account_tag_BENI","Depositanti beni"
"2911","2911","Goods to be received","off_balance","False","","l10n_it.account_tag_IMPEGNI","Merci da ricevere"
"2912","2912","Supplier commitments","off_balance","False","","l10n_it.account_tag_IMPEGNI","Impegni dei fornitori"
"2913","2913","Commitments for leased assets","off_balance","False","","l10n_it.account_tag_IMPEGNI","Impegni per beni in leasing"
"2914","2914","Lease creditors","off_balance","False","","l10n_it.account_tag_IMPEGNI","Creditori di leasing"
"2916","2916","Customer engagements","off_balance","False","","l10n_it.account_tag_IMPEGNI","Impegni dei clienti"
"2917","2917","Goods to be delivered","off_balance","False","","l10n_it.account_tag_IMPEGNI","Merci da consegnare"
"2921","2921","Risks for discounted effects","off_balance","False","","l10n_it.account_tag_RISCHI","Rischi per effetti scontati"
"2922","2922","Banks discounted effects","off_balance","False","","l10n_it.account_tag_RISCHI","Banche effetti scontati"
"2926","2926","Risks for surety bonds","off_balance","False","","l10n_it.account_tag_RISCHI","Rischi per fideiussioni"
"2927","2927","Creditors for surety bonds","off_balance","False","","l10n_it.account_tag_IMPEGNI","Creditori per fideiussioni"
"2931","2931","Risks for endorsements","off_balance","False","","l10n_it.account_tag_RISCHI","Rischi per avalli"
"2932","2932","Creditors for endorsements","off_balance","False","","l10n_it.account_tag_IMPEGNI","Creditori per avalli"
"3101","3101","Goods w/sales","income","False","","l10n_it.account_tag_A_PL","Merci c/vendite"
"3103","3103","Reimbursement of sales expenses","income","False","","l10n_it.account_tag_A_PL","Rimborsi spese di vendita"
"3110","3110","Returns on sales","income","False","","l10n_it.account_tag_A_PL","Resi su vendite"
"3111","3111","Rebates and rebates payable","income","False","","l10n_it.account_tag_A_PL","Ribassi e abbuoni passivi"
"3112","3112","Premiums on sales","income","False","","l10n_it.account_tag_A_PL","Premi su vendite"
"3201","3201","Premiums on salesRent income","income","False","","l10n_it.account_tag_A_PL","Fitti attivi"
"3202","3202","Miscellaneous income","income","False","","l10n_it.account_tag_A_PL","Proventi vari"
"3210","3210","Active rounding","income","False","","l10n_it.account_tag_A_PL","Arrotondamenti attivi"
"3220","3220","Miscellaneous ordinary capital gains","income","False","","l10n_it.account_tag_A_PL","Plusvalenze ordinarie diverse"
"3230","3230","Miscellaneous ordinary contingent assets","income","False","","l10n_it.account_tag_A_PL","Sopravvenienze attive ordinarie diverse"
"3240","3240","Sundry ordinary non-existent assets","income","False","","l10n_it.account_tag_A_PL","Insussistenze attive ordinarie diverse"
"4101","4101","Goods purchased","expense","False","","l10n_it.account_tag_B_PL","Merce acquistata"
"4102","4102","Consumables purchased","expense","False","","l10n_it.account_tag_B_PL","Materiali di consumo acquistati"
"4105","4105","Goods contributions","expense","False","","l10n_it.account_tag_B_PL","Contributi per le merci"
"4110","4110","Returns on purchases","expense","False","","l10n_it.account_tag_B_PL","Resi su acquisti"
"4111","4111","Active rebates and discounts","expense","False","","l10n_it.account_tag_B_PL","Ribassi e abbuoni attivi"
"4112","4112","Rewards on purchases","expense","False","","l10n_it.account_tag_B_PL","Premi su acquisti"
"4121","4121","Goods initial existences","expense","False","","l10n_it.account_tag_B_PL","Esistenze iniziali dei beni"
"4122","4122","Existing consumables","expense","False","","l10n_it.account_tag_B_PL","Materiali di consumo esistenti"
"4131","4131","Goods closing inventory","expense","False","","l10n_it.account_tag_B_PL","Inventario di chiusura merci"
"4132","4132","Consumables closing inventories","expense","False","","l10n_it.account_tag_B_PL","Rimanenze finali di materiali di consumo"
"4201","4201","Transportation costs","expense","False","","l10n_it.account_tag_B_PL","Costi di trasporto"
"4202","4202","Energy costs","expense","False","","l10n_it.account_tag_B_PL","Costi per energia"
"4203","4203","Advertising costs","expense","False","","l10n_it.account_tag_B_PL","Costi di pubblicità"
"4204","4204","Consulting costs","expense","False","","l10n_it.account_tag_B_PL","Costi di consulenze"
"4205","4205","Postal costs","expense","False","","l10n_it.account_tag_B_PL","Costi postali"
"4206","4206","Telephone costs","expense","False","","l10n_it.account_tag_B_PL","Costi telefonici"
"4207","4207","Insurance costs","expense","False","","l10n_it.account_tag_B_PL","Costi di assicurazione"
"4208","4208","Supervisory costs","expense","False","","l10n_it.account_tag_B_PL","Costi di vigilanza"
"4209","4209","Costs for the premises","expense","False","","l10n_it.account_tag_B_PL","Costi per i locali"
"4210","4210","Motor vehicle operating costs","expense","False","","l10n_it.account_tag_B_PL","Costi di esercizio automezzi"
"4211","4211","Maintenance and repair costs","expense","False","","l10n_it.account_tag_B_PL","Costi di manutenzione e riparazione"
"4212","4212","Commissions payable","expense","False","","l10n_it.account_tag_B_PL","Provvigioni passive"
"4213","4213","Collection fees","expense","False","","l10n_it.account_tag_B_PL","Spese di incasso"
"4301","4301","Rents payable","expense","False","","l10n_it.account_tag_B_PL","Fitti passivi"
"4302","4302","Leasing fees","expense","False","","l10n_it.account_tag_B_PL","Canoni di leasing"
"4401","4401","Wages and salaries","expense","False","","l10n_it.account_tag_B_PL","Salari e stipendi"
"4402","4402","Social charges","expense","False","","l10n_it.account_tag_B_PL","Oneri sociali"
"4403","4403","TFRL","expense","False","","l10n_it.account_tag_B_PL","TFRL"
"4404","4404","Other personnel costs","expense","False","","l10n_it.account_tag_B_PL","Altri costi per il personale"
"4501","4501","Amortization of start-up costs","expense","False","","l10n_it.account_tag_B_PL","Ammortamento costi di impianto"
"4506","4506","Software amortization","expense","False","","l10n_it.account_tag_B_PL","Ammortamento software"
"4508","4508","Goodwill amortization","expense","False","","l10n_it.account_tag_B_PL","Ammortamento avviamento"
"4601","4601","Building depreciation","expense","False","","l10n_it.account_tag_B_PL","Ammortamento fabbricati"
"4602","4602","Depreciation of plant and machinery","expense","False","","l10n_it.account_tag_B_PL","Ammortamento impianti e macchinari"
"4604","4604","Commercial equipment depreciation","expense","False","","l10n_it.account_tag_B_PL","Ammortamento attrezzature commerciali"
"4605","4605","Depreciation of office machines","expense","False","","l10n_it.account_tag_B_PL","Ammortamento macchine d'ufficio"
"4606","4606","Furniture depreciation","expense","False","","l10n_it.account_tag_B_PL","Ammortamento arredamento"
"4607","4607","Vehicle depreciation","expense","False","","l10n_it.account_tag_B_PL","Ammortamento automezzi"
"4608","4608","Durable packaging depreciation","expense","False","","l10n_it.account_tag_B_PL","Ammortamento imballaggi durevoli"
"4701","4701","Durable packaging depreciation","expense","False","","l10n_it.account_tag_B_PL","Ammortamento imballaggi durevoli"
"4702","4702","Depreciation of tangible fixed assets","expense","False","","l10n_it.account_tag_B_PL","Svalutazioni immobilizzazioni materiali"
"4706","4706","Impairment of receivables","expense","False","","l10n_it.account_tag_B_PL","Svalutazione crediti"
"4814","4814","Provision for liability","expense","False","","l10n_it.account_tag_B_PL","Accantonamento per responsabilità civile"
"4821","4821","Provision for future expenses","expense","False","","l10n_it.account_tag_B_PL","Fondo spese future"
"4823","4823","Provision for planned maintenance","expense","False","","l10n_it.account_tag_B_PL","Accantonamento per manutenzioni programmate"
"4901","4901","Miscellaneous tax charges","expense","False","","l10n_it.account_tag_B_PL","Oneri fiscali diversi"
"4903","4903","Miscellaneous charges","expense","False","","l10n_it.account_tag_B_PL","Oneri vari"
"4905","4905","Losses on receivables","expense","False","","l10n_it.account_tag_B_PL","Perdite su crediti"
"4910","4910","Passive rounding","expense","False","","l10n_it.account_tag_B_PL","Arrotondamenti passivi"
"4920","4920","Miscellaneous ordinary capital losses","expense","False","","l10n_it.account_tag_B_PL","Minusvalenze ordinarie diverse"
"4930","4930","Miscellaneous ordinary contingent liabilities","expense","False","","l10n_it.account_tag_B_PL","Sopravvenienze passive ordinarie diverse"
"4940","4940","Miscellaneous ordinary nonexistent liabilities","expense","False","","l10n_it.account_tag_B_PL","Insussistenze passive ordinarie diverse"
"5110","5110","Interest income from customers","income_other","False","","l10n_it.account_tag_C_PL","Interessi attivi v/clienti"
"5115","5115","Bank interest income","income_other","False","","l10n_it.account_tag_C_PL","Interessi attivi bancari"
"5116","5116","Postal interest income","income_other","False","","l10n_it.account_tag_C_PL","Interessi attivi postali"
"5140","5140","Miscellaneous financial income","income_other","False","","l10n_it.account_tag_C_PL","Proventi finanziari diversi"
"5201","5201","Interest expense from/to suppliers","expense","False","","l10n_it.account_tag_C_PL","Interessi passivi v/fornitori"
"5202","5202","Bank interest expense","expense","False","","l10n_it.account_tag_C_PL","Interessi passivi bancari"
"5203","5203","Bank overdrafts","expense","False","","l10n_it.account_tag_C_PL","Sconti passivi bancari"
"5210","5210","Interest expense on mortgages","expense","False","","l10n_it.account_tag_C_PL","Interessi passivi su mutui"
"5240","5240","Miscellaneous financial charges","expense","False","","l10n_it.account_tag_C_PL","Oneri finanziari diversi"
"8101","8101","Taxes for the year","expense","False","","l10n_it.account_tag_E_PL","Imposte dell'esercizio"
"9101","9101","Economic performance account","expense","False","","","Conto di risultato economico"
"9102","9102","État patrimonial","expense","False","","","Stato patrimoniale"
