id,code,name,user_type_id,reconcile
2420,2420,banche c/c passivi ,account.data_account_type_current_liabilities,True
2421,2421,banche c/RIBA all'incasso ,account.data_account_type_current_liabilities,True
2422,2422,banche c/cambiali all'incasso ,account.data_account_type_current_liabilities,True
2423,2423,banche c/anticipi su fatture ,account.data_account_type_current_liabilities,True
2440,2440,debiti v/altri finanziatori ,account.data_account_type_current_liabilities,True
2501,2501,debiti v/fornitori ,account.data_account_type_payable,True
2503,2503,cambiali passive ,account.data_account_type_current_liabilities,True
2520,2520,fatture da ricevere ,account.data_account_type_current_liabilities,True
2521,2521,debiti da liquidare ,account.data_account_type_current_liabilities,True
2530,2530,clienti c/acconti ,account.data_account_type_current_liabilities,True
2601,2601,IVA n/debito ,account.data_account_type_current_liabilities,True
2602,2602,debiti per ritenute da versare ,account.data_account_type_current_liabilities,True
2605,2605,erario c/IVA ,account.data_account_type_current_liabilities,True
2606,2606,debiti per imposte ,account.data_account_type_current_liabilities,True
2619,2619,debiti per cauzioni ,account.data_account_type_current_liabilities,True
2620,2620,personale c/retribuzioni ,account.data_account_type_current_liabilities,True
2621,2621,personale c/liquidazioni ,account.data_account_type_current_liabilities,True
2622,2622,clienti c/cessione ,account.data_account_type_current_liabilities,True
2630,2630,debiti v/istituti previdenziali ,account.data_account_type_current_liabilities,True
2640,2640,creditori diversi ,account.data_account_type_current_liabilities,True
2701,2701,ratei passivi ,account.data_account_type_current_liabilities,True
2702,2702,risconti passivi ,account.data_account_type_current_liabilities,True
2801,2801,bilancio di apertura ,account.data_account_type_current_liabilities,True
2802,2802,bilancio di chiusura ,account.data_account_type_current_liabilities,True
2810,2810,IVA c/liquidazioni ,account.data_account_type_current_liabilities,True
2811,2811,istituti previdenziali ,account.data_account_type_current_liabilities,True
2901,2901,beni di terzi ,account.data_account_type_current_liabilities,True
2902,2902,depositanti beni ,account.data_account_type_current_liabilities,True
2911,2911,merci da ricevere ,account.data_account_type_current_liabilities,True
2912,2912,fornitori c/impegni ,account.data_account_type_current_liabilities,True
2913,2913,impegni per beni in leasing ,account.data_account_type_current_liabilities,True
2914,2914,creditori c/leasing ,account.data_account_type_current_liabilities,True
2916,2916,clienti c/impegni ,account.data_account_type_current_liabilities,True
2917,2917,merci da consegnare ,account.data_account_type_current_liabilities,True
2921,2921,rischi per effetti scontati ,account.data_account_type_current_liabilities,True
2922,2922,banche c/effetti scontati ,account.data_account_type_current_liabilities,True
2926,2926,rischi per fideiussioni ,account.data_account_type_current_liabilities,True
2927,2927,creditori per fideiussioni ,account.data_account_type_current_liabilities,True
2931,2931,rischi per avalli ,account.data_account_type_current_liabilities,True
2932,2932,creditori per avalli ,account.data_account_type_current_liabilities,True
3101,3101,merci c/vendite ,account.data_account_type_revenue,True
3103,3103,rimborsi spese di vendita ,account.data_account_type_other_income,True
3110,3110,resi su vendite ,account.data_account_type_other_income,True
3111,3111,ribassi e abbuoni passivi ,account.data_account_type_other_income,True
3112,3112,premi su vendite ,account.data_account_type_other_income,True
3201,3201,fitti attivi ,account.data_account_type_other_income,True
3202,3202,proventi vari ,account.data_account_type_other_income,True
3210,3210,arrotondamenti attivi ,account.data_account_type_other_income,True
3220,3220,plusvalenze ordinarie diverse ,account.data_account_type_other_income,True
3230,3230,sopravvenienze attive ordinarie diverse ,account.data_account_type_other_income,True
3240,3240,insussistenze attive ordinarie diverse ,account.data_account_type_other_income,True
4101,4101,merci c/acquisti ,account.data_account_type_expenses,True
4102,4102,materie di consumo c/acquisti ,account.data_account_type_expenses,True
4105,4105,merci c/apporti ,account.data_account_type_expenses,True
4110,4110,resi su acquisti ,account.data_account_type_expenses,True
4111,4111,ribassi e abbuoni attivi ,account.data_account_type_expenses,True
4112,4112,premi su acquisti ,account.data_account_type_expenses,True
4121,4121,merci c/esistenze iniziali ,account.data_account_type_expenses,True
4122,4122,materie di consumo c/esistenze iniziali ,account.data_account_type_expenses,True
4131,4131,merci c/rimanenze finali ,account.data_account_type_expenses,True
4132,4132,materie di consumo c/rimanenze finali ,account.data_account_type_expenses,True
4201,4201,costi di trasporto ,account.data_account_type_expenses,True
4202,4202,costi per energia ,account.data_account_type_expenses,True
4203,4203,costi di pubblicità ,account.data_account_type_expenses,True
4204,4204,costi di consulenze ,account.data_account_type_expenses,True
4205,4205,costi postali ,account.data_account_type_expenses,True
4206,4206,costi telefonici ,account.data_account_type_expenses,True
4207,4207,costi di assicurazione ,account.data_account_type_expenses,True
4208,4208,costi di vigilanza ,account.data_account_type_expenses,True
4209,4209,costi per i locali ,account.data_account_type_expenses,True
4210,4210,costi di esercizio automezzi ,account.data_account_type_expenses,True
4211,4211,costi di manutenzione e riparazione ,account.data_account_type_expenses,True
4212,4212,provvigioni passive ,account.data_account_type_expenses,True
4213,4213,spese di incasso ,account.data_account_type_expenses,True
4301,4301,fitti passivi ,account.data_account_type_expenses,True
4302,4302,canoni di leasing ,account.data_account_type_expenses,True
4401,4401,salari e stipendi ,account.data_account_type_expenses,True
4402,4402,oneri sociali ,account.data_account_type_expenses,True
4403,4403,TFRL ,account.data_account_type_expenses,True
4404,4404,altri costi per il personale ,account.data_account_type_expenses,True
4501,4501,ammortamento costi di impianto ,account.data_account_type_expenses,True
4506,4506,ammortamento software ,account.data_account_type_expenses,True
4508,4508,ammortamento avviamento ,account.data_account_type_expenses,True
4601,4601,ammortamento fabbricati ,account.data_account_type_expenses,True
4602,4602,ammortamento impianti e macchinari ,account.data_account_type_expenses,True
4604,4604,ammortamento attrezzature commerciali ,account.data_account_type_expenses,True
4605,4605,ammortamento macchine d'ufficio ,account.data_account_type_expenses,True
4606,4606,ammortamento arredamento ,account.data_account_type_expenses,True
4607,4607,ammortamento automezzi ,account.data_account_type_expenses,True
4608,4608,ammortamento imballaggi durevoli ,account.data_account_type_expenses,True
4701,4701,svalutazioni immobilizzazioni immateriali ,account.data_account_type_expenses,True
4702,4702,svalutazioni immobilizzazioni materiali ,account.data_account_type_expenses,True
4706,4706,svalutazione crediti ,account.data_account_type_expenses,True
4814,4814,accantonamento per responsabilità civile ,account.data_account_type_expenses,True
4821,4821,accantonamento per spese future ,account.data_account_type_expenses,True
4823,4823,accantonamento per manutenzioni programmate ,account.data_account_type_expenses,True
4901,4901,oneri fiscali diversi ,account.data_account_type_expenses,True
4903,4903,oneri vari ,account.data_account_type_expenses,True
4905,4905,perdite su crediti ,account.data_account_type_expenses,True
4910,4910,arrotondamenti passivi ,account.data_account_type_expenses,True
4920,4920,minusvalenze ordinarie diverse ,account.data_account_type_expenses,True
4930,4930,sopravvenienze passive ordinarie diverse ,account.data_account_type_expenses,True
4940,4940,insussistenze passive ordinarie diverse ,account.data_account_type_expenses,True
5110,5110,interessi attivi v/clienti ,account.data_account_type_other_income,True
5115,5115,interessi attivi bancari ,account.data_account_type_other_income,True
5116,5116,interessi attivi postali ,account.data_account_type_other_income,True
5140,5140,proventi finanziari diversi ,account.data_account_type_other_income,True
5201,5201,interessi passivi v/fornitori ,account.data_account_type_expenses,True
5202,5202,interessi passivi bancari ,account.data_account_type_expenses,True
5203,5203,sconti passivi bancari ,account.data_account_type_expenses,True
5210,5210,interessi passivi su mutui ,account.data_account_type_expenses,True
5240,5240,oneri finanziari diversi ,account.data_account_type_expenses,True
7101,7101,plusvalenze straordinarie ,account.data_account_type_other_income,True
7102,7102,sopravvenienze attive straordinarie ,account.data_account_type_other_income,True
7103,7103,insussistenze attive straordinarie ,account.data_account_type_other_income,True
7201,7201,minusvalenze straordinarie ,account.data_account_type_expenses,True
7202,7202,sopravvenienze passive straordinarie ,account.data_account_type_expenses,True
7203,7203,insussistenze passive straordinarie ,account.data_account_type_expenses,True
7204,7204,imposte esercizi precedenti ,account.data_account_type_expenses,True
8101,8101,imposte dell'esercizio ,account.data_account_type_expenses,True
9101,9101,conto di risultato economico ,account.data_account_type_expenses,True
9102,9102,stato patrimoniale,account.data_account_type_expenses,True
