"id","parent_id","active","name","code","account_type","reconcile","non_trade"
"zm_group_83","","False","VAT Purchase Tax Control Account","","asset_receivable","",""
"zm_group_91","","False","GRN Accrual Account","","liability_payable","",""
"zm_group_92","","False","Sundry Suppliers","","liability_current","",""
"zm_group_94","","False","Provisions for Future Expenses, Insurance and Salary Bonuses","94","liability_current","",""
"zm_group_95","","False","VAT Sales Control and Provisions Account","","liability_payable","",""
"zm_group_9999","","False","Undistributed Profits and Losses","9999","equity_unaffected","",""
"zm_account_1000000","zm_group_1","True","Sales","1","income","False",""
"zm_account_2000000","zm_group_2","True","Cost of Sales / Purchases","2","expense_direct_cost","False",""
"zm_account_2100000","zm_group_2","True","Inventory Adjustment","21","expense_direct_cost","False",""
"zm_account_2150000","zm_group_2","True","Inventory Count Variance","215","expense_direct_cost","False",""
"zm_account_2200000","zm_group_2","True","Purchase Variance","22","expense_direct_cost","False",""
"zm_account_2400000","zm_group_2","True","Recovery Account","240000","expense_direct_cost","False",""
"zm_account_2400010","zm_group_2","True","Labour Cost Manufacturing Variance","240001","expense_direct_cost","False",""
"zm_account_2400020","zm_group_2","True","Direct Cost Manufacturing Variance","240002","expense_direct_cost","False",""
"zm_account_2400030","zm_group_2","True","Other Cost Manufacturing Variance","240003","expense_direct_cost","False",""
"zm_account_2700000","zm_group_27","True","Discount Received for Cash","27","income_other","False",""
"zm_account_2750000","zm_group_27","True","Interest Received","275","income_other","False",""
"zm_account_2800000","zm_group_28","True","Profit on Sale of Non Current Assets","28","income_other","False",""
"zm_account_2850000","zm_group_28","True","Bad Debts Recovered","285","income_other","False",""
"zm_account_2900000","zm_group_29","True","Foreign Exchange Gain","29","income_other","False",""
"zm_account_3050000","zm_group_30","True","Advertising & Promotions","305","expense","False",""
"zm_account_3150000","zm_group_31","True","Bad Debts","315","expense","False",""
"zm_account_3200000","zm_group_32","True","Bank Charges","32","expense","False",""
"zm_account_3250000","zm_group_32","True","Cleaning","325","expense","False",""
"zm_account_3300000","zm_group_33","True","Computer Expenses","33","expense","False",""
"zm_account_3350000","zm_group_33","True","Consulting Fees","335","expense","False",""
"zm_account_3400000","zm_group_34","True","Courier & Postage","34","expense","False",""
"zm_account_3450000","zm_group_34","True","Depreciation","345","expense","False",""
"zm_account_3550000","zm_group_35","True","Discount Allowed for Cash","355","expense","False",""
"zm_account_3600000","zm_group_36","True","Donations","36","expense","False",""
"zm_account_3650000","zm_group_36","True","Electricity & Water","365","expense","False",""
"zm_account_3700000","zm_group_37","True","Entertainment Expenses","37","expense","False",""
"zm_account_3750000","zm_group_37","True","Finance Charges","375","expense","False",""
"zm_account_3800000","zm_group_38","True","General Expenses","38","expense","False",""
"zm_account_3850000","zm_group_38","True","Insurance","385","expense","False",""
"zm_account_3900000","zm_group_39","True","Interest Paid","39","expense","False",""
"zm_account_3950000","zm_group_39","True","Leasing Charges","395","expense","False",""
"zm_account_4000000","","True","Legal Fees","4","expense","False",""
"zm_account_4050000","zm_group_40","True","Levies","405","expense","False",""
"zm_account_4150000","zm_group_41","True","Motor Vehicle Expenses","415","expense","False",""
"zm_account_4200000","zm_group_42","True","Printing & Stationery","42","expense","False",""
"zm_account_4210000","zm_group_42","True","Foreign Exchange Loss","421","expense","False",""
"zm_account_4300000","zm_group_43","True","Rent Paid","43","expense","False",""
"zm_account_4350000","zm_group_43","True","Repairs & Maintenance","435","expense","False",""
"zm_account_4400000","","True","Salaries & Wages","44","expense","False",""
"zm_account_4450000","zm_group_445","True","Staff Training","445","expense","False",""
"zm_account_4500000","zm_group_45","True","Staff Welfare","45","expense","False",""
"zm_account_4550000","zm_group_45","True","Subscriptions","455","expense","False",""
"zm_account_4560000","zm_group_45","True","License costs","456","expense","False",""
"zm_account_4600000","zm_group_46","True","Telephone & Fax","46","expense","False",""
"zm_account_4650000","zm_group_46","True","Travel & Accommodation","465","expense","False",""
"zm_account_4700000","","True","Loss on Sale of Non Current Assets","47","expense","False",""
"zm_account_5200000","zm_group_52","True","Retained Income / (Accumulated Loss)","52","liability_current","False",""
"zm_account_5500000","zm_group_55","True","Long Term Liabilities","55","liability_non_current","False",""
"zm_account_5600000","zm_group_56","True","Instalment Sale Creditors Other","56","liability_non_current","False",""
"zm_account_6100000","zm_group_61","True","Land & Buildings - Net Value","610000","asset_fixed","False",""
"zm_account_6100010","zm_group_61","True","Land & Buildings - At Cost","610001","asset_fixed","False",""
"zm_account_6100020","zm_group_61","True","Land & Buildings - Accumulated Depreciation","610002","asset_fixed","False",""
"zm_account_6200000","zm_group_62","True","Motor Vehicles - Net Value","620000","asset_fixed","False",""
"zm_account_6200010","zm_group_62","True","Motor Vehicles - At Cost","620001","asset_fixed","False",""
"zm_account_6200020","zm_group_62","True","Motor Vehicles - Accumulated Depreciation","620002","asset_fixed","False",""
"zm_account_6250000","zm_group_62","True","Computer Equipment - Net Value","625000","asset_fixed","False",""
"zm_account_6250010","zm_group_62","True","Computer Equipment - At Cost","625001","asset_fixed","False",""
"zm_account_6250020","zm_group_62","True","Computer Equipment - Accumulated Depreciation","625002","asset_fixed","False",""
"zm_account_6300000","zm_group_63","True","Office Equipment - Net Value","630000","asset_fixed","False",""
"zm_account_6300010","zm_group_63","True","Office Equipment - At Cost","630001","asset_fixed","False",""
"zm_account_6300020","zm_group_63","True","Office Equipment - Accumulated Depreciation","630002","asset_fixed","False",""
"zm_account_6350000","zm_group_63","True","Furniture & Fittings - Net value","635000","asset_fixed","False",""
"zm_account_6350010","zm_group_63","True","Furniture & Fittings - At Cost","635001","asset_fixed","False",""
"zm_account_6350020","zm_group_63","True","Furniture & Fittings - Accumulated Depreciation","635002","asset_fixed","False",""
"zm_account_6600000","zm_group_66","True","Other Fixed Assets - Net Value","660000","asset_fixed","False",""
"zm_account_6600010","zm_group_66","True","Other Fixed Assets - At Cost","660001","asset_fixed","False",""
"zm_account_6600020","zm_group_66","True","Other Fixed Assets - Accumulated Depreciation","660002","asset_fixed","False",""
"zm_account_7000000","","True","Goodwill / Other Intangible Assets","7","asset_fixed","False",""
"zm_account_7100000","zm_group_71","True","Investments","71","asset_current","False",""
"zm_account_7700000","zm_group_77","True","Inventory Control Account","77","liability_current","False",""
"zm_account_8000000","","True","Customers","8","asset_receivable","True",""
"zm_account_8100000","zm_group_81","True","Customes (POS)","81","asset_receivable","True",""
"zm_account_8200000","zm_group_82","True","Sundry Customers","82","asset_current","False",""
"zm_account_8300000","zm_group_83","True","VAT Purchase Tax Control Account","83","asset_current","False",""
"zm_account_8300001","zm_group_83","True","Withholding Tax on Sales","8300001","asset_current","False",""
"zm_account_8300002","zm_group_83","True","Withholding Tax on Sales - Transition Account","8300002","asset_current","True",""
"zm_account_8310000","zm_group_83","True","VAT Receivable - Closing Entry","831","asset_receivable","True","True"
"zm_account_8900000","","True","Deferred Expenses","89","asset_current","True",""
"zm_account_9000000","","True","Suppliers","9","liability_payable","True",""
"zm_account_9100000","zm_group_91","True","GRN Accrual Account","91","liability_payable","True",""
"zm_account_9200000","zm_group_92","True","Sundry Suppliers","92","liability_current","False",""
"zm_account_9400000","zm_group_94","True","Provision for Future Expenses","940000","liability_current","False",""
"zm_account_9400010","zm_group_94","True","Provision for Insurance","940001","liability_current","False",""
"zm_account_9400020","zm_group_94","True","Provision for Salary Bonus","940002","liability_current","False",""
"zm_account_9500000","zm_group_95","True","VAT Sales Tax Control Account","95","liability_current","False",""
"zm_account_9510000","zm_group_95","True","Vat / Tax Provision Account","951","liability_payable","True",""
"zm_account_9520000","zm_group_95","True","VAT Payable - Closing Entry","952","liability_payable","True","True"
"zm_account_9900000","","True","Deferred Income","99","liability_current","True",""
"zm_account_9999990","zm_group_9999","True","Undistributed Profits/Losses","999999","equity_unaffected","False",""
