"id","description","invoice_label","type_tax_use","name","active","amount_type","amount","tax_group_id","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","price_include_override"
"","","","","","","","","","","","tax","invoice","+zm_vat_27_vat","",""
"","","","","","","","","","","","base","refund","-zm_vat_27_no_vat","",""
"","","","","","","","","","","","tax","refund","-zm_vat_27_vat","",""
"zm_tax_purchase_0_import","Import Zero Rate","0%","purchase","0% EX","","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_28_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_28_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_purchase_16_capex","Capital Expenditure Rate","16%","purchase","16% Capex","False","percent","16.0","zm_tax_group_16","","","base","invoice","+zm_vat_29_no_vat","",""
"","","","","","","","","","","","tax","invoice","+zm_vat_29_vat","zm_account_8300000",""
"","","","","","","","","","","","base","refund","-zm_vat_29_no_vat","",""
"","","","","","","","","","","","tax","refund","-zm_vat_29_vat","zm_account_8300000",""
"zm_tax_purchase_0_exempt","Exempt Rate","0%","purchase","0% Exmpt","False","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_31_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_31_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_purchase_0_import_exempt","Import Exempt Rate","0%","purchase","0% Exmpt EX","False","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_32_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_32_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_purchase_0_nondeductible","Non Deductible Rate","0%","purchase","0% NDED","False","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_33_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_33_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_purchase_0_unregistered","Unregistered Suppliers Rate","0%","purchase","0% UR","False","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_34_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_34_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_sale_16_witholding","Withholding Tax on Sales","16%","sale","16% WH","","percent","-16.0","zm_tax_group_16_wh","on_payment","zm_account_8300002","base","invoice","","","tax_excluded"
"","","","","","","","","","","","tax","invoice","+zm_vat_44_vat","zm_account_8300001",""
"","","","","","","","","","","","base","refund","-zm_vat_08_no_vat","",""
"","","","","","","","","","","","tax","refund","-zm_vat_44_vat","zm_account_8300001",""
