"id","name","sequence","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","repartition_line_ids/tag_ids","description@nb_NO","invoice_label@nb_NO"
"tax24","0% EX","","85 Import of goods without VAT calculation 0%","Import of goods for which no additional duty shall be calculated","0.0","percent","purchase","tax_group_0","base","invoice","","","+85 Base","85 Innførsel av varer uten mva beregning 0%","Innførsel av varer som det ikke skal beregnes mervediavgift av"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","-85 Base","",""
"","","","","","","","","","tax","refund","","","","",""
"tax25","25% EX S D","","86 Services purchased from abroad with deduction for VAT high rate 25%","Services purchased from abroad with deduction of VAT","25.0","percent","purchase","tax_group_25","base","invoice","","","+86 Base","86 Tjenester kjøpt fra utlandet med fradrag for mva høy sats 25%","Tjenester kjøpt fra utlandet med fradrag for mva"
"","","","","","","","","","tax","invoice","chart2712","","+86 Tax","",""
"","","","","","","","","","tax","invoice","chart2702","-100","+86 Tax","",""
"","","","","","","","","","base","refund","","","-86 Base","",""
"","","","","","","","","","tax","refund","chart2712","","-86 Tax","",""
"","","","","","","","","","tax","refund","chart2702","-100","-86 Tax","",""
"tax26","25% EX S ND","","87 Services purchased from abroad without deduction for VAT high rate 25%","Services purchased from abroad without VAT deduction","25.0","percent","purchase","tax_group_25","base","invoice","","","+87 Base","87 Tjenester kjøpt fra utlandet uten fradrag for mva høy sats 25%","Tjenester kjøpt fra utlandet uten fradrag for mva"
"","","","","","","","","","tax","invoice","chart2712","","+87 Tax","",""
"","","","","","","","","","base","refund","","","-87 Base","",""
"","","","","","","","","","tax","refund","chart2712","","-87 Tax","",""
"tax27","12% EX S D","","88 Services purchased from abroad with deduction for VAT low rate 12%","Services purchased from abroad with deduction of VAT","12.0","percent","purchase","tax_group_12","base","invoice","","","+88 Base","88 Tjenester kjøpt fra utlandet med fradrag for mva lav sats 12%","Tjenester kjøpt fra utlandet med fradrag for mva"
"","","","","","","","","","tax","invoice","chart2712","","+88 Tax","",""
"","","","","","","","","","tax","invoice","chart2702","-100","+88 Tax","",""
"","","","","","","","","","base","refund","","","-88 Base","",""
"","","","","","","","","","tax","refund","chart2712","","-88 Tax","",""
"","","","","","","","","","tax","refund","chart2702","-100","-88 Tax","",""
"tax28","12% EX S ND","","89 Services purchased from abroad without deduction for VAT low rate 12%","Services purchased from abroad without VAT deduction","12.0","percent","purchase","tax_group_12","base","invoice","","","+89 Base","89 Tjenester kjøpt fra utlandet uten fradrag for mva lav sats 12%","Tjenester kjøpt fra utlandet uten fradrag for mva"
"","","","","","","","","","tax","invoice","chart2712","","+89 Tax","",""
"","","","","","","","","","base","refund","","","-89 Base","",""
"","","","","","","","","","tax","refund","chart2712","","-89 Tax","",""
"tax29","25% C G D","","91 Purchase of carbon quotas or gold with deduction for VAT high rate 25%","Purchase of climate quotas or gold with VAT deduction","25.0","percent","purchase","tax_group_25","base","invoice","","","+91 Base","91 Kjøp av klimakvoter eller gull med fradrag for mva høy sats 25%","Kjøp av klimakvoter eller gull med fradrag for mva"
"","","","","","","","","","tax","invoice","chart2711","","+91 Tax","",""
"","","","","","","","","","tax","invoice","chart2701","-100","+91 Tax","",""
"","","","","","","","","","base","refund","","","-91 Base","",""
"","","","","","","","","","tax","refund","chart2711","","-91 Tax","",""
"","","","","","","","","","tax","refund","chart2701","-100","-91 Tax","",""
"tax30","25% C G ND","","92 Purchase of carbon quotas or gold without deduction for VAT high rate 25%","Purchase of climate quotas or gold without VAT deduction","25.0","percent","purchase","tax_group_25","base","invoice","","","+92 Base","92 Kjøp av klimakvoter eller gull uten fradrag for mva høy sats 25%","Kjøp av klimakvoter eller gull uten fradrag for mva"
"","","","","","","","","","tax","invoice","chart2711","","+92 Tax","",""
"","","","","","","","","","base","refund","","","-92 Base","",""
"","","","","","","","","","tax","refund","chart2711","","-92 Tax","",""
