"id","name","sequence","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@de","name@fr"
"","","","","","","","lu_2011_tax_AP-PA-0","lu_2011_tax_AP-IC-0","",""
"account_fiscal_position_template_LU_EC","Extra-Community Taxable Person","4","1","","","","lu_2015_tax_VB-PA-17","lu_2011_tax_VB-EC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-16","lu_2011_tax_VB-EC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-14","lu_2011_tax_VB-EC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-13","lu_2011_tax_VB-EC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-8","lu_2011_tax_VB-EC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-7","lu_2011_tax_VB-EC-0","",""
"","","","","","","","lu_2011_tax_VB-PA-3","lu_2011_tax_VB-EC-0","",""
"","","","","","","","lu_2011_tax_VB-PA-0","lu_2011_tax_VB-EC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-17","lu_2011_tax_VP-EC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-16","lu_2011_tax_VP-EC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-14","lu_2011_tax_VP-EC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-13","lu_2011_tax_VP-EC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-8","lu_2011_tax_VP-EC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-7","lu_2011_tax_VP-EC-0","",""
"","","","","","","","lu_2011_tax_VP-PA-3","lu_2011_tax_VP-EC-0","",""
"","","","","","","","lu_2011_tax_VP-PA-0","lu_2011_tax_VP-EC-0","",""
"","","","","","","","lu_2015_tax_FB-PA-17","lu_2015_tax_FB-EC-17","",""
"","","","","","","","lu_2015_tax_FB-PA-16","lu_2015_tax_FB-EC-16","",""
"","","","","","","","lu_2015_tax_FB-PA-14","lu_2015_tax_FB-EC-14","",""
"","","","","","","","lu_2015_tax_FB-PA-13","lu_2015_tax_FB-EC-13","",""
"","","","","","","","lu_2015_tax_FB-PA-8","lu_2015_tax_FB-EC-8","",""
"","","","","","","","lu_2015_tax_FB-PA-7","lu_2015_tax_FB-EC-7","",""
"","","","","","","","lu_2011_tax_FB-PA-3","lu_2011_tax_FB-EC-3","",""
"","","","","","","","lu_2011_tax_FB-PA-0","lu_2011_tax_FB-EC-0","",""
"","","","","","","","lu_2015_tax_FP-PA-17","lu_2015_tax_FP-EC-17","",""
"","","","","","","","lu_2015_tax_FP-PA-16","lu_2015_tax_FP-EC-16","",""
"","","","","","","","lu_2015_tax_FP-PA-14","lu_2015_tax_FP-EC-14","",""
"","","","","","","","lu_2015_tax_FP-PA-13","lu_2015_tax_FP-EC-13","",""
"","","","","","","","lu_2015_tax_FP-PA-8","lu_2015_tax_FP-EC-8","",""
"","","","","","","","lu_2015_tax_FP-PA-7","lu_2015_tax_FP-EC-7","",""
"","","","","","","","lu_2011_tax_FP-PA-3","lu_2011_tax_FP-EC-3","",""
"","","","","","","","lu_2011_tax_FP-PA-0","lu_2011_tax_FP-EC-0","",""
"","","","","","","","lu_2015_tax_IB-PA-17","lu_2015_tax_IB-EC-17","",""
"","","","","","","","lu_2015_tax_IB-PA-16","lu_2015_tax_IB-EC-16","",""
"","","","","","","","lu_2015_tax_IB-PA-14","lu_2015_tax_IB-EC-14","",""
"","","","","","","","lu_2015_tax_IB-PA-13","lu_2015_tax_IB-EC-13","",""
"","","","","","","","lu_2015_tax_IB-PA-8","lu_2015_tax_IB-EC-8","",""
"","","","","","","","lu_2015_tax_IB-PA-7","lu_2015_tax_IB-EC-7","",""
"","","","","","","","lu_2011_tax_IB-PA-3","lu_2011_tax_IB-EC-3","",""
"","","","","","","","lu_2011_tax_IB-PA-0","lu_2011_tax_IB-EC-0","",""
"","","","","","","","lu_2015_tax_IP-PA-17","lu_2015_tax_IP-EC-17","",""
"","","","","","","","lu_2015_tax_IP-PA-16","lu_2015_tax_IP-EC-16","",""
"","","","","","","","lu_2015_tax_IP-PA-14","lu_2015_tax_IP-EC-14","",""
"","","","","","","","lu_2015_tax_IP-PA-13","lu_2015_tax_IP-EC-13","",""
"","","","","","","","lu_2015_tax_IP-PA-8","lu_2015_tax_IP-EC-8","",""
"","","","","","","","lu_2015_tax_IP-PA-7","lu_2015_tax_IP-EC-7","",""
"","","","","","","","lu_2011_tax_IP-PA-3","lu_2011_tax_IP-EC-3","",""
"","","","","","","","lu_2011_tax_IP-PA-0","lu_2011_tax_IP-EC-0","",""
"","","","","","","","lu_2015_tax_AB-PA-17","lu_2015_tax_AB-EC-17","",""
"","","","","","","","lu_2015_tax_AB-PA-16","lu_2015_tax_AB-EC-16","",""
"","","","","","","","lu_2015_tax_AB-PA-14","lu_2015_tax_AB-EC-14","",""
"","","","","","","","lu_2015_tax_AB-PA-13","lu_2015_tax_AB-EC-13","",""
"","","","","","","","lu_2015_tax_AB-PA-8","lu_2015_tax_AB-EC-8","",""
"","","","","","","","lu_2015_tax_AB-PA-7","lu_2015_tax_AB-EC-7","",""
"","","","","","","","lu_2011_tax_AB-PA-3","lu_2011_tax_AB-EC-3","",""
"","","","","","","","lu_2011_tax_AB-PA-0","lu_2011_tax_AB-EC-0","",""
"","","","","","","","lu_2015_tax_AP-PA-17","lu_2015_tax_AP-EC-17","",""
"","","","","","","","lu_2015_tax_AP-PA-16","lu_2015_tax_AP-EC-16","",""
"","","","","","","","lu_2015_tax_AP-PA-14","lu_2015_tax_AP-EC-14","",""
"","","","","","","","lu_2015_tax_AP-PA-13","lu_2015_tax_AP-EC-13","",""
"","","","","","","","lu_2015_tax_AP-PA-8","lu_2015_tax_AP-EC-8","",""
"","","","","","","","lu_2015_tax_AP-PA-7","lu_2015_tax_AP-EC-7","",""
"","","","","","","","lu_2011_tax_AP-PA-3","lu_2011_tax_AP-EC-3","",""
"","","","","","","","lu_2011_tax_AP-PA-0","lu_2011_tax_AP-EC-0","",""
