"id","code_prefix_start","code_prefix_end","name","name@de","name@fr"
"account_group_141","141","","Results brought forward","Vorgezogene Ergebnisse","Résultats avancés"
"account_group_1411","1411","","Results brought forward in the process of assignment","Ergebnisvorträge in Zuweisung","Résultats reportés en instance d'affectation"
"account_group_1412","1412","","Results brought forward (assigned)","Ergebnisvorträge (zugewiesen)","Résultats reportés (affectés)"
"account_group_142","142","","Result for the financial year","Ergebnis des Geschäftsjahres","Résultat de l'exercice"
"account_group_15","15","","Interim dividends","Vorabdividenden","Acomptes sur dividendes"
"account_group_16","16","","Capital investment subsidies","Investitionszuschüsse","Subventions d'investissement en capital"
"account_group_161","161","","Subsidies on intangible fixed assets","Subventionen für immaterielle Anlagegüter","Subventions sur les immobilisations incorporelles"
"account_group_1611","1611","","Development costs","Entwicklungskosten","Frais de développement"
"account_group_1612","1612","","Concessions, patents, licences, trademarks and similar rights and assets","Konzessionen, Patente, Lizenzen, Warenzeichen und ähnliche Rechte und Werte","Concessions, brevets, licences, marques et autres droits et actifs similaires"
"account_group_16121","16121","","acquired against payment (except Goodwill)","entgeltlich erworben (außer Goodwill)","acquis à titre onéreux (à l'exception du goodwill)"
"account_group_16122","16122","","created by the undertaking itself","vom Unternehmen selbst geschaffen","créée par l'entreprise elle-même"
"account_group_1613","1613","","Goodwill acquired for consideration","Geschäfts- oder Firmenwert, soweit er entgeltlich erworben wurde","Fonds de commerce, dans la mesure où il a été acquis à titre onéreux"
"account_group_162","162","","Subsidies on tangible fixed assets","Subventionen für Sachanlagen","Subventions sur les immobilisations corporelles"
"account_group_1621","1621","","Subsidies on land, fitting-outs and buildings","Investitionszuschüsse auf Grundstücke, Erschließungen und Bauten","Subventions sur terrains, aménagements et constructions"
"account_group_1622","1622","","Subsidies on plant and machinery","Investitionszuschüsse auf Ttechnische Anlagen und Maschinen","Subventions sur installations techniques et machines"
"account_group_1623","1623","","Subsidies on other fixtures, fittings, tools and equipment (including rolling stock)","Investitionszuschüsse auf sonstige Anlagen, Betriebs- und Geschäftsausstattung (Fuhrpark inbegriffen)","Subventions sur autres installations, outillage et mobilier (y compris matériel roulant)"
"account_group_168","168","","Other capital investment subsidies","Sonstige Kapitalsubventionen","Autres subventions d'investissement en capital"
"account_group_18","18","","Provisions","Bestimmungen","Dispositions"
"account_group_181","181","","Provisions for pensions and similar obligations","Rückstellungen für Pensionen und ähnliche Verpflichtungen","Provisions pour pensions et obligations similaires"
"account_group_182","182","","Provisions for taxation","Steuerrückstellungen","Provisions pour impôts"
"account_group_183","183","","Deferred tax provisions","Rückstellungen für latente Steuern","Provisions pour impôts différés"
"account_group_188","188","","Other provisions","Sonstige Bestimmungen","Autres dispositions"
"account_group_1881","1881","","Operating provisions","Betriebliche Rückstellungen","Provisions d'exploitation"
"account_group_1882","1882","","Financial provisions","Finanzielle Rückstellungen","Provisions financières"
"account_group_19","19","","Debenture loans and amounts owed to credit institutions","Obligationsanleihen und Verbindlichkeiten gegenüber Kreditinstituten","Emprunts obligataires et dettes envers les établissements de crédit"
"account_group_192","192","","Convertible debenture loans","Anleihen mit Wandelschuldverschreibungen","Emprunts obligataires convertibles"
"account_group_1921","1921","","due and payable within one year","fällig und zahlbar innerhalb eines Jahres","exigibles à moins d'un an"
"account_group_1922","1922","","due and payable after more than one year","fällig und zahlbar nach mehr als einem Jahr","exigibles à plus d'un an"
"account_group_193","193","","Non-convertible debenture loans","Nicht konvertierbare Schuldscheindarlehen","Emprunts obligataires non convertibles"
"account_group_1931","1931","","due and payable within one year","fällig und zahlbar innerhalb eines Jahres","exigibles à moins d'un an"
"account_group_1932","1932","","due and payable after more than one year","fällig und zahlbar nach mehr als einem Jahr","exigibles à plus d'un an"
"account_group_194","194","","Amounts owed to credit institutions","Verbindlichkeiten gegenüber Kreditinstituten","Dettes envers les établissements de crédit"
"account_group_1941","1941","","due and payable within one year","fällig und zahlbar innerhalb eines Jahres","exigibles à moins d'un an"
"account_group_1942","1942","","due and payable after more than one year","fällig und zahlbar nach mehr als einem Jahr","exigibles à plus d'un an"
"account_group_2","2","","FORMATION EXPENSES AND FIXED ASSETS ACCOUNTS","KONTEN FÜR GRÜNDUNGSKOSTEN UND ANLAGEVERMÖGEN","COMPTES DE FRAIS D'ÉTABLISSEMENT ET D'IMMOBILISATIONS"
"account_group_20","20","","Formation expenses and similar expenses","Gründungskosten und ähnliche Kosten","Frais d'établissement et frais assimilés"
"account_group_201","201","","Set-up and start-up costs","Gründungs- und Einrichtungskosten","Frais de constitution et de premier établissement"
"account_group_203","203","","Expenses for increases in capital and for various operations (merger, demerger, change of legal form)","Kosten für Kapitalerhöhung und für verschiedene umwandlugsrechtliche Vorgänge (Verschmelzungen, Spaltungen, Formwechsel)","Frais d'augmentation de capital et d'opérations diverses (fusions, scissions, transformations)"
"account_group_204","204","","Loan issuances expenses","Emissionskosten von Anleihen","Frais d'émission d'emprunts"
"account_group_208","208","","Other similar expenses","Sonstige ähnliche Kosten","Autres frais assimilés"
"account_group_21","21","","Intangible fixed assets","Immaterielle Anlagewerte","Immobilisations incorporelles"
"account_group_211","211","","Development costs","Entwicklungskosten","Frais de développement"
"account_group_212","212","","Concessions, patents, licences, trademarks and similar rights and assets","Konzessionen, Patente, Lizenzen, Warenzeichen und ähnliche Rechte und Werte","Concessions, brevets, licences, marques et autres droits et actifs similaires"
"account_group_2121","2121","","acquired for consideration (except Goodwill)","entgeltlich erworben (außer Goodwill)","acquis à titre onéreux (à l'exception du goodwill)"
"account_group_21211","21211","","Concessions","Konzessionen",""
"account_group_21212","21212","","Patents","Patente","Brevets"
"account_group_21213","21213","","Software licences","Software- und Softwarepaketlizenzen","Licences informatiques"
"account_group_21214","21214","","Trademarks and franchises","Warenzeichen und Verkaufskonzession / Alleinverkaufsrecht","Marques et franchises"
"account_group_21215","21215","","Similar rights and assets","Ähnliche Rechte und Werte","Droits et biens similaires"
"account_group_212151","212151","","Copyrights and reproduction rights","Urheber- und Reproduktionsrechte","Droits d'auteur et de reproduction"
"account_group_212152","212152","","Greenhous gas and similar emission quotas","Quoten für Treibhausgas und ähnliche Emissionen","Quotas d'émission de gaz à effet de serre et similaires"
"account_group_212158","212158","","Other similar rights and assets acquired for consideration","Sonstige entgeltlich erworbene Rechte und Werte","Autres droits et valeurs similaires acquis à titre onéreux"
"account_group_2122","2122","","created by the undertaking itself","vom Unternehmen selbst geschaffen","créée par l'entreprise elle-même"
"account_group_21221","21221","","Concessions","Konzessionen",""
"account_group_21222","21222","","Patents","Patente","Brevets"
"account_group_21223","21223","","Software licences","Software- und Softwarepaketlizenzen","Licences informatiques"
"account_group_21224","21224","","Trademarks and franchises","Warenzeichen und Verkaufskonzession / Alleinverkaufsrecht","Marques et franchises"
"account_group_21225","21225","","Similar rights and assets","Ähnliche Rechte und Werte","Droits et biens similaires"
"account_group_212251","212251","","Copyrights and reproduction rights","Urheber- und Reproduktionsrechte","Droits d'auteur et de reproduction"
"account_group_212258","212258","","Other similar rights and assets created by the undertaking itself","Sonstige vergleichbare vom Unternehmen selbst erstellte Rechte und Werte","Autres droits et valeurs similaires créés par l'entreprise elle-même"
"account_group_213","213","","Goodwill acquired for consideration","Geschäfts- oder Firmenwert, soweit er entgeltlich erworben wurde","Fonds de commerce, dans la mesure où il a été acquis à titre onéreux"
"account_group_214","214","","Down payments and intangible fixed assets under development","Geleistete Anzahlungen und immaterielle Vermögensgegenstände in Entwicklung","Acomptes versés et immobilisations incorporelles en cours"
"account_group_22","22","","Tangible fixed assets","Materielle Anlagewerte","Immobilisations corporelles"
"account_group_221","221","","Land, fixtures and fitting-outs and buildings","Grundstücke, Einrichtungsgegenstände und Gebäude","Terrains, agencements, aménagements et constructions"
"account_group_2211","2211","","Land","Grundstücke","Terrains"
"account_group_22111","22111","","Land in Luxembourg","Grundstücke in Luxemburg","Terrains au Luxembourg"
"account_group_221111","221111","","Developed land","Bebaute Grundstücke","Terrains bâtis"
"account_group_221112","221112","","Property rights and similar","Immobilien- / Eigentumsrechte auf Sachanlagen und ähnliche","Droits immobiliers et assimilés"
"account_group_221118","221118","","Other land","Sonstige Grundstücke","Autres terrains"
"account_group_22112","22112","","Land in foreign countries","Grundstücke im Ausland","Terrains à l'étranger"
"account_group_2212","2212","","Fixtures and fittings-out of land","Betriebs- und Geschäftsausstattung - außerhalb von Grundstücken","Agencements et aménagements des terrains"
"account_group_22121","22121","","Fixtures and fitting-outs of land in Luxembourg","Erschließung von Grundstücken in Luxembourg","Agencements et aménagements de terrains au Luxembourg"
"account_group_22122","22122","","Fixtures and fitting-outs of land in foreign countries","Erschließung von Grundstücken im Ausland","Agencements et aménagements de terrains à l'étranger"
"account_group_2213","2213","","Buildings","Bauten/Gebäude","Constructions / Bâtiments"
"account_group_22131","22131","","Buildings in Luxembourg","Gebäude in Luxemburg","Bâtiments au Luxembourg"
"account_group_221311","221311","","Residential buildings","Wohngebäude","Constructions / Bâtiments résidentiels"
"account_group_221312","221312","","Non-residential buildings","Zweckbauten","Constructions / Bâtiments non résidentiels"
"account_group_221313","221313","","Mixed-use buildings","Mischnutzungsbauten","Constructions / Bâtiments à usage mixte"
"account_group_221318","221318","","Other buildings","Sonstige Bauten / Gebäude","Autres constructions / bâtiments"
"account_group_22132","22132","","Buildings in foreign countries","Bauten / Gebäude im Ausland","Constructions / Bâtiments à l'étranger"
"account_group_2214","2214","","Fixtures and fitting-outs of buildings","Einrichtungen und Ausstattungen von Gebäuden","Aménagements et installations des bâtiments"
"account_group_22141","22141","","Fixtures and fitting-outs of buildings in Luxembourg","Einrichtung von Bauten / Gebäuden in Luxemburg","Agencements et aménagements de constructions / bâtiments au Luxembourg"
"account_group_22142","22142","","Fixtures and fitting-outs of buildings in foreign countries","Einrichtung von Bauten / Gebäuden im Ausland","Agencements et aménagements de constructions / bâtiments à l'étranger"
"account_group_2215","2215","","Investment properties","Anlageimmobilien","Immeubles de placement"
"account_group_22151","22151","","Investment properties in Luxembourg","Anlageimmobilien in Luxembourg","Immeubles de placement au Luxembourg"
"account_group_22152","22152","","Investment properties in foreign countries","Anlageimmobilien im Ausland","Immeubles de placement à l'étranger"
"account_group_222","222","","Plant and machinery","Technische Anlagen und Maschinen","Installations techniques et machines"
"account_group_2221","2221","","Plant","Technische Anlagen","Installations techniques"
"account_group_2222","2222","","Machinery","Maschinen","Machines"
"account_group_223","223","","Other fixtures and fittings, tools and equipment (including rolling stock)","Sonstige Anlagen, Betriebs- und Geschäftsausstattung (Fuhrpark inbegriffen)","Autres installations, outillage et mobilier (y compris matériel roulant)"
"account_group_2231","2231","","Transportation and handling equipment","Transport- und Wartungsmittel","Equipement de transport et de manutention"
"account_group_2232","2232","","Motor vehicles","Transportfahrzeuge","Véhicules de transport"
"account_group_2233","2233","","Tools","Werkzeuge","Outillage"
"account_group_2234","2234","","Furniture","Mobiliar","Mobilier"
"account_group_2235","2235","","Computer equipment","IT-Ausstattung","Matériel informatique"
"account_group_2236","2236","","Livestock","Viehbestand","Cheptel"
"account_group_2237","2237","","Returnable packaging","Wiederverwendbare Verpackungen","Emballages récupérables"
"account_group_2238","2238","","Other fixtures","Sonstige Anlagen","Autres installations"
"account_group_224","224","","Down payments and tangible fixed assets under development","Anzahlungen und in Entwicklung befindliche Sachanlagen","Acomptes et immobilisations corporelles en cours de développement"
"account_group_2241","2241","","Land, fitting-outs and buildings","Grundstücke, Ausstattungen und Gebäude","Terrains, aménagements et bâtiments"
"account_group_22411","22411","","Land, fitting-outs and buildings in Luxembourg","Grundstücke, Erschließungen, Einrichtungen und Bauten in Luxemburg","Terrains, aménagements et constructions au Luxembourg"
"account_group_22412","22412","","Land, fitting-outs and buildings in foreign countries","Grundstücke, Erschließungen, Einrichtungen und Bauten im Ausland","Terrains, aménagements et constructions à l'étranger"
"account_group_2242","2242","","Plant and machinery","Technische Anlagen und Maschinen","Installations techniques et machines"
"account_group_2243","2243","","Other fixtures and fittings, tools and equipment (including rolling stock)","Sonstige Anlagen, Betriebs- und Geschäftsausstattung (Fuhrpark inbegriffen)","Autres installations, outillage et mobilier (y compris matériel roulant)"
"account_group_23","23","","Financial fixed assets","Finanzielle Anlagewerte","Immobilisations financières"
"account_group_231","231","","Shares in affiliated undertakings","Anteile an verbundenen Unternehmen","Parts dans des entreprises liées"
"account_group_232","232","","Amounts owed by affiliated undertakings","Forderungen gegen verbundene Unternehmen","Créances sur des entreprises liées"
"account_group_233","233","","Participating interests","Anteile","Participations"
"account_group_234","234","","Amounts owed by undertakings with which the undertaking is linked by virtue of participating interests","Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Créances sur des entreprises avec lesquelles l'entreprise a un lien de participation"
"account_group_235","235","","Securities held as fixed assets","Wertpapiere des Anlagevermögens","Titres ayant le caractère d'immobilisations"
"account_group_2351","2351","","Securities held as fixed assets (equity right)","Wertpapiere des Anlagevermögens (Eigenkapitalrecht)","Titres détenus en tant qu'actifs immobilisés (droit de participation)"
"account_group_23511","23511","","Shares or corporate units","Aktien oder Unternehmensanteile","Actions ou parts sociales"
"account_group_235111","235111","","Listed shares","Notierte Aktien","Actions cotées"
"account_group_235112","235112","","Unlisted shares","Nicht notierte Aktien","Actions non cotées"
"account_group_23518","23518","","Other securities held as fixed assets (equity right)","Sonstige Wertpapiere des Anlagevermögens (Eigentumsrecht)","Autres titres immobilisés (droit de propriété)"
"account_group_2352","2352","","Securities held as fixed assets (creditor's right)","Wertpapiere des Anlagevermögens (Recht des Gläubigers)","Titres immobilisés (droit du créancier)"
"account_group_23521","23521","","Debentures","Anleihen","Obligations"
"account_group_23528","23528","","Other securities held as fixed assets (creditor's right)","Sonstige Wertpapiere des Anlagevermögens (Forderungsrecht)","Autres titres immobilisés (droit de créance)"
"account_group_2353","2353","","Shares of collective investment funds","OPC Anteile","Parts d'OPC"
"account_group_2358","2358","","Other securities held as fixed assets","Sonstige Wertpapiere des Anlagevermögens","Autres titres ayant le caractère d'immobilisations"
"account_group_236","236","","Loans, deposits and claims held as fixed assets","Ausleihungen, geleistete Hinterlegungen und Forderungen (Anlagevermögen)","Prêts, dépôts et créances immobilisés"
"account_group_2361","2361","","Loans","Ausleihungen","Prêts"
"account_group_2362","2362","","Deposits and guarantees paid","Geleistete Hinterlegungen und Kautionen","Dépôts et cautionnements versés"
"account_group_2363","2363","","Long-term receivables","Forderungen","Créances immobilisées"
"account_group_3","3","","INVENTORIES ACCOUNTS","BESTANDSKONTEN","COMPTES D'INVENTAIRE"
"account_group_30","30","","Inventories of raw materials and consumables","Vorräte an Roh-, Hilfs- und Betriebsstoffen","Stocks de matières premières et consommables"
"account_group_301","301","","Inventories of raw materials","Vorräte an Rohstoffen","Stocks de matières premières"
"account_group_303","303","","Inventories of consumable materials and supplies","Vorräte an Hilfs-und Betriebsstoffen","Stocks de matières et fournitures consommables"
"account_group_304","304","","Inventories of packaging","Vorräte an Verpackungen","Stocks d'emballages"
"account_group_31","31","","Inventories of work and contracts in progress","Vorräte an unfertigen Erzeugnissen und laufenden Aufträgen","Stocks de travaux et de contrats en cours"
"account_group_311","311","","Inventories of work in progress","Vorräte an unfertigen Erzeugnissen","Stocks de produits en cours de fabrication"
"account_group_312","312","","Contracts in progress - goods","In Arbeit befindlichen Aufträge - Waren","Commandes en cours – produits"
"account_group_313","313","","Contracts in progress - services","In Arbeit befindlichen Aufträge - Dienstleistungen","Commandes en cours – prestations de services"
"account_group_314","314","","Buildings under construction","Im Bau befindliche Bauten / Gebäude","Immeubles en construction"
"account_group_315","315","","Down payments received on inventories of work and on contracts in progress","Erhaltene Anzahlungen auf Vorräte an Bauleistungen und auf laufende Aufträge","Acomptes reçus sur stocks de travaux et sur commandes en cours d'exécution"
"account_group_32","32","","Inventories of goods","Vorräte an Waren","Stocks de marchandises"
"account_group_321","321","","Inventories of finished goods","Vorräte an fertigen Erzeugnissen","Stocks de produits finis"
"account_group_322","322","","Inventories of semi-finished goods","Vorräte an Zwischenprodukten","Stocks de produits intermédiaires"
"account_group_323","323","","Inventories of residual goods (waste, rejected and recuperable material)","Vorräte an Restprodukten","Stocks de produits résiduels (déchets, rebuts, matières de récupération)"
"account_group_36","36","","Inventories of merchandises and other goods for resale","Vorräte an Handelswaren und sonstigen Waren zum Wiederverkauf","Stocks de marchandises et autres biens destinés à la revente"
"account_group_361","361","","Inventories of merchandise","Vorräte an Waren","Stocks de marchandises"
"account_group_362","362","","Inventories of land for resale","Vorräte an zum Wiederverkauf bestimmten Grundstücken","Stocks de terrains destinés à la revente"
"account_group_3621","3621","","Inventories of land for resale in Luxembourg","Vorräte an, zum Verkauf bestimmten, Grundstücken in Luxemburg","Stocks de terrains au Luxembourg"
"account_group_3622","3622","","Inventories of land for resale in foreign countries","Vorräte an, zum Verkauf bestimmten, Grundstücken im Ausland","Stocks de terrains à l'étranger"
"account_group_363","363","","Inventories of buildings for resale","Vorräte an Gebäuden zum Wiederverkauf","Stocks de bâtiments destinés à la revente"
"account_group_3631","3631","","Inventories of buildings for resale in Luxembourg","Vorräte an, zum Verkauf bestimmten, Bauten / Gebäuden in Luxemburg","Stocks d'immeubles au Luxembourg"
"account_group_3632","3632","","Inventories of buildings for resale in foreign countries","Vorräte an, zum Verkauf bestimmten, Bauten / Gebäuden im Ausland","Stocks d'immeubles à l'étranger"
"account_group_37","37","","Down payments on account on inventories","Geleistete Anzahlungen auf Vorräte","Acomptes versés sur stocks"
"account_group_4","4","","DEBTORS AND CREDITORS","SCHULDNER UND GLÄUBIGER","DÉBITEURS ET CRÉANCIERS"
"account_group_40","40","","Trade receivables (Receivables from sales and rendering of services)","Forderungen aus Lieferungen und Leistungen (Forderungen aus Verkäufen und Dienstleistungen)","Créances commerciales (créances résultant de ventes et de prestations de services)"
"account_group_401","401","","Trade receivables due and payable within one year","Forderungen aus Lieferungen und Leistungen, die innerhalb eines Jahres fällig sind","Créances commerciales exigibles à moins d'un an"
"account_group_4011","4011","","Customers","Kunden","Clients"
"account_group_4012","4012","","Customers - Receivable bills of exchange","Kunden - Einzutreibende Wechsel (Besitzwechsel)","Clients – Effets à recevoir"
"account_group_4013","4013","","Doubtful or disputed customers","Zweifelhafte oder strittige Kunden","Clients douteux ou litigieux"
"account_group_4014","4014","","Customers - Unbilled sales","Noch auszustellende Rechnungen","Clients – Factures à établir"
"account_group_4015","4015","","Customers with a credit balance","Kunden - Kreditorische Debitoren","Clients créditeurs"
"account_group_4019","4019","","Value adjustments","Wertberichtigungen","Corrections de valeur"
"account_group_402","402","","Trade receivables due and payable after more than one year","Forderungen aus Lieferungen und Leistungen mit einer Restlaufzeit von mehr als einem Jahr","Créances commerciales à plus d'un an"
"account_group_4021","4021","","Customers","Kunden","Clients"
"account_group_4025","4025","","Customers with creditor balance","Kreditorische Debitoren","Clients créditeurs"
"account_group_4029","4029","","Value adjustments","Wertberichtigungen","Corrections de valeur"
"account_group_41","41","","Amounts owed by affiliated undertakings and by undertakings with which the undertaking is linked by virtue of participating interests","Forderungen gegen verbundene Unternehmen und gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Créances sur des entreprises liées et sur des entreprises avec lesquelles l'entreprise est liée par des participations"
"account_group_411","411","","Amounts owed by affiliated undertakings","Forderungen gegen verbundene Unternehmen","Créances sur des entreprises liées"
"account_group_4111","4111","","Amounts owed by affiliated undertakings receivable within one year","Forderungen gegen verbundene Unternehmen, die innerhalb eines Jahres fällig sind","Créances sur des entreprises liées à moins d'un an"
"account_group_41111","41111","","Trade receivables","Verkäufe und Dienstleistungen","Ventes et prestations de services"
"account_group_41112","41112","","Loans and advances","Ausleihungen und geleistete Anzahlungen","Prêts et avances"
"account_group_41118","41118","","Other receivables","Sonstige Forderungen","Autres créances"
"account_group_41119","41119","","Value adjustments","Wertberichtigungen","Corrections de valeur"
"account_group_4112","4112","","Amounts owed by affiliated undertakings receivable after more than one year","Forderungen an verbundene Unternehmen mit einer Laufzeit von mehr als einem Jahr","Créances sur des entreprises liées à plus d'un an"
"account_group_41121","41121","","Trade receivables","Verkäufe und Dienstleistungen","Ventes et prestations de services"
"account_group_41122","41122","","Loans and advances","Ausleihungen und geleistete Anzahlungen","Prêts et avances"
"account_group_41128","41128","","Other receivables","Sonstige Forderungen","Autres créances"
"account_group_41129","41129","","Value adjustments","Wertberichtigungen","Corrections de valeur"
"account_group_412","412","","Amounts owed by undertakings with which the undertaking is linked by virtue of participating interests","Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Créances sur des entreprises avec lesquelles l'entreprise a un lien de participation"
"account_group_4121","4121","","Amounts owed by undertakings with which the undertaking is linked by virtue of participating interests receivable within one year","Forderungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, die innerhalb eines Jahres fällig sind","Créances sur des entreprises avec lesquelles l'entreprise est liée par des participations à recevoir dans un délai d'un an"
"account_group_41211","41211","","Trade receivables","Verkäufe und Dienstleistungen","Ventes et prestations de services"
"account_group_41212","41212","","Loans and advances","Ausleihungen und geleistete Anzahlungen","Prêts et avances"
"account_group_41218","41218","","Other receivables","Sonstige Forderungen","Autres créances"
"account_group_41219","41219","","Value adjustments","Wertberichtigungen","Corrections de valeur"
"account_group_4122","4122","","Amounts receivable after more than one year","Forderungen mit einer Laufzeit von mehr als einem Jahr","Créances à plus d'un an"
"account_group_41221","41221","","Trade receivables","Verkäufe und Dienstleistungen","Ventes et prestations de services"
"account_group_41222","41222","","Loans and advances","Ausleihungen und geleistete Anzahlungen","Prêts et avances"
"account_group_41228","41228","","Other receivables","Sonstige Forderungen","Autres créances"
"account_group_41229","41229","","Value adjustments","Wertberichtigungen","Corrections de valeur"
"account_group_42","42","","Other receivables","Sonstige Forderungen","Autres créances"
"account_group_421","421","","Other receivables within one year","Sonstige Forderungen innerhalb eines Jahres","Autres créances à moins d'un an"
"account_group_4211","4211","","Staff - Advances and down payments","Personal - Vorschüsse und Anzahlungen","Personnel - Avances et acomptes"
"account_group_42111","42111","","Advances and down payments","Vorschüsse und geleistete Anzahlungen","Avances et acomptes"
"account_group_42119","42119","","Value adjustments","Wertberichtigungen","Corrections de valeur"
"account_group_4212","4212","","Amounts owed by partners and shareholders (others than from affiliated undertakings)","Forderungen gegen Gesellschafter und Aktionäre (andere als von verbundenen Unternehmen)","Créances sur associés ou actionnaires (autres qu'entreprises liées)"
"account_group_4213","4213","","State - Subsidies to be received","Staat - Zu erhaltende Subventionen","État - Subventions à recevoir"
"account_group_42131","42131","","Investment subsidies","Investitionszuschüsse","Subventions d'investissement"
"account_group_42132","42132","","Operating subsidies","Betriebszuschüsse","Subventions d'exploitation"
"account_group_42138","42138","","Other subsidies","Sonstige Zuschüsse","Autres subventions"
"account_group_4214","4214","","Direct Tax Authority (ACD)","Direkte Steuerbehörde (ACD)","Autorité des impôts directs (ACD)"
"account_group_42141","42141","","Corporate income tax","Körperschaftssteuer","Impôt sur le revenu des collectivités (IRC)"
"account_group_42142","42142","","Municipal business tax","Gewerbesteuer","Impôt commercial communal (ICC)"
"account_group_42143","42143","","Net wealth tax","Vermögenssteuer","Impôt sur la fortune (IF)"
"account_group_42144","42144","","Withholding tax on wages and salaries","Einbehaltene Steuer auf Gehälter und Löhne","Retenue d'impôt sur traitements et salaires (RTS)"
"account_group_42145","42145","","Withholding tax on financial investment income","Einbehaltene Kapitalertragsteuer","Retenue d'impôt sur revenus de capitaux mobiliers"
"account_group_42146","42146","","Withholding tax on director's fees","Einbehaltene Steuer auf Tantiemen","Retenue d'impôt sur les tantièmes"
"account_group_42148","42148","","ACD - Other amounts receivable","ACD - Sonstige Verbindlichkeiten","ACD – Autres créances"
