"id","name","tax_group_id","amount","amount_type","type_tax_use","description","invoice_label","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@ru"
"l10n_kz_tax_vat_20_purchase_eeu","20% EEU","tax_group_vat_20","20.0","percent","purchase","20% EEU","Euroasian Economic Union VAT 20%","","base","invoice","+Imports from member states of the EEU net","","20% ЕАЭС"
"","","","","","","","","","tax","invoice","+Imports from member states of the EEU tax","kz1420",""
"","","","","","","","","","base","refund","+Imports from member states of the EEU net","",""
"","","","","","","","","","tax","refund","+Imports from member states of the EEU tax","kz1420",""
"l10n_kz_tax_vat_exempt_sale","0% EXEMPT","tax_group_vat_exempt","0.0","percent","sale","Exempt","VAT Exempt","","base","invoice","+Turnover exempt from VAT net","","Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Turnover exempt from VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_purchase","0% EXEMPT","tax_group_vat_exempt","0.0","percent","purchase","Exempt","VAT Exempt","","base","invoice","+Purchases without VAT net","","Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Purchases without VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_sale_export","0% EXEMPT EX","tax_group_vat_exempt","0.0","percent","sale","Exempt EX","Export VAT Exempt","","base","invoice","+Turnover exempt from VAT net","","Экспорт/Импорт Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Turnover exempt from VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_purchase_import","0% EXEMPT EX","tax_group_vat_exempt","0.0","percent","purchase","Exempt EX","Import VAT Exempt","","base","invoice","+Exempted imports of goods net","","Экспорт/Импорт Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Exempted imports of goods net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_sale_eeu","0% EXEMPT EEU","tax_group_vat_exempt","0.0","percent","sale","Exempt EEU","Euroasian Economic Union VAT Exempt","","base","invoice","+Turnover exempt from VAT net","","ЕАЭС Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Turnover exempt from VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_exempt_purchase_eeu","0% EXEMPT EEU","tax_group_vat_exempt","0.0","percent","purchase","Exempt EEU","Euroasian Economic Union VAT Exempt","","base","invoice","+Exempted imports of goods net","","ЕАЭС Без НДС"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Exempted imports of goods net","",""
"","","","","","","","","","tax","refund","","",""
