id,name,description
,334,Enajenación de derechos representativos de capital y otros derechos no cotizados en bolsa ecuatoriana
,335,Por loterías, rifas, apuestas y similares
,336,Por venta de combustibles a comercializadoras
,337,Por venta de combustibles a distribuidores
,338,Compra local de banano a productor
,339,Liquidación impuesto único a la venta local de banano de producción propia
,340,Impuesto único a la exportación de banano de producción propia - componente 1
,341,Impuesto único a la exportación de banano de producción propia - componente 2
,342,Impuesto único a la exportación de banano producido por terceros
,342A,Impuesto único a la exportación de banano producido por terceros de Asociaciones de micro y pequeños productores hasta 1000 cajas por semana por cada socio
,342B,Impuesto único a la exportación de banano producido por terceros de Asociaciones de micro, pequeños y medianos productores
,343A,Por energía eléctrica
,343B,Por actividades de construcción de obra material inmueble, urbanización, lotización o actividades similares
,344,Otras retenciones aplicables el 2%
,344A,Pago local tarjeta de crédito reportada por la Emisora de tarjeta de crédito, solo recap
,346A,Ganancias de capital
,500,Pago al exterior - Rentas Inmobiliarias
,501,Pago al exterior - Beneficios Empresariales
,502,Pago al exterior - Servicios Empresariales
,503,Pago al exterior - Navegación Marítima y/o aérea
,504,Pago al exterior- Dividendos distribuidos a personas naturales
,504A,Pago al exterior - Dividendos a sociedades no paraíso fiscal cuyo beneficiario efectivo sea una PN residente en el Ecuador- Cuando la sociedad que distribuye aplicó tarifa del 22% IR
,504B,Pago al exterior - Anticipo dividendos
,504C,Pago al exterior - Dividendos anticipados préstamos accionistas, beneficiarios o partícipes
,504D,Pago al exterior - Dividendos a fideicomisos no paraíso fiscal cuyo beneficiario efectivo sea una PN residente en el Ecuador- Cuando la sociedad que distribuye aplicó tarifa del 22% IR
,504E,Pago al exterior- Dividendos distribuidos a personas naturales (paraísos fiscales)
,504F,Pago al exterior - Dividendos a sociedades  (paraísos fiscales)
,504G,Pago al exterior - Anticipo dividendos  (paraísos fiscales)
,504H,Pago al exterior - Dividendos a fideicomisos  (paraísos fiscales)
,505,Pago al exterior - Rendimientos financieros
,505A,Pago al exterior – Intereses de créditos de Instituciones Financieras del exterior
,505B,Pago al exterior – Intereses de créditos de gobierno a gobierno
,505C,Pago al exterior – Intereses de créditos de organismos multilaterales
,505D,Pago al exterior - Intereses por financiamiento de proveedores externos
,505E,Pago al exterior - Intereses de otros créditos externos
,505F,Pago al exterior - Otros Intereses y Rendimientos Financieros
,509,Pago al exterior - Cánones, derechos de autor,  marcas, patentes y similares
,509A,Pago al exterior - Regalías por concepto de franquicias
,510,Pago al exterior - Ganancias de capital
,511,Pago al exterior - Servicios profesionales independientes
,512,Pago al exterior - Servicios profesionales dependientes
,513,Pago al exterior - Artistas
,513A,Pago al exterior - Deportistas
,514,Pago al exterior - Participación de consejeros
,515,Pago al exterior - Entretenimiento Público
,516,Pago al exterior - Pensiones
,517,Pago al exterior - Reembolso de Gastos
,518,Pago al exterior - Funciones Públicas
,519,Pago al exterior - Estudiantes
,520,Pago al exterior - Otros conceptos de ingresos gravados
,520A,Pago al exterior - Pago a proveedores de servicios hoteleros y turísticos en el exterior
,520B,Pago al exterior - Arrendamientos mercantil internacional
,520D,Pago al exterior - Comisiones por exportaciones y por promoción de turismo receptivo
,520E,Pago al exterior - Por las empresas de transporte marítimo o aéreo y por empresas pesqueras de alta mar, por su actividad.
,520F,Pago al exterior - Por las agencias internacionales de prensa
,520G,Pago al exterior - Contratos de fletamento de naves para empresas de transporte aéreo o marítimo internacional
,521,Pago al exterior - Enajenación de derechos representativos de capital y otros derechos 
,522A,Pago al exterior - Servicios técnicos, administrativos o de consultoría y regalías con convenio de doble tributación
,522B,Pago al exterior - Servicios técnicos, administrativos o de consultoría y regalías sin convenio de doble tributación
,522C,Pago al exterior - Servicios técnicos, administrativos o de consultoría y regalías en paraísos fiscales
,523A,Pago al exterior - Seguros y reaseguros (primas y cesiones)  con convenio de doble tributación
,523B,Pago al exterior - Seguros y reaseguros (primas y cesiones) sin convenio de doble tributación
,523C,Pago al exterior - Seguros y reaseguros (primas y cesiones) en paraísos fiscales
,524,Pago al exterior - Otros pagos al exterior no sujetos a retención 
