id,chart_template_id/id,code,account_type,name,reconcile
l10n_jp_330800,l10n_jp_chart_template,330800,liability_current,Consumption Tax - Sales,FALSE
l10n_jp_330900,l10n_jp_chart_template,330900,liability_current,Bonds Payable,FALSE
l10n_jp_331000,l10n_jp_chart_template,331000,liability_current,Long-term Loans Payable,FALSE
l10n_jp_331100,l10n_jp_chart_template,331100,liability_current,Provision for Retirement Benefits,FALSE
l10n_jp_410000,l10n_jp_chart_template,410000,income,Net Sales,FALSE
l10n_jp_424000,l10n_jp_chart_template,424000,income,Foreign Exchange Gain,FALSE
l10n_jp_425000,l10n_jp_chart_template,425000,income_other,Cash Discount Gain,FALSE
l10n_jp_425200,l10n_jp_chart_template,425200,income_other,Purchase Price Difference,FALSE
l10n_jp_425300,l10n_jp_chart_template,425300,income_other,Inventory Adjustment,FALSE
l10n_jp_425400,l10n_jp_chart_template,425400,income_other,Interest Income,FALSE
l10n_jp_425500,l10n_jp_chart_template,425500,income_other,Dividend Income,FALSE
l10n_jp_425600,l10n_jp_chart_template,425600,income_other,Provision of Exchange Gain,FALSE
l10n_jp_425700,l10n_jp_chart_template,425700,income_other,Actual Exchange Gain,FALSE
l10n_jp_425800,l10n_jp_chart_template,425800,income_other,Gain on Investment Securities,FALSE
l10n_jp_425900,l10n_jp_chart_template,425900,income_other,Gain on Valuation of Investment Securities,FALSE
l10n_jp_426000,l10n_jp_chart_template,426000,income_other,Miscellaneous Income,FALSE
l10n_jp_426100,l10n_jp_chart_template,426100,income_other,Gain on Non-current Asset,FALSE
l10n_jp_426200,l10n_jp_chart_template,426200,income_other,Gain on Valuation of Non-current Asset,FALSE
l10n_jp_510000,l10n_jp_chart_template,510000,expense,Cost of Goods Sold,FALSE
l10n_jp_510100,l10n_jp_chart_template,510100,expense,Cash Difference Loss,FALSE
l10n_jp_510200,l10n_jp_chart_template,510200,expense,Cash Discount Loss,FALSE
l10n_jp_510300,l10n_jp_chart_template,510300,expense,Provision of Allowance for Doubtful Debt,FALSE
l10n_jp_510400,l10n_jp_chart_template,510400,expense,Director's Remuneration,FALSE
l10n_jp_510500,l10n_jp_chart_template,510500,expense,Salaries & Allowance,FALSE
l10n_jp_510600,l10n_jp_chart_template,510600,expense,Bonus,FALSE
l10n_jp_510700,l10n_jp_chart_template,510700,expense,Retirement Payment,FALSE
l10n_jp_510800,l10n_jp_chart_template,510800,expense,Provision for Bonuses,FALSE
l10n_jp_510900,l10n_jp_chart_template,510900,expense,Provision for Retirement Benefits,FALSE
l10n_jp_511000,l10n_jp_chart_template,511000,expense,Legal Welfare Expenses,FALSE
l10n_jp_511100,l10n_jp_chart_template,511100,expense,Welfare Expenses,FALSE
l10n_jp_511200,l10n_jp_chart_template,511200,expense,Insurance Expenses,FALSE
l10n_jp_511300,l10n_jp_chart_template,511300,expense,Subcontract Expenses,FALSE
l10n_jp_511400,l10n_jp_chart_template,511400,expense,Packaging Expenses,FALSE
l10n_jp_511500,l10n_jp_chart_template,511500,expense,Inventory Usage Expenses,FALSE
l10n_jp_511600,l10n_jp_chart_template,511600,expense,Loss on Valuation of Goods,FALSE
l10n_jp_511700,l10n_jp_chart_template,511700,expense,Rental Expenses,FALSE
l10n_jp_511800,l10n_jp_chart_template,511800,expense,Lease Expenses,FALSE
l10n_jp_511900,l10n_jp_chart_template,511900,expense,Advertisement/Promotion Expenses,FALSE
l10n_jp_512000,l10n_jp_chart_template,512000,expense,Communication Expenses,FALSE
l10n_jp_512100,l10n_jp_chart_template,512100,expense,Consumables Expeneses,FALSE
l10n_jp_512200,l10n_jp_chart_template,512200,expense,Travelling Expenses,FALSE
l10n_jp_512300,l10n_jp_chart_template,512300,expense,Entertainment Expenses,FALSE
l10n_jp_512400,l10n_jp_chart_template,512400,expense,Commission Expenses,FALSE
l10n_jp_512500,l10n_jp_chart_template,512500,expense,Membership Fee,FALSE
l10n_jp-512600,l10n_jp_chart_template,512600,expense,Newspaper/Book Expenses,FALSE
l10n_jp_512700,l10n_jp_chart_template,512700,expense,Tax Expenses,FALSE
l10n_jp_512800,l10n_jp_chart_template,512800,expense,Utility Bills,FALSE
l10n_jp_512900,l10n_jp_chart_template,512900,expense,Meeting Expenses,FALSE
l10n_jp_513000,l10n_jp_chart_template,513000,expense,Other Expenses,FALSE
l10n_jp_513100,l10n_jp_chart_template,513100,expense,Interest Expenses,FALSE
l10n_jp_513200,l10n_jp_chart_template,513200,expense,Amortization of Deferred Organization Expenses,FALSE
l10n_jp_513300,l10n_jp_chart_template,513300,expense,Depreciation,FALSE
l10n_jp_513400,l10n_jp_chart_template,513400,expense,Provision of Exchange Loss,FALSE
l10n_jp_513500,l10n_jp_chart_template,513500,expense,Actual Exchange Loss,FALSE
l10n_jp_513600,l10n_jp_chart_template,513600,expense,Loss on Investment Securities,FALSE
l10n_jp_513700,l10n_jp_chart_template,513700,expense,Loss on Valuation of Investment Securities,FALSE
l10n_jp_513900,l10n_jp_chart_template,513900,expense,Loss on Non-current Asset,FALSE
l10n_jp_514000,l10n_jp_chart_template,514000,expense,Loss on Valuation of Non-current Asset,FALSE
l10n_jp_514300,l10n_jp_chart_template,514300,expense,"Corporate, Inhabitant, and Enterprise Taxes",FALSE
l10n_jp_514500,l10n_jp_chart_template,514500,expense,Transportation and warehousing expenses,FALSE
l10n_jp_999002,l10n_jp_chart_template,999002,income,Cash Difference Gain,FALSE
