"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@nl","invoice_label@nl"
"","","","","","","","","","","base","refund","-1e (omzet)","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"btw_9_d","10","9% ST S","Sales/turnover low services 9%","9% VAT","9.0","percent","sale","tax_group_9","","base","invoice","+1b (omzet)","","","Verkopen/omzet laag diensten 9%","9% BTW"
"","","","","","","","","","","tax","invoice","+1b (BTW)","vat_payable_l_d","","",""
"","","","","","","","","","","base","refund","-1b (omzet)","","","",""
"","","","","","","","","","","tax","refund","-1b (BTW)","vat_payable_l_d","","",""
"btw_21_d","6","21% ST S","Sales/turnover high services","21% VAT","21.0","percent","sale","tax_group_21","","base","invoice","+1a (omzet)","","","Verkopen/omzet hoog diensten","21% BTW"
"","","","","","","","","","","tax","invoice","+1a (BTW)","vat_payable_h_d","","",""
"","","","","","","","","","","base","refund","-1a (omzet)","","","",""
"","","","","","","","","","","tax","refund","-1a (BTW)","vat_payable_h_d","","",""
"btw_overig_d","15","21% ST S O","Sales/turnover other services","variable VAT services","21.0","percent","sale","tax_group_21","","base","invoice","+1a (omzet)","","","Verkopen/omzet overig diensten","variabel BTW diensten"
"","","","","","","","","","","tax","invoice","+1a (BTW)","vat_payable_h_d","","",""
"","","","","","","","","","","base","refund","-1c (omzet)","","","",""
"","","","","","","","","","","tax","refund","-1c (BTW)","vat_payable_h_d","","",""
"btw_9_buy","10","9%","VAT receivable low (purchases) 9%","9% VAT","9.0","percent","purchase","tax_group_9","","base","invoice","","","","BTW te vorderen laag (inkopen) 9%","9% BTW"
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_l","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_l","","",""
"btw_9_buy_incl","10","9% INC","VAT receivable low (purchases incl. VAT) 9%","9% VAT Incl.","9.0","percent","purchase","tax_group_9","True","base","invoice","","","","BTW te vorderen laag (inkopen incl. BTW) 9%","9% BTW Incl."
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_l","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_l","","",""
"btw_21_buy","5","21%","VAT receivable high (purchases)","21% VAT","21.0","percent","purchase","tax_group_21","","base","invoice","","","","BTW te vorderen hoog (inkopen)","21% BTW"
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h","","",""
"btw_21_buy_incl","7","21% INC","VAT receivable high (purchases incl. VAT)","21% VAT Incl.","21.0","percent","purchase","tax_group_21","True","base","invoice","","","","BTW te vorderen hoog (inkopen incl. BTW)","21% BTW Incl."
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h","","",""
"btw_overig_buy","15","21% O","VAT receivable other (purchases)","variable VAT","21.0","percent","purchase","tax_group_21","","base","invoice","","","","BTW te vorderen overig (inkopen) diensten","variabel BTW"
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h","","",""
"btw_9_buy_d","10","9% S","VAT receivable low (purchases) services 9%","9% VAT","9.0","percent","purchase","tax_group_9","","base","invoice","","","","BTW te vorderen laag (inkopen) diensten 9%","9% BTW"
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_l_d","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_l_d","","",""
"btw_21_buy_d","6","21% S","VAT receivable high (purchases) services","21% VAT","21.0","percent","purchase","tax_group_21","","base","invoice","","","","BTW te vorderen hoog (inkopen) diensten","21% BTW"
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h_d","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h_d","","",""
"btw_overig_buy_d","15","21% S O","VAT receivable other (purchases) services","variable VAT services","21.0","percent","purchase","tax_group_21","","base","invoice","","","","BTW te vorderen overig (inkopen) diensten","variabel BTW diensten"
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h_d","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h_d","","",""
"btw_verk_0","15","0% R","Referred VAT to be paid (sales)","0% VAT reverse charge","0.0","percent","sale","tax_group_0","","base","invoice","+1e (omzet)","","","BTW af te dragen verlegd (verkopen)","0% BTW verlegd"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","-1e (omzet)","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"btw_ink_0","15","21% R","Referred VAT to be paid (purchases)","21% VAT reverse charge","21.0","percent","purchase","tax_group_21","","base","invoice","+2a (omzet)","","","BTW af te dragen verlegd (inkopen)","21% BTW verlegd"
"","","","","","","","","","","tax","invoice","+2a (BTW)","vat_payable_v","","",""
"","","","","","","","","","","tax","invoice","-5b (BTW)","vat_payable_v","-100","",""
"","","","","","","","","","","base","refund","-2a (omzet)","","","",""
"","","","","","","","","","","tax","refund","-2a (BTW)","vat_payable_v","","",""
"","","","","","","","","","","tax","refund","+5b (BTW)","vat_payable_v","-100","",""
"btw_I_9","20","9% EX EU","Imports within EU 9%","0% EU","9.0","percent","purchase","tax_group_9","","base","invoice","+4b (omzet)","","","Inkopen import binnen EU laag diensten 9%","0% EU"
"","","","","","","","","","","tax","invoice","-4b (BTW)","vat_payable_l_eu","-100","",""
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_l_eu","","",""
"","","","","","","","","","","base","refund","-4b (omzet)","","","",""
"","","","","","","","","","","tax","refund","+4b (BTW)","vat_payable_l_eu","-100","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_l_eu","","",""
"btw_I_21","20","21% EX EU","Purchases of imports within EU high","21% EU","21.0","percent","purchase","tax_group_21","","base","invoice","+4b (omzet)","","","Inkopen import binnen EU hoog","0% EU"
"","","","","","","","","","","tax","invoice","-4b (BTW)","vat_payable_h_eu","-100","",""
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h_eu","","",""
"","","","","","","","","","","base","refund","-4b (omzet)","","","",""
"","","","","","","","","","","tax","refund","+4b (BTW)","vat_payable_h_eu","-100","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h_eu","","",""
"btw_X0_producten","20","0% EX EU G","Export sales within EU (products)","0% EU","0.0","percent","sale","tax_group_0","","base","invoice","+3bl (omzet)","","","Verkopen export binnen EU (producten)","0% EU"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","-3bl (omzet)","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"btw_X0_ABC_levering","20","0% EX EU T","A-B-C supply chain transactions within the EU","0% EU","0.0","percent","sale","tax_group_0","","base","invoice","+3bt (omzet)","","","ABC-levering binnen EU","0% EU"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","-3bt (omzet)","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"btw_X0_diensten","20","0% EX EU S","Export sales within EU (services)","0% EU","0.0","percent","sale","tax_group_0","","base","invoice","+3bl (omzet)","","","Verkopen export binnen EU (diensten)","0% EU"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","-3bl (omzet)","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"btw_X2","20","0% EU I","Installation/remote sales within EU","Inst./rem. sales within EU","0.0","percent","sale","tax_group_0","","base","invoice","+3c (omzet)","","","Installatie/afstandsverkopen binnen EU","Inst./afst.verkopen binnen EU"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","-3c (omzet)","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"btw_I_9_d","20","9% EX EU S","Purchasing imports within EU low services 9%","0% EU","9.0","percent","purchase","tax_group_9","","base","invoice","+4b (omzet)","","","Inkopen import binnen EU laag diensten 9%","0% EU"
"","","","","","","","","","","tax","invoice","-4b (BTW)","vat_payable_l_d_eu","-100","",""
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_l_d_eu","","",""
"","","","","","","","","","","base","refund","-4b (omzet)","","","",""
"","","","","","","","","","","tax","refund","+4b (BTW)","vat_payable_l_d_eu","-100","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_l_d_eu","","",""
"btw_I_21_d","20","21% EX EU S","Purchasing imports within EU high services","0% EU","21.0","percent","purchase","tax_group_21","","base","invoice","+4b (omzet)","","","Inkopen import binnen EU hoog diensten","0% EU"
"","","","","","","","","","","tax","invoice","-4b (BTW)","vat_payable_h_d_eu","-100","",""
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h_d_eu","","",""
"","","","","","","","","","","base","refund","-4b (omzet)","","","",""
"","","","","","","","","","","tax","refund","+4b (BTW)","vat_payable_h_d_eu","-100","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h_d_eu","","",""
"btw_E1_9","20","9% EX O EU","Buying imports outside EU low 9%","0% Non-EU","9.0","percent","purchase","tax_group_9","","base","invoice","+4a (omzet)","","","Inkopen import buiten EU laag 9%","0% Buiten-EU"
"","","","","","","","","","","tax","invoice","-4a (BTW)","vat_payable_l_non_eu","-100","",""
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_l_non_eu","","",""
"","","","","","","","","","","base","refund","-4a (omzet)","","","",""
"","","","","","","","","","","tax","refund","+4a (BTW)","vat_payable_l_non_eu","-100","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_l_non_eu","","",""
"btw_E2","20","21% EX O EU","Buying imports outside EU high","0% Non-EU","21.0","percent","purchase","tax_group_21","","base","invoice","+4a (omzet)","","","Inkopen import buiten EU hoog","0% Buiten-EU"
"","","","","","","","","","","tax","invoice","-4a (BTW)","vat_payable_h_non_eu","-100","",""
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h_non_eu","","",""
"","","","","","","","","","","base","refund","-4a (omzet)","","","",""
"","","","","","","","","","","tax","refund","+4a (BTW)","vat_payable_h_non_eu","-100","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h_non_eu","","",""
"btw_E_overig","20","21% EX O EU O","VAT import outside EU other purchases","VAT import outside EU other purchases","21.0","percent","purchase","tax_group_21","","base","invoice","+4a (omzet)","","","Inkopen import buiten EU overig","BTW import buiten EU overig inkopen"
"","","","","","","","","","","tax","invoice","-4a (BTW)","vat_payable_h_non_eu","-100","",""
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h_non_eu","","",""
"","","","","","","","","","","base","refund","-4a (omzet)","","","",""
"","","","","","","","","","","tax","refund","+4a (BTW)","vat_payable_h_non_eu","-100","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h_non_eu","","",""
"btw_X1","20","0% EX","Export sales outside EU","VAT export outside EU","0.0","percent","sale","tax_group_0","","base","invoice","+3a (omzet)","","","Verkopen export buiten EU","BTW export buiten EU"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","-3a (omzet)","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"btw_X3","21","0% EX I","Installation/remote sales outside EU","Installation/remote sales outside EU","0.0","percent","sale","tax_group_0","","base","invoice","+3a (omzet)","","","Installatie/afstandsverkopen buiten EU","Inst./afst.verkopen buiten EU"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","-3a (omzet)","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"btw_E1_d_9","20","9% EX O EU S","Purchasing imports outside EU low services 9%","0% Non-EU","9.0","percent","purchase","tax_group_9","","base","invoice","+4a (omzet)","","","Inkopen import buiten EU laag diensten 9%","0% Buiten-EU"
"","","","","","","","","","","tax","invoice","-4a (BTW)","vat_payable_l_d_non_eu","-100","",""
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_l_d_non_eu","","",""
"","","","","","","","","","","base","refund","-4a (omzet)","","","",""
"","","","","","","","","","","tax","refund","+4a (BTW)","vat_payable_l_d_non_eu","-100","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_l_d_non_eu","","",""
"btw_E2_d","20","21% EX O EU S","Purchasing imports outside EU high services","0% Non-EU","21.0","percent","purchase","tax_group_21","","base","invoice","+4a (omzet)","","","Inkopen import buiten EU hoog diensten","0% Buiten-EU"
"","","","","","","","","","","tax","invoice","-4a (BTW)","vat_payable_h_d_non_eu","-100","",""
"","","","","","","","","","","tax","invoice","+5b (BTW)","vat_refund_h_d_non_eu","","",""
"","","","","","","","","","","base","refund","-4a (omzet)","","","",""
"","","","","","","","","","","tax","refund","+4a (BTW)","vat_payable_h_d_non_eu","-100","",""
"","","","","","","","","","","tax","refund","-5b (BTW)","vat_refund_h_d_non_eu","","",""
