"id","name","code"
"ple_usage_type_24","Resultados de IFD con cobertura destinados a la generación de RFP","24"
"ple_usage_type_25","Proveniente de la contratación de IFD sin cobertura destinados a la generación de RFP","25"
"ple_usage_type_26","IFD donde Activo subyacente sea referido al Tipo de Cambio Moneda extranjera. 180 dias. (La Dom es la prestadora del IFD, la No Dom es la que obtiene el resultado)","26"
"ple_usage_type_27","Las obtenidas por la enajenación indirecta de acciones y participaciones representativas del capital de personas jurídicas domiciliadas en el país, cuando la operación cumple las condiciones para ser gravadas en el Perú","27"
"ple_usage_type_28","Se incluye dentro de la enajenación de de empresas no domiciliadas en el país la enajenación de ADR's (American Depositary Receipts) que tengan como subyacente a tales acciones.","28"
"ple_usage_type_29","Sujeto es el No Dom que distribuye por la reducción de capital dentro de los 12 meses anteriores cuando hubiera aumentado su capital como consecuencia de nuevos aportes, de capitalización de créditos o de una reorganización","29"
"ple_usage_type_30","Actividades de Seguros 7% sobre las primas. Comisiones por Reaseguros sobre personas y/o bienes radicados en el país","30"
"ple_usage_type_31","Alquiler de Naves, 8% sobre Ingresos Brutos que perciban por dicha actividad","31"
"ple_usage_type_32","Alquiler de Aeronaves, 60% sobre Ingresos Brutos que perciban por dicha actividad","32"
"ple_usage_type_33","1% por los ingresos brutos del transporte aéreo","33"
"ple_usage_type_34","Excepto Otros transportes no aereos o maritimos que van por los ingresos de la parte prestada en el país","34"
"ple_usage_type_35","2% por los ingresos brutos del fletamiento o transporte marítimo.","35"
"ple_usage_type_36","Empresas por reciprocidad en lineas extranjeras con sedes en esos países","36"
"ple_usage_type_37","Servicio portadores, teleservicios o finales, difusión y de valor añadido. Con excepción de los Servicios Digitales según 4-A","37"
"ple_usage_type_38","10% sobre las remuneraciones brutas que obtengan por el suministro de noticias y, en general, material informativo o gráfico, a personas o entidades domiciliadas o que utilicen dicho material en el país","38"
"ple_usage_type_39","Para su utilización por personas naturales o jurídicas domiciliadas: 20% sobre los ingresos brutos que perciban por el uso de películas sobre los ingresos brutos que perciban por el uso de películas fonográficos, historietas gráficas y cualquier otro medio similar de proyección, reproducción, transmisión o difusión de imágenes o sonidos.","39"
"ple_usage_type_40","En el país o desde el país al exterior y no presten el servicio de transporte 15% de los ingresos brutos que obtengan por dicho suministro.","40"
"ple_usage_type_41","80% de los ingresos brutos que obtengan por el exceso de estadía de contenedores.","41"
"ple_usage_type_42","20% de los ingresos brutos obtenidos por contribuyentes no domiciliados por la cesión de derechos para la retransmisión en televisión en el país de eventos en vivo realizados en el extranjero.","42"
"ple_usage_type_43","Extranjeros que ingresan al país y cuentas con las siguientes calidades especificas a prestar servicios","43"
