type,name,res_id,src,value
selection,"account.payment.term.line,value",0,Procent,Procent
selection,"account.payment.term.line,value",0,Balance,Balance
selection,"account.payment.term.line,value",0,Fixed Amount,Cantidad Fija
selection,"account.payment.term.line,condition",0,Net Days,Dias habiles(netos)
selection,"account.payment.term.line,condition",0,End of Month,Fin de Mes
selection,"account.period,state",0,Draft,Borrador
selection,"account.period,state",0,Done,Hecho
selection,"account.subscription,state",0,Draft,Borrador
selection,"account.subscription,state",0,Running,En Proceso
selection,"account.subscription,state",0,Done,Hecho
selection,"account.subscription,period_type",0,days,Dias
selection,"account.subscription,period_type",0,month,Mes
selection,"account.subscription,period_type",0,year,Año
selection,"account.tax,applicable_type",0,True,VERDADERO
selection,"account.tax,applicable_type",0,Python Code,Codigo Python
selection,"account.tax,type",0,Percent,Porcentaje
selection,"account.tax,type",0,Fixed,Fijo
selection,"account.tax,type",0,None,Nada
selection,"account.tax,type",0,Python Code,Codigo Python
selection,"account.tax,tax_group",0,VAT,
selection,"account.tax,tax_group",0,Other,
selection,"account.transfer,type",0,Undefined,Din Definir
selection,"account.transfer,type",0,Incoming Customer Payment,Entrada Pago Cliente
selection,"account.transfer,type",0,Outgoing Supplier Payment,Salida Pago Proveedor
selection,"account.transfer,type",0,Direct Expense,Gastos Directos
selection,"account.transfer,type",0,Money Transfer,Transferencia Dinero
selection,"account.transfer,type",0,Currency Change,Cambio Dinero
selection,"account.transfer,type",0,Customer Refund,Devolucion Cliente
selection,"account.transfer,type",0,Manual Sale,Venta manual
selection,"account.transfer,state",0,draft,Estado
selection,"account.transfer,state",0,posted,Fijado
rml,account.grand.livre,0,General ledger,
rml,account.grand.livre,0,From,
rml,account.grand.livre,0,to,
rml,account.grand.livre,0,Complete,
rml,account.grand.livre,0,Currency:,
rml,account.grand.livre,0,Printing date:,
rml,account.grand.livre,0,at,
rml,account.grand.livre,0,Date,
rml,account.grand.livre,0,J. code,
rml,account.grand.livre,0,Voucher Nb,
rml,account.grand.livre,0,Entry label,
rml,account.grand.livre,0,Debit,
rml,account.grand.livre,0,Credit,
rml,account.grand.livre,0,Progressive balance,
rml,account.grand.livre,0,Account total,
rml,account.grand.livre,0,TOTAL:,
rml,account.account.balance,0,Trial balance,
rml,account.account.balance,0,From,
rml,account.account.balance,0,to,
rml,account.account.balance,0,Complete,
rml,account.account.balance,0,Currency:,
rml,account.account.balance,0,Printing date:,
rml,account.account.balance,0,at,
rml,account.account.balance,0,Code,
rml,account.account.balance,0,Account name,
rml,account.account.balance,0,Transactions,
rml,account.account.balance,0,Balance,
rml,account.account.balance,0,Debit,
rml,account.account.balance,0,Credit,
rml,account.account.balance,0,Balance brought forward,
rml,account.partner.balance,0,Third party balance,
rml,account.partner.balance,0,From,
rml,account.partner.balance,0,to,
rml,account.partner.balance,0,Currency:,
rml,account.partner.balance,0,Printing date:,
rml,account.partner.balance,0,at,
rml,account.partner.balance,0,Account number,
rml,account.partner.balance,0,Account name,
rml,account.partner.balance,0,Transactions,
rml,account.partner.balance,0,Balances,
rml,account.partner.balance,0,In dispute,
rml,account.partner.balance,0,Debit,
rml,account.partner.balance,0,Credit,
rml,account.partner.balance,0,Debit,
rml,account.partner.balance,0,Credit,
rml,account.partner.balance,0,Grand total,
rml,account.partner.balance,0,Balance,
rml,account.budget,0,Budget Analysis,
rml,account.budget,0,From,
rml,account.budget,0,to,
rml,account.budget,0,Currency:,
rml,account.budget,0,Printing date:,
rml,account.budget,0,at,
rml,account.budget,0,Budget item detail,
rml,account.budget,0,Account Number,
rml,account.budget,0,Budget,
rml,account.budget,0,Period Budget,
rml,account.budget,0,Performance,
rml,account.budget,0,Spread,
rml,account.budget,0,% performance,
rml,account.budget,0,Total,
rml,account.budget,0,%,
rml,account.budget,0,Results,
rml,account.budget,0,%,
rml,account.central.journal,0,Central Journal,
rml,account.central.journal,0,Currency:,
rml,account.central.journal,0,Printing date:,
rml,account.central.journal,0,at,
rml,account.central.journal,0,Account number,
rml,account.central.journal,0,Account name,
rml,account.central.journal,0,Currency,
rml,account.central.journal,0,Debit,
rml,account.central.journal,0,Credit,
rml,account.central.journal,0,TOTAL:,
rml,account.general.journal,0,General Journal,
rml,account.general.journal,0,Currency:,
rml,account.general.journal,0,Printing date:,
rml,account.general.journal,0,at,
rml,account.general.journal,0,Journal code,
rml,account.general.journal,0,Journal name,
rml,account.general.journal,0,Period,
rml,account.general.journal,0,Debit trans.,
rml,account.general.journal,0,Credit trans.,
rml,account.general.journal,0,Total,
rml,account.general.journal,0,TOTAL:,
rml,account.journal.period.print,0,Journal,
rml,account.journal.period.print,0,Currency:,
rml,account.journal.period.print,0,Printing date:,
rml,account.journal.period.print,0,at,
rml,account.journal.period.print,0,Date,
rml,account.journal.period.print,0,Voucher Nb,
rml,account.journal.period.print,0,Account Number,
rml,account.journal.period.print,0,Third party,
rml,account.journal.period.print,0,Entry label,
rml,account.journal.period.print,0,Debit,
rml,account.journal.period.print,0,Credit,
rml,account.journal.period.print,0,TOTAL:,
rml,account.invoice,0,Tél. :,
rml,account.invoice,0,Fax :,
rml,account.invoice,0,TVA :,
rml,account.invoice,0,Invoice,
rml,account.invoice,0,Refund,
rml,account.invoice,0,Supplier Refund,
rml,account.invoice,0,Supplier Invoice,
rml,account.invoice,0,Document,
rml,account.invoice,0,:,
rml,account.invoice,0,Invoice Date:,
rml,account.invoice,0,Customer Ref:,
rml,account.invoice,0,Description,
rml,account.invoice,0,Taxes,
rml,account.invoice,0,Quantity,
rml,account.invoice,0,Unit Price,
rml,account.invoice,0,Disc.,
rml,account.invoice,0,Net Price,
rml,account.invoice,0,Tax,
rml,account.invoice,0,Base,
rml,account.invoice,0,Amount,
rml,account.invoice,0,Subtotal :,
rml,account.invoice,0,Taxes :,
rml,account.invoice,0,Total :,
xsl,account.transfer,0,Document,Documento
xsl,account.transfer,0,Type,Tipo Software
xsl,account.transfer,0,Reference,Referencia
xsl,account.transfer,0,Partner ID,Empresa ID
xsl,account.transfer,0,Date,Fecha
xsl,account.transfer,0,Amount,Cantidad
xsl,account.transfer,0,Change,Cambiar
rml,account.tax.code.entries,0,Accounting Entries,
rml,account.tax.code.entries,0,Currency:,
rml,account.tax.code.entries,0,Date,
rml,account.tax.code.entries,0,Voucher Nb,
rml,account.tax.code.entries,0,Account Number,
rml,account.tax.code.entries,0,Third party (Country),
rml,account.tax.code.entries,0,Entry label,
rml,account.tax.code.entries,0,Debit,
rml,account.tax.code.entries,0,Credit,
rml,account.tax.code.entries,0,(,
rml,account.tax.code.entries,0,),
rml,account.tax.code.entries,0,TOTAL:,
rml,account.vat.declaration,0,Tax Report,
rml,account.vat.declaration,0,Period:,
rml,account.vat.declaration,0,Currency:,
rml,account.vat.declaration,0,Printing date:,
rml,account.vat.declaration,0,at,
rml,account.vat.declaration,0,Tax Code / Account,
rml,account.vat.declaration,0,General Account,
rml,account.vat.declaration,0,Debit,
rml,account.vat.declaration,0,Credit,
rml,account.vat.declaration,0,Tax Amount,
rml,account.vat.declaration,0,-,
rml,account.analytic.account.journal,0,Analytic journal,
rml,account.analytic.account.journal,0,Period from,
rml,account.analytic.account.journal,0,to,
rml,account.analytic.account.journal,0,Currency:,
rml,account.analytic.account.journal,0,Printing date:,
rml,account.analytic.account.journal,0,at,
rml,account.analytic.account.journal,0,Date,
rml,account.analytic.account.journal,0,Code,
rml,account.analytic.account.journal,0,Move name,
rml,account.analytic.account.journal,0,Account n°,
rml,account.analytic.account.journal,0,Accounting moves,
rml,account.analytic.account.journal,0,General,
rml,account.analytic.account.journal,0,Analytic,
rml,account.analytic.account.journal,0,-,
rml,account.analytic.account.journal,0,-,
rml,account.analytic.account.journal,0,-,
rml,account.analytic.account.journal,0,Sums of the journal,
rml,account.analytic.account.balance,0,Analytic Balance,
rml,account.analytic.account.balance,0,Period from,
rml,account.analytic.account.balance,0,to,
rml,account.analytic.account.balance,0,Currency:,
rml,account.analytic.account.balance,0,Printing date:,
rml,account.analytic.account.balance,0,at,
rml,account.analytic.account.balance,0,Code,
rml,account.analytic.account.balance,0,Account Name,
rml,account.analytic.account.balance,0,Moves,
rml,account.analytic.account.balance,0,Débit Crédit,
rml,account.analytic.account.balance,0,Balance,
rml,account.analytic.account.balance,0,Quantity,
rml,account.analytic.account.balance,0,Total,
rml,account.analytic.account.balance,0,Sum,
rml,account.analytic.account.inverted.balance,0,Inverted Analytic Balance,
rml,account.analytic.account.inverted.balance,0,Period from,
rml,account.analytic.account.inverted.balance,0,to,
rml,account.analytic.account.inverted.balance,0,Currency:,
rml,account.analytic.account.inverted.balance,0,Printing date:,
rml,account.analytic.account.inverted.balance,0,at,
rml,account.analytic.account.inverted.balance,0,Code,
rml,account.analytic.account.inverted.balance,0,Account Name,
rml,account.analytic.account.inverted.balance,0,Moves,
rml,account.analytic.account.inverted.balance,0,Débit Crédit,
rml,account.analytic.account.inverted.balance,0,Balance,
rml,account.analytic.account.inverted.balance,0,Quantity,
rml,account.analytic.account.inverted.balance,0,total,
