"id","code","name","type","user_type:id","parent_id:id","reconcile","chart_template_id:id"
"42800_agriculture","42800","Cooperative Distributions","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_agriculture"
"42900_agriculture","42900","Crop Insurance Proceeds","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_agriculture"
"43000_agriculture","43000","Crop Sales","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_agriculture"
"43100_agriculture","43100","Custom Hire Income","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_agriculture"
"43600_agriculture","43600","Farmers Market Sales","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_agriculture"
"44100_agriculture","44100","Fuel Tax Credits and Other Inc.","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_agriculture"
"45500_agriculture","45500","Livestock Sales","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_agriculture"
"47400_agriculture","47400","Rental Income","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_agriculture"
"61100_agriculture","61100","Car and Truck Expenses","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"61500_agriculture","61500","Chemicals Purchased","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"61900_agriculture","61900","Conservation Expenses","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"62300_agriculture","62300","Custom Hire and Contract Labor","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"62900_agriculture","62900","Feed Purchased","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"63000_agriculture","63000","Fertilizers and Lime","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"63100_agriculture","63100","Freight and Trucking","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"63200_agriculture","63200","Gasoline, Fuel and Oil","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"67500_agriculture","67500","Seeds and Plants Purchased","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"67800_agriculture","67800","Small Tools and Equipment","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"67900_agriculture","67900","Storage and Warehousing","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"68500_agriculture","68500","Uniforms","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"68800_agriculture","68800","Veterinary, Breeding, Medicine","other","l10n_us.user_type_expense","expense","FALSE","l10n_us.account_chart_template_agriculture"
"24600_construction_trades","24600","Customer Deposits Received","other","l10n_us.user_type_other_current_liability","other_current_liability","FALSE","l10n_us.account_chart_template_construction"
"45100_construction_trades","45100","Job Income","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_construction"
"50800_construction_trades","50800","Commissions Paid","other","l10n_us.user_type_cogs","cost_of_goods_sold","FALSE","l10n_us.account_chart_template_construction"
"51400_construction_trades","51400","Equipment Rental for Jobs","other","l10n_us.user_type_cogs","cost_of_goods_sold","FALSE","l10n_us.account_chart_template_construction"
"51800_construction_trades","51800","Job Materials Purchased","other","l10n_us.user_type_cogs","cost_of_goods_sold","FALSE","l10n_us.account_chart_template_construction"
"52000_construction_trades","52000","Merchant Account Fees","other","l10n_us.user_type_cogs","cost_of_goods_sold","FALSE","l10n_us.account_chart_template_construction"
"53800_construction_trades","53800","Subcontractors Expense","other","l10n_us.user_type_cogs","cost_of_goods_sold","FALSE","l10n_us.account_chart_template_construction"
"54100_construction_trades","54100","Tools and Small Equipment","other","l10n_us.user_type_cogs","cost_of_goods_sold","FALSE","l10n_us.account_chart_template_construction"
"48000_financial_services","42800","Service Income","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_financial_service"
"47900_general_service","47900","Sales","other","l10n_us.user_type_income","income","FALSE","l10n_us.account_chart_template_general_service"
"10900_legal_services",10900,"Client Trust Account","other","l10n_us.user_type_current_asset","current_asset","False","l10n_us.account_chart_template_legal_service"
"other_current_asset_legal_services",123,"Other Current Assets","view","l10n_us.user_type_other_current_asset","asset","FALSE","l10n_us.account_chart_template_legal_service"
"12300_legal_services",12300,"Advanced Client Costs","other","l10n_us.user_type_other_current_asset","other_current_asset_legal_services","False","l10n_us.account_chart_template_legal_service"
"12310_legal_services",12310,"Court Costs","other","l10n_us.user_type_other_current_asset","other_current_asset_legal_services","False","l10n_us.account_chart_template_legal_service"
"12320_legal_services",12320,"Expert Witness Fees","other","l10n_us.user_type_other_current_asset","other_current_asset_legal_services","False","l10n_us.account_chart_template_legal_service"
"12330_legal_services",12330,"Filing Fees","other","l10n_us.user_type_other_current_asset","other_current_asset_legal_services","False","l10n_us.account_chart_template_legal_service"
"other_asset_legal_services",187,"Other Assets","view","l10n_us.user_type_other_asset","asset","FALSE","l10n_us.account_chart_template_legal_service"
"18700_legal_services",18700,"Security Deposits Asset","other","l10n_us.user_type_other_asset","other_asset_legal_services","False","l10n_us.account_chart_template_legal_service"
"41100_legal_services",41100,"Administrative Fees","other","l10n_us.user_type_income","income","False","l10n_us.account_chart_template_legal_service"
"45400_legal_services",45400,"Legal Fee Income","other","l10n_us.user_type_income","income","False","l10n_us.account_chart_template_legal_service"
"48800_legal_services",48800,"Settlement Income","other","l10n_us.user_type_income","income","False","l10n_us.account_chart_template_legal_service"
"47900_general_product",47910,"Sales","other","l10n_us.user_type_income","income","False","l10n_us.account_chart_template_general_product"
"48300_general_product",48310,"Sales Discounts","other","l10n_us.user_type_income","income","False","l10n_us.account_chart_template_general_product"
"48900_general_product",48900,"Shipping and Delivery Income","other","l10n_us.user_type_income","income","False","l10n_us.account_chart_template_general_product"
"51100_general_product",51100,"Freight and Shipping Costs","other","l10n_us.user_type_cogs","cost_of_goods_sold","False","l10n_us.account_chart_template_general_product"
"52500_general_product",52500,"Purchase Discounts","other","l10n_us.user_type_cogs","cost_of_goods_sold","False","l10n_us.account_chart_template_general_product"
"52900_general_product",52900,"Purchases - Resale Items","other","l10n_us.user_type_cogs","cost_of_goods_sold","False","l10n_us.account_chart_template_general_product"
"base_miscincome","49000","Miscellaneous Income","other","l10n_us.user_type_income","income","False","l10n_us.account_chart_template_basic"
"base_miscexpense","69000","Miscellaneous Expense","other","l10n_us.user_type_expense","expense","False","l10n_us.account_chart_template_basic"
