"id","code_prefix_start","code_prefix_end","name","name@pl"
"pl_group_14","14","","Short-term financial assets","Krótkoterminowe aktywa finansowe"
"pl_group_145","145","","Write-downs of short-term financial assets","Odpisy aktualizujące krótkoterminowe aktywa finansowe"
"pl_group_2","2","","Settlements and claims","Rozrachunki i roszczenia"
"pl_group_20","20","","Settlements with customers","Rozliczenia z klientami"
"pl_group_21","21","","Settlements with suppliers","Rozrachunki z dostawcami"
"pl_group_22","22","","Public and legal settlements","Rozrachunki publicznoprawne"
"pl_group_220","220","","VAT settlements with the tax office","Rozrachunki z urzędem skarbowym z tytułu VAT"
"pl_group_221","221","","Input VAT and its settlement","VAT naliczony i jego rozliczenie"
"pl_group_222","222","","Settlements with the tax office for output VAT","Rozrachunki z urzędem skarbowym z tytułu VAT należnego"
"pl_group_223","223","","Other public and legal settlements","Pozostałe rozrachunki publicznoprawne"
"pl_group_23","23","","Settlements of salaries and other benefits for employees","Rozrachunki z tytułu wynagrodzeń i innych świadczeń na rzecz pracowników"
"pl_group_230","230","","Payroll settlements","Rozrachunki z tytułu wynagrodzeń"
"pl_group_234","234","","Other settlements with employees","Pozostałe rozrachunki z pracownikami"
"pl_group_24","24","","Other settlements","Pozostałe rozrachunki"
"pl_group_240","240","","Loans","Pożyczki"
"pl_group_241","241","","Accounting for shortages, damages and surpluses","Rozliczenie niedoborów, szkód i nadwyżek"
"pl_group_242","242","","Settlements with owners (partners of partnerships)","Rozrachunki z właścicielami (wspólnikami spółek osobowych)"
"pl_group_243","243","","Settlements with shareholders (stockholders)","Rozrachunki z udziałowcami (akcjonariuszami)"
"pl_group_245","245","","Intra-company settlements","Rozrachunki wewnątrzzakładowe"
"pl_group_246","246","","Receivables claimed in court","Należności dochodzone na drodze sądowej"
"pl_group_249","249","","Other settlements - other","Pozostałe rozrachunki - inne"
"pl_group_28","28","","Impairment losses on receivables","Odpisy aktualizujące wartość należności"
"pl_group_29","29","","Off-balance sheet accounts in team 2","Konta pozabilansowe w zespole 2"
"pl_group_290","290","","Contingent receivables","Należności warunkowe"
"pl_group_291","291","","Contingent liabilities","Zobowiązania warunkowe"
"pl_group_292","292","","Foreign bills discounted or endorsed","Weksle obce dyskontowane lub indosowane"
"pl_group_3","3","","Materials and goods","Materiały i towary"
"pl_group_30","30","","Purchase settlement","Rozliczenie zakupu"
"pl_group_31","31","","Materials and packaging","Materiały i opakowania"
"pl_group_311","311","","Materials","Materiały"
"pl_group_316","316","","Packaging","Opakowania"
"pl_group_319","319","","Materials in processing","Materiały w przerobie"
"pl_group_33","33","","Goods","Towary"
"pl_group_34","34","","Deviations from register prices","Odchylenia od cen ewidencyjnych"
"pl_group_341","341","","Deviations from the recording prices of materials","Odchylenia od cen ewidencyjnych materiałów"
"pl_group_342","342","","Deviations from the registered prices of goods","Odchylenia od cen ewidencyjnych towarów"
"pl_group_346","346","","Deviations from the inventory prices of packaging","Odchylenia od cen ewidencyjnych opakowań"
"pl_group_347","347","","Deviations from revaluation of inventories of materials and goods","Odchylenia z tytułu aktualizacji wartości zapasów materiałów i towarów"
"pl_group_39","39","","Off-balance sheet accounts in team 3","Konta pozabilansowe w zespole 3"
"pl_group_390","390","","Third-party stocks","Zapasy obce"
"pl_group_4","4","","Costs by type and their settlement","Koszty według rodzajów i ich rozliczenie"
"pl_group_40","40","","Costs by type","Koszty według rodzajów"
"pl_group_400","400","","Depreciation","Amortyzacja"
"pl_group_401","401","","Consumption of materials and energy","Zużycie materiałów i energii"
"pl_group_402","402","","Third-party services","Usługi obce"
"pl_group_403","403","","Taxes and fees","Podatki i opłaty"
"pl_group_404","404","","Salaries","Wynagrodzenia"
"pl_group_405","405","","Social security and other benefits","Ubezpieczenia społeczne i inne świadczenia"
"pl_group_409","409","","Other costs by type","Pozostałe koszty rodzajowe"
"pl_group_49","49","","Settlement of costs","Rozliczenie kosztów"
"pl_group_5","5","","Costs by type of activity and their settlement","Koszty według typów działalności i ich rozliczenie"
"pl_group_50","50","","Costs of primary activities - production","Koszty działalności podstawowej - produkcyjnej"
"pl_group_51","51","","Costs of primary activities - commercial","Koszty działalności podstawowej - handlowej"
"pl_group_52","52","","Departmental costs and cost of sales","Koszty wydziałowe i koszty sprzedaży"
"pl_group_521","521","","Department costs","Koszty wydziałowe"
"pl_group_527","527","","Cost of sales","Koszty sprzedaży"
"pl_group_53","53","","Costs of auxiliary activities","Koszty działalności pomocniczej"
"pl_group_55","55","","Management costs","Koszty zarządu"
"pl_group_58","58","","Settlement of operating expenses","Rozliczenie kosztów działalności"
"pl_group_6","6","","Products and accruals","Produkty i rozliczenia międzyokresowe"
"pl_group_60","60","","Finished and semi-finished products","Produkty gotowe i półprodukty"
"pl_group_600","600","","Finished products","Produkty gotowe"
"pl_group_601","601","","Semi-finished products","Półprodukty"
"pl_group_602","602","","Products in progress","Produkty w toku"
"pl_group_62","62","","Deviations from the inventory prices of products and semi-finished products","Odchylenia od cen ewidencyjnych produktów i półproduktów"
"pl_group_620","620","","Deviations from the inventory prices of products","Odchylenia od cen ewidencyjnych produktów"
"pl_group_621","621","","Deviations from revaluation of inventory of products and semi-finished products","Odchylenia z tytułu aktualizacji wartości zapasów produktów i półproduktów"
"pl_group_64","64","","Deferred expenses","Rozliczenia międzyokresowe kosztów"
"pl_group_640","640","","Prepaid expenses","Czynne rozliczenia międzyokresowe kosztów"
"pl_group_641","641","","Accrued expenses","Bierne rozliczenia międzyokresowe kosztów"
"pl_group_65","65","","Other accruals","Pozostałe rozliczenia międzyokresowe"
"pl_group_650","650","","Deferred tax assets","Aktywa z tytułu odroczonego podatku dochodowego"
"pl_group_651","651","","Other accruals and deferred income","Inne rozliczenia międzyokresowe"
"pl_group_67","67","","Livestock and deviations from the registered prices","Inwentarz żywy oraz odchylenia od cen ewidencyjnych"
"pl_group_670","670","","Livestock","Inwentarz żywy"
"pl_group_671","671","","Deviations from livestock registration prices","Odchylenia od cen ewidencyjnych inwentarza żywego"
"pl_group_7","7","","Revenues and related costs","Przychody i koszty związane z ich osiągnięciem"
"pl_group_70","70","","Revenues and expenses related to product sales","Przychody i koszty związane ze sprzedażą produktów"
"pl_group_700","700","","Product sales","Sprzedaż produktów"
"pl_group_701","701","","Cost of products sold","Koszt sprzedanych produktów"
"pl_group_73","73","","Revenues and expenses related to the sale of goods","Przychody i koszty związane ze sprzedażą towarów"
"pl_group_730","730","","Sale of goods","Sprzedaż towarów"
"pl_group_731","731","","Value of goods sold at purchase (acquisition) prices","Wartość sprzedanych towarów w cenach zakupu (nabycia)"
"pl_group_74","74","","Revenues and expenses related to the sale of materials and packaging","Przychody i koszty związane ze sprzedażą materiałów i opakowań"
"pl_group_740","740","","Sales of materials and packaging","Sprzedaż materiałów i opakowań"
"pl_group_741","741","","Value of materials and packaging sold","Wartość sprzedanych materiałów i opakowań"
"pl_group_75","75","","Financial income and expenses","Przychody i koszty finansowe"
"pl_group_750","750","","Financial income","Przychody finansowe"
"pl_group_751","751","","Financial costs","Koszty finansowe"
"pl_group_76","76","","Other operating income and expenses","Pozostałe przychody i koszty operacyjne"
"pl_group_760","760","","Other operating income","Pozostałe przychody operacyjne"
"pl_group_761","761","","Other operating expenses","Pozostałe koszty operacyjne"
"pl_group_79","79","","Internal turnover and internal turnover costs","Obroty wewnętrzne i koszty obrotów wewnętrznych"
"pl_group_790","790","","Internal turnover","Obroty wewnętrzne"
"pl_group_791","791","","Internal turnover costs","Koszty obrotów wewnętrznych"
"pl_group_8","8","","Equity (funds), special funds and financial result","Kapitały (fundusze) własne, fundusze specjalne i wynik finansowy"
"pl_group_80","80","","Primary capital (fund)","Kapitał (fundusz) podstawowy"
"pl_group_81","81","","Other equity (funds)","Pozostałe kapitały (fundusze) własne"
"pl_group_811","811","","Supplementary capital (fund)","Kapitał (fundusz) zapasowy"
"pl_group_812","812","","Reserve capital (fund)","Kapitał (fundusz) rezerwowy"
"pl_group_813","813","","Revaluation reserve (fund)","Kapitał (fundusz) z aktualizacji wyceny"
"pl_group_814","814","","Divisional capitals (funds)","Kapitały (fundusze) wydziałowe"
"pl_group_82","82","","Settlement of financial result","Rozliczenie wyniku finansowego"
"pl_group_83","83","","Reserves","Rezerwy"
"pl_group_830","830","","Deferred income tax provision","Rezerwa z tytułu odroczonego podatku dochodowego"
"pl_group_831","831","","Other reserves","Pozostałe rezerwy"
"pl_group_84","84","","Deferred income","Rozliczenia międzyokresowe przychodów"
"pl_group_85","85","","Special funds","Fundusze specjalne"
"pl_group_850","850","","Company social benefits fund","Zakładowy fundusz świadczeń socjalnych"
"pl_group_851","851","","Other special funds","Inne fundusze specjalne"
"pl_group_86","86","","Financial result","Wynik finansowy"
"pl_group_87","87","","Corporate income tax","Podatek dochodowy od osób prawnych"
