"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax_on_payment","active","country_id","tax_exigibility","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/use_in_tax_closing","fiscal_position_ids","original_tax_ids"
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","","True","",""
"l10n_lk_tax_sale_0_ex_g","0% EX G","","Export (Goods)","0%","sale","consu","percent","0","l10n_lk_tax_group_zero_rated","False","True","base.lk","on_invoice","","base","invoice","","VAT_D","","l10n_lk_fiscal_position_foreign_trade","l10n_lk_tax_sale_18"
"","","","","","","","","","","","","","","","base","refund","","VAT_D","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","","True","",""
"l10n_lk_tax_sale_0_ex_s","0% EX S","","Export (Services)","0%","sale","service","percent","0","l10n_lk_tax_group_zero_rated","False","True","base.lk","on_invoice","","base","invoice","","VAT_D1","","l10n_lk_fiscal_position_foreign_trade","l10n_lk_tax_sale_18"
"","","","","","","","","","","","","","","","base","refund","","VAT_D1","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","","True","",""
"l10n_lk_tax_sale_0_exempt","0% Exempt","","Exempt Supplies","Exempt","sale","","percent","0","l10n_lk_tax_group_exempt","False","True","base.lk","on_invoice","","base","invoice","","VAT_E","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_E","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","","True","",""
"l10n_lk_tax_sale_0_excluded","0% Excluded","","Excluded Supplies","Excluded","sale","","percent","0","l10n_lk_tax_group_exempt","False","True","base.lk","on_invoice","","base","invoice","","VAT_E1","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_E1","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","","True","",""
"l10n_lk_tax_purchase_18_im","18% IM","","Imports","18%","purchase","","percent","18","l10n_lk_tax_group_18","False","True","base.lk","on_invoice","","base","invoice","","VAT_H","","l10n_lk_fiscal_position_foreign_trade","l10n_lk_tax_purchase_18"
"","","","","","","","","","","","","","","","base","refund","","VAT_H","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_116000","VAT_5","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_116000","VAT_5","True","",""
"l10n_lk_tax_purchase_18_im_deferred","18% IM Deferred","","Imports Deferred","18%","purchase","","percent","18","l10n_lk_tax_group_18","False","False","base.lk","on_invoice","","base","invoice","","VAT_H","","l10n_lk_fiscal_position_foreign_trade","l10n_lk_tax_purchase_18"
"","","","","","","","","","","","","","","","base","refund","","VAT_H","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_116000","VAT_4","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_116000","VAT_4","True","",""
"l10n_lk_tax_purchase_18","18%","","Local Purchases","0%","purchase","","percent","18","l10n_lk_tax_group_18","False","True","base.lk","on_invoice","","base","invoice","","VAT_I","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_I","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_116000","VAT_6","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_116000","VAT_6","True","",""
"l10n_lk_tax_purchase_18_svat","18% SVAT","","VAT Suspended Purchases","0%","purchase","","percent","18","l10n_lk_tax_group_18","False","False","base.lk","on_invoice","","base","invoice","","VAT_J","","l10n_lk_fiscal_position_domestic","l10n_lk_tax_purchase_18"
"","","","","","","","","","","","","","","","base","refund","","VAT_J","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_116000","VAT_K||VAT_8A","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_116000","VAT_K||VAT_8A","True","",""
"","","","","","","","","","","","","","","-100","tax","invoice","l10n_lk_account_116000","","False","",""
"","","","","","","","","","","","","","","-100","tax","refund","l10n_lk_account_116000","","False","",""
"l10n_lk_tax_purchase_18_ep","18% EP","","Non-Foreign Exchange Purchases","18%","purchase","","percent","18","l10n_lk_tax_group_18","False","True","base.lk","on_invoice","","base","invoice","","VAT_J1","","l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","VAT_J1","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_116000","VAT_K1","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_116000","VAT_K1","True","",""
"l10n_lk_tax_purchase_0_exempt_im","0% Exempt IM","","Imports on which VAT is not charged","Exempt","purchase","consu","percent","0","l10n_lk_tax_group_exempt","False","True","base.lk","on_invoice","","base","invoice","","VAT_J2","","l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","VAT_J2","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_116000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_116000","","True","",""
"l10n_lk_tax_purchase_0_exempt","0% Exempt","","Local Purchases on which VAT is not charged","Exempt","purchase","service","percent","0","l10n_lk_tax_group_exempt","False","True","base.lk","on_invoice","","base","invoice","","VAT_J3","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_J3","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_116000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_116000","","True","",""
"l10n_lk_tax_purchase_0_exempt_n_vat","0% Exempt N-VAT","","Goods Purchased from Non VAT Registered Persons","Exempt","purchase","","percent","0","l10n_lk_tax_group_exempt","False","True","base.lk","on_invoice","","base","invoice","","VAT_J4","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_J4","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_116000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_116000","","True","",""
"l10n_lk_tax_purchase_18_dis_im","18% Dis IM","","Disallowable Input Tax on Imports, other Purchases and Adjustments","18%","purchase","","percent","18","l10n_lk_tax_group_18","False","True","base.lk","on_invoice","","base","invoice","","VAT_H","","l10n_lk_fiscal_position_foreign_trade","l10n_lk_tax_purchase_18_dis"
"","","","","","","","","","","","","","","","base","refund","","VAT_H","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_613100","VAT_5||VAT_8","False","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_613100","VAT_5||VAT_8","False","",""
"l10n_lk_tax_purchase_18_dis","18% Dis","","Disallowable Input Tax on Local Purchases","18%","purchase","","percent","18","l10n_lk_tax_group_18","False","True","base.lk","on_invoice","","base","invoice","","VAT_I","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_I","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_613100","VAT_6||VAT_8","False","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_613100","VAT_6","False","",""
"l10n_lk_tax_purchase_5_wht_i_d","5% WHT I D","","WHT Interest or Discount","5% WHT I D","purchase","","percent","-5","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","WHTD_1C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_1C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_1D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_1D","True","",""
"l10n_lk_tax_purchase_14_wht_c","14% WHT C","","WHT Charges","14% WHT C","purchase","","percent","-14","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","WHTD_2C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_2C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_2D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_2D","True","",""
"l10n_lk_tax_purchase_14_wht_nr","14% WHT NR","","WHT Natural resource payment","14% WHT NR","purchase","","percent","-14","l10n_lk_tax_group_wht","True","False","base.lk","on_invoice","","base","invoice","","WHTD_3C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_3C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_3D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_3D","True","",""
"l10n_lk_tax_purchase_14_wht_rent","14% WHT Rent","","WHT Rent","14% WHT Rent","purchase","","percent","-14","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","WHTD_4C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_4C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_4D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_4D","True","",""
"l10n_lk_tax_purchase_14_wht_rent_not_liable","14% WHT Rent Not Liable","","WHT Rent - Below Threshold","14% WHT Rent Not Liable","purchase","","percent","0","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","WHTD_4B","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_4B","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","","True","",""
"l10n_lk_tax_purchase_14_wht_royalty","14% WHT Royalty","","WHT Royalty","14% WHT Royalty","purchase","","percent","-14","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","WHTD_5C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_5C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_5D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_5D","True","",""
"l10n_lk_tax_purchase_14_wht_s","14% WHT S","","WHT Service fee or insurance premium","14% WHT S","purchase","","percent","-14","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","WHTD_6C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_6C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_6D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_6D","True","",""
"l10n_lk_tax_purchase_14_wht_s_not_liable","14% WHT S Not Liable","","WHT Service fee or insurance premium - Below Threshold","14% WHT S Not Liable","purchase","","percent","0","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","WHTD_6B","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_6B","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","","True","",""
"l10n_lk_tax_purchase_2_wht_t","2% WHT T","","WHT Fee on Transport or Telecommunications Service","2% WHT T","purchase","","percent","-2","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","WHTD_7C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_7C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_7D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_7D","True","",""
"l10n_lk_tax_purchase_15_wht_op","15% WHT OP","","WHT Any other payments (Dividend, etc)","15% WHT OP","purchase","","percent","-15","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","WHTD_8C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_8C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_8D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_8D","True","",""
"l10n_lk_tax_purchase_14_wht_reward","14% WHT Reward","","WHT Rewards, or winnings from lottery / betting / gambling","14% WHT Reward","purchase","","percent","-14","l10n_lk_tax_group_wht","True","False","base.lk","on_invoice","","base","invoice","","WHTD_9C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_9C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_9D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_9D","True","",""
"l10n_lk_tax_purchase_2_5_wht_g","2.5% WHT G","","WHT Sale of gem at an auction","2.5% WHT G","purchase","","percent","-2.5","l10n_lk_tax_group_wht","True","False","base.lk","on_invoice","","base","invoice","","WHTD_10C","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","WHTD_10C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","WHTD_10D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","WHTD_10D","True","",""
"l10n_lk_tax_purchase_5_ait_i_d","5% AIT I D","","AIT Interest or Discount","5% AIT I D","purchase","","percent","-5","l10n_lk_tax_group_ait","False","True","base.lk","on_invoice","","base","invoice","","AITD_1C","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","AITD_1C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","AITD_1D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","AITD_1D","True","",""
"l10n_lk_tax_purchase_14_ait_c","14% AIT C","","AIT Charges","14% AIT C","purchase","","percent","-14","l10n_lk_tax_group_ait","False","True","base.lk","on_invoice","","base","invoice","","AITD_2C","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","AITD_2C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","AITD_2D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","AITD_2D","True","",""
"l10n_lk_tax_purchase_14_ait_nr","14% AIT NR","","AIT Natural resource payment","14% AIT NR","purchase","","percent","-14","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","AITD_3C","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","AITD_3C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","AITD_3D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","AITD_3D","True","",""
"l10n_lk_tax_purchase_14_ait_rent","14% AIT Rent","","AIT Rent","14% AIT Rent","purchase","","percent","-10","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","AITD_4C","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","AITD_4C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","AITD_4D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","AITD_4D","True","",""
"l10n_lk_tax_purchase_14_ait_royalty","14% AIT Royalty","","AIT Royalty","14% AIT Royalty","purchase","","percent","-14","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","AITD_5C","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","AITD_5C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","AITD_5D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","AITD_5D","True","",""
"l10n_lk_tax_purchase_14_ait_d","14% AIT D","","AIT Dividend","14% AIT D","purchase","","percent","-15","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","AITD_6C","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","AITD_6C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","AITD_6D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","AITD_6D","True","",""
"l10n_lk_tax_purchase_14_ait_p","14% AIT P","","AIT Premium or Similar Periodic Payment or payment on services","14% AIT P","purchase","","percent","-14","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","AITD_7C","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","AITD_7C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221400","AITD_7D","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221400","AITD_7D","True","",""
"l10n_lk_tax_sale_5_wht_i_d","5% WHT I D","","WHT Interest or Discount","5% WHT I D","sale","","percent","-5","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_wht_c","14% WHT C","","WHT Charges","14% WHT C","sale","","percent","-14","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_wht_nr","14% WHT NR","","WHT Natural resource payment","14% WHT NR","sale","","percent","-14","l10n_lk_tax_group_wht","True","False","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_wht_rent","14% WHT Rent","","WHT Rent","14% WHT Rent","sale","","percent","-14","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_wht_royalty","14% WHT Royalty","","WHT Royalty","14% WHT Royalty","sale","","percent","-14","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_wht_s","14% WHT S","","WHT Service fee or insurance premium","14% WHT S","sale","","percent","-14","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_2_wht_t","2% WHT T","","WHT Fee on Transport or Telecommunications Service","2% WHT T","sale","","percent","-2","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_15_wht_op","15% WHT OP","","WHT Any other payments (Dividend, ect)","15% WHT OP","sale","","percent","-15","l10n_lk_tax_group_wht","True","True","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_wht_reward","14% WHT Reward","","WHT Rewards, or winnings from lottery / betting / gambling","14% WHT Reward","sale","","percent","-14","l10n_lk_tax_group_wht","True","False","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_2_5_wht_g","2.5% WHT G","","WHT Sale of gem at an auction","2.5% WHT G","sale","","percent","-2.5","l10n_lk_tax_group_wht","True","False","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic,l10n_lk_fiscal_position_foreign_trade",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_5_ait_i_d","5% AIT I D","","AIT Interest or Discount","5% AIT I D","sale","","percent","-5","l10n_lk_tax_group_ait","False","True","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
