JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
SA	SALAIRES	SA000001	20180930	64550000	PREVOYANCES			x	20180930	PREVOYANCE 09-18	4,95	0,00			20190725		
SA	SALAIRES	SA000001	20180930	43100000	SECURITE SOCIAL			x	20180930	BEARAF 09-18	0,00	1551,06	AC		20190725		
SA	SALAIRES	SA000001	20180930	43700000	AUTRES ORGANISMES SOCIAUX			x	20180930	RELONELY AGIRC/ARRCO 09-18	0,00	189,88	AA		20190725		
SA	SALAIRES	SA000001	20180930	43700000	AUTRES ORGANISMES SOCIAUX			x	20180930	CALVIN PREVOYANCE 09-18	0,00	8,24	AA		20190725		
SA	SALAIRES	SA000001	20180930	45500000	CPT COURANTS DE L ASSOCIE			x	20180930	REMUNERATION DUES 09-18	0,00	4402,78			20190725		
BQ	BQ 552	BQ000004	20181004	45500000	CPT COURANTS DE L ASSOCIE			x	20181004	VIR DE 50 000,00EUR	0,00	50000,00			20190725		
BQ	BQ 552	BQ000004	20181004	51200000	BANQUE 124			x	20181004	VIR DE 50 000,00EUR	50000,00	0,00			20190725		
BQ	BQ 552	BQ000005	20181005	62700000	SERVICES BANCAIRE ET ASSIMILES			x	20181005	ARRETE 3 EME TRIMESTRE 2018	40,00	0,00			20190725		
BQ	BQ 552	BQ000005	20181005	51200000	BANQUE 124			x	20181005	ARRETE 3 EME TRIMESTRE 2018	0,00	40,00			20190725		
BQ	BQ 552	BQ000006	20181008	62700000	SERVICES BANCAIRE ET ASSIMILES			x	20181008	COTIS BANQUE 123	12,00	0,00			20190725		
BQ	BQ 552	BQ000006	20181008	51200000	BANQUE 124			x	20181008	COTIS BANQUE 123	0,00	12,00			20190725		
ACH	ACHATS	ACH000010	20181009	62510000	VOYAGES ET DEPLACEMENT			x	20181009	FLIGHT PARIS TO HAMBOUG	306,97	0,00			20190725		
ACH	ACHATS	ACH000010	20181009	46700000	CARTE BLEUE			x	20181009	FLIGHT PARIS TO HAMBOUG	0,00	306,97	AA		20190725		
ACH	ACHATS	ACH000011	20181011	61320000	LOCATIONS PARTNER01			x	20181011	PARTNER01	255,39	0,00			20190725		
ACH	ACHATS	ACH000011	20181011	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20181011	PARTNER01	51,08	0,00	AA		20190725		
ACH	ACHATS	ACH000011	20181011	40100000	FOURNISSEURS DIVERS	PAR 01	PARTNER01	x	20181011	PARTNER01	0,00	306,47	AB		20190725		
ACH	ACHATS	ACH000012	20181012	62260000	HONORAIRES			x	20181012	COMPTA SEPTEMBRE 18	364,00	0,00			20190725		
ACH	ACHATS	ACH000012	20181012	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20181012	COMPTA SEPTEMBRE 18	72,80	0,00	AA		20190725		
ACH	ACHATS	ACH000012	20181012	40100000	FOURNISSEURS DIVERS	124SOL	124 SOLUTION	x	20181012	COMPTA SEPTEMBRE 18	0,00	436,80	AA		20190725		
BQ	BQ 552	BQ000007	20181012	62700000	SERVICES BANCAIRE ET ASSIMILES			x	20181012	COTIS VISA BUSINESS DD	55,00	0,00			20190725		
BQ	BQ 552	BQ000007	20181012	51200000	BANQUE 124			x	20181012	COTIS VISA BUSINESS DD	0,00	55,00			20190725		
BQ	BQ 552	BQ000008	20181016	43100000	SECURITE SOCIAL			x	20181016	PRLV SEPA BEARAF 544	1529,00	0,00	AC		20190725		
BQ	BQ 552	BQ000008	20181016	51200000	BANQUE 124			x	20181016	PRLV SEPA BEARAF 544	0,00	1529,00			20190725		
BQ	BQ 552	BQ000009	20181017	21820000	MATERIEL DE TRANSPORT			x	20181017	NITRILIO	1000,00	0,00			20190725		
BQ	BQ 552	BQ000009	20181017	51200000	BANQUE 124			x	20181017	NITRILIO	0,00	1000,00			20190725		
BQ	BQ 552	BQ000010	20181018	21820000	MATERIEL DE TRANSPORT			x	20181018	NITRILIO	17452,76	0,00			20190725		
BQ	BQ 552	BQ000010	20181018	51200000	BANQUE 124			x	20181018	NITRILIO	0,00	17452,76			20190725		
BQ	BQ 552	BQ000011	20181018	62700000	SERVICES BANCAIRE ET ASSIMILES			x	20181018	COTIS CARTE PASS CYBER	18,50	0,00			20190725		
BQ	BQ 552	BQ000011	20181018	51200000	BANQUE 124			x	20181018	COTIS CARTE PASS CYBER	0,00	18,50			20190725		
ACH	ACHATS	ACH000013	20181019	62510000	VOYAGES ET DEPLACEMENT			x	20181019	EASY GET	50,00	0,00			20190725		
ACH	ACHATS	ACH000013	20181019	46700000	CARTE BLEUE			x	20181019	EASY GET	0,00	50,00	AA		20190725		
ACH	ACHATS	ACH000014	20181019	62510000	VOYAGES ET DEPLACEMENT			x	20181019	RATP RER B MASSY	13,10	0,00			20190725		
ACH	ACHATS	ACH000014	20181019	46700000	CARTE BLEUE			x	20181019	RATP RER B MASSY	0,00	13,10	AA		20190725		
ACH	ACHATS	ACH000015	20181019	62510000	VOYAGES ET DEPLACEMENT			x	20181019	ULTRA	10,24	0,00			20190725		
ACH	ACHATS	ACH000015	20181019	46700000	CARTE BLEUE			x	20181019	ULTRA	0,00	10,24	AA		20190725		
ACH	ACHATS	ACH000016	20181023	62510000	VOYAGES ET DEPLACEMENT			x	20181023	LOSING AUTOROUTES	38,70	0,00			20190725		
ACH	ACHATS	ACH000016	20181023	46700000	CARTE BLEUE			x	20181023	LOSING AUTOROUTES	0,00	38,70	AA		20190725		
ACH	ACHATS	ACH000017	20181023	62510000	VOYAGES ET DEPLACEMENT			x	20181023	EXXO STATION SERVICE	104,34	0,00			20190725		
ACH	ACHATS	ACH000017	20181023	46700000	CARTE BLEUE			x	20181023	EXXO STATION SERVICE	0,00	104,34	AA		20190725		
ACH	ACHATS	ACH000018	20181023	62510000	VOYAGES ET DEPLACEMENT			x	20181023	RETRAIT ECORP	20,00	0,00			20190725		
ACH	ACHATS	ACH000018	20181023	62510000	VOYAGES ET DEPLACEMENT			x	20181023	RETRAIT ECORP	0,00	20,00			20190725		
ACH	ACHATS	ACH000019	20181023	62570000	RECEPTIONS			x	20181023	LUNCH MILAN	12,60	0,00			20190725		
ACH	ACHATS	ACH000019	20181023	46700000	CARTE BLEUE			x	20181023	LUNCH MILAN	0,00	12,60	AA		20190725		
ACH	ACHATS	ACH000020	20181023	62510000	VOYAGES ET DEPLACEMENT			x	20181023	ULTRA	9,71	0,00			20190725		
ACH	ACHATS	ACH000020	20181023	46700000	CARTE BLEUE			x	20181023	ULTRA	0,00	9,71	AA		20190725		
ACH	ACHATS	ACH000021	20181023	62510000	VOYAGES ET DEPLACEMENT			x	20181023	SNCF CLAIREMONS IRONAND	61,00	0,00			20190725		
ACH	ACHATS	ACH000021	20181023	46700000	CARTE BLEUE			x	20181023	SNCF CLAIREMONS IRONAND	0,00	61,00	AA		20190725		
ACH	ACHATS	ACH000022	20181023	62510000	VOYAGES ET DEPLACEMENT			x	20181023	RATP MASSY	5,20	0,00			20190725		
ACH	ACHATS	ACH000022	20181023	46700000	CARTE BLEUE			x	20181023	RATP MASSY	0,00	5,20	AA		20190725		
BQ	BQ 552	BQ000012	20181023	58000000	VIREMENT INTERNE			x	20181023	RET DAB MAX VILLEFAINT	20,00	0,00	AA		20190725		
BQ	BQ 552	BQ000012	20181023	51200000	BANQUE 124			x	20181023	RET DAB MAX VILLEFAINT	0,00	20,00			20190725		
OD	OPERATIONS DIVERSES	OD 000001	20181023	62510000	VOYAGES ET DEPLACEMENT			x	20181023	RETRAIT ECORP	20,00	0,00			20190725		
OD	OPERATIONS DIVERSES	OD 000001	20181023	58000000	VIREMENT INTERNE			x	20181023	RETRAIT ECORP	0,00	20,00	AA		20190725		
ACH	ACHATS	ACH000023	20181024	60225000	FOURNITURES DE BUREAU			x	20181024	STAMP FOR FENCH OFFICE	38,71	0,00			20190725		
ACH	ACHATS	ACH000023	20181024	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20181024	STAMP FOR FENCH OFFICE	7,74	0,00	AA		20190725		
ACH	ACHATS	ACH000023	20181024	46700000	CARTE BLEUE			x	20181024	STAMP FOR FENCH OFFICE	0,00	46,45	AA		20190725		
ACH	ACHATS	ACH000024	20181025	62560000	MISSIONS			x	20181025	ANYARAT 632  HANNOVER	70,00	0,00			20190725		
ACH	ACHATS	ACH000024	20181025	46700000	CARTE BLEUE			x	20181025	ANYARAT 632  HANNOVER	0,00	70,00	AA		20190725		
ACH	ACHATS	ACH000025	20181025	62510000	VOYAGES ET DEPLACEMENT			x	20181025	TAXI SOLITAIRE 221	17,80	0,00			20190725		
ACH	ACHATS	ACH000025	20181025	46700000	CARTE BLEUE			x	20181025	TAXI SOLITAIRE 221	0,00	17,80	AA		20190725		
ACH	ACHATS	ACH000026	20181025	62510000	VOYAGES ET DEPLACEMENT			x	20181025	RATP MASSY RER	13,10	0,00			20190725		
ACH	ACHATS	ACH000026	20181025	46700000	CARTE BLEUE			x	20181025	RATP MASSY RER	0,00	13,10	AA		20190725		
ACH	ACHATS	ACH000027	20181025	62570000	RECEPTIONS			x	20181025	MAX GASTROPUG 131	2,70	0,00			20190725		
ACH	ACHATS	ACH000027	20181025	46700000	CARTE BLEUE			x	20181025	MAX GASTROPUG 131	0,00	2,70	AA		20190725		
ACH	ACHATS	ACH000028	20181025	62510000	VOYAGES ET DEPLACEMENT			x	20181025	ULTRA	9,12	0,00			20190725		
ACH	ACHATS	ACH000028	20181025	46700000	CARTE BLEUE			x	20181025	ULTRA	0,00	9,12	AA		20190725		
ACH	ACHATS	ACH000029	20181026	62510000	VOYAGES ET DEPLACEMENT			x	20181026	RATP ROISSY	13,10	0,00			20190725		
ACH	ACHATS	ACH000029	20181026	46700000	CARTE BLEUE			x	20181026	RATP ROISSY	0,00	13,10	AA		20190725		
ACH	ACHATS	ACH000030	20181026	62510000	VOYAGES ET DEPLACEMENT			x	20181026	ULTRA	9,87	0,00			20190725		
ACH	ACHATS	ACH000030	20181026	46700000	CARTE BLEUE			x	20181026	ULTRA	0,00	9,87	AA		20190725		
ACH	ACHATS	ACH000031	20181026	62510000	VOYAGES ET DEPLACEMENT			x	20181026	TAXI TO MESSE	17,10	0,00			20190725		
ACH	ACHATS	ACH000031	20181026	46700000	CARTE BLEUE			x	20181026	TAXI TO MESSE	0,00	17,10	AA		20190725		
SA	SALAIRES	SA000002	20181030	64110000	SALAIRES APOINTEMENTS			x	20181030	SALAIRE 10-18	5416,67	0,00			20190725		
SA	SALAIRES	SA000002	20181030	64510000	COTISATIONS URSAAF			x	20181030	COTISATION BEARAF 10-18	1797,55	0,00			20190725		
SA	SALAIRES	SA000002	20181030	64530000	CAISSE DE RETRAITES			x	20181030	RETRAITE 10-18	1090,58	0,00			20190725		
SA	SALAIRES	SA000002	20181030	64550000	PREVOYANCES			x	20181030	PREVOYANCE 10-18	115,84	0,00			20190725		
SA	SALAIRES	SA000002	20181030	64520000	MUTUELLES			x	20181030	MUTUELLES 10-18	32,12	0,00			20190725		
SA	SALAIRES	SA000002	20181030	43100000	SECURITE SOCIAL			x	20181030	BEARAF 10-18	0,00	2578,26	AC		20190725		
SA	SALAIRES	SA000002	20181030	43700000	AUTRES ORGANISMES SOCIAUX			x	20181030	RELONELY AGIRC/AGRRO 10-18	0,00	1774,67	AA		20190725		
SA	SALAIRES	SA000002	20181030	43700000	AUTRES ORGANISMES SOCIAUX			x	20181030	CALVIN PREVOYANCE 10-18	0,00	182,01	AA		20190725		
SA	SALAIRES	SA000002	20181030	43700000	AUTRES ORGANISMES SOCIAUX			x	20181030	MUTUELLES 10-18	0,00	64,24	AA		20190725		
SA	SALAIRES	SA000002	20181030	42100000	PERSONNEL REMUNERATION DUES			x	20181030	REMUNERATION DUES 10-18	0,00	3853,58	AA		20190725		
BQ	BQ 552	BQ000013	20181031	46700000	CARTE BLEUE			x	20181031	CARTE FACTURETTES CB	438,57	0,00	AA		20190725		
BQ	BQ 552	BQ000013	20181031	51200000	BANQUE 124			x	20181031	CARTE FACTURETTES CB	0,00	438,57			20190725		
ACH	ACHATS	ACH000032	20181101	61320000	LOCATIONS PARTNER01			x	20181101	MISE A DISPO DE BUREAU PARTNER01	823,50	0,00			20190725		
ACH	ACHATS	ACH000032	20181101	61320000	LOCATIONS PARTNER01			x	20181101	DOMICILIATION	37,50	0,00			20190725		
ACH	ACHATS	ACH000032	20181101	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20181101	DOMICILIATION	172,20	0,00	AA		20190725		
ACH	ACHATS	ACH000032	20181101	40100000	FOURNISSEURS DIVERS	PAR 01	PARTNER01	x	20181101	DOMICILIATION	0,00	1033,20	AA		20190725		
BQ	BQ 552	BQ000014	20181102	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181102	Thomas 432	719,84	0,00	AU		20190725		
BQ	BQ 552	BQ000014	20181102	51200000	BANQUE 124			x	20181102	Thomas 432	0,00	719,84			20190725		
BQ	BQ 552	BQ000015	20181102	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181102	Thomas 432	1112,49	0,00	AU		20190725		
BQ	BQ 552	BQ000015	20181102	51200000	BANQUE 124			x	20181102	Thomas 432	0,00	1112,49			20190725		
BQ	BQ 552	BQ000016	20181102	42100000	PERSONNEL REMUNERATION DUES			x	20181102	Thomas 432	3853,58	0,00	AA		20190725		
BQ	BQ 552	BQ000016	20181102	51200000	BANQUE 124			x	20181102	Thomas 432	0,00	3853,58			20190725		
ACH	ACHATS	ACH000033	20181106	60630000	FOURNITURES ET PETIT EQUIPEMEN			x	20181106	C DISCOUNT	144,97	0,00			20190725		
ACH	ACHATS	ACH000033	20181106	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20181106	C DISCOUNT	29,00	0,00	AA		20190725		
ACH	ACHATS	ACH000033	20181106	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181106	C DISCOUNT	0,00	173,97	AU		20190725		
BQ	BQ 552	BQ000017	20181106	40100000	FOURNISSEURS DIVERS	124SOL	124 SOLUTION	x	20181106	124 Solution	436,80	0,00	AA		20190725		
BQ	BQ 552	BQ000017	20181106	51200000	BANQUE 124			x	20181106	124 Solution	0,00	436,80			20190725		
BQ	BQ 552	BQ000018	20181106	61320000	LOCATIONS PARTNER01			x	20181106	SARL PARTNER01	65,55	0,00			20190725		
BQ	BQ 552	BQ000018	20181106	51200000	BANQUE 124			x	20181106	SARL PARTNER01	0,00	65,55			20190725		
BQ	BQ 552	BQ000019	20181106	40100000	FOURNISSEURS DIVERS	PAR 01	PARTNER01	x	20181106	SARL PARTNER01	306,47	0,00	AB		20190725		
BQ	BQ 552	BQ000019	20181106	51200000	BANQUE 124			x	20181106	SARL PARTNER01	0,00	306,47			20190725		
BQ	BQ 552	BQ000020	20181106	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181106	FRANCIS DEPOT	396,00	0,00	AU		20190725		
BQ	BQ 552	BQ000020	20181106	51200000	BANQUE 124			x	20181106	FRANCIS DEPOT	0,00	396,00			20190725		
ACH	ACHATS	ACH000034	20181107	62510000	VOYAGES ET DEPLACEMENT			x	20181107	TUNNEL LIEKENSHOEH	4,95	0,00			20190725		
ACH	ACHATS	ACH000034	20181107	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181107	TUNNEL LIEKENSHOEH	0,00	4,95	AU		20190725		
ACH	ACHATS	ACH000035	20181108	62510000	VOYAGES ET DEPLACEMENT			x	20181108	TUNNEL LIEKENSHOEH	4,95	0,00			20190725		
ACH	ACHATS	ACH000035	20181108	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181108	TUNNEL LIEKENSHOEH	0,00	4,95	AU		20190725		
ACH	ACHATS	ACH000036	20181108	62560000	MISSIONS			x	20181108	HOTEL EXTRALONG	92,50	0,00			20190725		
ACH	ACHATS	ACH000036	20181108	63500000	AUTRES IMPOTS TAXES ET VERSEMN			x	20181108	HOTEL EXTRALONG	1,25	0,00			20190725		
ACH	ACHATS	ACH000036	20181108	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181108	HOTEL EXTRALONG	0,00	93,75	AU		20190725		
ACH	ACHATS	ACH000037	20181108	62510000	VOYAGES ET DEPLACEMENT			x	20181108	ENI STATTION RESSONS	118,01	0,00			20190725		
ACH	ACHATS	ACH000037	20181108	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181108	ENI STATTION RESSONS	0,00	118,01	AU		20190725		
BQ	BQ 552	BQ000021	20181108	62700000	SERVICES BANCAIRE ET ASSIMILES			x	20181108	COTIS BANQUE 123	12,00	0,00			20190725		
BQ	BQ 552	BQ000021	20181108	51200000	BANQUE 124			x	20181108	COTIS BANQUE 123	0,00	12,00			20190725		
ACH	ACHATS	ACH000038	20181112	62260000	HONORAIRES			x	20181112	ACCOMPTE TRAITEMENT OCTOBRE	63,00	0,00			20190725		
ACH	ACHATS	ACH000038	20181112	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20181112	ACCOMPTE TRAITEMENT OCTOBRE	12,60	0,00	AA		20190725		
ACH	ACHATS	ACH000038	20181112	40100000	FOURNISSEURS DIVERS	124SOL	124 SOLUTION	x	20181112	ACCOMPTE TRAITEMENT OCTOBRE	0,00	75,60	AB		20190725		
ACH	ACHATS	ACH000039	20181112	62510000	VOYAGES ET DEPLACEMENT			x	20181112	INTERMARCHE ETRANGX 1	95,01	0,00			20190725		
ACH	ACHATS	ACH000039	20181112	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181112	INTERMARCHE ETRANGX 1	0,00	95,01	AU		20190725		
ACH	ACHATS	ACH000040	20181112	62570000	RECEPTIONS			x	20181112	LUNCH CARTFIVE MARKET	11,80	0,00			20190725		
ACH	ACHATS	ACH000040	20181112	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181112	LUNCH CARTFIVE MARKET	0,00	11,80	AU		20190725		
ACH	ACHATS	ACH000041	20181112	62560000	MISSIONS			x	20181112	CHEZ CAMERA 33 HOTEL	79,80	0,00			20190725		
ACH	ACHATS	ACH000041	20181112	46700000	CARTE BLEUE			x	20181112	CHEZ CAMERA 33 HOTEL	0,00	79,80	AA		20190725		
BQ	BQ 552	BQ000022	20181112	62700000	SERVICES BANCAIRE ET ASSIMILES			x	20181112	COTIS CARTE PASS CYBER	18,50	0,00			20190725		
BQ	BQ 552	BQ000022	20181112	51200000	BANQUE 124			x	20181112	COTIS CARTE PASS CYBER	0,00	18,50			20190725		
ACH	ACHATS	ACH000042	20181113	27510000	DEPOTS			x	20181113	DEPOT DE GARANTIE PARTNER01 CENT	1098,00	0,00			20190725		
ACH	ACHATS	ACH000042	20181113	40100000	FOURNISSEURS DIVERS	PAR 01	PARTNER01	x	20181113	DEPOT DE GARANTIE PARTNER01 CENT	0,00	1098,00	AA		20190725		
ACH	ACHATS	ACH000043	20181113	62570000	RECEPTIONS			x	20181113	MARK CHICKEN	53,10	0,00			20190725		
ACH	ACHATS	ACH000043	20181113	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181113	MARK CHICKEN	0,00	53,10	AU		20190725		
ACH	ACHATS	ACH000044	20181114	62560000	MISSIONS			x	20181114	HOTEL LA SAUVENT	128,20	0,00			20190725		
ACH	ACHATS	ACH000044	20181114	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181114	HOTEL LA SAUVENT	0,00	128,20	AU		20190725		
ACH	ACHATS	ACH000045	20181114	62510000	VOYAGES ET DEPLACEMENT			x	20181114	STATION BELL TAPONAS	116,31	0,00			20190725		
ACH	ACHATS	ACH000045	20181114	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181114	STATION BELL TAPONAS	0,00	116,31	AU		20190725		
ACH	ACHATS	ACH000046	20181115	60640000	FOURNITURES ADMINISTRATIVES			x	20181115	MY TRANSLATION	252,56	0,00			20190725		
ACH	ACHATS	ACH000046	20181115	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181115	MY TRANSLATION	0,00	252,56	AU		20190725		
ACH	ACHATS	ACH000047	20181115	62570000	RECEPTIONS			x	20181115	BOULANGERIE PATISSERIE	7,60	0,00			20190725		
ACH	ACHATS	ACH000047	20181115	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181115	BOULANGERIE PATISSERIE	0,00	7,60	AU		20190725		
ACH	ACHATS	ACH000048	20181115	60225000	FOURNITURES DE BUREAU			x	20181115	STAMP FOR UK TAMPON CHRONO	38,21	0,00			20190725		
ACH	ACHATS	ACH000048	20181115	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20181115	STAMP FOR UK TAMPON CHRONO	7,64	0,00	AA		20190725		
ACH	ACHATS	ACH000048	20181115	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181115	STAMP FOR UK TAMPON CHRONO	0,00	45,85	AU		20190725		
ACH	ACHATS	ACH000049	20181116	60630000	FOURNITURES ET PETIT EQUIPEMEN			x	20181116	ESPACEX SFR	309,17	0,00			20190725		
ACH	ACHATS	ACH000049	20181116	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20181116	ESPACEX SFR	61,83	0,00	AA		20190725		
ACH	ACHATS	ACH000049	20181116	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20181116	ESPACEX SFR	0,00	371,00	AU		20190725		
BQ	BQ 552	BQ000023	20181116	43100000	SECURITE SOCIAL			x	20181116	PRLV SEPA BEARAF 544	2584,00	0,00	AC		20190725		
BQ	BQ 552	BQ000023	20181116	51200000	BANQUE 124			x	20181116	PRLV SEPA BEARAF 544	0,00	2584,00			20190725		
BQ	BQ 552	BQ000024	20181116	43100000	SECURITE SOCIAL			x	20181116	PRLV SEPA BEARAF 544	18,00	0,00	AC		20190725		
BQ	BQ 552	BQ000024	20181116	51200000	BANQUE 124			x	20181116	PRLV SEPA BEARAF 544	0,00	18,00			20190725		
BQ	BQ 552	BQ000025	20181116	40100000	FOURNISSEURS DIVERS	PAR 01	PARTNER01	x	20181116	SARL PARTNER01	300,00	0,00	AB		20190725		
BQ	BQ 552	BQ000025	20181116	51200000	BANQUE 124			x	20181116	SARL PARTNER01	0,00	300,00			20190725		
OD	OPERATIONS DIVERSES	OD 000002	20181116	43100000	SECURITE SOCIAL			x	20181116	Diff�rence lettrage	0,00	1,68	AC		20190725		
OD	OPERATIONS DIVERSES	OD 000002	20181116	64510000	COTISATIONS URSAAF			x	20181116	Diff�rence lettrage	1,68	0,00			20190725		
ACH	ACHATS	ACH000050	20181119	62510000	VOYAGES ET DEPLACEMENT			x	20181119	ULTRA	10,33	0,00			20190725		
