"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","fiscal_position_ids","original_tax_ids","repartition_line_ids/use_in_tax_closing","include_base_amount","price_include_override"
"","","","","","","","","tax","refund","","uae_account_201017","","","","","",""
"uae_export_tax","0% EX","sale","0.0","percent","Zero-rated exports","0% Export","ae_tax_group_0","base","invoice","4B","","","account_fiscal_position_non_uae_countries","uae_sale_tax_5_dubai","","",""
"","","","","","","","","tax","invoice","","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","4B","","","","","","",""
"","","","","","","","","tax","refund","","uae_account_201017","","","","","",""
"uae_sale_tax_exempted","0% EXT","sale","0.0","percent","Exempt","Exempt","ae_tax_group_exempted","base","invoice","5B","","","account_fiscal_position_uae,account_fiscal_position_non_uae_countries","","","",""
"","","","","","","","","tax","invoice","","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","5B","","","","","","",""
"","","","","","","","","tax","refund","","uae_account_201017","","","","","",""
"uae_sale_tax_tourist_refund","5% TR TS","sale","5.0","percent","Tax Refunds provided to Tourists under the Tax Refunds for Tourists Scheme","5% Tax Refund","ae_tax_group_5","base","invoice","2B","","","account_fiscal_position_uae","","","",""
"","","","","","","","","tax","invoice","2T","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","2B","","","","","","",""
"","","","","","","","","tax","refund","2T","uae_account_201017","","","","","",""
"uae_purchase_tax_5","5%","purchase","5.0","percent","","5%","ae_tax_group_5","base","invoice","9B","","","account_fiscal_position_uae","","","",""
"","","","","","","","","tax","invoice","9T","uae_account_104041","","","","","",""
"","","","","","","","","base","refund","9B","","","","","","",""
"","","","","","","","","tax","refund","9T","uae_account_104041","","","","","",""
"uae_import_tax","5% EX ONLY","purchase","100.0","division","For Non-VAT Registered Importers - Only VAT","5% Import","ae_tax_group_5","base","invoice","","","","account_fiscal_position_uae,account_fiscal_position_non_uae_countries","","","True","tax_included"
"","","","","","","","","tax","invoice","","uae_account_400072","","","","False","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","","uae_account_400072","","","","False","",""
"uae_purchase_tax_0","0%","purchase","0.0","percent","","0%","ae_tax_group_0","base","invoice","","","","account_fiscal_position_uae","","","",""
"","","","","","","","","tax","invoice","","uae_account_104041","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","","uae_account_104041","","","","","",""
"uae_purchase_tax_exempted","0% EXT","purchase","0.0","percent","Exempt","Exempt","ae_tax_group_exempted","base","invoice","","","","account_fiscal_position_uae,account_fiscal_position_non_uae_countries","","","",""
"","","","","","","","","tax","invoice","","uae_account_104041","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","","uae_account_104041","","","","","",""
"uae_purchase_postponed_tax","5% EX P","purchase","5.0","percent","Import Postponed Payment","5% Import Postponed","ae_tax_group_5","base","invoice","6B||10B","","","account_fiscal_position_non_uae_countries","","","",""
"","","","","","","","","tax","invoice","10T","uae_account_104042","","","","","",""
"","","","","","","","","tax","invoice","6T","uae_account_201020","-100","","","","",""
"","","","","","","","","base","refund","6B||10B","","","","","","",""
"","","","","","","","","tax","refund","10T","uae_account_104042","","","","","",""
"","","","","","","","","tax","refund","6T","uae_account_201020","-100","","","","",""
"uae_purchase_tax_reverse_charge","5% R C","purchase","5.0","percent","Foreign and Local supplies subject to reverse charge provisions, both for goods and services","5% Reverse Charge","","base","invoice","3B||10B","","","account_fiscal_position_non_uae_countries","uae_purchase_tax_5","","",""
"","","","","","","","","tax","invoice","10T","uae_account_104043","","","","","",""
"","","","","","","","","tax","invoice","3T","uae_account_201017","-100","","","","",""
"","","","","","","","","base","refund","3B||10B","","","","","","",""
"","","","","","","","","tax","refund","10T","uae_account_104043","","","","","",""
"","","","","","","","","tax","refund","3T","uae_account_201017","-100","","","","",""
"uae_out_of_scope","Out of Scope","sale","0.0","percent","Supplies outside the purview of the VAT Law","Out of Scope","ae_tax_group_out_of_scope","base","invoice","","","","account_fiscal_position_uae,account_fiscal_position_non_uae_countries","","","",""
"","","","","","","","","tax","invoice","","","","","","","",""
