"id","l10n_es_applicability"
"account_tax_template_s_req026",""
"account_tax_template_s_req05",""
"account_tax_template_s_req062",""
"account_tax_template_s_req014",""
"account_tax_template_s_req1",""
"account_tax_template_s_req52",""
"account_tax_template_p_req0",""
"account_tax_template_p_req026",""
"account_tax_template_p_req062",""
"account_tax_template_p_req1",""
"account_tax_template_p_req05",""
"account_tax_template_p_req014",""
"account_tax_template_p_req52",""
"account_tax_template_s_iva0_isp","01"
"account_tax_template_s_iva0","01"
"account_tax_template_s_iva0_art22","01"
"account_tax_template_s_iva0_art23","01"
"account_tax_template_s_iva0b","01"
"account_tax_template_p_iva0_bc","01"
"account_tax_template_s_iva0_ns","01"
"account_tax_template_s_iva0_nsd","01"
"account_tax_template_s_iva0s","01"
"account_tax_template_s_iva2b","01"
"account_tax_template_s_iva2s","01"
"account_tax_template_s_iva5b","01"
"account_tax_template_s_iva5s","01"
"account_tax_template_s_iva7-5b","01"
"account_tax_template_s_iva7-5s","01"
"account_tax_template_p_iva4_isp","01"
"account_tax_template_p_iva4_isp_bi","01"
"account_tax_template_p_iva10_isp","01"
"account_tax_template_p_iva10_isp_bi","01"
"account_tax_template_p_iva21_isp","01"
"account_tax_template_p_iva21_isp_bi","01"
"account_tax_template_p_iva12_agr","01"
"account_tax_template_p_iva105_gan","01"
"account_tax_template_s_iva0_g_i","01"
"account_tax_template_s_iva0_g_e","01"
"account_tax_template_s_irpf19a",""
"account_tax_template_p_irpf19a",""
"account_tax_template_s_irpf195a",""
"account_tax_template_p_irpf195a",""
"account_tax_template_s_irpf20a",""
"account_tax_template_p_irpf20a",""
"account_tax_template_s_irpf21a",""
"account_tax_template_p_irpf21a",""
"account_tax_template_s_irpf21",""
"account_tax_template_p_irpf21p",""
"account_tax_template_p_irpf21t",""
"account_tax_template_p_irpf21td",""
"account_tax_template_p_irpf21te",""
"account_tax_template_s_irpf20",""
"account_tax_template_p_irpf20",""
"account_tax_template_s_irpf24",""
"account_tax_template_p_irpf24",""
"account_tax_template_s_irpf24_rdc",""
"account_tax_template_p_irpf24_rdc",""
"account_tax_template_p_irpf35cya",""
"account_tax_template_s_irpf15",""
"account_tax_template_p_irpf15",""
"account_tax_template_p_irpf15e",""
"account_tax_template_s_irpf18",""
"account_tax_template_p_irpf18",""
"account_tax_template_s_irpf19",""
"account_tax_template_p_irpf19",""
"account_tax_template_p_irpf19ca",""
"account_tax_template_p_irpf19cs",""
"account_tax_template_s_irpf9",""
"account_tax_template_p_irpf9",""
"account_tax_template_s_irpf7",""
"account_tax_template_p_irpf7",""
"account_tax_template_p_irpf7e",""
"account_tax_template_s_irpf2",""
"account_tax_template_p_irpf2",""
"account_tax_template_s_irpf1",""
"account_tax_template_p_irpf1",""
"account_tax_template_s_irpfnrue0",""
"account_tax_template_p_irpfnrue0p",""
"account_tax_template_s_irpfnrue19",""
"account_tax_template_p_irpfnrue19p",""
"account_tax_template_p_irpfnrnue0p",""
"account_tax_template_s_irpfnrnue0",""
"account_tax_template_s_irpfnrnue24",""
"account_tax_template_p_irpfnrnue24p",""
"account_tax_template_p_rp19",""
"account_tax_template_p_rrD19",""
"account_tax_template_s_gd0",""
"account_tax_template_s_iva0_eu_e_t","01"
"account_tax_template_s_iva0_eu_e_m","01"
"account_tax_template_s_iva0_eu_e_h","01"
"account_tax_template_s_iva0_bc","01"
"account_tax_template_s_iva_0_bc_tai","01"
"account_tax_template_s_iva_0_bc_sus","01"
"account_tax_template_igic_r_7","03"
"account_tax_template_igic_r_0","03"
"account_tax_template_igic_r_3","03"
"account_tax_template_igic_r_5","03"
"account_tax_template_igic_r_9_5","03"
"account_tax_template_igic_r_15","03"
"account_tax_template_igic_r_20","03"
"account_tax_template_igic_s_ISP0","03"
"account_tax_template_igic_ex_0","03"
"account_tax_template_igic_re_ex","03"
"account_tax_template_igic_cmino","03"
"account_tax_template_igic_sop_cmino","03"
"account_tax_template_igic_sop_3_cmino","03"
"account_tax_template_igic_sop_7_cmino","03"
"account_tax_template_igic_sop_9_5_cmino","03"
"account_tax_template_igic_sop_15_cmino","03"
"account_tax_template_igic_sop_20_cmino","03"
"account_tax_template_s_igic_ns","03"
"account_tax_template_igic_p_ex","03"
"account_tax_template_igic_sop_0","03"
"account_tax_template_igic_sop_3","03"
"account_tax_template_igic_sop_5","03"
"account_tax_template_igic_sop_7","03"
"account_tax_template_igic_sop_9_5","03"
"account_tax_template_igic_sop_15","03"
"account_tax_template_igic_sop_20","03"
"account_tax_template_igic_sop_0_inv","03"
"account_tax_template_igic_sop_3_inv","03"
"account_tax_template_igic_sop_5_inv","03"
"account_tax_template_igic_sop_7_inv","03"
"account_tax_template_igic_sop_9_5_inv","03"
"account_tax_template_igic_sop_15_inv","03"
"account_tax_template_igic_sop_20_inv","03"
"account_tax_template_igic_sop_i_0","03"
"account_tax_template_igic_sop_i_3","03"
"account_tax_template_igic_sop_i_7","03"
"account_tax_template_igic_sop_i_9_5","03"
"account_tax_template_igic_sop_i_15","03"
"account_tax_template_igic_sop_i_20","03"
"account_tax_template_igic_sop_i_0_inv","03"
"account_tax_template_igic_sop_i_3_inv","03"
"account_tax_template_igic_sop_i_7_inv","03"
"account_tax_template_igic_sop_i_9_5_inv","03"
"account_tax_template_igic_sop_i_15_inv","03"
"account_tax_template_igic_sop_i_20_inv","03"
"account_tax_template_igic_ISP0","03"
"account_tax_template_igic_ISP3","03"
"account_tax_template_igic_ISP7","03"
"account_tax_template_igic_ISP95","03"
"account_tax_template_igic_ISP15","03"
"account_tax_template_igic_ISP20","03"
"account_tax_template_igic_p_re0","03"
"account_tax_template_igic_p_re03","03"
"account_tax_template_igic_p_re07","03"
"account_tax_template_igic_p_re095","03"
"account_tax_template_igic_p_re15","03"
"account_tax_template_igic_p_re20","03"
"account_tax_template_p_igic_ns","03"
"account_tax_template_s_irpf19a",""
"account_tax_template_p_irpf19a",""
"account_tax_template_s_irpf195a",""
"account_tax_template_p_irpf195a",""
"account_tax_template_s_irpf20a",""
"account_tax_template_p_irpf20a",""
"account_tax_template_s_irpf21a",""
"account_tax_template_p_irpf21a",""
"account_tax_template_s_irpf21",""
"account_tax_template_p_irpf21p",""
"account_tax_template_p_irpf21t",""
"account_tax_template_p_irpf21td",""
"account_tax_template_p_irpf21te",""
"account_tax_template_s_irpf20",""
"account_tax_template_p_irpf20",""
"account_tax_template_s_irpf24",""
"account_tax_template_p_irpf24",""
"account_tax_template_s_irpf24_rdc",""
"account_tax_template_p_irpf24_rdc",""
"account_tax_template_p_irpf35cya",""
"account_tax_template_s_irpf15",""
"account_tax_template_p_irpf15",""
"account_tax_template_p_irpf15e",""
"account_tax_template_s_irpf18",""
"account_tax_template_p_irpf18",""
"account_tax_template_s_irpf19",""
"account_tax_template_p_irpf19",""
"account_tax_template_p_irpf19ca",""
"account_tax_template_p_irpf19cs",""
"account_tax_template_s_irpf9",""
"account_tax_template_p_irpf9",""
"account_tax_template_s_irpf7",""
"account_tax_template_p_irpf7",""
"account_tax_template_p_irpf7e",""
"account_tax_template_s_irpf2",""
"account_tax_template_p_irpf2",""
"account_tax_template_s_irpf1",""
"account_tax_template_p_irpf1",""
"account_tax_template_s_irpfnrue0",""
"account_tax_template_p_irpfnrue0p",""
"account_tax_template_s_irpfnrue19",""
"account_tax_template_p_irpfnrue19p",""
"account_tax_template_p_irpfnrnue0p",""
"account_tax_template_s_irpfnrnue0",""
"account_tax_template_s_irpfnrnue24",""
"account_tax_template_p_irpfnrnue24p",""
"account_tax_template_p_rp19",""
"account_tax_template_p_rrD19",""

