"id","description","sequence","active","name","invoice_label","type_tax_use","amount_type","tax_scope","amount","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","fiscal_position_ids","original_tax_ids","formula"
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11C_D8","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_8_group_h","SST 8% Group H","1","True","8% S H","8%","sale","percent","service","8.0","tax_group_sst_8","100","base","invoice","","SST02_11D_C8||SST02_10","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11D_D8","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_10","SST 10%","1","True","10% G","10%","sale","percent","consu","10.0","tax_group_sst_10","100","base","invoice","","SST02_11B_C||SST02_8","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11B_D","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_card_service","Credit card or Charge card service","1","False","25 Per Card","RM25","sale","code","","","tax_group_sst_25_per_card","100","base","invoice","","SST02_11D_C25||SST02_10","l10n_my_domestic_fiscal_position","","quantity * 25"
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11D_D25","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_x_per_l","Goods under schedule 2 (Per Litre)","1","False","X Per Litre G","","sale","code","consu","","tax_group_sst_pl","100","base","invoice","","SST02_17A_C","l10n_my_domestic_fiscal_position","","quantity * 0.30"
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_17A_D","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_x_per_kg","Goods under schedule 2 (Per Kilogram)","1","False","X Per Kilogram G","","sale","code","consu","","tax_group_sst_pk","100","base","invoice","","SST02_17B_C","l10n_my_domestic_fiscal_position","","quantity * 0.01"
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_17B_D","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_x_ad_volerem","Goods under schedule 2 (Ad-volerem)","1","False","X%","","sale","percent","consu","0.0","tax_group_sst_av","100","base","invoice","","SST02_17C_C","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_17C_D","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_exempt_export","Sales exempted from tax, export","1","True","EX","Export","sale","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_18A_C","l10n_my_foreign_trade_fiscal_position","l10n_my_tax_sale_5,l10n_my_tax_sale_10",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_18A_C","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","","","",""
"l10n_my_tax_sale_exempt_schedule_a","Sales exempted from tax, schedule A","1","False","Exempt A","Exempt","sale","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_18B_1C","l10n_my_exempted_under_schedule_a_fiscal_position","l10n_my_tax_sale_5,l10n_my_tax_sale_10",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_18B_1C","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","","","",""
"l10n_my_tax_sale_exempt_schedule_b","Sales exempted from tax, schedule B","1","False","Exempt B","Exempt","sale","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_18B_2C","l10n_my_exempted_under_schedule_b_fiscal_position","l10n_my_tax_sale_5,l10n_my_tax_sale_10",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_18B_2C","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","","","",""
"l10n_my_tax_sale_exempt_schedule_c_12","Sales exempted from tax, schedule C, Item 1 and 2","1","False","Exempt C 1,2","Exempt","sale","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_18B_3IC","l10n_my_exempted_under_schedule_c_fiscal_position","l10n_my_tax_sale_5,l10n_my_tax_sale_10",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_18B_3IC","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","","","",""
"l10n_my_tax_sale_exempt_schedule_c_34","Sales exempted from tax, schedule C, Item 3 and 4","1","False","Exempt C 3,4","Exempt","sale","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_18B_3IIC","l10n_my_exempted_under_schedule_c_fiscal_position","l10n_my_tax_sale_5,l10n_my_tax_sale_10",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_18B_3IIC","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","","","",""
"l10n_my_tax_sale_exempt_schedule_c_5","Sales exempted from tax, schedule C, Item 5","1","False","Exempt C 5","Exempt","sale","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_18B_3IIIC","l10n_my_exempted_under_schedule_c_fiscal_position","l10n_my_tax_sale_5,l10n_my_tax_sale_10",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_18B_3IIIC","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","","","",""
"l10n_my_tax_service_exempt_schedule_c_5","Services exempted from tax, schedule C, Item 5","1","False","Exempt","Exempt","sale","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_18C_C","l10n_my_exempted_under_schedule_c_fiscal_position","l10n_my_tax_sale_6,l10n_my_tax_sale_8_ot_group_h,l10n_my_tax_sale_8_group_h",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_18C_C","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","","","",""
"l10n_my_tax_purchase_5","SST 5%","1","True","5% G","5%","purchase","percent","consu","5.0","tax_group_sst_5","100","base","invoice","","","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","","","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","",""
"l10n_my_tax_purchase_6","SST 6%","1","False","6% S","6%","purchase","percent","service","6.0","tax_group_sst_6","100","base","invoice","","","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","","","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","",""
"l10n_my_tax_purchase_8","SST 8%","1","True","8% S","8%","purchase","percent","service","8.0","tax_group_sst_8","100","base","invoice","","","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","","","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","",""
"l10n_my_tax_purchase_10","SST 10%","1","True","10% G","10%","purchase","percent","consu","10.0","tax_group_sst_10","100","base","invoice","","","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","","","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","",""
"l10n_my_tax_purchase_exempt_schedule_c_12","Purchase under the schedule C, item 1 and 2","1","False","Exempt C 1,2","Exempt","purchase","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_19C","","",""
"","","","","","","","","","","","100","tax","invoice","","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_19C","","",""
"","","","","","","","","","","","100","tax","refund","","","","",""
"l10n_my_tax_purchase_exempt_schedule_c_34","Purchase under the schedule C, item 3 and 4","1","False","Exempt C 3,4","Exempt","purchase","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_20C","","",""
"","","","","","","","","","","","100","tax","invoice","","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_20C","","",""
"","","","","","","","","","","","100","tax","refund","","","","",""
"l10n_my_tax_purchase_exempt_schedule_c_5","Purchase under the schedule C, item 5","1","False","Exempt C 5","Exempt","purchase","percent","consu","0.0","tax_group_exempt","100","base","invoice","","SST02_21C","","",""
"","","","","","","","","","","","100","tax","invoice","","","","",""
"","","","","","","","","","","","100","base","refund","","SST02_21C","","",""
"","","","","","","","","","","","100","tax","refund","","","","",""
"l10n_my_tax_purchase_imported_service","Imported services","1","False","IM S","Import","purchase","percent","service","6.0","tax_group_sst_6","100","base","invoice","","SST02A_10A_A","l10n_my_foreign_trade_fiscal_position","l10n_my_tax_sale_6,l10n_my_tax_sale_8_ot_group_h,l10n_my_tax_sale_8_group_h",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02A_10A_B","","",""
"","","","","","","","","","","","100","base","refund","","SST02A_10A_A","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02A_10A_B","","",""
"l10n_my_tax_purchase_other_imported_service","Other imported services","1","False","IM Others S","Import","purchase","percent","service","8.0","tax_group_sst_8","100","base","invoice","","SST02A_10B_A","l10n_my_foreign_trade_fiscal_position","l10n_my_tax_sale_6,l10n_my_tax_sale_8_ot_group_h,l10n_my_tax_sale_8_group_h",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02A_10B_B","","",""
"","","","","","","","","","","","100","base","refund","","SST02A_10B_A","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02A_10B_B","","",""
"l10n_my_tax_sale_goods_disposed_5","Value of Goods For Own Used / Disposed. Value of Free Services","1","False","5% G OU","","sale","percent","consu","5.0","tax_group_sst_5","100","base","invoice","","SST02_11A_C||SST02_9","","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11A_D","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_goods_disposed_10","Value of Goods For Own Used / Disposed. Value of Free Services","1","False","10% G OU","","sale","percent","consu","10.0","tax_group_sst_6","100","base","invoice","","SST02_11B_C||SST02_9","","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11B_D","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_goods_disposed_6","Value of Goods For Own Used / Disposed. Value of Free Services","1","False","6% S OU","","sale","percent","service","6.0","tax_group_sst_8","100","base","invoice","","SST02_11C_C6||SST02_9","","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11C_D6","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_goods_disposed_8","Value of Goods For Own Used / Disposed. Value of Free Services","1","False","8% S OU","","sale","percent","service","8.0","tax_group_sst_10","100","base","invoice","","SST02_11C_C8||SST02_9","","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11C_D8","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_purchase_5_deduction","SST 5% (Deduction)","1","False","5% G D","5%","purchase","percent","consu","5.0","tax_group_sst_5","100","base","invoice","","SST02_13_B5","","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_13_B5","","",""
"","","","","","","","","","","","100","base","refund","","SST02_13_B5","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13_B5","","",""
"l10n_my_tax_purchase_10_deduction","SST 10% (Deduction)","1","False","10% G D","10%","purchase","percent","consu","10.0","tax_group_sst_10","100","base","invoice","","SST02_13_B10","","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_13_B10","","",""
"","","","","","","","","","","","100","base","refund","","SST02_13_B10","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13_B10","","",""
"l10n_my_tax_purchase_5_sub_contracting","SST 5% (Sub-contracting)","1","False","5% G SC","5%","sale","percent","consu","5.0","tax_group_sst_5","100","base","invoice","","SST02_11A_C||SST02_8","","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11A_D","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_purchase_10_sub_contracting","SST 10% (Sub-contracting)","1","False","10% G SC","10%","sale","percent","consu","10.0","tax_group_sst_10","100","base","invoice","","SST02_11B_C||SST02_8","","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11B_D","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
