"id","name","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","tax_scope","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@pl"
"","","","","","","","","","","","base","refund","-K_19","","",""
"","","","","","","","","","","","tax","refund","-K_20","chart22020100","",""
"vz_kraj_23","23% G","","23%","23.0","percent","purchase","0","tax_group_vat_23","","","base","invoice","+K_42","","","23% T"
"","","","","","","","","","","","tax","invoice","+K_43","chart22010100","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010100","",""
"vz_kraj_8","8%","","8%","8.0","percent","purchase","","tax_group_vat_8","","","base","invoice","+K_42","","",""
"","","","","","","","","","","","tax","invoice","+K_43","chart22010200","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010200","",""
"vz_kraj_5","5%","","5%","5.0","percent","purchase","","tax_group_vat_5","","","base","invoice","+K_42","","",""
"","","","","","","","","","","","tax","invoice","+K_43","chart22010300","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010300","",""
"vz_kraj_0","0%","","0%","0.0","percent","purchase","","tax_group_vat_0","","","base","invoice","+K_42","","",""
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_kraj_zw","0% Exempt","","0%","0.0","percent","purchase","","tax_group_vat_0","","","base","invoice","+K_42","","","0% Zwolnione"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_kraj_usl_23","23% S","","23%","23.0","percent","purchase","","tax_group_vat_23","service","","base","invoice","+K_42","","","23% U"
"","","","","","","","","","","","tax","invoice","+K_43","chart22010100","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010100","",""
"vp_leas_sale","23% - vehicle leasing","","23%","23.0","percent","sale","1","tax_group_vat_23","","","base","invoice","+K_42","","","23% - leasing pojazdu"
"","","","","","","","","","","","tax","invoice","+K_43","chart22010100","60",""
"","","","","","","","","","","","tax","invoice","","chart76010900","40",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010100","60",""
"","","","","","","","","","","","tax","refund","","chart76010900","40",""
"vp_leas_purchase","23% - vehicle leasing","","23%","23.0","percent","purchase","1","tax_group_vat_23","","","base","invoice","+K_42","","","23% - leasing pojazdu"
"","","","","","","","","","","","tax","invoice","+K_43","chart22010100","60",""
"","","","","","","","","","","","tax","invoice","","chart76010900","40",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010100","60",""
"","","","","","","","","","","","tax","refund","","chart76010900","40",""
"vs_stal","0% Steel","","0%","0.0","percent","sale","","tax_group_vat_0","consu","False","base","invoice","+K_31","","","0% Stal"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_31","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_stal","23% Steel","","23%","23.0","percent","purchase","","tax_group_vat_0","consu","False","base","invoice","+K_42||+K_31","","","23% Stal"
"","","","","","","","","","","","tax","invoice","+K_43","chart22010100","",""
"","","","","","","","","","","","tax","invoice","-K_32","chart22020100","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_31","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010100","",""
"","","","","","","","","","","","tax","refund","+K_32","chart22020100","-100",""
"vs_unia","0% EU G","","0%","0.0","percent","sale","","tax_group_vat_0","consu","","base","invoice","+K_21","","","0% EU T"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_21","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_unia_i42","0% EU I_42","0% I_42","0%","0.0","percent","sale","","tax_group_vat_0","consu","False","base","invoice","+K_21||+I_42","","","0% EU I_42"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_21||-I_42","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_unia_triangular","0% EU T 2","0% EU T 2nd Payer","0%","0.0","percent","sale","","tax_group_vat_0","consu","False","base","invoice","+K_21||+Triangular Sale","","","0% EU T 2"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_21||-Triangular Sale","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_unia_i63","0% EU I_63","0% I_63","0%","0.0","percent","sale","","tax_group_vat_0","consu","False","base","invoice","+K_21||+I_63","","","0% EU I_63"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_21||-I_63","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_unia_triangular","0% EU T 2","0% EU T 2nd Payer","0%","0.0","percent","purchase","","tax_group_vat_0","consu","False","base","invoice","+K_11||+Triangular Purchase","","","0% EU T 2"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_11||-Triangular Purchase","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_unia","23% EU G","","23%","23.0","percent","purchase","","tax_group_vat_0","consu","","base","invoice","+K_42||+K_23","","","23% EU T"
"","","","","","","","","","","","tax","invoice","+K_43","chart22010100","",""
"","","","","","","","","","","","tax","invoice","-K_24","chart22020100","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_23","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010100","",""
"","","","","","","","","","","","tax","refund","+K_24","chart22020100","-100",""
"vs_dostu","0% EU S","","0%","0.0","percent","sale","","tax_group_vat_0","service","","base","invoice","+K_11||+K_12","","","0% EU U"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_11||-K_12","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_nabu","23% EU S","","23%","23.0","percent","purchase","","tax_group_vat_0","service","","base","invoice","+K_42||+K_29","","","23% EU S"
"","","","","","","","","","","","tax","invoice","+K_43","chart22010100","",""
"","","","","","","","","","","","tax","invoice","-K_30","chart22020100","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_29","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010100","",""
"","","","","","","","","","","","tax","refund","+K_30","chart22020100","-100",""
"vs_eksp_tow","0% EX G","","0%","0.0","percent","sale","","tax_group_vat_0","consu","","base","invoice","+K_22","","","0% EX T"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_22","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_imp_tow","23% EX G","","23%","23.0","percent","purchase","","tax_group_vat_0","consu","","base","invoice","+K_42||+K_25","","","23% EX T"
"","","","","","","","","","","","tax","invoice","+K_43","chart22010100","",""
"","","","","","","","","","","","tax","invoice","-K_26","chart22020100","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_25","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010100","",""
"","","","","","","","","","","","tax","refund","+K_26","chart22020100","-100",""
"vs_ekspu","0% EX S","","0%","0.0","percent","sale","","tax_group_vat_0","service","","base","invoice","+K_11","","","0% EX U"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_11","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_impu","23% EX S","","23%","23.0","percent","purchase","","tax_group_vat_0","service","","base","invoice","+K_42||+K_27","","","23% EX U"
"","","","","","","","","","","","tax","invoice","+K_43","chart22010100","",""
"","","","","","","","","","","","tax","invoice","-K_28","chart22020100","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_27","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22010100","",""
"","","","","","","","","","","","tax","refund","+K_28","chart22020100","-100",""
