"id","code_prefix_start","name","name@sv_SE"
"se_group_224","224","Provisions for deferred taxes","Avsättningar för uppskjutna skatter"
"se_group_225","225","Other provisions for taxes","Övriga avsättningar för skatter"
"se_group_229","229","Other provisions","Övriga avsättningar"
"se_group_23","23","Long-term liabilities","Långfristiga skulder"
"se_group_231","231","Bonds and debentures","Obligations- och förlagslån"
"se_group_232","232","Convertible loans and similar","Konvertibla lån och liknande"
"se_group_233","233","Bank overdrafts","Checkräkningskredit"
"se_group_234","234","Building loans","Byggnadskreditiv"
"se_group_235","235","Other long-term liabilities to credit institutions","Andra långfristiga skulder till kreditinstitut"
"se_group_236","236","Long-term liabilities to group companies","Långfristiga skulder till koncernföretag"
"se_group_237","237","Long-term liabilities to associates, jointly controlled entities and other entities in which there is an ownership interest","Långfristiga skulder till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_239","239","Other long-term liabilities","Övriga långfristiga skulder"
"se_group_24","24","Current liabilities to credit institutions, customers and suppliers","Kortfristiga skulder till kreditinstitut, kunder och leverantörer"
"se_group_241","241","Other short-term loan liabilities to credit institutions","Andra kortfristiga låneskulder till kreditinstitut"
"se_group_242","242","Advances from customers","Förskott från kunder"
"se_group_243","243","Work in progress","Pågående arbeten"
"se_group_244","244","Trade payables","Leverantörsskulder"
"se_group_245","245","Invoiced but unrecognised revenue","Fakturerad men ej upparbetad intäkt"
"se_group_246","246","Trade payables to group companies","Leverantörsskulder till koncernföretag"
"se_group_247","247","Trade payables to associates, jointly controlled entities and other entities in which there is an ownership interest.","Leverantörsskulder till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_248","248","Overdraft facility, short-term","Checkräkningskredit, kortfristig"
"se_group_249","249","Other current liabilities to credit institutions, customers and suppliers","Övriga kortfristiga skulder till kreditinstitut, kunder och leverantörer"
"se_group_25","25","Tax liabilities","Skatteskulder"
"se_group_251","251","Tax liabilities","Skatteskulder"
"se_group_26","26","VAT and excise duties","Moms och punktskatter"
"se_group_261","261","Outgoing VAT, 25 %","Utgående moms, 25 %"
"se_group_262","262","Output VAT, 12 %","Utgående moms, 12 %"
"se_group_263","263","Output VAT, 6 %","Utgående moms, 6 %"
"se_group_264","264","Input VAT","Ingående moms"
"se_group_265","265","Accounting account for VAT","Redovisningskonto för moms"
"se_group_266","266","Excise duties","Punktskatter"
"se_group_27","27","Staff taxes, contributions and payroll deductions","Personalens skatter, avgifter och löneavdrag"
"se_group_271","271","Employee taxes","Personalskatt"
"se_group_273","273","Statutory social security contributions and special payroll tax","Lagstadgade sociala avgifter och särskild löneskatt"
"se_group_274","274","Agreed social security contributions","Avtalade sociala avgifter"
"se_group_275","275","Attachment of wages, etc.","Utmätning i lön m.m."
"se_group_276","276","Holiday funds","Semestermedel"
"se_group_279","279","Other payroll deductions","Övriga löneavdrag"
"se_group_28","28","Other current liabilities","Övriga kortfristiga skulder"
"se_group_281","281","Settlement of factoring and mortgaged contract claims","Avräkning för factoring och belånade kontraktsfordringar"
"se_group_282","282","Current liabilities to employees","Kortfristiga skulder till anställda"
"se_group_283","283","Settlement on behalf of others","Avräkning för annans räkning"
"se_group_284","284","Short-term loan liabilities","Kortfristiga låneskulder"
"se_group_285","285","Settlement of taxes and duties (tax account)","Avräkning för skatter och avgifter (skattekonto)"
"se_group_286","286","Current liabilities to group companies","Kortfristiga skulder till koncernföretag"
"se_group_287","287","Current liabilities to associates, jointly controlled entities and other entities in which there is an ownership interest","Kortfristiga skulder till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_288","288","Liability for grants received","Skuld erhållna bidrag"
"se_group_289","289","Other current liabilities","Övriga kortfristiga skulder"
"se_group_29","29","Accrued expenses and deferred income","Upplupna kostnader och förutbetalda intäkter"
"se_group_291","291","Accrued wages and salaries","Upplupna löner"
"se_group_292","292","Accrued holiday pay","Upplupna semesterlöner"
"se_group_293","293","Accrued pension costs","Upplupna pensionskostnader"
"se_group_294","294","Accrued statutory social security and other contributions","Upplupna lagstadgade sociala och andra avgifter"
"se_group_295","295","Accrued contractual social security contributions","Upplupna avtalade sociala avgifter"
"se_group_296","296","Accrued interest expenses","Upplupna räntekostnader"
"se_group_297","297","Deferred income","Förutbetalda intäkter"
"se_group_298","298","Accrued contractual costs","Upplupna avtalskostnader"
"se_group_299","299","Other accrued expenses and deferred income","Övriga upplupna kostnader och förutbetalda intäkter"
"se_group_3","3","Operating income/revenues","Rörelsens inkomster/intäkter"
"se_group_30","30","Main revenues","Huvudintäkter"
"se_group_300","300","Sales within Sweden","Försäljning inom Sverige"
"se_group_310","310","Sales of goods outside Sweden","Försäljning av varor utanför Sverige"
"se_group_320","320","Sales VMB and reverse charge VAT","Försäljning VMB och omvänd moms"
"se_group_321","321","Sales of positive VAT 25 per cent","Försäljning positiv VMB 25 %"
"se_group_323","323","Sales in the construction sector, reverse charge VAT","Försäljning inom byggsektorn, omvänd skattskyldighet moms"
"se_group_330","330","Sales of services outside Sweden","Försäljning av tjänster utanför Sverige"
"se_group_340","340","Sales, own consumption","Försäljning, egna uttag"
"se_group_35","35","Invoiced expenses","Fakturerade kostnader"
"se_group_350","350","Invoiced expenses (group account)","Fakturerade kostnader (gruppkonto)"
"se_group_351","351","Invoiced packaging","Fakturerat emballage"
"se_group_352","352","Invoiced freight","Fakturerade frakter"
"se_group_353","353","Invoiced customs and forwarding costs, etc.","Fakturerade tull- och speditionskostnader m.m."
"se_group_354","354","Invoicing charges","Faktureringsavgifter"
"se_group_355","355","Invoiced travelling expenses","Fakturerade resekostnader"
"se_group_356","356","Costs invoiced to group companies","Fakturerade kostnader till koncernföretag"
"se_group_357","357","Costs invoiced to associated companies, jointly controlled companies and other companies in which there is an ownership interest.","Fakturerade kostnader till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_359","359","Other invoiced expenses","Övriga fakturerade kostnader"
"se_group_36","36","Ancillary operating income","Rörelsens sidointäkter"
"se_group_360","360","Ancillary operating income (group account)","Rörelsens sidointäkter (gruppkonto)"
"se_group_361","361","Sale of materials","Försäljning av material"
"se_group_362","362","Temporary rental of personnel","Tillfällig uthyrning av personal"
"se_group_363","363","Temporary rental of transport equipment","Tillfällig uthyrning av transportmedel"
"se_group_367","367","Income from securities","Intäkter från värdepapper"
"se_group_368","368","Management fees","Management fees"
"se_group_369","369","Other miscellaneous income","Övriga sidointäkter"
"se_group_37","37","Revenue adjustments","Intäktskorrigeringar"
"se_group_370","370","Revenue adjustments (group account)","Intäktskorrigeringar (gruppkonto)"
"se_group_371","371","Unallocated revenue reductions","Ofördelade intäktsreduktioner"
"se_group_373","373","Discounts granted","Lämnade rabatter"
"se_group_374","374","Öres and krona equalisation","Öres- och kronutjämning"
"se_group_375","375","Excise duties","Punktskatter"
"se_group_379","379","Other revenue adjustments","Övriga intäktskorrigeringar"
"se_group_38","38","Work capitalised on own account","Aktiverat arbete för egen räkning"
"se_group_380","380","Work capitalised for own account (group account)","Aktiverat arbete för egen räkning (gruppkonto)"
"se_group_384","384","Work capitalised (materials)","Aktiverat arbete (material)"
"se_group_385","385","Work capitalised (overheads)","Aktiverat arbete (omkostnader)"
"se_group_387","387","Work capitalised (personnel)","Aktiverat arbete (personal)"
"se_group_39","39","Other operating income","Övriga rörelseintäkter"
"se_group_390","390","Other operating income (group account)","Övriga rörelseintäkter (gruppkonto)"
"se_group_391","391","Rental and leasing income","Hyres- och arrendeintäkter"
"se_group_392","392","Commission, licence and royalty income","Provisionsintäkter, licensintäkter och royalties"
"se_group_394","394","Unrealised negative/positive changes in value of hedging instruments","Orealiserade negativa/positiva värdeförändringar på säkringsinstrument"
"se_group_395","395","Recovered, previously written off trade receivables","Återvunna, tidigare avskrivna kundfordringar"
"se_group_396","396","Exchange rate gains on receivables and liabilities of an operating nature","Valutakursvinster på fordringar och skulder av rörelsekaraktär"
"se_group_397","397","Gain on disposal of intangible and tangible fixed assets","Vinst vid avyttring av immateriella och materiella anläggningstillgångar"
"se_group_398","398","Government grants received","Erhållna offentliga bidrag"
"se_group_399","399","Other remuneration, grants and income","Övriga ersättningar, bidrag och intäkter"
"se_group_4","4","Expenditure/cost of goods, materials and certain purchased services","Utgifter/kostnader för varor, material och vissa köpta tjänster"
"se_group_40","40","Purchases of goods and materials","Inköp av varor och material"
"se_group_400","400","Purchases of goods from Sweden","Inköp av varor från Sverige"
"se_group_420","420","Goods sold VMB","Sålda varor VMB"
"se_group_421","421","Goods sold RMS 25 per cent","Sålda varor VMB 25 %"
"se_group_440","440","Purchases subject to VAT in Sweden","Momspliktiga inköp i Sverige"
"se_group_441","441","Goods purchased in Sweden, reverse charge, 25 % VAT.","Inköpta varor i Sverige, omvänd skattskyldighet, 25 % moms"
"se_group_442","442","Services purchased in Sweden, reverse charge, 25 % VAT","Inköpta tjänster i Sverige, omvänd skattskyldighet, 25 % moms"
"se_group_450","450","Other purchases subject to VAT","Övriga momspliktiga inköp"
"se_group_451","451","Purchase of goods from another EU country, 25%","Inköp av varor från annat EU-land, 25 %"
"se_group_453","453","Purchase of services from a country outside the EU, 25% VAT","Inköp av tjänster från ett land utanför EU, 25 % moms"
"se_group_454","454","Import of goods, 25% VAT","Import av varor, 25 % moms"
"se_group_46","46","Subcontracting, subcontracting","Legoarbeten, underentreprenader"
"se_group_460","460","Contract work and subcontracting (group account)","Legoarbeten och underentreprenader (gruppkonto)"
"se_group_47","47","Reduction of purchase prices","Reduktion av inköpspriser"
"se_group_470","470","Reduction of purchase prices (group account)","Reduktion av inköpspriser (gruppkonto)"
"se_group_473","473","Discounts received","Erhållna rabatter"
"se_group_479","479","Other purchase price reductions","Övriga reduktioner av inköpspriser"
"se_group_48","48","Free account group","Fri kontogrupp"
"se_group_49","49","Change in stocks, work in progress and work in progress","Förändring av lager, produkter i arbete och pågående arbeten"
"se_group_490","490","Change in stocks (group account)","Förändring av lager (gruppkonto)"
"se_group_491","491","Change in stocks of raw materials","Förändring av lager av råvaror"
"se_group_492","492","Change in stocks of additives and consumables","Förändring av lager av tillsatsmaterial och förnödenheter"
"se_group_494","494","Change in stocks of work in progress","Förändring av produkter i arbete"
"se_group_495","495","Change in stocks of finished goods","Förändring av lager av färdiga varor"
"se_group_496","496","Change in stocks of merchandise","Förändring av lager av handelsvaror"
"se_group_497","497","Change in work in progress, costs incurred","Förändring av pågående arbeten, nedlagda kostnader"
"se_group_498","498","Change in stocks of securities","Förändring av lager av värdepapper"
"se_group_5","5","Other external operating expenditure/expenses","Övriga externa rörelseutgifter/kostnader"
"se_group_50","50","Cost of premises","Lokalkostnader"
"se_group_500","500","Premises expenses (group account)","Lokalkostnader (gruppkonto)"
"se_group_501","501","Rent of premises","Lokalhyra"
"se_group_502","502","Electricity for lighting","El för belysning"
"se_group_503","503","Heating","Värme"
"se_group_504","504","Water and sewerage","Vatten och avlopp"
"se_group_505","505","Premises accessories","Lokaltillbehör"
"se_group_506","506","Cleaning and sanitation","Städning och renhållning"
"se_group_507","507","Repair and maintenance of premises","Reparation och underhåll av lokaler"
"se_group_509","509","Other premises costs","Övriga lokalkostnader"
"se_group_51","51","Real estate costs","Fastighetskostnader"
"se_group_510","510","Property costs (group account)","Fastighetskostnader (gruppkonto)"
"se_group_511","511","Ground rent/leasehold charges","Tomträttsavgäld/arrende"
"se_group_512","512","Electricity for lighting","El för belysning"
"se_group_513","513","Heating","Värme"
"se_group_514","514","Water and sewerage","Vatten och avlopp"
"se_group_516","516","Cleaning and sanitation","Städning och renhållning"
"se_group_517","517","Repair and maintenance of property","Reparation och underhåll av fastighet"
"se_group_519","519","Other property costs","Övriga fastighetskostnader"
"se_group_52","52","Rent of fixed assets","Hyra av anläggningstillgångar"
"se_group_520","520","Rental of fixed assets (group account)","Hyra av anläggningstillgångar (gruppkonto)"
"se_group_521","521","Rental of machinery and other technical equipment","Hyra av maskiner och andra tekniska anläggningar"
"se_group_522","522","Rent of equipment and tools","Hyra av inventarier och verktyg"
"se_group_525","525","Rental of computers","Hyra av datorer"
"se_group_529","529","Other rentals of fixed assets","Övriga hyreskostnader för anläggningstillgångar"
"se_group_53","53","Energy costs","Energikostnader"
"se_group_530","530","Energy costs (group account)","Energikostnader (gruppkonto)"
"se_group_531","531","Electricity for operation","El för drift"
"se_group_532","532","gas","Gas"
"se_group_533","533","Fuel oil","Eldningsolja"
"se_group_534","534","Coal and coke","Stenkol och koks"
"se_group_535","535","Peat, charcoal, wood and other wood fuels","Torv, träkol, ved och annat träbränsle"
"se_group_536","536","Petrol, kerosene and motor fuel oil","Bensin, fotogen och motorbrännolja"
"se_group_537","537","District heating, cooling and steam","Fjärrvärme, kyla och ånga"
"se_group_538","538","water","Vatten"
"se_group_539","539","Other energy costs","Övriga energikostnader"
"se_group_54","54","Consumable inventory and consumables","Förbrukningsinventarier och förbrukningsmaterial"
"se_group_540","540","Consumables and supplies (group account)","Förbrukningsinventarier och förbrukningsmaterial (gruppkonto)"
"se_group_541","541","Consumable inventory","Förbrukningsinventarier"
"se_group_542","542","Software","Programvaror"
"se_group_543","543","Transport equipment","Transportinventarier"
"se_group_544","544","Consumable packaging","Förbrukningsemballage"
"se_group_546","546","Consumables","Förbrukningsmaterial"
"se_group_548","548","Working clothes and protective materials","Arbetskläder och skyddsmaterial"
"se_group_549","549","Other consumables and supplies","Övriga förbrukningsinventarier och förbrukningsmaterial"
"se_group_55","55","Repair and maintenance","Reparation och underhåll"
"se_group_550","550","Repair and maintenance (group account)","Reparation och underhåll (gruppkonto)"
"se_group_551","551","Repair and maintenance of machinery and other technical equipment","Reparation och underhåll av maskiner och andra tekniska anläggningar"
"se_group_552","552","Repair and maintenance of equipment, tools and computers etc.","Reparation och underhåll av inventarier, verktyg och datorer m.m."
"se_group_553","553","Repair and maintenance of installations","Reparation och underhåll av installationer"
"se_group_555","555","Repair and maintenance of consumable equipment","Reparation och underhåll av förbrukningsinventarier"
"se_group_558","558","Maintenance and washing of work clothes","Underhåll och tvätt av arbetskläder"
"se_group_559","559","Other repair and maintenance costs","Övriga kostnader för reparation och underhåll"
"se_group_56","56","Cost of means of transport","Kostnader för transportmedel"
"se_group_560","560","Cost of means of transport (group account)","Kostnader för transportmedel (gruppkonto)"
"se_group_561","561","Passenger car costs","Personbilskostnader"
"se_group_562","562","lorry costs","Lastbilskostnader"
"se_group_563","563","Truck costs","Truckkostnader"
"se_group_564","564","Costs of working machines","Kostnader för arbetsmaskiner"
"se_group_565","565","Tractor costs","Traktorkostnader"
"se_group_566","566","Motorbike, moped and scooter costs","Motorcykel-, moped- och skoterkostnader"
"se_group_567","567","Boat, aeroplane and helicopter costs","Båt-, flygplans- och helikopterkostnader"
"se_group_569","569","Other means of transport costs","Övriga kostnader för transportmedel"
"se_group_57","57","Freight and transport","Frakter och transporter"
"se_group_570","570","Freight and transport (group account)","Frakter och transporter (gruppkonto)"
"se_group_571","571","Freight, transport and insurance in the distribution of goods","Frakter, transporter och försäkringar vid varudistribution"
"se_group_572","572","Customs and forwarding costs, etc.","Tull- och speditionskostnader m.m."
"se_group_573","573","Transport of labour","Arbetstransporter"
"se_group_579","579","Other freight and transport costs","Övriga kostnader för frakter och transporter"
"se_group_58","58","Travelling expenses","Resekostnader"
"se_group_580","580","Travelling expenses (group account)","Resekostnader (gruppkonto)"
"se_group_581","581","tickets","Biljetter"
"se_group_582","582","Car hire costs","Hyrbilskostnader"
"se_group_583","583","Food and accommodation","Kost och logi"
"se_group_589","589","Other travelling expenses","Övriga resekostnader"
"se_group_59","59","Advertising and public relations","Reklam och PR"
"se_group_590","590","Advertising and public relations (group account)","Reklam och PR (gruppkonto)"
"se_group_591","591","Advertising","Annonsering"
"se_group_592","592","Outdoor and traffic advertising","Utomhus- och trafikreklam"
"se_group_593","593","Printed advertising material and direct mail","Reklamtrycksaker och direktreklam"
"se_group_594","594","Exhibitions and fairs","Utställningar och mässor"
"se_group_595","595","In-store advertising and retailer advertising","Butiksreklam och återförsäljarreklam"
"se_group_596","596","Product samples, promotional gifts, giveaways and competitions","Varuprover, reklamgåvor, presentreklam och tävlingar"
"se_group_597","597","Film, radio, television and internet advertising","Film-, radio-, TV- och Internetreklam"
"se_group_598","598","Public relations, institutional advertising and sponsorship","PR, institutionell reklam och sponsring"
"se_group_599","599","Other advertising and public relations costs","Övriga kostnader för reklam och PR"
"se_group_6","6","Other external operating expenditure/costs","Övriga externa rörelseutgifter/kostnader"
"se_group_60","60","Other selling expenses","Övriga försäljningskostnader"
"se_group_600","600","Other selling expenses (group account)","Övriga försäljningskostnader (gruppkonto)"
"se_group_601","601","Catalogues, price lists, etc.","Kataloger, prislistor m.m."
"se_group_602","602","Own trade journals","Egna facktidskrifter"
"se_group_603","603","Special order costs","Speciella orderkostnader"
"se_group_604","604","Credit card charges","Kontokortsavgifter"
"se_group_605","605","Sales commissions","Försäljningsprovisioner"
"se_group_606","606","Credit sales costs","Kreditförsäljningskostnader"
"se_group_607","607","Representation","Representation"
"se_group_608","608","Bank guarantees","Bankgarantier"
"se_group_609","609","Other selling expenses","Övriga försäljningskostnader"
"se_group_61","61","Office supplies and printed matter","Kontorsmateriel och trycksaker"
"se_group_610","610","Office supplies and printed matter (group account)","Kontorsmateriel och trycksaker (gruppkonto)"
"se_group_611","611","Office supplies","Kontorsmateriel"
"se_group_615","615","Printed matter","Trycksaker"
"se_group_62","62","Telephone and mail","Tele och post"
"se_group_620","620","Telecommunications and post (group account)","Tele och post (gruppkonto)"
"se_group_621","621","Telecommunications","Telekommunikation"
"se_group_623","623","Data communications","Datakommunikation"
"se_group_625","625","Postal services","Postbefordran"
"se_group_63","63","Business insurance and other risk costs","Företagsförsäkringar och övriga riskkostnader"
"se_group_630","630","Business insurance and other risk charges (group account)","Företagsförsäkringar och övriga riskkostnader (gruppkonto)"
"se_group_631","631","Business insurance","Företagsförsäkringar"
"se_group_632","632","Deductibles in case of damage","Självrisker vid skada"
"se_group_633","633","Losses in work in progress","Förluster i pågående arbeten"
"se_group_634","634","Claims paid","Lämnade skadestånd"
"se_group_635","635","Losses on trade receivables","Förluster på kundfordringar"
"se_group_636","636","Guarantee costs","Garantikostnader"
"se_group_637","637","Security and alarm costs","Kostnader för bevakning och larm"
"se_group_638","638","Losses on other short-term receivables","Förluster på övriga kortfristiga fordringar"
"se_group_639","639","Other risk costs","Övriga riskkostnader"
"se_group_64","64","Management expenses","Förvaltningskostnader"
"se_group_640","640","Management expenses (group account)","Förvaltningskostnader (gruppkonto)"
"se_group_641","641","Non-salary directors' fees","Styrelsearvoden som inte är lön"
"se_group_642","642","Remuneration to the auditor","Ersättningar till revisor"
"se_group_643","643","Management fees","Management fees"
"se_group_644","644","Annual and interim reports","Årsredovisning och delårsrapporter"
"se_group_645","645","General meeting of shareholders/annual or association meetings","Bolagsstämma/års- ellerföreningsstämma"
"se_group_649","649","Other management costs","Övriga förvaltningskostnader"
"se_group_65","65","Other external services","Övriga externa tjänster"
"se_group_650","650","Other external services (group account)","Övriga externa tjänster (gruppkonto)"
"se_group_651","651","Measurement costs","Mätningskostnader"
"se_group_652","652","Drawing and copying costs","Ritnings- och kopieringskostnader"
"se_group_653","653","Accounting services","Redovisningstjänster"
"se_group_654","654","IT services","IT-tjänster"
"se_group_655","655","Consultancy fees","Konsultarvoden"
"se_group_656","656","Service fees to professional organisations","Serviceavgifter till branschorganisationer"
"se_group_657","657","Bank charges","Bankkostnader"
"se_group_658","658","Legal and court costs","Advokat- och rättegångskostnader"
"se_group_659","659","Other external services","Övriga externa tjänster"
"se_group_66","66","Free account group","Fri kontogrupp"
"se_group_67","67","Free account group","Fri kontogrupp"
"se_group_68","68","Temporary staff","Inhyrd personal"
"se_group_680","680","Temporary staff (group account)","Inhyrd personal (gruppkonto)"
"se_group_681","681","Hired production staff","Inhyrd produktionspersonal"
"se_group_682","682","Hired warehouse staff","Inhyrd lagerpersonal"
"se_group_683","683","Hired transport personnel","Inhyrd transportpersonal"
