"id","sequence","description","invoice_label","name","price_include","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@fr","name@nl"
"attn_TVA-21-inclus-dans-prix","150","","21%","21% S.TTC","True","21.0","percent","purchase","tax_group_tva_21","","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-82||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V82-21-S","210","","21%","21% S","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-82||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V82-21-G","220","","21%","21% G","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-82||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V82-12-S","230","","12%","12% S","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-82||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V82-12-G","240","","12%","12% G","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-82||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V82-06-S","250","","6%","6% S","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-82||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V82-06-G","260","","6%","6% G","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-82||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V82-00-S","270","","0%","0% S","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-82||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V82-00-G","280","","0%","0% G","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-82||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V83-21","310","","21%","21% IG","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+83","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-83||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V83-12","320","","12%","12% IG","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+83","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-83||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V83-06","330","","6%","6% IG","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+83","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-83||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V83-00","340","","0%","0% IG","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+83","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-83||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V81-21-CC","410","","21%","21% M.Cocont","False","21.0","percent","purchase","tax_group_tva_21","","base","invoice","+81||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-56","a451056","-100","",""
"","","","","","","","","","","","base","refund","-81||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451056","-100","",""
"attn_VAT-IN-V81-12-CC","420","","12%","12% M.Cocont","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+81||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-56","a451056","-100","",""
"","","","","","","","","","","","base","refund","-81||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451056","-100","",""
"attn_VAT-IN-V81-06-CC","430","","6%","6% M.Cocont","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+81||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-56","a451056","-100","",""
"","","","","","","","","","","","base","refund","-81||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451056","-100","",""
"attn_VAT-IN-V81-00-CC","440","","0%","0% M.Cocont","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+81||+87","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-81||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V82-21-CC","510","","21%","21% S.Cocont","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+82||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-56","a451056","-100","",""
"","","","","","","","","","","","base","refund","-82||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451056","-100","",""
"attn_VAT-IN-V82-12-CC","520","","12%","12% S.Cocont","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+82||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-56","a451056","-100","",""
"","","","","","","","","","","","base","refund","-82||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451056","-100","",""
"attn_VAT-IN-V82-06-CC","530","","6%","6% S.Cocont","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+82||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-56","a451056","-100","",""
"","","","","","","","","","","","base","refund","-82||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451056","-100","",""
"attn_VAT-IN-V82-00-CC","540","","0%","0% S.Cocont","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+82||+87","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-82||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V83-21-CC","610","","21%","21% IG.Cocont","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+83||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-56","a451056","-100","",""
"","","","","","","","","","","","base","refund","-83||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451056","-100","",""
"attn_VAT-IN-V83-12-CC","620","","12%","12% IG.Cocont","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+83||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-56","a451056","-100","",""
"","","","","","","","","","","","base","refund","-83||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451056","-100","",""
"attn_VAT-IN-V83-06-CC","630","","6%","6% IG.Cocont","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+83||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-56","a451056","-100","",""
"","","","","","","","","","","","base","refund","-83||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451056","-100","",""
"attn_VAT-IN-V83-00-CC","640","","0%","0% IG.Cocont","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+83||+87","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-83||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V82-CAR-EXC","720","","21%","21% Car","False","21.0","percent","purchase","tax_group_tva_21","","base","invoice","+82","","","",""
"","","","","","","","","","","","tax","invoice","+82","","50","",""
"","","","","","","","","","","","tax","invoice","+59","a411","50","",""
"","","","","","","","","","","","base","refund","+85||-82","","","",""
"","","","","","","","","","","","tax","refund","-82||+85","","50","",""
"","","","","","","","","","","","tax","refund","+63","a411","50","",""
"attn_VAT-IN-V81-21-EU","1110","","21%","21% EU M","False","21.0","percent","purchase","tax_group_tva_21","","base","invoice","+81||+86","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-81||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V81-12-EU","1120","","12%","12% EU M","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+81||+86","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-81||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V81-06-EU","1130","","6%","6% EU M","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+81||+86","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-81||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V81-00-EU","1140","","0%","0% EU M","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+81||+86","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-81||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V82-21-EU-S","1210","","21%","21% EU S","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+82||+88","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-82||-88||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V82-21-EU-G","1220","","21%","21% EU G","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+82||+86","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-82||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V82-12-EU-S","1230","","12%","12% EU S","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+82||+88","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-82||-88||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V82-12-EU-G","1240","","12%","12% EU G","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+82||+86","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-82||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V82-06-EU-S","1250","","6%","6% EU S","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+82||+88","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-82||-88||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V82-06-EU-G","1260","","6%","6% EU G","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+82||+86","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-82||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V82-00-EU-S","1270","","0%","0% EU S","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+82||+88","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-82||-88||+84","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V83-21-EU","1310","","21%","21% EU IG","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+83||+86","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-83||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V82-00-EU-G","1280","","0%","0% EU G","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+82||+86","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-82||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V83-12-EU","1320","","12%","12% EU IG","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+83||+86","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-83||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V83-06-EU","1330","","6%","6% EU IG","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+83||+86","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-55","a451055","-100","",""
"","","","","","","","","","","","base","refund","-83||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451055","-100","",""
"attn_VAT-IN-V83-00-EU","1340","","0%","0% EU IG","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+83||+86","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-83||-86||+84","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V81-21-ROW-CC","2110","","21%","21% EX M","False","21.0","percent","purchase","tax_group_tva_21","","base","invoice","+81||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-57","a451057","-100","",""
"","","","","","","","","","","","base","refund","-81||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451057","-100","",""
"attn_VAT-IN-V81-12-ROW-CC","2120","","12%","12% EX M","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+81||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-57","a451057","-100","",""
"","","","","","","","","","","","base","refund","-81||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451057","-100","",""
"attn_VAT-IN-V81-06-ROW-CC","2130","","6%","6% EX M","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+81||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-57","a451057","-100","",""
"","","","","","","","","","","","base","refund","-81||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451057","-100","",""
"attn_VAT-IN-V81-00-ROW-CC","2140","","0%","0% EX M","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+81||+87","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-81||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V82-21-ROW-CC","2210","","21%","21% EX S","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+82||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-57","a451057","-100","",""
"","","","","","","","","","","","base","refund","-82||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451057","-100","",""
"attn_VAT-IN-V82-12-ROW-CC","2220","","12%","12% EX S","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+82||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-57","a451057","-100","",""
"","","","","","","","","","","","base","refund","-82||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451057","-100","",""
"attn_VAT-IN-V82-06-ROW-CC","2230","","6%","6% EX S","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+82||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-57","a451057","-100","",""
"","","","","","","","","","","","base","refund","-82||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451057","-100","",""
"attn_VAT-IN-V82-00-ROW-CC","2240","","0%","0% EX S","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+82||+87","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-82||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V83-21-ROW-CC","2310","","21%","21% EX IG","False","21.0","percent","purchase","tax_group_tva_21","False","base","invoice","+83||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-57","a451057","-100","",""
"","","","","","","","","","","","base","refund","-83||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451057","-100","",""
"attn_VAT-IN-V83-12-ROW-CC","2320","","12%","12% EX IG","False","12.0","percent","purchase","tax_group_tva_12","False","base","invoice","+83||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-57","a451057","-100","",""
"","","","","","","","","","","","base","refund","-83||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451057","-100","",""
"attn_VAT-IN-V83-06-ROW-CC","2330","","6%","6% EX IG","False","6.0","percent","purchase","tax_group_tva_6","False","base","invoice","+83||+87","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","tax","invoice","-57","a451057","-100","",""
"","","","","","","","","","","","base","refund","-83||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","a411","","",""
"","","","","","","","","","","","tax","refund","","a451057","-100","",""
"attn_VAT-IN-V83-00-ROW-CC","2340","","0%","0% EX IG","False","0.0","percent","purchase","tax_group_tva_0","False","base","invoice","+83||+87","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-83||-87||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
