"id","code_prefix_start","code_prefix_end","name","name@hr"
"hr_group_44","44","","Value adjustment of non-current and current assets","Vrijednosno usklađenje dugotrajne i kratkotrajne imovine"
"hr_group_45","45","","Provisions","Rezerviranja (v. skupinu 28)"
"hr_group_46","46","","Other operating costs","Ostali troškovi poslovanja"
"hr_group_47","47","","Financial expenses","Financijski rashodi"
"hr_group_48","48","","Other expenses","Ostali poslovni rashodi"
"hr_group_49","49","","Allocation of costs","Raspored troškova"
"hr_group_5","5","","Cost centres and cost driver","Mjesta troška i pokretač troškova"
"hr_group_50","50","","Management and administrative overheads","Troškovi uprave i administracija"
"hr_group_51","51","","Selling costs","Troškovi prodaje"
"hr_group_52","52","","Transportation","TRANSPORT"
"hr_group_53","53","","Management and administrative overheads","Troškovi uprave i administracija"
"hr_group_54","54","","Selling costs","Troškovi prodaje"
"hr_group_59","59","","Allocation of costs","Raspored troškova"
"hr_group_6","6","","Work in progress, biological assets, finished goods, merchandise goods and non-current assets held for sale","Proizvodnja, biološka imovina, gotovi proizvodi, roba i dugotrajna imovina namijenjena prodaji"
"hr_group_60","60","","Work in progress - conversion costs","Proizvodnja - troškovi konverzije"
"hr_group_61","61","","Unfinished goods and semi-manufacture goods","Nedovršeni proizvodi i poluproizvodi"
"hr_group_62","62","","Biological assets","Biološka imovina"
"hr_group_63","63","","Finished goods","Zalihe gotovih proizvoda"
"hr_group_64","64","","Finished goods in own stores","Gotovi proizvodi u prodaji u vlastitim prodavaonicama"
"hr_group_65","65","","Total cost of merchandise goods - total purchasing cost","Obračun troškova nabave robe - troškovi kupnje"
"hr_group_66","66","","Merchandise goods","Roba"
"hr_group_67","67","","Advance payments for merchandise goods","Dani predujmovi za nabavu robe"
"hr_group_68","68","","Properties and arts held for sale","Nekretnine i umjetnine za trgovanje"
"hr_group_69","69","","Non-current assets held for sale","Dugotrajna imovina namijenjena prodaji"
"hr_group_7","7","","Expenses and income for the year","Pokriće rashoda i prihodi razdoblja"
"hr_group_70","70","","Cost of finished goods sold and cost of services","Troškovi prodanih zaliha proizvoda i usluga"
"hr_group_71","71","","Cost of goods sold","Trošak zaliha prodanih proizvoda (60, 62, 63 i 64)"
"hr_group_72","72","","Management and administrative overheads","Troškovi uprave i administracija"
"hr_group_73","73","","Other expenses","Ostali poslovni rashodi"
"hr_group_74","74","","Share in profit/loss of a group and in associated undertaking","Udio u dobitku i gubitku društava povezanih sudjelujućim interesom i od zajedničkih pothvata"
"hr_group_75","75","","Revenue from sale of goods and rendering of services","Prihodi od prodaje proizvoda i usluga"
"hr_group_76","76","","Revenue from sale of merchandise goods","Prihodi od prodaje trgovačke robe"
"hr_group_77","77","","Financial income","Financijski prihodi"
"hr_group_78","78","","Other operational income","Ostali poslovni prihodi"
"hr_group_79","79","","Difference between income and expenses","Razlika prihoda i rashoda financijske godine"
"hr_group_8","8","","Financial result","Financijski rezultat poslovanja"
"hr_group_80","80","","Profit or loss for the year","Dobitak ili gubitak razdoblja"
"hr_group_81","81","","Profit or loss from discontinued operations (applicable for companies which use msfi and have discontinued operations)","Dobitak ili gubitak prekinutog poslovanja prije oporezivanja (koristi samo poduzetnik obveznik primjene msfi-ja koji ima prekinuto poslovanje)"
"hr_group_82","82","","Total profit or loss for the year (applicable for companies which use msfi and have discontinue operations)","Dobit ili gubitak ukupnog poslovanja prije oporezivanja (koristi samo poduzetnik obveznik primjene msfi-a koji ima prekinuto poslovanje)"
"hr_group_83","83","","Profit or loss for the year attributable to others","Dobitak ili gubitak razdoblja koji pripada drugima"
"hr_group_9","9","","Equity and reserves and of the balance sheet items","Kapital i pričuve te izvanbilančni zapisi"
"hr_group_90","90","","Share capital","Temeljni - (upisani) kapital"
"hr_group_91","91","","Capital reserves","Kapitalne pričuve"
"hr_group_92","92","","Reserves from retained earnings","Pričuve iz dobitka"
"hr_group_93","93","","Revaluation reserves and fair value reserves","Revalorizacijske pričuve i pričuve fer vrijednosti"
"hr_group_94","94","","Retained earnings or accumulated loss","Zadržani dobitak ili preneseni gubitak"
"hr_group_95","95","","Profit or loss for the year","Dobitak ili gubitak razdoblja"
"hr_group_96","96","","Non-controlling interests","Manjinski interes"
"hr_group_99","99","","Off-balance sheet balance","Izvanbilančni zapisi"
