"id","code","name","account_type","reconcile","name@hr"
"hr_060100","060100","Investments in other securities of entrepreneurs within the group","asset_non_current","False","Investments in other securities of entrepreneurs within the group"
"hr_061000","061000","Loans, deposit etc given to a Group","asset_non_current","False","Dani zajmovi, depoziti i slično poduzetnicima unutar grupe"
"hr_062000","062000","Investments in shares (shares) of companies connected by participating interests","asset_non_current","False","Ulaganja u dionice (udjele) društava povezanih udjelima"
"hr_062100","062100","Investments in other securities of companies connected by participating interests","asset_non_current","False","Ulaganja u ostale vrijednosne papire društava povezanih sudjelujućim interesima"
"hr_063000","063000","Loans, deposit etc given to companies in associated undertakings","asset_non_current","False","Dani zajmovi, depoziti i slično društvima povezanim sudjelujućim interesom"
"hr_064000","064000","Investments in a securities","asset_non_current","False","Ulaganja u vrijednosne papire (dugotrajne)"
"hr_065000","065000","Loans given to third party","asset_non_current","False","Dani zajmovi, depoziti i sl."
"hr_066000","066000","Investments in associates accounted for using the equity method","asset_non_current","False","Ulaganja koja se obračunavaju metodom udjela"
"hr_067000","067000","Other long-term financial assets","asset_non_current","False","Ostala dugotrajna financijska imovina"
"hr_068000","068000","Value adjustment of long-term financial assets","asset_non_current","False","Vrijednosno usklađenje financijske imovine - dugotrajne (analitika prema oblicima imovine)"
"hr_069000","069000","Unrealized interests on loans etc.","asset_non_current","False","Nezarađene kamate u kreditima i sl."
"hr_070000","070000","Receivables in a Group","asset_receivable","True","Potraživanja od poduzetnika unutar grupe"
"hr_071000","071000","Receivable from associated undertakings","asset_receivable","True","Potraživanja od društava povezanih sudjelujućim interesom"
"hr_072000","072000","Long term trade receivables","asset_receivable","True","Potraživanja od kupaca - dugotrajna"
"hr_073000","073000","Receivables from factoring","asset_receivable","True","Potraživanja iz faktoringa"
"hr_074000","074000","Receivables for a given guarantees","asset_receivable","True","Potraživanja za jamčevine"
"hr_075000","075000","Receivables for legal cases in company's favour and other risk receivables","asset_receivable","True","Potraživanja u sporu i rizična potraživanja"
"hr_076000","076000","Receivables for advance payments for services","asset_receivable","True","Potraživanja za predujmove za usluge"
"hr_077000","077000","Other long-term receivables","asset_receivable","True","Ostala potraživanja - dugotrajna"
"hr_078000","078000","Value adjustment of long-term receivables","asset_receivable","True","Vrijednosno usklađivanje dugotrajnih potraživanja"
"hr_079000","079000","Receivables for unrealized interests in loans","asset_receivable","True","Potraživanja za nezarađenu kamatu"
"hr_080000","080000","Deferred temporary tax difference on income tax","asset_receivable","True","Odgođena privremena razlika poreza na dobitak (analitika po godinama)"
"hr_081000","081000","Other deferred tax asset","asset_receivable","True","Ostala odgođena porezna imovina"
"hr_100000","100000","Cash in bank (transaction accounts)","asset_cash","False","Transakcijski računi u bankama"
"hr_101000","101000","Letter of credit issued in domestic bank","asset_cash","False","Otvoreni akreditiv u domaćoj banci"
"hr_102000","102000","Cash on hand","asset_cash","False","Blagajne"
"hr_103000","103000","Foreign currency accounts","asset_cash","False","Devizni računi"
"hr_104000","104000","Letter of credit issued in foreign bank","asset_cash","False","Otvoreni akreditiv u stranim valutama"
"hr_105000","105000","Foreign cash on hand","asset_cash","False","Devizna blagajna"
"hr_106000","106000","Cash assigned to foreign currency purchases","asset_cash","False","Novac za kupnju deviza"
"hr_108000","108000","Other cash","asset_cash","False","Ostala novčana sredstva"
"hr_109000","109000","Value adjustment of bank deposits","asset_cash","False","Vrijednosno usklađenje depozita u bankama"
"hr_110000","110000","Investments in shares (shares) of entrepreneurs within the group","asset_current","False","Ulaganja u udjele (udjele) poduzetnika unutar grupe"
"hr_110100","110100","Investments in other securities of entrepreneurs within the group","asset_current","False","Investments in other securities of entrepreneurs within the group"
"hr_111000","111000","Loans, deposits etc in a Group","asset_current","False","Dani zajmovi, depoziti i slično poduzetnicima unutar grupe"
"hr_112000","112000","Investments in shares (shares) of companies connected by participating interests","asset_current","False","Ulaganja u dionice (udjele) društava povezanih udjelima"
"hr_112100","112100","Investments in other securities  of companies connected by participating interests","asset_current","False","Ulaganja u ostale vrijednosne papire društava povezanih sudjelujućim interesima"
"hr_113000","113000","Loans, deposits etc to companies in associated undertakings","asset_current","False","Dani zajmovi, depoziti i slično društvima povezanim sudjelujućim interesom"
"hr_114000","114000","Investments in securities","asset_current","False","Ulaganja u vrijednosne papire"
"hr_115000","115000","Leases given, deposits and other","asset_current","False","Dani zajmovi, depoziti i sl."
"hr_116000","116000","Receivables from investments funds","asset_current","False","Potraživanja iz ulaganja u investicijske fondove"
"hr_117000","117000","Other financial assets","asset_current","False","Ostala financijska imovina"
"hr_118000","118000","Receivables in dispute (e.g.. disputed, in bankruptcy etc, from financial assets)","asset_current","False","Potraživanja u sporu (npr. utužena, u predstečaju ili u stečaju i sl. iz fin. imovine)"
"hr_119000","119000","Value adjustment of current financial assets (value adjustment by analytics of this group of accounts)","asset_current","False","Vrijednosno usklađivanje financijske imovine - kratkotrajne (analitika po otpisima iz ove skupine računa)"
"hr_120000","120000","Trade receivables","asset_receivable","True","Potraživanja od kupaca"
"hr_120100","120100","Trade receivables (PoS)","asset_receivable","True","Potraživanja od kupaca (PoS)"
"hr_121000","121000","Foreign trade customers-EU and foreign","asset_receivable","True","Kupci iz EU i iz trećih zemalja"
"hr_122000","122000","Group companies receivables","asset_receivable","True","Potraživanja od poduzetnika unutar grupe"
"hr_123000","123000","Associated undertakings interest receivables","asset_receivable","True","Potraživanja od društava povezanih sudjelujućim interesom"
"hr_124000","124000","Interest receivables","asset_receivable","True","Potraživanja za kamate"
"hr_125000","125000","Receivables for advance payments for services","asset_receivable","True","Potraživanja za predujmove za usluge"
"hr_126000","126000","Foreign trade asset receivables","asset_receivable","True","Potraživanja iz vanjskotrgovačkog poslovanja"
"hr_127000","127000","Receivables from other activities","asset_receivable","True","Potraživanja s osnove ostalih aktivnosti"
"hr_128000","128000","Other current receivables","asset_receivable","True","Ostala kratkoročna potraživanja"
"hr_129000","129000","Value adjustment of receivables","asset_receivable","True","Vrijednosno usklađenje potraživanja"
"hr_130000","130000","Receivables from employees","asset_receivable","True","Potraživanja od zaposlenih"
"hr_131000","131000","Receivables from third party","asset_receivable","True","Potraživanja od vanjskih suradnika"
"hr_133000","133000","Receivables from equity owners","asset_receivable","True","Potraživanja od članova poduzetnika"
"hr_134000","134000","Receivables in dispute and risky receivables","asset_receivable","True","Potraživanja u sporu i rizična potraživanja (iz skupine 12 i 13)"
"hr_135000","135000","Receivables for assets held on free-trade zone","asset_receivable","True","Potraživanja za sredstva u slobodnoj zoni"
"hr_136000","136000","Receivables from banks based on customer's loans","asset_receivable","True","Potraživanja za prodaju na potrošački kredit"
"hr_137000","137000","Receivables from foreign business units","asset_receivable","True","Potraživanja od poslovnih jedinica u inozemstvu"
"hr_138000","138000","Other receivables from operating activities","asset_receivable","True","Ostala poslovna potraživanja"
"hr_139000","139000","Value adjustment of asset receivables from employees and other receivables","asset_receivable","True",""
"hr_140000","140000","Advance tax on received deliveries and advances in the Republic of Croatia","asset_current","False","Predujam poreza na primljene isporuke i predujmove u Republici Hrvatskoj"
"hr_140010","140010","Advance tax - 5%","asset_current","False","Pretporez - 5%"
"hr_140011","140011","Advance tax - 13%","asset_current","False","Pretporez - 13%"
"hr_140012","140012","Advance tax - 25%","asset_current","False","Pretporez - 25%"
"hr_140020","140020","Advance tax from advances - 5%","asset_current","False","Akontacija od akontacija - 5%"
"hr_140021","140021","Advance tax from advances - 13%","asset_current","False","Akontacija od akontacija - 13%"
"hr_140022","140022","Advance tax from advances - 25%","asset_current","False","Akontacija od akontacija - 25%"
"hr_140030","140030","Input tax corrections","asset_current","False","Ispravci ulaznog poreza"
"hr_140031","140031","Correction of input tax due to conversion of goods (exempt deliveries)","asset_current","False","Ispravak pretporeza zbog konverzije dobara (oslobođene isporuke)"
"hr_140032","140032","Input tax correction due to a change in input tax recognition percentage - adjustment","asset_current","False","Ispravak pretporeza zbog promjene postotka priznavanja pretporeza - ispravak"
"hr_140100","140100","Advance tax from transferred tax liability in the country - 25%","asset_current","False","Predujam poreza od prenesene porezne obveze u tuzemstvu - 25%"
"hr_140200","140200","Advance tax on the acquisition of goods from the EU - 5%","asset_current","False","Advance tax on the acquisition of goods from the EU - 5%"
"hr_140210","140210","Advance tax on the acquisition of goods from the EU - 13%","asset_current","False","Akontacija poreza na stjecanje dobara iz EU - 13%"
"hr_140220","140220","Advance tax on the acquisition of goods from the EU - 25%","asset_current","False","Akontacija poreza na stjecanje dobara iz EU - 25%"
"hr_140300","140300","Withholding tax from services received from the EU - 5%","asset_current","False","Porez po odbitku od usluga primljenih iz EU - 5%"
"hr_140310","140310","Withholding tax from services received from the EU - 13%","asset_current","False","Porez po odbitku za usluge primljene iz EU - 13%"
"hr_140320","140320","Withholding tax from services received from the EU - 25%","asset_current","False","Porez po odbitku od usluga primljenih iz EU - 25%"
"hr_140400","140400","Withholding tax from taxpayers without headquarters in the Republic of Croatia - 5%","asset_current","False","Porez po odbitku od poreznih obveznika bez sjedišta u Republici Hrvatskoj - 5%"
"hr_140410","140410","Withholding tax from taxpayers without headquarters in the Republic of Croatia - 13%","asset_current","False","Porez po odbitku od poreznih obveznika bez sjedišta u Republici Hrvatskoj - 13%"
"hr_140420","140420","Withholding tax from taxpayers without headquarters in the Republic of Croatia - 25%","asset_current","False","Porez po odbitku od poreznih obveznika bez sjedišta u Republici Hrvatskoj - 25%"
"hr_140500","140500","VAT on the import of goods","asset_current","False","PDV na uvoz robe"
"hr_140700","140700","Claims for the difference of higher input tax than liabilities in the taxation period","asset_current","False","Potraživanja razlike većeg pretporeza od obveza u poreznom razdoblju"
"hr_140800","140800","Input tax not yet recognized","asset_current","False","Ulazni porez još nije priznat"
"hr_141000","141000","Receivables from tax and surtax regarding salaries and other incomes","asset_receivable","True","Potraživanja za porez i prirez na dohodak iz plaća i drugih primanja"
"hr_142000","142000","Receivables for prepayments made regarding mandatory contributions on personal income tax","asset_receivable","True","Potraživanja za više plaćene doprinose iz plaća i na plaće"
"hr_143000","143000","Receivables for corporate income tax and withholding tax","asset_receivable","True","Potraživanja za porez na dobitak i po odbitku"
"hr_144000","144000","Receivables for excise duties and other taxes","asset_receivable","True","Potraživanja za posebne poreze, trošarine i druge poreze od države"
"hr_145000","145000","Receivables for National tourism office fee","asset_receivable","True","Potraživanja za plaćenu članarinu turističkim zajed."
"hr_146000","146000","Receivables for Croatian Economy Chamber or similar Chambers","asset_receivable","True","Potraživanja za članarine komori (HGK ili HOK i dr.)"
"hr_147000","147000","Receivables for duties and prepayments to customs duty","asset_receivable","True","Potraživanja za carinu i više plaćene carinske pristojbe"
"hr_148000","148000","Receivables for Country and municipal tax","asset_receivable","True","Potraživanja za županijski i općinski (gradski) porez"
"hr_149000","149000","Receivables for other not mentioned taxes, contributions and duties","asset_receivable","True","Potraživanja za ostale nespomenute poreze, doprinose, takse i pristojbe"
"hr_150000","150000","Receivables from Croatian institute for health insurance regarding employee's sick leave payments","asset_receivable","True","Potraživanje za nadoknade bolovanja od HZZO"
"hr_151000","151000","Receivables for Pension insurance institute","asset_receivable","True","Potraživanja od mirovinskog osiguranja"
"hr_152000","152000","Receivables from local government","asset_receivable","True","Potraživanja od lokalne samouprave"
"hr_153000","153000","Receivables for bonuses, premiums and government grants","asset_receivable","True","Potraživ. za regrese, premije, stimulac. i držav. potpore"
"hr_154000","154000","Receivables for Fund for packaging repurchase","asset_receivable","True","Potraživanje od Fonda za otkupljenu ambalažu"
"hr_155000","155000","Other receivables from the Government","asset_receivable","True","Ostala potraživanja od državnih institucija"
"hr_156000","156000","Receivables for more paid fees for disabled person","asset_receivable","True","Potraživanja za više plaćenu naknadu s temelja invaliditeta"
"hr_159000","159000","Value adjustment of receivables from the Government and other institutions","asset_receivable","True","Vrijednosno usklađenje potraživanja od države i drugih institucija"
"hr_190000","190000","Prepaid expense and accrued income","asset_current","False","Unaprijed plaćeni troškovi"
"hr_191000","191000","Accrued income","asset_current","False","Obračunani prihodi (budućeg razdoblja)"
"hr_192000","192000","Prepaid expense and accrued income","asset_current","False","Unaprijed plaćeni troškovi"
"hr_193000","193000","Accrued interest which relates to future periods","asset_current","False","Troškovi kamata iz budućeg razdoblja"
"hr_194000","194000","Prepaid expense for concession rights","asset_current","False","Unaprijed plaćeni troškovi koncesija (za razdoblje do 12 mj.)"
"hr_195000","195000","Prepaid expense for franchise fee","asset_current","False","Unaprijed plaćene franšize, trgovačko znakovlje, prava i sl. (do 12 mj.)"
"hr_196000","196000","Prepaid expense for licences and patents","asset_current","False","Unaprijed plaćene licencije i patenti (do 12 mj.)"
"hr_197000","197000","Derivatives- hedging instruments","asset_current","False","Derivativ - instrument zaštite"
"hr_199000","199000","Other prepaid expense","asset_current","False","Ostali plaćeni troškovi budućeg razdoblja"
"hr_200000","200000","Obligations towards Entrepreneurs within the Group","liability_current","False","Obveze prema poduzetnicima unutar Grupe"
"hr_200100","200100","Obligations for loans, deposits and the like of entrepreneurs within the group","liability_current","False","Obveze za kredite, depozite i sl. poduzetnika unutar grupe"
"hr_201000","201000","Liabilities due to share in results","liability_current","False","Obveze s osnove udjela u rezultatu"
"hr_210000","210000","Liabilities due to issued cheques","liability_current","False","Obveze za izdane čekove"
"hr_211000","211000","Liabilities due to issued promissory notes","liability_current","False","Obveze za izdane mjenice"
"hr_212000","212000","Liabilities due to issued securities","liability_current","False","Obveze po izdanim vrijednosnim papirima"
"hr_213000","213000","Obligations towards companies connected by participating interests","liability_current","False","Obveze prema društvima povezanim udjelima"
"hr_213100","213100","Obligations for loans, deposits and the like of companies connected by a participating interest","liability_current","False","Obveze za zajmove, depozite i sl. društava povezanih udjelom"
"hr_214000","214000","Lease liabilities and deposits received","liability_current","False","Obveze s osnove zajmova, depozita i sl."
"hr_215000","215000","Liabilities towards banks and other financial institutions","liability_current","False","Obveze prema bankama i drugim financijskim institucijama"
"hr_216000","216000","Liabilities towards credit card institutions","liability_current","False","Obveze prema izdavateljima kreditnih kartica (analitika prema kartičarima)"
"hr_217000","217000","Liabilities from discount services","liability_current","False","Obveze iz eskontnih poslova"
"hr_218000","218000","Liabilities due to asset_non_current held for sale (this account relates to due loan liabilities and account payable for asset which is held for sale (acc.69))","liability_current","False","Obveze s osnove dugotrajne imovine namijenjene prodaji (analitika prema izvorima)"
"hr_220000","220000","Domestic trade payable","liability_payable","True","Obveze prema dobavljačima u zemlji (analitika prema dobavljačima)"
"hr_221000","221000","Account payable from EU and third countries","liability_payable","True","Dobavljači iz EU i inozemstva (analitika prema dobavljačima)"
"hr_222000","222000","Trade payable- private person","liability_payable","True","Dobavljači fizičke osobe"
"hr_223000","223000","Trade payable for utility services","liability_payable","True","Dobavljači komunalnih usluga"
"hr_224000","224000","Liabilities for not invoiced but received goods and services","liability_payable","True","Obveze za nefakturirane a preuzete isporuke robe i usluge"
"hr_225000","225000","Liabilities for advances received","liability_payable","True","Obveze za predujmove"
"hr_230000","230000","Liabilities towards employees","liability_current","False","Obveze prema zaposlenicima"
"hr_231000","231000","Liability from procurements and grants","liability_current","False","Kratkoročne obveze iz nabava i potpora"
"hr_232000","232000","Interests payable","liability_current","False","Obveze za kamate (analitika prema dužnicima i vrstama obveza prema nepovezanim društvima)"
"hr_233000","233000","Liabilities for commission or consignment sale of goods","liability_current","False","Obveze po obračunu prodanih dobara primljenih u komisiju ili konsignaciju"
"hr_234000","234000","Liabilities towards insurance companies","liability_current","False","Obveze prema osiguravajućim društvima"
"hr_235000","235000","Liabilities due to operations in free-trade zone","liability_current","False","Obveze iz poslovanja u slobodnoj zoni"
"hr_236000","236000","Liabilities due to operations in foreign trade","liability_current","False","Obveze iz vanjskotrgovačkog poslovanja"
"hr_237000","237000","Liabilities towards foreign business units","liability_current","False","Obveze prema poslovnim jedinicama u inozemstvu"
"hr_238000","238000","Liabilities due to acquisitions of shares/stakes","liability_current","False","Obveze iz stjecanja udjela"
"hr_239000","239000","Other current liability","liability_current","False","Ostale kratkoročne obveze"
"hr_240000","240000","VAT obligations","liability_current","False","PDV obveze"
"hr_240010","240010","Obligation for VAT - 5%","liability_current","False","Obveza PDV-a - 5%"
"hr_240011","240011","Obligation for VAT - 13%","liability_current","False","Obveza PDV-a - 13%"
"hr_240012","240012","Obligation for VAT - 25%","liability_current","False","Obveza PDV-a - 25%"
"hr_240020","240020","VAT liability for advance payment - 5%","liability_current","False","Obveza PDV-a za akontaciju - 5%"
"hr_240021","240021","VAT liability for advance payment - 13%","liability_current","False","Obveza PDV-a za akontaciju - 13%"
"hr_240022","240022","VAT liability for advance payment - 25%","liability_current","False","Obveza PDV-a za akontaciju - 25%"
"hr_240030","240030","VAT liability for unbilled deliveries - 5%","liability_current","False","Obveza PDV-a za nenaplaćene isporuke - 5%"
"hr_240031","240031","VAT liability for unbilled deliveries - 13%","liability_current","False","Obveza PDV-a za nenaplaćene isporuke - 13%"
"hr_240032","240032","VAT liability for unbilled deliveries - 25%","liability_current","False","Obveza PDV-a za nenaplaćene isporuke - 25%"
"hr_240040","240040","VAT liability based on own consumption - 25%, 13% or 5%","liability_current","False","Obveza PDV-a na temelju vlastite potrošnje - 25%, 13% ili 5%"
"hr_240050","240050","Liability for corrected VAT due to conversion of goods","liability_current","False","Obveza za ispravljeni PDV zbog pretvorbe dobara"
"hr_240100","240100","Liability for VAT from the transferred tax liability from the home country - 25%","liability_current","False","Obveza za PDV iz prenesene porezne obveze iz tuzemstva - 25%"
"hr_240200","240200","VAT obligations for the acquisition of goods from the EU - 5%","liability_current","False","Obveze PDV-a za stjecanje dobara iz EU - 5%"
"hr_240210","240210","VAT obligations for the acquisition of goods from the EU - 13%","liability_current","False","Obveze PDV-a za stjecanje dobara iz EU - 13%"
"hr_240220","240220","VAT obligations for the acquisition of goods from the EU - 25%","liability_current","False","Obveze PDV-a za stjecanje dobara iz EU - 25%"
"hr_240300","240300","VAT obligations for services received from the EU - 5%","liability_current","False","Obveze PDV-a za primljene usluge iz EU - 5%"
"hr_240310","240310","VAT obligations for services received from the EU - 13%","liability_current","False","Obveze PDV-a za primljene usluge iz EU - 13%"
"hr_240320","240320","VAT obligations for services received from the EU - 25%","liability_current","False","Obveze PDV-a za primljene usluge iz EU - 25%"
"hr_240400","240400","VAT liability for goods and services received from taxpayers without headquarters in the Republic of Croatia - 5%","liability_current","False","Obveza PDV-a za primljena dobra i usluge od poreznih obveznika bez sjedišta u Republici Hrvatskoj - 5%"
"hr_240410","240410","VAT liability for received goods and services from taxpayers without headquarters in the Republic of Croatia - 13%","liability_current","False","Obveza PDV-a za primljena dobra i usluge od poreznih obveznika bez sjedišta u Republici Hrvatskoj - 13%"
"hr_240420","240420","VAT liability for goods and services received from taxpayers without headquarters in the Republic of Croatia - 25%","liability_current","False","Obveza PDV-a za primljena dobra i usluge od poreznih obveznika bez sjedišta u Republici Hrvatskoj - 25%"
"hr_240500","240500","Obligation for calculated VAT on import","liability_current","False","Obveza za obračunati PDV pri uvozu"
"hr_240700","240700","Liability for the difference between tax and input tax in the taxation period","liability_current","False","Obveza za razliku poreza i pretporeza u razdoblju oporezivanja"
"hr_240800","240800","Return of VAT from passenger traffic to natural persons from abroad","liability_current","False","Povrat PDV-a iz prometa putnika fizičkim osobama iz inozemstva"
"hr_241000","241000","Liabilities for personal income tax and surtax","liability_current","False","Obveze za porez i prirez na dohodak"
"hr_242000","242000","Liabilities for insurance contributions","liability_current","False","Obveze za doprinose za osiguranja"
"hr_243000","243000","Income tax payable, tax on investment income and withholding tax","liability_current","False","Obveze za porez na dobitak, dohodak od kapitala i porez po odbitku"
"hr_244000","244000","Liabilities for excise duties and other taxes","liability_current","False","Obveze za posebne poreze, trošarine i druge poreze prema državi"
"hr_245000","245000","Liabilities for fee to National tourism office","liability_current","False","Obveze za članarinu turističkim zajednicama"
"hr_246000","246000","Liabilities for Chamber membership fee","liability_current","False","Obveze za članarinu komori"
"hr_247000","247000","Liabilities for duties and customs duty","liability_current","False","Obveze za carinu i carinske pristojbe"
"hr_248000","248000","Liabilities for a Country's and municipal's taxes","liability_current","False","Obveze za lokalne poreze i druga davanja"
"hr_249000","249000","Liabilities for other not mentioned taxes, contributions and duties","liability_current","False","Ostale obveze javnih davanja"
"hr_250000","250000","Obligations towards Entrepreneurs within the Group","liability_current","False","Obveze prema poduzetnicima unutar Grupe"
"hr_250100","250100","Obligations for loans, deposits and the like of entrepreneurs within the group","liability_current","False","Obveze za kredite, depozite i sl. poduzetnika unutar grupe"
"hr_251000","251000","Obligations for loans, deposits and the like of companies connected by a participating","liability_current","False","Obveze za zajmove, depozite i sl. društava povezanih sudionicima"
"hr_251100","251100","Obligations for loans, deposits and the like interest","liability_current","False","Obveze za kredite, depozite i sl. kamate"
"hr_252000","252000","Liabilities towards banks and other financial institutions","liability_current","False","Obveze prema bankama i drugim financijskim institucijama"
"hr_253000","253000","Long term leasing liabilities","liability_current","False","Dugoročne obveze iz financijskog i operativnog lizinga"
"hr_254000","254000","Liabilities for advances received","liability_current","False","Obveze za predujmove"
"hr_255000","255000","Trade payable (unpaid long term trade payable)","liability_current","False","Obveze prema dobavljačima (neisplaćene dugoročne obveze prema vjerovnicima s osnove poslovanja)"
"hr_256000","256000","Liabilities for long term securities","liability_current","False","Obveze po vrijednosnim papirima (dugoročnim)"
"hr_257000","257000","Liabilities towards associated undertakings","liability_current","False","Obveze prema društvima povezanim sudjelujućim interesom"
"hr_258000","258000","Liabilities towards government","liability_current","False","Obveze prema Državi (realizirana jamstva, krediti, plaćene koncesije)"
"hr_259000","259000","Other long term liabilities","liability_current","False","Ostale dugoročne obveze"
"hr_260000","260000","Deferred tax liabilities","liability_current","False","Odgođena porezna obveza"
"hr_280000","280000","Provision for employee benefits","liability_non_current","False","Rezerviranja za otpremnine i mirovine"
"hr_281000","281000","Provision for tax liabilities","liability_non_current","False","Rezerviranja za porezne obveze"
"hr_282000","282000","Provisions for legal cases","liability_non_current","False","Rezerviranja za započete sudske sporove"
"hr_283000","283000","Provisions for renewal of natural resources","liability_non_current","False","Rezerviranja za troškove obnavljanja prirodnih bogatstava"
"hr_284000","284000","Provision for risks within warranty period","liability_non_current","False","Rezerviranja za troškove u jamstvenim rokovima"
"hr_285000","285000","Other provisions","liability_non_current","False","Druga rezerviranja"
"hr_290000","290000","Accrued expense","liability_non_current","False","Odgođeno plaćanje troškova"
"hr_291000","291000","Accrued expense for rights to use","liability_non_current","False","Obračunani troškovi korištenih prava"
"hr_292000","292000","Accrued expense for goods purchases","liability_non_current","False","Obračunani troškovi nabave dobara"
"hr_293000","293000","Deferred income (income which relates to future period)","liability_non_current","False","Obračunani prihodi budućeg razdoblja"
"hr_294000","294000","Deferred income from government grants","liability_non_current","False","Odgođeni prihodi iz državnih potpora (HSFI t. 15.37 i MRS 20, t. 12. i 24.)"
"hr_295000","295000","Deferred income","liability_non_current","False","Odgođeno priznavanje prihoda"
