"id","code","name","account_type","tag_ids","reconcile","name@sv_SE"
"a1180","1180","Construction, extension and renovation in progress","asset_fixed","l10n_se.account_tag_2","False","Pågående ny-,till- och ombyggnad"
"a1188","1188","Advances for buildings and land","asset_fixed","l10n_se.account_tag_2","False","Förskott för byggnader och mark"
"a1211","1211","Machinery","asset_fixed","l10n_se.account_tag_2","False","Maskiner"
"a1213","1213","Other technical installations","asset_fixed","l10n_se.account_tag_2","False","Andra tekniska anläggningar"
"a1218","1218","Accumulated depreciation of machinery and other technical equipment","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade nedskrivningar på maskiner och andra tekniska anläggningar"
"a1221","1221","Equipment","asset_fixed","l10n_se.account_tag_2","False","Inventarier"
"a1222","1222","Building inventory","asset_fixed","l10n_se.account_tag_2","False","Byggnadsinventarier"
"a1223","1223","Land equipment","asset_fixed","l10n_se.account_tag_2","False","Markinventarier"
"a1225","1225","Tools","asset_fixed","l10n_se.account_tag_2","False","Verktyg"
"a1228","1228","Accumulated impairment losses on equipment and tools","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade nedskrivningar på inventarier och verktyg"
"a1229","1229","Accumulated depreciation of equipment and tools","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade avskrivningar på inventarier och verktyg"
"a1230","1230","Installations","asset_fixed","l10n_se.account_tag_2","False","Installationer"
"a1231","1231","Installations on own property","asset_fixed","l10n_se.account_tag_2","False","Installationer på egen fastighet"
"a1232","1232","Installations on another's property","asset_fixed","l10n_se.account_tag_2","False","Installationer på annans fastighet"
"a1238","1238","Accumulated depreciation of installations","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade nedskrivningar på installationer"
"a1239","1239","Accumulated depreciation of installations","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade avskrivningar på installationer"
"a1240","1240","Cars and other means of transport","asset_fixed","l10n_se.account_tag_2","False","Bilar och andra transportmedel"
"a1241","1241","Passenger cars","asset_fixed","l10n_se.account_tag_2","False","Personbilar"
"a1242","1242","lorries","asset_fixed","l10n_se.account_tag_2","False","Lastbilar"
"a1243","1243","Trucks","asset_fixed","l10n_se.account_tag_2","False","Truckar"
"a1244","1244","Working machines","asset_fixed","l10n_se.account_tag_2","False","Arbetsmaskiner"
"a1245","1245","Tractors","asset_fixed","l10n_se.account_tag_2","False","Traktorer"
"a1246","1246","Motorcycles, mopeds and scooters","asset_fixed","l10n_se.account_tag_2","False","Motorcyklar, mopeder och skotrar"
"a1247","1247","Boats, aeroplanes and helicopters","asset_fixed","l10n_se.account_tag_2","False","Båtar, flygplan och helikoptrar"
"a1248","1248","Accumulated impairment losses on cars and other means of transport","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade nedskrivningar på bilar och andra transportmedel"
"a1251","1251","Computers, business","asset_fixed","l10n_se.account_tag_2","False","Datorer, företaget"
"a1257","1257","Computers, personnel","asset_fixed","l10n_se.account_tag_2","False","Datorer, personal"
"a1258","1258","Accumulated impairment losses on computers","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade nedskrivningar på datorer"
"a1280","1280","Construction in progress and advance payments for machinery and equipment","asset_fixed","l10n_se.account_tag_2","False","Pågående nyanläggningar och förskott för maskiner och inventarier"
"a1281","1281","Construction in progress, machinery and equipment","asset_fixed","l10n_se.account_tag_2","False","Pågående nyanläggningar, maskiner och inventarier"
"a1288","1288","Advances for machinery and equipment","asset_fixed","l10n_se.account_tag_2","False","Förskott för maskiner och inventarier"
"a1292","1292","Animals classified as fixed assets","asset_fixed","l10n_se.account_tag_2","False","Djur som klassificeras som anläggningstillgång"
"a1298","1298","Accumulated impairment losses on other tangible fixed assets","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade nedskrivningar på övriga materiella anläggningstillgångar"
"a1310","1310","Shares in group companies","asset_non_current","l10n_se.account_tag_3","False","Andelar i koncernföretag"
"a1311","1311","Shares in listed Swedish group companies","asset_non_current","l10n_se.account_tag_3","False","Aktier i noterade svenska koncernföretag"
"a1312","1312","Shares in unlisted Swedish group companies","asset_non_current","l10n_se.account_tag_3","False","Aktier i onoterade svenska koncernföretag"
"a1313","1313","Shares in listed foreign group companies","asset_non_current","l10n_se.account_tag_3","False","Aktier i noterade ütlandska koncernföretag"
"a1314","1314","Shares in unlisted foreign group companies","asset_non_current","l10n_se.account_tag_3","False","Aktier i onoterade ütlandska koncernföretag"
"a1316","1316","Other shares in Swedish group companies","asset_non_current","l10n_se.account_tag_3","False","Andra andelar i svenska koncernföretag"
"a1317","1317","Other shares in Dutch group companies","asset_non_current","l10n_se.account_tag_3","False","Andra andelar i ütlandska koncernföretag"
"a1318","1318","Accumulated impairment losses on shares in group enterprises","asset_non_current","l10n_se.account_tag_3","False","Ackumulerade nedskrivningar av andelar i koncernföretag"
"a1320","1320","Long-term receivables from group companies","asset_non_current","l10n_se.account_tag_3","False","Långfristiga fordringar hos koncernföretag"
"a1321","1321","Long-term receivables from parent companies","asset_non_current","l10n_se.account_tag_3","False","Långfristiga fordringar hos moderföretag"
"a1322","1322","Long-term receivables from subsidiaries","asset_non_current","l10n_se.account_tag_3","False","Långfristiga fordringar hos dotterföretag"
"a1323","1323","Long-term receivables from other group companies","asset_non_current","l10n_se.account_tag_3","False","Långfristiga fordringar hos andra koncernföretag"
"a1328","1328","Accumulated impairment of long-term receivables from group companies","asset_non_current","l10n_se.account_tag_3","False","Ackumulerade nedskrivningar av långfristiga fordringar hos koncernföretag"
"a1330","1330","Investments in associates, jointly controlled entities and other entities in which there is an ownership interest","asset_non_current","l10n_se.account_tag_3","False","Andelar i intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"a1331","1331","Shares in associates","asset_non_current","l10n_se.account_tag_3","False","Andelar i intresseföretag"
"a1332","1332","Accumulated impairment losses on investments in associates","asset_non_current","l10n_se.account_tag_3","False","Ackumulerade nedskrivningar av andelar i intresseföretag"
"a1333","1333","Shares in jointly controlled entities","asset_non_current","l10n_se.account_tag_3","False","Andelar i gemensamt styrda företag"
"a1334","1334","Accumulated impairment of investments in jointly controlled entities","asset_non_current","l10n_se.account_tag_3","False","Ackumulerade nedskrivningar av andelar i gemensamt styrda företag"
"a1336","1336","Shares in other enterprises in which there is a participating interest","asset_non_current","l10n_se.account_tag_3","False","Andelar i övriga företag som det finns ett ägarintresse i"
"a1337","1337","Accumulated impairment losses on participations in other enterprises in which there is a participating interest","asset_non_current","l10n_se.account_tag_3","False","Ackumulerade nedskrivningar av andelar i övriga företag som det finns ett ägarintresse i"
"a1338","1338","Accumulated impairment losses on investments in associates, jointly controlled entities and other entities in which an ownership interest exists","asset_non_current","l10n_se.account_tag_3","False","Ackumulerade nedskrivningar av andelar i intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"a1340","1340","Non-current receivables from associates, jointly controlled entities and other entities in which there is a participating interest","asset_non_current","l10n_se.account_tag_3","True","Långfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"a1341","1341","Long-term receivables from associates","asset_non_current","l10n_se.account_tag_3","True","Långfristiga fordringar hos intresseföretag"
"a1342","1342","Accumulated impairment losses on long-term receivables from associates","asset_non_current","l10n_se.account_tag_3","True","Ackumulerade nedskrivningar av långfristiga fordringar hos intresseföretag"
"a1343","1343","Long-term receivables from jointly controlled entities","asset_non_current","l10n_se.account_tag_3","True","Långfristiga fordringar hos gemensamt styrda företag"
"a1344","1344","Accumulated impairment losses on long-term receivables from jointly controlled entities","asset_non_current","l10n_se.account_tag_3","True","Ackumulerade nedskrivningar av långfristiga fordringar hos gemensamt styrda företag"
"a1346","1346","Long-term receivables from other entities in which there is an ownership interest","asset_non_current","l10n_se.account_tag_3","True","Långfristiga fordringar hos övriga företag som det finns ett ägarintresse i"
"a1347","1347","Accumulated impairment losses on long-term receivables from other investee companies","asset_non_current","l10n_se.account_tag_3","True","Ackumulerade nedskrivningar av långfristiga fordringar hos övriga företag som det finns ett ägarintresse i"
"a1348","1348","Accumulated impairment losses on non-current receivables from associates, jointly controlled entities and other entities in which there is an ownership interest.","asset_non_current","l10n_se.account_tag_3","True","Ackumulerade nedskrivningar av långfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"a1351","1351","Shares in listed companies","asset_non_current","l10n_se.account_tag_3","False","Andelar i noterade företag"
"a1352","1352","Other shares","asset_non_current","l10n_se.account_tag_3","False","Andra andelar"
"a1353","1353","Shares in housing associations","asset_non_current","l10n_se.account_tag_3","False","Andelar i bostadsrättsföreningar"
"a1354","1354","Bonds and notes","asset_non_current","l10n_se.account_tag_3","False","Obligationer"
"a1356","1356","Shares in economic associations, other corporations","asset_non_current","l10n_se.account_tag_3","False","Andelar i ekonomiska föreningar, övriga företag"
"a1357","1357","Shares in partnerships, other companies","asset_non_current","l10n_se.account_tag_3","False","Andelar i handelsbolag, andra företag"
"a1358","1358","Accumulated impairments of other shares and securities","asset_non_current","l10n_se.account_tag_3","False","Ackumulerade nedskrivningar av andra andelar och värdepapper"
"a1360","1360","Accumulated impairment of loans to partners or related parties according to ABL, long-term part","asset_non_current","l10n_se.account_tag_3","False","Ackumulerade nedskrivningar av lån till delägare eller närstående enligt ABL, långfristig del"
"a1369","1369","Loans to partners or related parties according to ABL, long-term part","asset_non_current","l10n_se.account_tag_3","False","Lån till delägare eller närstående enligt ABL, långfristig del"
"a1381","1381","Long-term promissory note receivables","asset_non_current","l10n_se.account_tag_3","False","Långfristiga reversfordringar"
"a1382","1382","Long-term receivables from employees","asset_non_current","l10n_se.account_tag_3","False","Långfristiga fordringar hos anställda"
"a1383","1383","Deposits paid, long-term","asset_non_current","l10n_se.account_tag_3","False","Lämnade depositioner, långfristiga"
"a1384","1384","Derivatives","asset_non_current","l10n_se.account_tag_3","False","Derivat"
"a1385","1385","Value of endowment insurance","asset_non_current","l10n_se.account_tag_3","False","Värde av kapitalförsäkring"
"a1387","1387","Long-term contractual receivables","asset_non_current","l10n_se.account_tag_3","False","Långfristiga kontraktsfordringar"
"a1388","1388","Long-term trade receivables","asset_non_current","l10n_se.account_tag_3","False","Långfristiga kundfordringar"
"a1389","1389","Accumulated impairment of other long-term receivables","asset_non_current","l10n_se.account_tag_3","False","Ackumulerade nedskrivningar av andra långfristiga fordringar"
"a1420","1420","Stocks of consumables and supplies","asset_current","l10n_se.account_tag_4","False","Lager av tillsatsmaterial och förnödenheter"
"a1429","1429","Change in stocks of consumables and supplies","asset_current","l10n_se.account_tag_4","False","Förändring av lager av tillsatsmaterial och förnödenheter"
"a1465","1465","Stocks of goods purchased for resale","asset_current","l10n_se.account_tag_4","False","Lager av varor VMB"
"a1466","1466","Impairment of inventories of intermediate goods","asset_current","l10n_se.account_tag_4","False","Nedskrivning av varor VMB"
"a1467","1467","Stocks of goods in progress simplified","asset_current","l10n_se.account_tag_4","False","Lager av varor VMB förenklad"
"a1471","1471","Work in progress, costs incurred","asset_current","l10n_se.account_tag_4","False","Pågående arbeten, nedlagda kostnader"
"a1478","1478","Work in progress, invoicing","asset_current","l10n_se.account_tag_4","False","Pågående arbeten, fakturering"
"a1480","1480","Advances for goods and services","asset_prepayments","l10n_se.account_tag_4","False","Förskott för varor och tjänster"
"a1481","1481","Letters of credit","asset_prepayments","l10n_se.account_tag_4","False","Remburser"
"a1489","1489","Other advances to suppliers","asset_prepayments","l10n_se.account_tag_4","False","Övriga förskott till leverantörer"
"a1491","1491","Stocks of securities","asset_prepayments","l10n_se.account_tag_4","False","Lager av värdepapper"
"a1492","1492","Stocks of real estate","asset_prepayments","l10n_se.account_tag_4","False","Lager av fastigheter"
"a1493","1493","Animals classified as current assets","asset_prepayments","l10n_se.account_tag_4","False","Djur som klassificeras som omsättningstillgång"
"a1511","1511","Trade receivables","asset_receivable","l10n_se.account_tag_5","True","Kundfordringar"
"a1512","1512","Mortgaged accounts receivable (factoring)","asset_receivable","l10n_se.account_tag_5","True","Belånade kundfordringar (factoring)"
"a1516","1516","Disputed trade receivables","asset_receivable","l10n_se.account_tag_5","True","Tvistiga kundfordringar"
"a1518","1518","Non-accrual accounts receivable","asset_receivable","l10n_se.account_tag_5","True","Ej reskontrafördra kundfordringar"
"a1520","1520","Bills of exchange receivable","asset_receivable","l10n_se.account_tag_5","True","Växelfordringar"
"a1525","1525","Doubtful bills receivable","asset_receivable","l10n_se.account_tag_5","True","Osäkra växelfordringar"
"a1529","1529","Impairment of trade receivables","asset_receivable","l10n_se.account_tag_5","True","Nedskrivning av växelfordringar"
"a1530","1530","Contractual receivables","asset_receivable","l10n_se.account_tag_5","True","Kontraktsfordringar"
"a1531","1531","Contract receivables","asset_receivable","l10n_se.account_tag_5","True","Kontraktsfordringar"
"a1532","1532","Encumbered contract receivables","asset_receivable","l10n_se.account_tag_5","True","Belånade kontraktsfordringar"
"a1536","1536","Disputed contract receivables","asset_receivable","l10n_se.account_tag_5","True","Tvistiga kontraktsfordringar"
"a1539","1539","Impairment of contract receivables","asset_receivable","l10n_se.account_tag_5","True","Nedskrivning av kontraktsfordringar"
"a1550","1550","Consignment receivables","asset_receivable","l10n_se.account_tag_5","True","Konsignationsfordringar"
"a1560","1560","Trade receivables from group companies","asset_receivable","l10n_se.account_tag_5","True","Kundfordringar hos koncernföretag"
"a1561","1561","Accounts receivable from parent company","asset_receivable","l10n_se.account_tag_5","True","Kundfordringar hos moderföretag"
"a1562","1562","Accounts receivable from subsidiaries","asset_receivable","l10n_se.account_tag_5","True","Kundfordringar hos dotterföretag"
"a1563","1563","Accounts receivable from other group companies","asset_receivable","l10n_se.account_tag_5","True","Kundfordringar hos andra koncernföretag"
"a1568","1568","Non-recognition of accounts receivable from group companies","asset_receivable","l10n_se.account_tag_5","True","Ej reskontrafördra kundfordringar hos koncernföretag"
"a1569","1569","Impairment of trade receivables from group companies","asset_receivable","l10n_se.account_tag_5","True","Nedskrivning av kundfordringar hos koncernföretag"
"a1570","1570","Accounts receivable from associates, jointly controlled entities and other entities in which there is an ownership interest.","asset_receivable","l10n_se.account_tag_5","True","Kundfordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns et ägarintresse i"
"a1571","1571","Accounts receivable from associates","asset_receivable","l10n_se.account_tag_5","True","Kundfordringar hos intresseföretag"
"a1572","1572","Trade receivables from jointly controlled entities","asset_receivable","l10n_se.account_tag_5","True","Kundfordringar hos gemensamt styrda företag"
"a1573","1573","Accounts receivable from other enterprises in which there is an ownership interest","asset_receivable","l10n_se.account_tag_5","True","Kundfordringar hos övriga företag som det finns ett ägarintresse i"
"a1611","1611","Travel advances","asset_receivable","l10n_se.account_tag_5","True","Reseförskott"
"a1612","1612","Cash advances","asset_receivable","l10n_se.account_tag_5","True","Kassaförskott"
"a1613","1613","Other advances","asset_receivable","l10n_se.account_tag_5","True","Övriga förskott"
"a1614","1614","Temporary loans to employees","asset_receivable","l10n_se.account_tag_5","True","Tillfälliga lån till anställda"
"a1619","1619","Other receivables from employees","asset_receivable","l10n_se.account_tag_5","True","Övriga fordringar hos anställda"
"a1620","1620","Accrued but uninvoiced income","asset_receivable","l10n_se.account_tag_5","True","Upparbetad men ej fakturerad intäkt"
"a1660","1660","Current receivables from group companies","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos koncernföretag"
"a1661","1661","Current receivables from parent company","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos moderföretag"
"a1662","1662","Current receivables from subsidiaries","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos dotterföretag"
"a1663","1663","Current receivables from other group companies","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos andra koncernföretag"
"a1670","1670","Current receivables from associates, jointly controlled entities and other entities in which there is an ownership interest.","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"a1671","1671","Current receivables from associates","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos intresseföretag"
"a1672","1672","Current receivables from jointly controlled entities","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos gemensamt styrda företag"
"a1673","1673","Current receivables from other entities in which there is an ownership interest","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos övriga företag som det finns ett ägarintresse i"
"a1681","1681","Outlays for customers","asset_current","l10n_se.account_tag_5","False","Utlägg för kunder"
"a1682","1682","Short-term loan receivables","asset_current","l10n_se.account_tag_5","False","Kortfristiga lånefordringar"
"a1683","1683","Derivatives","asset_current","l10n_se.account_tag_5","False","Derivat"
"a1684","1684","Current receivables from suppliers","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos leverantörer"
"a1685","1685","Current receivables from partners or related parties","asset_current","l10n_se.account_tag_5","False","Kortfristiga fordringar hos delägare eller närstående"
"a1687","1687","Current portion of long-term receivables","asset_current","l10n_se.account_tag_5","False","Kortfristiga del av långfristiga fordringar"
"a1688","1688","Labour market insurance claim","asset_current","l10n_se.account_tag_5","False","Fordran arbetsmarknadsförsäkringar"
"a1689","1689","Other current receivables","asset_current","l10n_se.account_tag_5","False","Övriga kortfristiga fordringar"
"a1690","1690","Receivables for subscribed but unpaid share capital","asset_receivable","l10n_se.account_tag_0","True","Fordringar för tecknat men ej inbetalt aktiekapital"
"a1770","1770","Assets of a cost nature","asset_current","l10n_se.account_tag_5","False","Tillgångar av kostnadsnatur"
"a1780","1780","Accrued contractual income","asset_current","l10n_se.account_tag_5","False","Upplupna avtalsintäkter"
"a1820","1820","Bonds and notes","asset_current","l10n_se.account_tag_6","False","Obligationer"
"a1830","1830","Convertible debt securities","asset_current","l10n_se.account_tag_6","False","Konvertibla skuldebrev"
"a1860","1860","Shares in group companies, short-term","asset_current","l10n_se.account_tag_6","False","Andelar i koncernföretag, kortfristigt"
"a1886","1886","Derivatives","asset_current","l10n_se.account_tag_6","False","Derivat"
"a1889","1889","Shares in other companies","asset_current","l10n_se.account_tag_6","False","Andelar i övriga företag"
"a1911","1911","Principal cash","asset_cash","l10n_se.account_tag_7","True","Huvudkassa"
"a1912","1912","Cash 2","asset_cash","l10n_se.account_tag_7","True","Kassa 2"
"a1913","1913","Cash 3","asset_cash","l10n_se.account_tag_7","True","Kassa 3"
"a1950","1950","Certificates of deposit","asset_cash","l10n_se.account_tag_7","True","Bankcertifikat"
"a1960","1960","Group account parent company","asset_cash","l10n_se.account_tag_7","True","Koncernkonto moderföretag"
"a1970","1970","Special bank accounts","asset_cash","l10n_se.account_tag_7","True","Särskilda bankkonton"
"a1972","1972","Author's account","asset_cash","l10n_se.account_tag_7","True","Upphovsmannakonto"
"a1973","1973","Forestry account","asset_cash","l10n_se.account_tag_7","True","Skogskonto"
"a1974","1974","Blocked bank funds","asset_cash","l10n_se.account_tag_7","True","Spärrade bankmedel"
"a1979","1979","Special bank accounts","asset_cash","l10n_se.account_tag_7","True","Särskilda bankkonton"
"a1980","1980","Currency accounts","asset_cash","l10n_se.account_tag_7","True","Valutakonton"
"a1990","1990","Accounting funds","asset_cash","l10n_se.account_tag_7","True","Redovisningsmedel"
"a2050","2050","Allocation to expansion fund","equity","l10n_se.account_tag_19","False","Avsättning till expansionsfond"
"a2061","2061","Equity capital / endowment capital / core capital","equity","l10n_se.account_tag_13","False","Eget kapital / stiftelsekapital / grundkapital"
"a2065","2065","Change in fair value fund","equity","l10n_se.account_tag_16","False","Förändring i fond för verkligt värde"
"a2066","2066","Hedge fund","equity","l10n_se.account_tag_11","False","Värdesäkringsfond"
"a2067","2067","Profit or loss brought forward / Capital brought forward","equity","l10n_se.account_tag_12","False","Balanserad vinst eller förlust / Balanserad kapital"
"a2068","2068","Profit or loss from previous year","equity","l10n_se.account_tag_12","False","Vinst eller förlust fran föregående år"
"a2069","2069","Profit or loss for the year","equity","l10n_se.account_tag_17","False","Årets resultat"
"a2071","2071","Purpose 1","equity","l10n_se.account_tag_37","False","Ändamål 1"
"a2072","2072","Purpose 2","equity","l10n_se.account_tag_37","False","Ändamål 2"
"a2080","2080","Restricted equity","equity","l10n_se.account_tag_14","False","Bundet eget kapital"
"a2082","2082","Unregistered share capital","equity","l10n_se.account_tag_15","False","Ej registrerat aktiekapital"
"a2084","2084","Subscriptions","equity","l10n_se.account_tag_40","False","Förlagsinsatser"
"a2085","2085","Revaluation reserve","equity","l10n_se.account_tag_10","False","Uppskrivningsfond"
"a2087","2087","Restricted share premium account / Rights issue","equity","l10n_se.account_tag_9","False","Bunden överkursfond / Insatsemission"
"a2088","2088","External maintenance fund","equity","l10n_se.account_tag_11","False","Fond för yttre underhåll"
"a2089","2089","Development expenditure fund","equity","l10n_se.account_tag_11","False","Fund för utvecklingsutgifter"
"a2093","2093","Receiving shareholder contributions","equity","l10n_se.account_tag_40","False","Erhålla aktieägartillskott"
"a2094","2094","Own shares","equity","l10n_se.account_tag_40","False","Egna aktier"
"a2095","2095","Merger result","equity","l10n_se.account_tag_39","False","Fusionsresultat"
"a2097","2097","Unrestricted share premium account","equity","l10n_se.account_tag_9","False","Fri överkursfond"
"a2110","2110","Accrual fund","equity","l10n_se.account_tag_18","False","Periodiseringsfond"
"a2130","2130","Tax allocation reserve 2020 - No. 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2020 - nr 2"
"a2131","2131","Tax allocation fund 2021 - no. 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2021 - nr 2"
"a2132","2132","Accrual fund 2022 - No. 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2022 - nr 2"
"a2133","2133","Tax allocation fund 2023 - No 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2023 - nr 2"
"a2134","2134","Accrual fund 2024 - No 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2024 - nr 2"
"a2135","2135","Accrual fund 2015 - No 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2015 - nr 2"
"a2136","2136","Accrual fund 2016 - No 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2016 - nr 2"
"a2137","2137","Accrual fund 2017 - No 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2017 - nr 2"
"a2138","2138","Accrual fund 2018 - No 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2018 - nr 2"
"a2139","2139","Accrual fund 2019 - No 2","equity","l10n_se.account_tag_18","False","Periodiseringsfond 2019 - nr 2"
"a2151","2151","Accumulated excess amortisation of intangible fixed assets","liability_non_current","l10n_se.account_tag_18","False","Ackumulerade överavskrivningar på immateriella anläggningstillgångar"
"a2152","2152","Accumulated excess depreciation of buildings and land improvements","liability_non_current","l10n_se.account_tag_18","False","Ackumulerade överavskrivningar på byggnader lch markanläggningar"
"a2153","2153","Accumulated excess depreciation of machinery and equipment","liability_non_current","l10n_se.account_tag_18","False","Ackumulerade överavskrivningar på maskiner och inventarier"
"a2160","2160","Compensation fund","liability_non_current","l10n_se.account_tag_18","False","Ersättningsfond"
"a2161","2161","Compensation fund for machinery and equipment","liability_non_current","l10n_se.account_tag_18","False","Ersättningsfond maskiner och inventarier"
"a2162","2162","Compensation fund for buildings and land improvements","liability_non_current","l10n_se.account_tag_18","False","Ersättningsfond byggnader och markanläggningar"
"a2164","2164","Compensation fund for animal stocks in agriculture and reindeer husbandry","liability_non_current","l10n_se.account_tag_18","False","Ersättningsfond for djurlager i jordbruk och renskötsel"
"a2190","2190","Other untaxed reserves","liability_non_current","l10n_se.account_tag_18","False","Övriga obeskattade reserver"
"a2196","2196","Stock reserve","liability_non_current","l10n_se.account_tag_18","False","Lagerreserv"
"a2199","2199","Other untaxed reserves","liability_non_current","l10n_se.account_tag_18","False","Övriga obeskattade reserver"
"a2230","2230","Other provisions for pensions and similar obligations","liability_non_current","l10n_se.account_tag_19","False","Övriga avsättningar för pensioner och liknande förpliktelser"
"a2250","2250","Other provisions for taxes","liability_non_current","l10n_se.account_tag_19","False","Övriga avsättningar för skatter"
"a2252","2252","Provisions for disputed taxes","liability_non_current","l10n_se.account_tag_19","False","Avsättningar för tvistiga skatter"
"a2253","2253","Provisions for special payroll tax declaration item","liability_non_current","l10n_se.account_tag_19","False","Avsättningar särskild löneskatt deklarationspost"
"a2290","2290","Other provisions","liability_non_current","l10n_se.account_tag_19","False","Övriga avsättningar"
"a2310","2310","Bonds and debentures","liability_non_current","l10n_se.account_tag_20","False","Obligations och förlagslån"
"a2320","2320","Convertible loans and similar","liability_non_current","l10n_se.account_tag_20","False","Konvertibla lån och liknade"
"a2321","2321","Convertible loans","liability_non_current","l10n_se.account_tag_20","False","Konvertibla lån"
"a2322","2322","Loans with options","liability_non_current","l10n_se.account_tag_20","False","Lån förenade med optionsrätt"
"a2323","2323","Profit-sharing loans","liability_non_current","l10n_se.account_tag_20","False","Vinstandelslån"
"a2324","2324","Equity loans","liability_non_current","l10n_se.account_tag_20","False","Kapitalandelslån"
