"id","code","name","account_type","tag_ids","reconcile","non_trade","name@sv_SE"
"a1290","1290","Other tangible fixed assets","asset_fixed","l10n_se.account_tag_2","False","","Övriga materiella anläggningstillgångar"
"a1291","1291","Art and similar assets","asset_fixed","l10n_se.account_tag_2","False","","Konst och liknande tillgångar"
"a1299","1299","Accumulated depreciation of other tangible fixed assets","asset_fixed","l10n_se.account_tag_2","False","","Ackumulerade avskrivningar på övriga materiella anläggningstillgångar"
"a1350","1350","Shares and securities in other enterprises","asset_non_current","l10n_se.account_tag_3","False","","Andelar och värdepapper i andra företag"
"a1380","1380","Other long-term receivables","asset_non_current","l10n_se.account_tag_3","False","","Andra långfristiga fordringar"
"a1410","1410","Stocks of raw materials","asset_current","l10n_se.account_tag_4","False","","Lager av råvaror"
"a1419","1419","Change in stocks of raw materials","asset_current","l10n_se.account_tag_4","False","","Förändring av lager av råvaror"
"a1440","1440","Work in progress","asset_current","l10n_se.account_tag_4","False","","Produkter i arbete"
"a1449","1449","Change in work in progress","asset_current","l10n_se.account_tag_4","False","","Förändring av produkter i arbete"
"a1450","1450","Stocks of finished goods","asset_current","l10n_se.account_tag_4","False","","Lager av färdiga varor"
"a1459","1459","Change in stocks of finished goods","asset_current","l10n_se.account_tag_4","False","","Förändring av lager av färdiga varor"
"a1460","1460","Stocks of goods for resale","asset_current","l10n_se.account_tag_4","False","","Lager av handelsvaror"
"a1469","1469","Change in stocks of goods for resale","asset_current","l10n_se.account_tag_4","False","","Förändring av lager av handelsvaror"
"a1470","1470","Work in progress","asset_current","l10n_se.account_tag_4","False","","Pågående arbeten"
"a1479","1479","Change in work in progress","asset_current","l10n_se.account_tag_4","False","","Förändring av Pågående arbete"
"a1480","1480","Advances for goods and services","asset_prepayments","l10n_se.account_tag_4","False","","Förskott för varor och tjänster"
"a1490","1490","Other inventory assets","asset_prepayments","l10n_se.account_tag_4","False","","Övriga lagertillgångar"
"a1510","1510","Trade receivables","asset_receivable","l10n_se.account_tag_5","True","","Kundfordringar"
"a1513","1513","Trade receivables - split invoice","asset_receivable","l10n_se.account_tag_5","True","","Kundfordringar - delad faktura"
"a1519","1519","Impairment of trade receivables","asset_receivable","l10n_se.account_tag_5","True","","Nedskrivning av kundfordringar"
"a1580","1580","Receivables for credit cards and vouchers","asset_receivable","l10n_se.account_tag_5","True","","Fordringar för kontokort och kuponger"
"a1610","1610","Short-term receivables from employees","asset_receivable","l10n_se.account_tag_5","True","","Kortfristiga fordringar hos anställda"
"a1630","1630","Offset for taxes and duties (tax account)","asset_current","l10n_se.account_tag_5","False","","Avräkning för skatter och avgifter (skattekonto)"
"a1640","1640","Tax receivables","asset_current","l10n_se.account_tag_5","False","","Skattefordringar"
"a1650","1650","VAT receivable","asset_receivable","l10n_se.account_tag_5","True","True","Momsfordran"
"a1680","1680","Other current receivables","asset_current","l10n_se.account_tag_5","False","","Andra kortfristiga fordringar"
"a1710","1710","Prepaid rentals","asset_prepayments","l10n_se.account_tag_5","False","","Förutbetalda hyreskostnader"
"a1720","1720","Prepaid leasing fees, current portion","asset_prepayments","l10n_se.account_tag_5","False","","Förutbetalda leasingavgifter, kortfristig del"
"a1730","1730","Prepaid insurance premiums","asset_prepayments","l10n_se.account_tag_5","False","","Förutbetalda försäkringspremier"
"a1740","1740","Prepaid interest expenses","asset_prepayments","l10n_se.account_tag_5","False","","Förutbetalda räntekostnader"
"a1750","1750","Accrued rental income","asset_current","l10n_se.account_tag_5","False","","Upplupna hyresintäkter"
"a1760","1760","Accrued interest income","asset_current","l10n_se.account_tag_5","False","","Upplupna ränteintäkter"
"a1790","1790","Other prepaid expenses and accrued income","asset_current","l10n_se.account_tag_5","False","","Övriga förutbetalda kostnader och upplupna intäkter"
"a1810","1810","Shares in listed companies","asset_current","l10n_se.account_tag_6","False","","Andel i börsnoterade företag"
"a1880","1880","Other short-term investments","asset_current","l10n_se.account_tag_6","False","","Andra kortfristiga placeringar"
"a1890","1890","Impairment of short-term investments","asset_current","l10n_se.account_tag_6","False","","Nedskrivning av kortfristiga placeringar"
"a1910","1910","Cash in hand","asset_cash","l10n_se.account_tag_7","False","","Kassa"
"a1920","1920","PlusGiro","asset_cash","l10n_se.account_tag_7","False","","PlusGiro"
"a1930","1930","Company account/checking account/business account","asset_cash","l10n_se.account_tag_7","False","","Företagskonto/checkkonto/affärskonto"
"a1940","1940","Other bank accounts","asset_cash","l10n_se.account_tag_7","False","","Övriga bankkonton"
"a2010","2010","Equity capital, partner 1","equity","l10n_se.account_tag_13","False","","Eget kapital, delägare 1"
"a2011","2011","Own withdrawals of goods","equity","l10n_se.account_tag_14","True","","Egna varuuttag"
"a2013","2013","Other own withdrawals","equity","l10n_se.account_tag_14","True","","Övriga egna uttag"
"a2017","2017","Capital contribution for the year","equity","l10n_se.account_tag_14","True","","Årets kapitaltillskott"
"a2018","2018","Other own deposits","equity","l10n_se.account_tag_14","True","","Övriga egna insättningar"
"a2019","2019","Profit for the year, partners","equity","l10n_se.account_tag_17","False","","Årets resultat, delägare"
"a2020","2020","Equity, shareholder 2","equity","l10n_se.account_tag_13","False","","Eget kapital, delägare 2"
"a2030","2030","Equity, shareholder 3","equity","l10n_se.account_tag_13","False","","Eget kapital, delägare 3"
"a2040","2040","Equity, shareholder 4","equity","l10n_se.account_tag_13","False","","Eget kapital, delägare 4"
"a2060","2060","Equity in non-profit organisations, foundations and registered religious communities","equity","l10n_se.account_tag_13","False","","Eget kapital i ideella föreningar, stiftelser och registrerade trossamfund"
"a2070","2070","Restricted funds","equity","l10n_se.account_tag_37","False","","Ändamålsbestämda medel"
"a2081","2081","Share capital","equity","l10n_se.account_tag_8","False","","Aktiekapital"
"a2083","2083","Members' contributions","equity","l10n_se.account_tag_40","False","","Medlemsinsatser"
"a2086","2086","Reserve fund","equity","l10n_se.account_tag_38","False","","Reservfond"
"a2090","2090","Unrestricted equity","equity","l10n_se.account_tag_39","False","","Fritt eget kapital"
"a2091","2091","Profit or loss brought forward","equity","l10n_se.account_tag_12","False","","Balanserad vinst eller förlust"
"a2098","2098","Profit or loss from previous year","equity","l10n_se.account_tag_11","False","","Vinst eller förlust från föregående år"
"a2099","2099","Profit or loss for the year","equity","l10n_se.account_tag_17","False","","Årets resultat"
"a2120","2120","Accrual fund 2020","equity","l10n_se.account_tag_18","False","","Periodiseringsfond 2020"
"a2121","2121","Accrual fund 2021","equity","l10n_se.account_tag_18","False","","Periodiseringsfond 2021"
"a2122","2122","Accrual fund 2022","equity","l10n_se.account_tag_18","False","","Periodiseringsfond 2022"
"a2123","2123","Accrual fund 2023","equity","l10n_se.account_tag_18","False","","Periodiseringsfond 2023"
"a2124","2124","Accrual fund 2024","equity","l10n_se.account_tag_18","False","","Periodiseringsfond 2024"
"a2126","2126","Accrual fund 2016","equity","l10n_se.account_tag_18","False","","Periodiseringsfond 2016"
"a2127","2127","Accrual fund 2017","equity","l10n_se.account_tag_18","False","","Periodiseringsfond 2017"
"a2128","2128","Accrual fund 2018","equity","l10n_se.account_tag_18","False","","Periodiseringsfond 2018"
"a2129","2129","Accrual fund 2019","equity","l10n_se.account_tag_18","False","","Periodiseringsfond 2019"
"a2150","2150","Accumulated excess depreciation","liability_non_current","l10n_se.account_tag_18","False","","Ackumulerade överavskrivningar"
"a2210","2210","Provisions for pensions under the Social Security Act","liability_non_current","l10n_se.account_tag_19","False","","Avsättningar för pensioner enligt tryggandelagen"
"a2220","2220","Provisions for guarantees","liability_non_current","l10n_se.account_tag_19","False","","Avsättningar för garantier"
"a2290","2290","Other provisions","liability_non_current","l10n_se.account_tag_19","False","","Övriga avsättningar"
"a2330","2330","Overdraft facility","liability_non_current","l10n_se.account_tag_21","False","","Checkräkningskredit"
"a2350","2350","Other long-term liabilities to credit institutions","liability_non_current","l10n_se.account_tag_21","False","","Andra långfristiga skulder till kreditinstitut"
"a2390","2390","Other long-term liabilities","liability_non_current","l10n_se.account_tag_29","False","","Övriga långfristiga skulder"
"a2393","2393","Loans from related parties, long-term part","liability_non_current","l10n_se.account_tag_29","False","","Lån från närstående personer, långfristiga del"
"a2410","2410","Other short-term loan liabilities to credit institutions","liability_current","l10n_se.account_tag_21","False","","Andra kortfristiga låneskulder till kreditinstitut"
"a2420","2420","Advances from customers","liability_current","l10n_se.account_tag_22","False","","Förskott från kunder"
"a2440","2440","Trade payables","liability_payable","l10n_se.account_tag_23","True","","Leverantörsskulder"
"a2480","2480","Bank overdraft, short-term","liability_payable","l10n_se.account_tag_21","True","","Checkräkningskredit, kortfristig"
"a2490","2490","Other current liabilities to credit institutions, customers and suppliers","liability_current","l10n_se.account_tag_21","False","","Övriga kortfristiga skulder till kreditinstitut, kunder och leverantörer"
"a2510","2510","Tax liabilities","liability_current","l10n_se.account_tag_28","False","","Skatteskulder"
"a2610","2610","Outgoing VAT, 25 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms, 25 %"
"a2611","2611","Outgoing VAT on sales within Sweden, 25%","liability_current","l10n_se.account_tag_29","False","","Utgående moms på försäljning inom Sverige, 25 %"
"a2612","2612","Outgoing VAT on own withdrawals, 25%","liability_current","l10n_se.account_tag_29","False","","Utgående moms på egna uttag, 25 %"
"a2613","2613","Output VAT for rentals, 25 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms för uthyrning, 25 %"
"a2614","2614","Output VAT on reverse charge, 25 per cent","liability_current","l10n_se.account_tag_29","False","","Utgående moms omvänd skattskyldighet, 25 %"
"a2615","2615","Outgoing VAT on import of goods, 25 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms import av varor, 25 %"
"a2616","2616","Output VAT VMB 25 per cent","liability_current","l10n_se.account_tag_29","False","","Utgående moms VMB 25 %"
"a2620","2620","Output VAT, 12 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms, 12 %"
"a2621","2621","Output VAT on sales within Sweden, 12 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms på försäljning inom Sverige, 12 %"
"a2622","2622","Output VAT on own withdrawals, 12 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms på egna uttag, 12 %"
"a2623","2623","Output VAT for rentals, 12 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms för uthyrning, 12 %"
"a2624","2624","Output VAT reverse charge, 12 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms omvänd skattskyldighet, 12 %"
"a2625","2625","Output VAT on import of goods, 12 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms import av varor, 12 %"
"a2626","2626","Output VAT on VAT, 12 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms VMB, 12 %"
"a2630","2630","Output VAT, 6 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms, 6 %"
"a2631","2631","Output VAT on sales within Sweden, 6 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms på försäljning inom Sverige, 6 %"
"a2632","2632","Output VAT on own withdrawals, 6 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms på egna uttag, 6 %"
"a2633","2633","Output VAT for rentals, 6 per cent","liability_current","l10n_se.account_tag_29","False","","Utgående moms för uthyrning, 6 %"
"a2634","2634","Output VAT on reverse charge, 6 %","liability_current","l10n_se.account_tag_29","False","","Utgående moms omvänd skattskyldighet, 6 %"
"a2635","2635","Output VAT on imports of goods, 6%","liability_current","l10n_se.account_tag_29","False","","Utgående moms import av varor, 6 %"
"a2636","2636","Output VAT VMB 6 per cent","liability_current","l10n_se.account_tag_29","False","","Utgående moms VMB 6 %"
"a2640","2640","Input VAT","liability_current","l10n_se.account_tag_29","False","","Ingående moms"
"a2641","2641","Debited input VAT","liability_current","l10n_se.account_tag_29","False","","Debiterad ingående moms"
"a2642","2642","Debited input VAT in connection with voluntary tax liability","liability_current","l10n_se.account_tag_29","False","","Debiterad ingående moms i anslutning till frivillig skattskyldighet"
"a2645","2645","Calculated input VAT on acquisitions from abroad","liability_current","l10n_se.account_tag_29","False","","Beräknad ingående moms på förvärv från utlandet"
"a2646","2646","Input VAT on rentals","liability_current","l10n_se.account_tag_29","False","","Ingående moms på uthyrning"
"a2647","2647","Input VAT on reverse charge goods and services in Sweden.","liability_current","l10n_se.account_tag_29","False","","Ingående moms omvänd skattskyldighet varor och tjänster i Sverige"
"a2648","2648","Dormant input VAT","liability_current","l10n_se.account_tag_29","False","","Vilande ingående moms"
"a2649","2649","Input VAT, mixed activities","liability_current","l10n_se.account_tag_29","False","","Ingående moms, blandad verksamhet"
"a2650","2650","Accounting account for VAT","liability_payable","l10n_se.account_tag_29","True","True","Redovisningskonto för moms"
"a2710","2710","Personnel tax","liability_current","l10n_se.account_tag_29","False","","Personalskatt"
"a2730","2730","Statutory social security contributions and special payroll tax","liability_current","l10n_se.account_tag_29","False","","Lagstadgade sociala avgifter och särskild löneskatt"
"a2740","2740","Agreed social security contributions","liability_current","l10n_se.account_tag_29","False","","Avtalade sociala avgifter"
"a2790","2790","Other payroll deductions","liability_current","l10n_se.account_tag_29","False","","Övriga löneavdrag"
"a2820","2820","Current liabilities to employees","liability_payable","l10n_se.account_tag_29","True","","Kortfristiga skulder till anställda"
"a2840","2840","Short-term loan liabilities","liability_payable","l10n_se.account_tag_29","True","","Kortfristiga låneskulder"
"a2890","2890","Other current liabilities","liability_current","l10n_se.account_tag_29","False","","Övriga kortfristiga skulder"
"a2910","2910","Accrued wages and salaries","liability_current","l10n_se.account_tag_30","False","","Upplupna löner"
"a2920","2920","Accrued holiday pay","liability_current","l10n_se.account_tag_30","False","","Upplupna semesterlöner"
"a2940","2940","Accrued statutory social security and other contributions","liability_current","l10n_se.account_tag_30","False","","Upplupna lagstadgade sociala och andra avgifter"
"a2950","2950","Accrued contractual social security contributions","liability_current","l10n_se.account_tag_30","False","","Upplupna avtalade sociala avgifter"
"a2960","2960","Accrued interest expenses","liability_current","l10n_se.account_tag_30","False","","Upplupna räntekostnader"
"a2970","2970","Deferred income","liability_current","l10n_se.account_tag_30","False","","Förutbetalda intäkter"
"a2990","2990","Other accrued expenses and deferred income","liability_current","l10n_se.account_tag_30","False","","Övriga upplupna kostnader och förutbetalda intäkter"
"a2999","2999","OBS account","liability_current","l10n_se.account_tag_30","False","","OBS-konto"
"a3000","3000","Sales within Sweden","income","l10n_se.account_tag_31","False","","Försäljning inom Sverige"
"a30011","30011","Sales within Sweden, 25% VAT (Goods)","income","l10n_se.account_tag_31","False","","Försäljning inom Sverige, 25 % moms (Varor)"
"a30012","30012","Sales within Sweden, 25% VAT (Services)","income","l10n_se.account_tag_31","False","","Försäljning inom Sverige, 25 % moms (Tjänster)"
"a30021","30021","Sales within Sweden, 12% VAT (Goods)","income","l10n_se.account_tag_31","False","","Försäljning inom Sverige, 12 % moms (Varor)"
"a30022","30022","Sales within Sweden, 12% VAT (Services)","income","l10n_se.account_tag_31","False","","Försäljning inom Sverige, 12 % moms (Tjänster)"
"a30031","30031","Sales within Sweden, 6% VAT (Goods)","income","l10n_se.account_tag_31","False","","Försäljning inom Sverige, 6 % moms (Varor)"
"a30032","30032","Sales within Sweden, 6% VAT (Services)","income","l10n_se.account_tag_31","False","","Försäljning inom Sverige, 6 % moms (Tjänster)"
"a30041","30041","Sales within Sweden, VAT free (Goods)","income","l10n_se.account_tag_31","False","","Försäljning inom Sverige, momsfri (Varor)"
"a30042","30042","Sales within Sweden, VAT free (Services)","income","l10n_se.account_tag_31","False","","Försäljning inom Sverige, momsfri (Tjänster)"
"a3100","3100","Sale of goods outside the EU","income","l10n_se.account_tag_31","False","","Försäljning av varor utanför EU"
"a3105","3105","Sale of goods to a non-EU country","income","l10n_se.account_tag_31","False","","Försäljning varor till land utanför EU"
"a3106","3106","Sale of goods to another EU country, subject to VAT","income","l10n_se.account_tag_31","False","","Försäljning varor till annat EU-land, momspliktig"
"a3108","3108","Sale of goods to another EU country, exempt from VAT","income","l10n_se.account_tag_31","False","","Försäljning varor till annat EU-land, momsfri"
"a3200","3200","Sales of VAT and reverse charge","income","l10n_se.account_tag_31","False","","Försäljning VMB och omvänd moms"
"a3211","3211","Sale of positive VAT 25 per cent","income","l10n_se.account_tag_31","False","","Försäljning positiv VMB 25 %"
"a3212","3212","Sales negative VAT 25 per cent","income","l10n_se.account_tag_31","False","","Försäljning negativ VMB 25 %"
"a3231","3231","Sales in the construction sector, reverse charge VAT","income","l10n_se.account_tag_31","False","","Försäljning inom byggsektorn, omvänd skatteskyldighet moms"
"a3300","3300","Sales of services outside Sweden","income","l10n_se.account_tag_31","False","","Försäljning av tjänster utanför Sverige"
"a3305","3305","Sale of services to a country outside the EU","income","l10n_se.account_tag_31","False","","Försäljning av tjänster till land utanför EU"
"a3308","3308","Sale of services to another EU country","income","l10n_se.account_tag_31","False","","Försäljning av tjänster till annat EU-land"
"a3400","3400","Sales, own withdrawals","income","l10n_se.account_tag_31","False","","Försäljning, egna uttag"
"a3401","3401","Own withdrawals subject to VAT, 25 %","income","l10n_se.account_tag_31","False","","Egna uttag momspliktiga, 25 %"
"a3402","3402","Own withdrawals subject to VAT, 12 %","income","l10n_se.account_tag_31","False","","Egna uttag momspliktiga, 12 %"
"a3403","3403","Own withdrawals subject to VAT, 6%","income","l10n_se.account_tag_31","False","","Egna uttag momspliktiga, 6 %"
"a3404","3404","Own withdrawals, VAT free","income","l10n_se.account_tag_31","False","","Egna uttag, momsfria"
"a3500","3500","Invoiced costs (group account)","income","l10n_se.account_tag_31","False","","Fakturerade kostnader (gruppkonto)"
"a3510","3510","Invoiced packaging","income","l10n_se.account_tag_31","False","","Fakturerat emballage"
"a3520","3520","Invoiced freight","income","l10n_se.account_tag_31","False","","Fakturerade frakter"
"a3521","3521","Invoiced freight, EU country","income","l10n_se.account_tag_31","False","","Fakturerade frakter, EU-land"
"a3522","3522","Invoiced freight, export","income","l10n_se.account_tag_31","False","","Fakturerade frakter, export"
"a3530","3530","Invoiced customs and forwarding costs, etc.","income","l10n_se.account_tag_31","False","","Fakturerad tull- och speditionskostnader m.m."
"a3540","3540","Invoiced charges","income","l10n_se.account_tag_31","False","","Faktureringsavgifter"
"a3541","3541","Billing charges, EU country","income","l10n_se.account_tag_31","False","","Faktureringsavgifter, EU-land"
"a3542","3542","Billing charges, export","income","l10n_se.account_tag_31","False","","Faktureringsavgifter, export"
"a3600","3600","Ancillary operating income (group account)","income","l10n_se.account_tag_31","False","","Rörelsens sidointäkter (gruppkonto)"
"a3730","3730","Discounts granted","income","l10n_se.account_tag_31","False","","Lämnade rabatter"
"a3740","3740","Island and crown equalisation","income","l10n_se.account_tag_31","False","","Öres- och kronutjämning"
"a3800","3800","Capitalised work for own account (group account)","income","l10n_se.account_tag_31","False","","Aktiverat arbete för egen räkning (gruppkonto)"
"a3900","3900","Other operating income (group account)","income_other","l10n_se.account_tag_31","False","","Övriga rörelseintäkter (gruppkonto)"
"a3913","3913","Rental income voluntarily subject to VAT","income_other","l10n_se.account_tag_31","False","","Frivilligt momspliktiga hyresintäkter"
"a3960","3960","Foreign exchange gains on receivables and liabilities of an operating nature","income_other","l10n_se.account_tag_31","False","","Valutakursvinster på fordringar och skulder av rörelsekaraktär"
"a3970","3970","Gains on the disposal of intangible and tangible fixed assets","income_other","l10n_se.account_tag_31","False","","Vinst vid avyttring av immateriella och materiella anläggningstillgångar"
"a3980","3980","Government grants received, etc.","income_other","l10n_se.account_tag_31","False","","Erhållna offentliga stöd m.m."
"a4000","4000","Purchases of goods from Sweden","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av varor från Sverige"
"a4200","4200","Sales of goods sold VMB","expense_direct_cost","l10n_se.account_tag_32","False","","Sålda varor VMB"
"a4211","4211","Goods sold positive VAT 25%","expense_direct_cost","l10n_se.account_tag_32","False","","Sålda varor positiv VMB 25 %"
"a4212","4212","Goods sold negative VAT 25%","expense_direct_cost","l10n_se.account_tag_32","False","","Sålda varor negativ VMB 25 %"
"a4400","4400","Purchases subject to VAT in Sweden","expense_direct_cost","l10n_se.account_tag_32","False","","Momspliktiga inköp i Sverige"
"a4415","4415","Goods purchased in Sweden, reverse charge, 25 %","expense_direct_cost","l10n_se.account_tag_32","False","","Inköpta varor i Sverige, omvänd skattskyldighet, 25 %"
"a4426","4426","Purchases of services in Sweden, reverse charge, 12 %","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp tjänster i Sverige, omvänd skattskyldighet, 12 %"
"a4427","4427","Purchases of services in Sweden, reverse charge, 6%","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp tjänster i Sverige, omvänd skattskyldighet, 6 %"
"a4500","4500","Other purchases subject to VAT","expense_direct_cost","l10n_se.account_tag_32","False","","Övriga momspliktiga inköp"
"a4515","4515","Purchases of goods from another EU country, 25%","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av varor från annat EU-land, 25 %"
"a4516","4516","Purchases of goods from another EU country, 12 %","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av varor från annat EU-land, 12 %"
"a4517","4517","Purchases of goods from another EU country, 6%","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av varor från annat EU-land, 6 %"
"a4518","4518","Purchase of goods from another EU country, VAT free","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av varor från annat EU-land, momsfri"
"a4531","4531","Purchase of services from a non-EU country, 25%","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av tjänster från ett land utanför EU, 25 %"
"a4532","4532","Purchase of services from outside the EU, 12%","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av tjänster från ett land utanför EU, 12 %"
"a4533","4533","Purchase of services from outside the EU, 6%","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av tjänster från ett land utanför EU, 6 %"
"a4535","4535","Purchase of services from another EU country, 25%","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av tjänster från annat EU-land, 25 %"
"a4536","4536","Purchase of services from another EU country, 12%","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av tjänster från annat EU-land, 12 %"
"a4537","4537","Purchase of services from another EU country, 6%","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av tjänster från annat EU-land, 6 %"
"a4538","4538","Purchase of services from another EU country, VAT free","expense_direct_cost","l10n_se.account_tag_32","False","","Inköp av tjänster från annat EU-land, momsfri"
"a4545","4545","Import of goods, 25% VAT","expense_direct_cost","l10n_se.account_tag_32","False","","Import av varor, 25 % moms"
"a4546","4546","Import of goods, 12% VAT","expense_direct_cost","l10n_se.account_tag_32","False","","Import av varor, 12 % moms"
"a4547","4547","Import of goods, 6% VAT","expense_direct_cost","l10n_se.account_tag_32","False","","Import av varor, 6 % moms"
"a4600","4600","Subcontracting and subcontracting (group account)","expense_direct_cost","l10n_se.account_tag_32","False","","Legoarbeten och underentreprenader (gruppkonto)"
"a4700","4700","Reduction of purchase prices (group account)","expense_direct_cost","l10n_se.account_tag_32","False","","Reduktion av inköpspriser (gruppkonto)"
"a4900","4900","Change in stocks (group account)","expense_direct_cost","l10n_se.account_tag_31","False","","Förändring av lager (gruppkonto)"
"a4910","4910","Change in stocks of raw materials","expense_direct_cost","l10n_se.account_tag_32","False","","Förändring av lager av råvaror"
"a4920","4920","Change in stocks of additives and consumables","expense_direct_cost","l10n_se.account_tag_32","False","","Förändring av lager av tillsatsmaterial och förnödenheter"
"a4940","4940","Change in stocks of work in progress","expense_direct_cost","l10n_se.account_tag_31","False","","Förändring produkter i arbete"
"a4950","4950","Change in stocks of finished goods","expense_direct_cost","l10n_se.account_tag_31","False","","Förändring av lager av färdiga varor"
"a4960","4960","Change in stocks of goods for resale","expense_direct_cost","l10n_se.account_tag_31","False","","Förändring av lager av handelsvaror"
"a4970","4970","Change in work in progress, costs incurred","expense_direct_cost","l10n_se.account_tag_31","False","","Förändring pågående arbete, nedlagda kostnader"
"a5010","5010","Rent of premises","expense","l10n_se.account_tag_32","False","","Lokalhyra"
"a5020","5020","Electricity for lighting","expense","l10n_se.account_tag_32","False","","El för belysning"
"a5030","5030","Heating","expense","l10n_se.account_tag_32","False","","Värme"
"a5040","5040","Water and sewerage","expense","l10n_se.account_tag_32","False","","Vatten och avlopp"
"a5060","5060","Cleaning and sanitation","expense","l10n_se.account_tag_32","False","","Städning och renhållning"
"a5070","5070","Repair and maintenance of premises","expense","l10n_se.account_tag_32","False","","Reparation och underhåll av lokaler"
"a5120","5120","Electricity for lighting","expense","l10n_se.account_tag_32","False","","El för belysning"
"a5130","5130","Heating","expense","l10n_se.account_tag_32","False","","Värme"
"a5140","5140","Water and sewerage","expense","l10n_se.account_tag_32","False","","Vatten och avlopp"
"a5160","5160","Cleaning and sanitation","expense","l10n_se.account_tag_32","False","","Städning och renhållning"
"a5170","5170","Repair and maintenance of property","expense","l10n_se.account_tag_32","False","","Reparation och underhåll av fastighet"
"a5200","5200","Rent of fixed assets (group account)","expense","l10n_se.account_tag_32","False","","Hyra av anläggningstillgångar (gruppkonto)"
"a5300","5300","Energy costs (group account)","expense","l10n_se.account_tag_32","False","","Energikostnader (gruppkonto)"
"a5410","5410","Consumable inventory","expense","l10n_se.account_tag_32","False","","Förbrukningsinventarier"
"a5420","5420","Software","expense","l10n_se.account_tag_32","False","","Programvaror"
"a5460","5460","Consumables","expense","l10n_se.account_tag_32","False","","Förbrukningsmaterial"
"a5500","5500","Repair and maintenance (group account)","expense","l10n_se.account_tag_32","False","","Reparation och underhåll (gruppkonto)"
"a5600","5600","Cost of means of transport (group account)","expense","l10n_se.account_tag_32","False","","Kostnader för transportmedel (gruppkonto)"
"a5611","5611","Fuel for passenger cars","expense","l10n_se.account_tag_32","False","","Drivmedel för personbilar"
"a5612","5612","Insurance and taxes for passenger cars","expense","l10n_se.account_tag_32","False","","Försäkring och skatt för personbilar"
