"id","description","invoice_label","name","amount","amount_type","type_tax_use","sequence","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"rrif_pdv_nezar_isp_25","","PDV po nezaračunanim isporukama 25%","25% PDV za nezaračunane isp.","25.0","percent","sale","100","tax_group_25","base","invoice","+II.3 Izdani računi po stopi 25% (osnovica)","",""
"","","","","","","","","","tax","invoice","+II.3 Izdani računi po stopi 25% (porez)","kp_rrif24033",""
"","","","","","","","","","base","refund","-II.3 Izdani računi po stopi 25% (osnovica)","",""
"","","","","","","","","","tax","refund","-II.3 Izdani računi po stopi 25% (porez)","kp_rrif24033",""
"rrif_pdv_nezar_isp_10","","PDV po nezaračunanim isporukama 10%","10% PDV za nezaračunane isp.","10.0","percent","sale","100","tax_group_10","base","invoice","+II.1 Izdani računi po stopi 10% (osnovica)","",""
"","","","","","","","","","tax","invoice","+II.1 Izdani računi po stopi 10% (porez)","kp_rrif24030",""
"","","","","","","","","","base","refund","-II.1 Izdani računi po stopi 10% (osnovica)","",""
"","","","","","","","","","tax","refund","-II.1 Izdani računi po stopi 10% (porez)","kp_rrif24030",""
"rrif_pdv_nezar_isp_0","","PDV po nezaračunanim isporukama 0%","0% PDV za nezaračunane isp.","0.0","percent","sale","100","tax_group_0","base","invoice","+I.3. Isporuke po stopi od 0%","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-I.3. Isporuke po stopi od 0%","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pdv_nepod_0","","1. KOJE NE PODLIJEŽU OPOREZIVANJU (čl. 2. u svezi s čl. 5 i čl. 8 st. 7 Zakona)","0% Ne podliježe op.","0.0","percent","sale","100","tax_group_0","base","invoice","+I.1. Koje ne podliježu oporezivanju","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-I.1. Koje ne podliježu oporezivanju","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pdv_osl_izvoz_0","","2.1. IZVOZNE - s pravom na odbitak pretporeza (čl. 13. st. 1. toč. 1. i čl. 14. Zakona)","0% osl. izvozne","0.0","percent","sale","100","tax_group_0","base","invoice","+I.2.1. Izvozne","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-I.2.1. Izvozne","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pdv_osl_medpri_0","","2.2. U VEZI S MEĐUNARODNIM PRIJEVOZOM  (čl. 13.b Zakona)","0% osl. međ. prijevoz","0.0","percent","sale","100","tax_group_0","base","invoice","+I.2.2. Isporuke dobara","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-I.2.2. Isporuke dobara","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pdv_osl_tuz_0","","2.3. TUZEMNE - bez prava na odbitak pretporeza (čl. 11. i čl. 11a Zakona)","0% osl tuzemne","0.0","percent","sale","100","tax_group_0","base","invoice","+I.2.3. Tuzemne  - bez prava odbitka","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-I.2.3. Tuzemne  - bez prava odbitka","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pdv_osl_ost_0","","2.4. OSTALO (čl. 13. st. 1. toč. 2. I čl. 13a Zakona)","0% osl. ostalo","0.0","percent","sale","100","tax_group_0","base","invoice","+I.2.4. Ostale – s pravom odbitka","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-I.2.4. Ostale – s pravom odbitka","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pp_25","","Pretporez 25% PDV","25% PDV pretporez","25.0","percent","purchase","10","tax_group_25","base","invoice","","",""
"","","","","","","","","","tax","invoice","+III.3. Pretporez 25%","kp_rrif14003",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","-III.3. Pretporez 25%","kp_rrif14003",""
"rrif_pp_25usl","","Pretporez 25% PDV Usluge","25% PDV pretporez usluge","25.0","percent","purchase","100","tax_group_25","base","invoice","","",""
"","","","","","","","","","tax","invoice","+III.3. Pretporez 25%","kp_rrif14003",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","-III.3. Pretporez 25%","kp_rrif14003",""
"rrif_pp_10","","Pretporez 10% PDV","10% PDV pretporez","10.0","percent","purchase","10","tax_group_10","base","invoice","+III.1. Pretporez 10% (osnovica)","",""
"","","","","","","","","","tax","invoice","+III.1. Pretporez 10% (porez)","kp_rrif14000",""
"","","","","","","","","","base","refund","-III.1. Pretporez 10% (osnovica)","",""
"","","","","","","","","","tax","refund","-III.1. Pretporez 10% (porez)","kp_rrif14000",""
"rrif_pp_0","","Pretporez 0% PDV","0% PDV pretporez","0.0","percent","purchase","100","tax_group_0","base","invoice","+III.0. Pretporez 0%","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-III.0. Pretporez 0%","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pp_avans_25","","Pretporez za predujam 25% PDV","25% PDV pretporez za predujam","25.0","percent","purchase","100","tax_group_25","base","invoice","","",""
"","","","","","","","","","tax","invoice","+III.3. Pretporez 25%","kp_rrif14013",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","-III.3. Pretporez 25%","kp_rrif14013",""
"rrif_pp_avans_0","","Pretporez za predujam 0% PDV","0% PDV pretporez za predujam","0.0","percent","purchase","100","tax_group_0","base","invoice","+III.0. Pretporez 0%","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-III.0. Pretporez 0%","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pp_uvoz_25","","Plaćeni PDV 25% pri uvozu dobara","25% uvoz dobara","25.0","percent","purchase","100","tax_group_25","base","invoice","+III.4. Plaćeni PP pri uvozu (osnovica)","",""
"","","","","","","","","","tax","invoice","+III.4. Plaćeni PP pri uvozu (porez)","kp_rrif14023",""
"","","","","","","","","","base","refund","-III.4. Plaćeni PP pri uvozu (osnovica)","",""
"","","","","","","","","","tax","refund","-III.4. Plaćeni PP pri uvozu (porez)","kp_rrif14023",""
"rrif_pp_uvoz_10","","Plaćeni PDV 10% pri uvozu dobara","10% uvoz dobara","10.0","percent","purchase","10","tax_group_10","base","invoice","+III.4. Plaćeni PP pri uvozu (osnovica)","",""
"","","","","","","","","","tax","invoice","+III.4. Plaćeni PP pri uvozu (porez)","kp_rrif14020",""
"","","","","","","","","","base","refund","-III.4. Plaćeni PP pri uvozu (osnovica)","",""
"","","","","","","","","","tax","refund","-III.4. Plaćeni PP pri uvozu (porez)","kp_rrif14020",""
"rrif_pp_uvoz_0","","Plaćeni PDV 0% pri uvozu dobara","0% uvoz dobara","0.0","percent","purchase","100","tax_group_0","base","invoice","+III.4. Plaćeni PP pri uvozu (osnovica)","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-III.4. Plaćeni PP pri uvozu (osnovica)","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pp_ino_25","","Plaćeni PDV 25% na usluge inozemnih poduzetnika","25% ino. usluge","25.0","percent","purchase","100","tax_group_25","base","invoice","+III.7. Plaćeni PP na ino usluge 25% (osnovica)","",""
"","","","","","","","","","tax","invoice","+III.7. Plaćeni PP na ino usluge 25% (porez)","kp_rrif14033",""
"","","","","","","","","","base","refund","-III.4. Plaćeni PP pri uvozu (osnovica)","",""
"","","","","","","","","","tax","refund","-III.7. Plaćeni PP na ino usluge 25% (osnovica)","kp_rrif14033",""
"rrif_pp_ino_10","","Plaćeni PDV 10% na usluge inozemnih poduzetnika","10% ino. usluge","10.0","percent","purchase","100","tax_group_10","base","invoice","+III.5. Plaćeni PP na ino usluge 10% (osnovica)","",""
"","","","","","","","","","tax","invoice","+III.5. Plaćeni PP na ino usluge 10% (porez)","kp_rrif14030",""
"","","","","","","","","","base","refund","-III.4. Plaćeni PP pri uvozu (osnovica)","",""
"","","","","","","","","","tax","refund","-III.5. Plaćeni PP na ino usluge 10% (osnovica)","kp_rrif14030",""
"rrif_ppr2_25","","25% R-2 dobavljač","25% R-2 dobavljač","25.0","percent","purchase","100","tax_group_25","base","invoice","+Pretporez koji još nije priznan (uključivo i neplaćeni R-2)","",""
"","","","","","","","","","tax","invoice","+Pretporez koji još nije priznan (neplaćeni R2)","kp_rrif1409",""
"","","","","","","","","","base","refund","-Pretporez koji još nije priznan (uključivo i neplaćeni R-2)","",""
"","","","","","","","","","tax","refund","-Pretporez koji još nije priznan (neplaćeni R2)","kp_rrif1409",""
"rrif_pp_uvoz_samopdv_25","","Samo PDV kod uvoza 25%","Samo PDV kod uvoza 25%","25.0","percent","purchase","100","tax_group_25","base","invoice","+Nepriznati pretporez 25% (o)","",""
"","","","","","","","","","tax","invoice","+Pretporez koji još nije priznan (neplaćeni UVOZ dobara 25%)","kp_rrif4199",""
"","","","","","","","","","base","refund","-Nepriznati pretporez 25% (o)","",""
"","","","","","","","","","tax","refund","-Pretporez koji još nije priznan (neplaćeni UVOZ dobara 25%)","kp_rrif4199",""
"rrif_pp_uvoz_samopdv_25usl","","Samo PDV kod uvoza 25% usluge","Samo PDV kod uvoza 25% usluge","25.0","percent","purchase","100","tax_group_25","base","invoice","+Nepriznati pretporez 25% (o)","",""
"","","","","","","","","","tax","invoice","+Pretporez koji još nije priznan (neplaćene INO usluge 25%)","kp_rrif4199",""
"","","","","","","","","","base","refund","-Nepriznati pretporez 25% (o)","",""
"","","","","","","","","","tax","refund","-Pretporez koji još nije priznan (neplaćene INO usluge 25%)","kp_rrif4199",""
"rrif_ppdnp1_3070_1","","pp 30% Nepriznat 70% Priznat","pp 30% Nepriznat 70% Priznat","25.0","percent","purchase","100","tax_group_25","base","invoice","+III.3. Pretporez 25% (70%)||+Nepriznati pretporez 25% (o) (30%)","",""
"","","","","","","","","","tax","invoice","+Nepriznati pretporez 25% (p)","kp_rrif4199","30"
"","","","","","","","","","tax","invoice","+III.3. Pretporez 25%","kp_rrif14002","70"
"","","","","","","","","","base","refund","-III.3. Pretporez 25% (70%)||-Nepriznati pretporez 25% (o) (30%)","",""
"","","","","","","","","","tax","refund","-Nepriznati pretporez 25% (p)","kp_rrif4199","30"
"","","","","","","","","","tax","refund","-III.3. Pretporez 25%","kp_rrif14002","70"
"rrif_ppdnp1_7030_1","","pp 70% Nepriznat 30% Priznat","pp 70% Nepriznat 30% Priznat","25.0","percent","purchase","100","tax_group_25","base","invoice","+Nepriznati pretporez 25% (o) (70%)||+III.3. Pretporez 25% (30%)","",""
"","","","","","","","","","tax","invoice","+III.3. Pretporez 25%","kp_rrif14002","30"
"","","","","","","","","","tax","invoice","+Nepriznati pretporez 25% (p)","kp_rrif4199","70"
"","","","","","","","","","base","refund","-Nepriznati pretporez 25% (o) (70%)||-III.3. Pretporez 25% (30%)","",""
"","","","","","","","","","tax","refund","-III.3. Pretporez 25%","kp_rrif14002","30"
"","","","","","","","","","tax","refund","-Nepriznati pretporez 25% (p)","kp_rrif4199","70"
"rrif_ppdnp1_3070_1_r2","","R2 pp 30% Nepriznat 70% Priznat","R2 pp 30% Nepriznat 70% Priznat","25.0","percent","purchase","100","tax_group_25","base","invoice","+III.3. Pretporez 25% (70%)||+Nepriznati pretporez 25% (o) (30%)","",""
"","","","","","","","","","tax","invoice","+Pretporez koji još nije priznan (neplaćeni R2)","kp_rrif4199","30"
"","","","","","","","","","tax","invoice","+Nepriznati pretporez 25% (p)","kp_rrif1408","70"
"","","","","","","","","","base","refund","-III.3. Pretporez 25% (70%)||-Nepriznati pretporez 25% (o) (30%)","",""
"","","","","","","","","","tax","refund","-Pretporez koji još nije priznan (neplaćeni R2)","kp_rrif4199","30"
"","","","","","","","","","tax","refund","-Nepriznati pretporez 25% (p)","kp_rrif1408","70"
"rrif_ppdnp1_7030_1_r2","","R2 pp 70% Nepriznat 30% Priznat","R2 pp 70% Nepriznat 30% Priznat","25.0","percent","purchase","100","tax_group_25","base","invoice","+Nepriznati pretporez 25% (o) (70%)||+III.3. Pretporez 25% (30%)","",""
"","","","","","","","","","tax","invoice","+Pretporez koji još nije priznan (neplaćeni R2)","kp_rrif1408","30"
"","","","","","","","","","tax","invoice","+Nepriznati pretporez 25% (p)","kp_rrif4199","70"
"","","","","","","","","","base","refund","-Nepriznati pretporez 25% (o) (70%)||-III.3. Pretporez 25% (30%)","",""
"","","","","","","","","","tax","refund","-Pretporez koji još nije priznan (neplaćeni R2)","kp_rrif1408","30"
"","","","","","","","","","tax","refund","-Nepriznati pretporez 25% (p)","kp_rrif4199","70"
