"id","code_prefix_start","name","name@sr@latin"
"rs_group_722","722","Deferred taxes","Odloženi poreski rashodi i prihodi perioda"
"rs_group_73","73","Closing of the Balance Sheet's accounts","ZAKLJUČAK RAČUNA STANJA"
"rs_group_74","74","Group free for use","SLOBODNA GRUPA"
"rs_group_8","8","Off-balance sheet evidence","VANBILANSNA EVIDENCIJA"
"rs_group_88","88","Off-Balance sheet assets","VANBILANSNA AKTIVA"
"rs_group_89","89","Off-Balance sheet liabilities","VANBILANSNA PASIVA"
"rs_group_9","9","Cost accounting","OBRAČUN TROŠKOVA I UČINAKA"
"rs_group_90","90","Liaison accounts with financial book-keeping","Unapred obračunati troškovi"
"rs_group_91","91","Raw material and merchandise","MATERIJAL I ROBA"
"rs_group_92","92","Cost accounts points for purchasing technical management and ancillary activities","RAČUNI MESTA TROŠKOVA NABAVKE, TEHNIČKE UPRAVE I POMOĆNIH DELATNOSTI"
"rs_group_93","93","Accounts for main production cost points","RAČUNI GLAVNIH PROIZVODNIH MESTA TROŠKOVA"
"rs_group_94","94","Cost account points for management sales and similar activities","RAČUNI MESTA TROŠKOVA UPRAVE, PRODAJE I SLIČNIH AKTIVNOSTI"
"rs_group_95","95","Cost units","Nosioci troškova"
"rs_group_96","96","Finished products","Gotovi proizvodi"
"rs_group_97","97","Group free for use","SLOBODNA GRUPA"
"rs_group_98","98","Expenses and income","RASHODI I PRIHODI"
"rs_group_99","99","Profit, loss and closing accounts","RAČUNI DOBITKA, GUBITKA I ZAKLJUČKA"
