"id","code","name","account_type","tag_ids","reconcile","non_trade","tax_ids","asset_model_ids","description"
"au_13440","13440","Technology Equip Accum Dep","asset_non_current","","False","","","","Total accumulated depreciation recorded to date on the organization's technology equipment."
"au_13450","13450","Other Property, Plant, and Equipment","asset_fixed","","False","","au_tax_purchase_10_service","asset_other_ppe","Cost or fair value of miscellaneous tangible long-term assets not classified elsewhere (e.g., specialised tooling, library assets)."
"au_13460","13460","Other Property, Plant, and Equipment Accum Dep","asset_non_current","","False","","","","Total accumulated depreciation recorded to date on miscellaneous tangible long-term assets."
"au_13470","13470","Motor Vehicle Accessories","asset_fixed","","False","","au_tax_purchase_10_service","asset_vehicle_accessories","Cost or fair value of significant, permanent additions and A installed on motor vehicles."
"au_13480","13480","Motor Vehicle Accessories Accum Dep","asset_non_current","","False","","","","Total accumulated depreciation recorded to date on significant motor vehicle accessories."
"au_21110","21110","Credit Card","liability_current","","False","","","","Balance owed on credit cards, due and payable within the next 12 months."
"au_21200","21200","Trade Creditors","liability_payable","","True","","","","Gross accounts payable owed to trade creditors or suppliers at the end of the reporting period."
"au_21210","21210","Goods Received not Billed","liability_current","","False","","","","Liability for goods received from suppliers for which an invoice has not yet been issued."
"au_21300","21300","Wages & Salaries","liability_current","","True","","","","Liability for unpaid wages and salaries, typically at the end of the reporting period."
"au_21310","21310","GST Collected","liability_current","","False","","","","Gross Goods and Services Tax (GST) collected, due to the Australian Taxation Office (ATO)."
"au_21320","21320","BAS Payments","liability_payable","","True","True","","","Payments made to the ATO for the Business Activity Statement (BAS), including GST and withholding tax."
"au_21330","21330","GST Paid","asset_current","","False","","","","Gross GST input tax credits receivable from the Australian Taxation Office (ATO)."
"au_21340","21340","Deferred GST Liability","liability_current","l10n_au.account_tag_dgst","False","","au_tax_dgst","","Liability for deferred GST under the ATO's reporting system for GST."
"au_21350","21350","Fuel Tax Credits","liability_current","","False","","","","Balance of Fuel Tax Credits owed by the ATO to the organization or payable to the ATO."
"au_21355","21355","WET Payable","liability_current","","False","","","","Wine Equalisation Tax (WET) due and payable to tax authorities at the end of the period."
"au_21360","21360","Import Duty Payable","liability_current","","False","","","","Import duty due and payable to customs authorities at the end of the reporting period."
"au_21365","21365","PAYG Income Tax Liability","liability_current","","","","","","Pay As You Go (PAYG) Income Tax owed by the organization to tax authorities."
"au_21370","21370","Voluntary Withholdings Payable","liability_current","","False","","","","Voluntary withholding amounts deducted from payments to employees or suppliers, not yet remitted."
"au_21380","21380","ABN Withholdings Payable","liability_current","","False","","","","ABN (Australian Business Number) withholding tax deducted, not yet remitted to the ATO."
"au_21390","21390","Fringe Benefits Tax Liability","liability_current","","False","","","","Amount of Fringe Benefits Tax (FBT) owed and payable to the tax authorities."
"au_21395","21395","Luxury Car Tax Liability","liability_current","","False","","","","Amount of Luxury Car Tax (LCT) owed and payable to the tax authorities."
"au_21400","21400","Superannuation","liability_current","","True","","","","Total superannuation contributions due and payable to superannuation funds for all employees."
"au_21410","21410","Payroll Accruals Payable","liability_current","","False","","","","Liability for accrued employee benefits such as annual leave and long service leave."
"au_21420","21420","PAYG Withholding Payable","liability_current","","False","","","","PAYG tax deducted from employees' gross salaries, not yet remitted to the ATO."
"au_21500","21500","Child Support","liability_current","","False","","","","Child support amounts deducted from employee wages that have not yet been remitted."
"au_21600","21600","Customer Deposits","liability_current","","False","","au_tax_sale_10","","Deposits or advances from customers for goods or services not yet delivered."
"au_21700","21700","Other Current Liabilities","liability_current","","False","","","","All other current liabilities not included elsewhere, including funds held in trust for a third party."
"au_21760","21760","Unearned Income from System","liability_current","","False","","","","Revenue or income, excluding grants, received in advance that span more than the current financial year."
"au_21800","21800","Deductions","liability_current","","True","","","","Miscellaneous deductions from employee wages payable to third parties, such as medical insurance."
"au_22100","22100","Mortgages Payable","liability_non_current","","False","","","","Long-term component of mortgages payable by the organization, not due within 12 months."
"au_22200","22200","Notes Payable","liability_non_current","","False","","","","Long-term component of loans or notes payable to banks or others, not due within 12 months."
"au_22300","22300","Other Long Term Liabilities","liability_non_current","","False","","","","All other non-current liabilities not specifically listed, not expected to be actioned within 12 months."
"au_31100","31100","Capital Investment","equity","","False","","","","Contributions made by members or owners to establish or finance the organization."
"au_31200","31200","Capital Drawings","equity","","False","","","","Withdrawals of funds or assets made by members or owners for personal use."
"au_38000","38000","Retained Earnings","equity","","False","","","","Accumulated surplus or losses of the organization carried over from previous operating years."
"au_39000","39000","Current Year Earnings","equity_unaffected","","False","","","","Surplus or deficit generated during the current financial year, carried over to retained earnings."
"au_39999","39999","Historical Balancing","equity","","False","","","","Default account used to balance debits and credits when the chart of accounts is initially loaded."
"au_41110","41110","Sales Product #1","income","","False","","","","Sales revenue for product number one, which may act as a header account for sub-activities."
"au_41120","41120","Sales Product #2","income","","False","","","","Sales revenue for product number two, representing market-value transactions with a material benefit."
"au_41130","41130","Sales Product #3","income","","False","","","","Sales revenue for product number three, representing regular product or service transactions."
"au_42000","42000","Wholesale Sales","income","","False","","au_tax_sale_10","","Revenue from wholesale sales of goods made by the organization to other resellers."
"au_43000","43000","Consignment Sales","income","","False","","au_tax_sale_10","","Revenue generated from the sale of goods held on consignment by the organization."
"au_44000","44000","Freight Income","income","","False","","au_tax_sale_10","","Revenue collected by the organization for transportation and freight charges billed to customers."
"au_45000","45000","Late Fees Collected","income_other","","False","","au_tax_sale_10","","Revenue derived from late fees collected from customers or members of the organization."
"au_46000","46000","Miscellaneous Income","income_other","","False","","","","Miscellaneous or sundry income not included in any other specific income categories."
"au_47000","47000","Fuel Tax Credits","income_other","","False","","au_tax_sale_ftc","","Fuel Tax Credits received from the ATO by the organization, accounted for as income."
"au_51110","51110","Cost of Goods Sold #1","expense_direct_cost","","False","","","","Cost of purchasing the first product or service sold by the organization during the year."
"au_51120","51120","Cost of Goods Sold # 2","expense_direct_cost","","False","","","","Cost of purchasing the second product or service sold by the organization during the year."
"au_51130","51130","Cost of Goods Sold # 3","expense_direct_cost","","False","","","","Cost of purchasing the third product or service sold by the organization during the year."
"au_52000","52000","Wholesale Cost of Sales","expense_direct_cost","","False","","","","Cost of goods sold wholesale by the organization during the financial year."
"au_53000","53000","Consignment Cost of Sales","expense_direct_cost","","False","","","","Cost of purchasing goods sold on consignment by the organization during the year."
"au_54000","54000","Wages for Production Labour","expense_direct_cost","","False","","","","Direct wage costs associated with production labour or manufacturing of goods sold."
"au_55000","55000","Materials & Supplies","expense_direct_cost","","False","","","","Cost of raw materials or supplies directly used to produce the goods sold."
"au_56000","56000","Freight","expense_direct_cost","","False","","au_tax_purchase_10_service","","Cost of transportation and freight relating to goods purchased, not sold, by the organization."
"au_57000","57000","Other Costs","expense_direct_cost","","False","","au_tax_purchase_10_service","","Other direct costs, such as production utilities, associated with the goods sold."
"au_61000","61000","Advertising","expense","","False","","au_tax_purchase_10_service","","Marketing, advertising, and promotion fees for the organization's events or services."
"au_61200","61200","Car & Truck Expenses","expense","","False","","au_tax_purchase_10_service","","Vehicle operating costs, including fuel, repairs, maintenance, insurance, and registration."
"au_61300","61300","Commissions Paid","expense","","False","","au_tax_purchase_10_service","","Commissions paid to employees or sales agents for sales or services rendered."
"au_61500","61500","Depreciation Expense","expense_depreciation","","False","","","","Depreciation expense calculated for the current year on all fixed assets."
"au_61610","61610","Discounts Given","expense","","False","","au_tax_purchase_10_service","","Discounts granted to customers for early or bulk payment, resulting in reduced revenue."
"au_61620","61620","Discounts Taken","expense","","False","","au_tax_purchase_10_service","","Discounts received from suppliers for early payment of accounts payable."
"au_61630","61630","Exchange Rate Loss","expense","","False","","","","Loss realized on foreign currency transactions due to changes in exchange rates."
"au_61640","61640","Exchange Rate Gain","income","","False","","","","Gain realized on foreign currency transactions due to favorable changes in exchange rates."
"au_61700","61700","Freight Paid","expense","","False","","au_tax_purchase_10_service","","Postage, stamping, franking, and courier costs incurred by the organization, excluding fundraising."
"au_61800","61800","Insurance","expense","","False","","au_tax_purchase_0_service","","Costs of all insurances, including accident, building, and contents, excluding vehicles and employees."
"au_61910","61910","Overdraft Interest","expense","","False","","","","Interest paid on the organization's bank overdraft, treated as an interest expense."
"au_61920","61920","Mortgage Interest","expense","","False","","","","Interest paid on the organization's mortgages for properties that are owned."
"au_61930","61930","Other Interest","expense","","False","","","","Other interest paid or interest penalties incurred by the organization during the year."
"au_62000","62000","Late Fees Paid","expense","","False","","au_tax_purchase_10_service","","Late fees or penalties paid by the organization for overdue invoices or obligations."
"au_62110","62110","Machinery & Equipment","expense","","False","","","","Repairs and maintenance of machinery, equipment, and tools (excluding motor vehicles)."
"au_62120","62120","Other Business Property","expense","","False","","","","Maintenance and repair costs for other owned business properties, excluding rentals."
"au_62200","62200","Legal & Professional Services","expense","","False","","au_tax_purchase_10_service","","Fees paid for legal services, along with consulting and professional services."
"au_62300","62300","Office Expenses","expense","","False","","au_tax_purchase_10_service","","Administrative costs related to printing, stationery, and office supplies."
"au_62410","62410","Staff Amenities","expense","","False","","au_tax_purchase_10_service","","Tea room supplies and amenities purchased for the organization's staff and visitors."
"au_62420","62420","Superannuation","expense","","False","","","","Superannuation expenses for salaried or casual staff, including mandatory contributions."
"au_62430","62430","Wages & Salaries","expense","","False","","","","Total gross wages and salaries paid to permanent and casual staff, excluding employee benefits."
"au_62440","62440","Workers' Compensation","expense","","False","","au_tax_purchase_0_service","","Amounts paid for workers' compensation on behalf of the organization's employees."
"au_62450","62450","Other Employer Expenses","expense","","False","","","","All other employment costs, such as employer taxes, not included in other accounts."
"au_62460","62460","Child Support","expense","","False","","","","Cost of administering child support deductions within the payroll system."
"au_62500","62500","Repairs","expense","","False","","au_tax_purchase_10_service","","Costs of repairs and maintenance for buildings, equipment, and office furniture."
"au_62550","62550","Shrinkage/Spoilage","expense","","False","","","","Loss of inventory due to theft, breakage, or obsolescence, excluding bad debts written off."
"au_62600","62600","Supplies","expense","","False","","au_tax_purchase_10_service","","Costs of consumable supplies for direct support to clients or programs."
"au_62700","62700","Taxes","expense","","False","","","","All rates, taxes, and levies incurred by the organization from authorities."
"au_62800","62800","Telephone","expense","","False","","au_tax_purchase_10_service","","All telephone, mobile, and fax charges, including associated internet costs."
"au_62910","62910","Gas","expense","","False","","au_tax_purchase_10_service","","Cost of gas paid by the organization for the buildings it occupies (utilities)."
"au_62920","62920","Electricity","expense","","False","","au_tax_purchase_10_service","","Cost of electricity paid by the organization for the buildings it occupies (utilities)."
"au_62930","62930","Water","expense","","False","","au_tax_purchase_0_service","","Cost of water (including excess water) paid by the organization (utilities)."
"au_63110","63110","Travel","expense","","False","","au_tax_purchase_10_service","","Travel expenses for staff (airfares, taxis, tolls, accommodation, and meals)."
"au_63120","63120","Meals & Entertainment","expense","","False","","au_tax_purchase_10_service","","Deductible and non-deductible entertainment costs for staff and special events."
"au_81000","81000","Interest Income","income_other","","False","","","","Interest income earned on unrestricted cash or banked funds, classified as operating funds."
"au_91000","91000","Interest Expense","expense","","False","","","","Interest paid on the organization's debt and loans, including mortgages and overdrafts."
"au_92000","92000","Income Tax Paid","expense","","False","","au_tax_sale_payg_i","","Income tax paid by the organization to the relevant tax authorities."
"au_95000","95000","Fringe Benefits Tax Paid","expense","","False","","au_tax_sale_fbt","","Amount of Fringe Benefits Tax (FBT) paid by the organization for employee benefits."
"au_97000","97000","Luxury Car Tax Paid","expense","","False","","au_tax_sale_lct","","Amount of Luxury Car Tax (LCT) paid by the organization on the purchase of vehicles."
