"id","name","country_id","tax_payable_account_id","tax_receivable_account_id","name@pt"
"tax_group_icms_excl_goods","ICMS Excl.","base.br","account_template_202011003","account_template_102010802","ICMS Excl."
"tax_group_icms_credsn_incl_goods","ICMS CredSN Incl.","base.br","account_template_202011003","account_template_102010802","ICMS CredSN Incl."
"tax_group_icms_credsn_excl_goods","ICMS CredSN Excl.","base.br","account_template_202011003","account_template_102010802","ICMS CredSN Excl."
"tax_group_icms_deson_incl_goods","ICMS Desoneração Incl.","base.br","account_template_202011003","account_template_102010802","ICMS Desoneração Incl."
"tax_group_icms_deson_excl_goods","ICMS Desoneração Excl.","base.br","account_template_202011003","account_template_102010802","ICMS Desoneração Excl."
"tax_group_icms_difa_dest_incl_goods","ICMS DIFA Destinatário Incl.","base.br","account_template_202011003","account_template_102010802","ICMS DIFA Destinatário Incl."
"tax_group_icms_difa_dest_excl_goods","ICMS DIFA Destinatário Excl.","base.br","account_template_202011003","account_template_102010802","ICMS DIFA Destinatário Excl."
"tax_group_icms_difa_fcp_incl_goods","ICMS DIFA FCP Incl.","base.br","account_template_202011003","account_template_102010802","ICMS DIFA FCP Incl."
"tax_group_icms_difa_fcp_excl_goods","ICMS DIFA FCP Excl.","base.br","account_template_202011003","account_template_102010802","ICMS DIFA FCP Excl."
"tax_group_icms_difa_remet_incl_goods","ICMS DIFA Remetente Incl.","base.br","account_template_202011003","account_template_102010802","ICMS DIFA Remetente Incl."
"tax_group_icms_difa_remet_excl_goods","ICMS DIFA Remetente Excl.","base.br","account_template_202011003","account_template_102010802","ICMS DIFA Remetente Excl."
"tax_group_icms_eff_incl_goods","ICMS EFF Incl.","base.br","account_template_202011003","account_template_102010802","ICMS EFF Incl."
"tax_group_icms_eff_excl_goods","ICMS EFF Excl.","base.br","account_template_202011003","account_template_102010802","ICMS EFF Excl."
"tax_group_icms_fcp_incl_goods","ICMS FCP Incl.","base.br","account_template_202011003","account_template_102010802","ICMS FCP Incl."
"tax_group_icms_fcp_excl_goods","ICMS FCP Excl.","base.br","account_template_202011003","account_template_102010802","ICMS FCP Excl."
"tax_group_icms_own_payer_incl_goods","ICMS Próprio Emitente Incl.","base.br","account_template_202011003","account_template_102010802","ICMS Próprio Emitente Incl."
"tax_group_icms_own_payer_excl_goods","ICMS Próprio Emitente Excl.","base.br","account_template_202011003","account_template_102010802","ICMS Próprio Emitente Excl."
"tax_group_icms_part_incl_goods","ICMS Partilha Incl.","base.br","account_template_202011003","account_template_102010802","ICMS Partilha Incl."
"tax_group_icms_part_excl_goods","ICMS Partilha Excl.","base.br","account_template_202011003","account_template_102010802","ICMS Partilha Excl."
"tax_group_icms_rf_incl_goods","ICMS RF Incl.","base.br","account_template_202011003","account_template_102010802","ICMS RF Incl."
"tax_group_icms_rf_excl_goods","ICMS RF Excl.","base.br","account_template_202011003","account_template_102010802","ICMS RF Excl."
"tax_group_icms_st_incl_goods","ICMS ST Incl.","base.br","account_template_202011003","account_template_102010802","ICMS ST Incl."
"tax_group_icms_st_excl_goods","ICMS ST Excl.","base.br","account_template_202011003","account_template_102010802","ICMS ST Excl."
"tax_group_icms_st_fcp_incl_goods","ICMS ST FCP Incl.","base.br","account_template_202011003","account_template_102010802","ICMS ST FCP Incl."
"tax_group_icms_st_fcp_excl_goods","ICMS ST FCP Excl.","base.br","account_template_202011003","account_template_102010802","ICMS ST FCP Excl."
"tax_group_icms_st_fcppart_incl_goods","ICMS ST FCP Partilha Incl.","base.br","account_template_202011003","account_template_102010802","ICMS ST FCP Partilha Incl."
"tax_group_icms_st_fcppart_excl_goods","ICMS ST FCP Partilha Excl.","base.br","account_template_202011003","account_template_102010802","ICMS ST FCP Partilha Excl."
"tax_group_icms_st_part_incl_goods","ICMS ST Partilha Incl.","base.br","account_template_202011003","account_template_102010802","ICMS ST Partilha Incl."
"tax_group_icms_st_part_excl_goods","ICMS ST Partilha Excl.","base.br","account_template_202011003","account_template_102010802","ICMS ST Partilha Excl."
"tax_group_icms_st_sd_incl_goods","ICMS ST SD Incl.","base.br","account_template_202011003","account_template_102010802","ICMS ST SD Incl."
"tax_group_icms_st_sd_excl_goods","ICMS ST SD Excl.","base.br","account_template_202011003","account_template_102010802","ICMS ST SD Excl."
"tax_group_icms_st_sd_fcp_incl_goods","ICMS ST SD FCP Incl.","base.br","account_template_202011003","account_template_102010802","ICMS ST SD FCP Incl."
"tax_group_icms_st_sd_fcp_excl_goods","ICMS ST SD FCP Excl.","base.br","account_template_202011003","account_template_102010802","ICMS ST SD FCP Excl."
"tax_group_ii_incl_goods","II - Imposto de Importação Incl.","base.br","account_template_202011003","account_template_102010802","II - Imposto de Importação Incl."
"tax_group_ii_excl_goods","II - Imposto de Importação Excl.","base.br","account_template_202011003","account_template_102010802","II - Imposto de Importação Excl."
"tax_group_iof_incl_goods","IOF - Imposto sobre Operações Financeiras Incl.","base.br","account_template_202011003","account_template_102010802","IOF - Imposto sobre Operações Financeiras Incl."
"tax_group_iof_excl_goods","IOF - Imposto sobre Operações Financeiras Excl.","base.br","account_template_202011003","account_template_102010802","IOF - Imposto sobre Operações Financeiras Excl."
"tax_group_ipi_incl_goods","IPI Incl.","base.br","account_template_202011003","account_template_102010802","IPI Incl."
"tax_group_ipi_excl_goods","IPI Excl.","base.br","account_template_202011003","account_template_102010802","IPI Excl."
"tax_group_ipi_returned_incl_goods","IPI Retornado Incl.","base.br","account_template_202011003","account_template_102010802","IPI Retornado Incl."
"tax_group_ipi_returned_excl_goods","IPI Retornado Excl.","base.br","account_template_202011003","account_template_102010802","IPI Retornado Excl."
"tax_group_pis_incl_goods","PIS Incl.","base.br","account_template_202011003","account_template_102010802","PIS Incl."
"tax_group_pis_excl_goods","PIS Excl.","base.br","account_template_202011003","account_template_102010802","PIS Excl."
"tax_group_pis_deson_incl_goods","PIS Desoneração Incl.","base.br","account_template_202011003","account_template_102010802","PIS Desoneração Incl."
"tax_group_pis_deson_excl_goods","PIS Desoneração Excl.","base.br","account_template_202011003","account_template_102010802","PIS Desoneração Excl."
"tax_group_pis_st_incl_goods","PIS ST Incl.","base.br","account_template_202011003","account_template_102010802","PIS ST Incl."
"tax_group_pis_st_excl_goods","PIS ST Excl.","base.br","account_template_202011003","account_template_102010802","PIS ST Excl."
"tax_group_aproxtrib_city_incl_services","Approximate Municipal Taxation Incl.","base.br","account_template_202011003","account_template_102010802","Tributação Municipal Aproximada Incl."
"tax_group_aproxtrib_city_excl_services","Approximate Municipal Taxation Incl.","base.br","account_template_202011003","account_template_102010802","Tributação Municipal Aproximada Excl."
"tax_group_pis_rf_incl_services","PIS RF Incl.","base.br","account_template_202011003","account_template_102010802","PIS RF Incl."
"tax_group_pis_rf_excl_services","PIS RF Excl.","base.br","account_template_202011003","account_template_102010802","PIS RF Excl."
"tax_group_cofins_rf_incl_services","COFINS RF Incl.","base.br","account_template_202011003","account_template_102010802","COFINS RF Incl."
"tax_group_cofins_rf_excl_services","COFINS RF Excl.","base.br","account_template_202011003","account_template_102010802","COFINS RF Excl."
"tax_group_csll_incl_services","CSLL Incl.","base.br","account_template_202011003","account_template_102010802","CSLL Incl."
"tax_group_csll_excl_services","CSLL Excl.","base.br","account_template_202011003","account_template_102010802","CSLL Excl."
"tax_group_csll_rf_incl_services","CSLL RF Incl.","base.br","account_template_202011003","account_template_102010802","CSLL RF Incl."
"tax_group_csll_rf_excl_services","CSLL RF Excl.","base.br","account_template_202011003","account_template_102010802","CSLL RF Excl."
"tax_group_iss_incl_services","ISS Incl.","base.br","account_template_202011003","account_template_102010802","ISS Incl."
"tax_group_iss_excl_services","ISS Excl.","base.br","account_template_202011003","account_template_102010802","ISS Excl."
"tax_group_iss_rf_incl_services","ISS RF Incl.","base.br","account_template_202011003","account_template_102010802","ISS RF Incl."
"tax_group_iss_rf_excl_services","ISS RF Excl.","base.br","account_template_202011003","account_template_102010802","ISS RF Excl."
"tax_group_ir_pj_incl_services","IR PJ Incl.","base.br","account_template_202011003","account_template_102010802","IR PJ Incl."
"tax_group_ir_pj_excl_services","IR PJ Excl.","base.br","account_template_202011003","account_template_102010802","IR PJ Excl."
"tax_group_ir_rf_incl_services","IR RF Incl.","base.br","account_template_202011003","account_template_102010802","IR RF Incl."
"tax_group_ir_rf_excl_services","IR RF Excl.","base.br","account_template_202011003","account_template_102010802","IR RF Excl."
"tax_group_cprb_incl_services","CPRB Incl.","base.br","account_template_202011003","account_template_102010802","CPRB Incl."
"tax_group_cprb_excl_services","CPRB Excl.","base.br","account_template_202011003","account_template_102010802","CPRB Excl."
"tax_group_cprb_rf_incl_services","CPRB RF Incl.","base.br","account_template_202011003","account_template_102010802","CPRB RF Incl."
"tax_group_cprb_rf_excl_services","CPRB RF Excl.","base.br","account_template_202011003","account_template_102010802","CPRB RF Excl."
"tax_group_inss_ar_incl_services","INSS AR Incl.","base.br","account_template_202011003","account_template_102010802","INSS AR Incl."
"tax_group_inss_ar_excl_services","INSS AR Excl.","base.br","account_template_202011003","account_template_102010802","INSS AR Excl."
"tax_group_inss_rf_incl_services","INSS RF Incl.","base.br","account_template_202011003","account_template_102010802","INSS RF Incl."
"tax_group_inss_rf_excl_services","INSS RF Excl.","base.br","account_template_202011003","account_template_102010802","INSS RF Excl."
"tax_group_is_incl","IS Incl.","base.br","account_template_202011012","account_template_102010808","IS Incl."
"tax_group_is_spec_incl","IS Specific Incl.","base.br","account_template_202011013","account_template_102010809","IS Espec. Incl."
"tax_group_cbs_incl","CBS Incl.","base.br","account_template_202011014","account_template_102010810","CBS Incl."
"tax_group_ibs_incl","IBS Incl.","base.br","account_template_202011015","account_template_102010811","IBS Incl."
"tax_group_ibs_uf_incl","IBS UF Incl.","base.br","account_template_202011016","account_template_102010812","IBS UF Incl."
"tax_group_ibs_mun_incl","IBS Mun Incl.","base.br","account_template_202011017","account_template_102010813","IBS Mun Incl."
"tax_group_cbs_pc_incl","CBS P. C. Incl.","base.br","account_template_202011018","account_template_102010814","CBS P. C. Incl."
"tax_group_ibs_pc_incl","IBS P. C. Incl.","base.br","account_template_202011019","account_template_102010815","IBS P. C. Incl."
"tax_group_cbs_pc_sc_incl","CBS P. C. S. C. Incl.","base.br","account_template_202011020","account_template_102010816","CBS P. C. S. C. Incl."
"tax_group_ibs_pc_sc_incl","IBS P. C. S. C. Incl.","base.br","account_template_202011021","account_template_102010817","IBS P. C. S. C. Incl."
"tax_group_cbs_r_incl","CBS R. Incl.","base.br","account_template_202011022","account_template_102010818","CBS R. Incl."
"tax_group_ibs_uf_r_incl","IBS UF R. Incl.","base.br","account_template_202011023","account_template_102010819","IBS UF R. Incl."
"tax_group_ibs_m_r_incl","IBS M. R. Incl.","base.br","account_template_202011024","account_template_102010820","IBS M. R. Incl."
"tax_group_cbs_deferred_incl","CBS Deferred Incl.","base.br","account_template_202011025","account_template_102010821","CBS Diferido Incl."
"tax_group_ibs_deferred_incl","IBS Deferred Incl.","base.br","account_template_202011026","account_template_102010822","IBS Diferido Incl."
"tax_group_ibs_uf_deferred_incl","IBS UF Deferred Incl.","base.br","account_template_202011027","account_template_102010823","IBS UF Diferido Incl."
"tax_group_ibs_mun_deferred_incl","IBS Mun Deferred Incl.","base.br","account_template_202011029","account_template_102010824","IBS Mun Diferido Incl."
"tax_group_cbs_sw_incl","CBS S. W. Incl.","base.br","account_template_202011030","account_template_102010825","CBS S. W. Incl."
"tax_group_cbs_pw_incl","CBS P. W. Incl.","base.br","account_template_202011031","account_template_102010826","CBS P. W. Incl."
"tax_group_ibs_sw_incl","IBS S. W. Incl.","base.br","account_template_202011032","account_template_102010827","IBS S. W. Incl."
"tax_group_ibs_pw_incl","IBS P. W. Incl.","base.br","account_template_202011033","account_template_102010828","IBS P. W. Incl."
"tax_group_cbs_returned_incl","CBS Returned Incl.","base.br","account_template_202011034","account_template_102010829","CBS Retornado Incl."
"tax_group_ibs_uf_returned_incl","IBS UF Returned Incl.","base.br","account_template_202011035","account_template_102010830","IBS UF Retornado Incl."
"tax_group_ibs_mun_returned_incl","IBS Mun Returned Incl.","base.br","account_template_202011036","account_template_102010831","IBS Mun Retornado Incl."
"tax_group_cbs_gov_comp_incl","CBS Gov. Comp. Incl.","base.br","account_template_202011037","account_template_102010832","CBS Comp. Gov. Incl."
"tax_group_ibs_uf_gov_comp_incl","IBS UF Gov. Comp. Incl.","base.br","account_template_202011038","account_template_102010833","IBS UF Comp. Gov. Incl."
"tax_group_ibs_mun_gov_comp_incl","IBS Mun. Gov. Comp. Incl.","base.br","account_template_202011092","account_template_102010834","IBS Mun. Comp. Gov. Incl."
"tax_group_ibs_zfm_pc_incl","IBS ZFM P. C. Incl.","base.br","account_template_202011093","account_template_102010835","IBS ZFM C. P. Incl."
"tax_group_cbs_tc_incl","CBS T. C. Incl.","base.br","account_template_202011094","account_template_102010836","CBS C. T. Incl."
"tax_group_ibs_tc_incl","IBS T. C. Incl.","base.br","account_template_202011095","account_template_102010837","IBS C. T. Incl."
"tax_group_is_excl","IS Excl.","base.br","account_template_202011012","account_template_102010808","IS Excl."
"tax_group_is_spec_excl","IS Specific Excl.","base.br","account_template_202011013","account_template_102010809","IS Espec. Excl."
"tax_group_cbs_excl","CBS Excl.","base.br","account_template_202011014","account_template_102010810","CBS Excl."
"tax_group_ibs_excl","IBS Excl.","base.br","account_template_202011015","account_template_102010811","IBS Excl."
"tax_group_ibs_uf_excl","IBS UF Excl.","base.br","account_template_202011016","account_template_102010812","IBS UF Excl."
"tax_group_ibs_mun_excl","IBS Mun Excl.","base.br","account_template_202011017","account_template_102010813","IBS Mun Excl."
"tax_group_cbs_pc_excl","CBS P. C. Excl.","base.br","account_template_202011018","account_template_102010814","CBS P. C. Excl."
"tax_group_ibs_pc_excl","IBS P. C. Excl.","base.br","account_template_202011019","account_template_102010815","IBS P. C. Excl."
"tax_group_cbs_pc_sc_excl","CBS P. C. S. C. Excl.","base.br","account_template_202011020","account_template_102010816","CBS P. C. S. C. Excl."
"tax_group_ibs_pc_sc_excl","IBS P. C. S. C. Excl.","base.br","account_template_202011021","account_template_102010817","IBS P. C. S. C. Excl."
"tax_group_cbs_r_excl","CBS R. Excl.","base.br","account_template_202011022","account_template_102010818","CBS R. Excl."
"tax_group_ibs_uf_r_excl","IBS UF R. Excl.","base.br","account_template_202011023","account_template_102010819","IBS UF R. Excl."
"tax_group_ibs_m_r_excl","IBS M. R. Excl.","base.br","account_template_202011024","account_template_102010820","IBS M. R. Excl."
"tax_group_cbs_deferred_excl","CBS Deferred Excl.","base.br","account_template_202011025","account_template_102010821","CBS Diferido Excl."
"tax_group_ibs_deferred_excl","IBS Deferred Excl.","base.br","account_template_202011026","account_template_102010822","IBS Diferido Excl."
"tax_group_ibs_uf_deferred_excl","IBS UF Deferred Excl.","base.br","account_template_202011027","account_template_102010823","IBS UF Diferido Excl."
"tax_group_ibs_mun_deferred_excl","IBS Mun Deffered Excl.","base.br","account_template_202011029","account_template_102010824","IBS Mun Diferido Excl."
"tax_group_cbs_sw_excl","CBS S. W. Excl.","base.br","account_template_202011030","account_template_102010825","CBS S. W. Excl."
"tax_group_cbs_pw_excl","CBS P. W. Excl.","base.br","account_template_202011031","account_template_102010826","CBS P. W. Excl."
"tax_group_ibs_sw_excl","IBS S. W. Excl.","base.br","account_template_202011032","account_template_102010827","IBS S. W. Excl."
"tax_group_ibs_pw_excl","IBS P. W. Excl.","base.br","account_template_202011033","account_template_102010828","IBS P. W. Excl."
"tax_group_cbs_returned_excl","CBS Returned Excl.","base.br","account_template_202011034","account_template_102010829","CBS Retornado Excl."
"tax_group_ibs_uf_returned_excl","IBS UF Returned Excl.","base.br","account_template_202011035","account_template_102010830","IBS UF Retornado Excl."
"tax_group_ibs_mun_returned_excl","IBS Mun Returned Excl.","base.br","account_template_202011036","account_template_102010831","IBS Mun Retornado Excl."
"tax_group_cbs_gov_comp_excl","CBS Gov. Comp. Excl.","base.br","account_template_202011037","account_template_102010832","CBS Gov. Comp. Excl."
"tax_group_ibs_uf_gov_comp_excl","IBS UF Gov. Comp. Excl.","base.br","account_template_202011038","account_template_102010833","IBS UF Gov. Comp. Excl."
"tax_group_ibs_mun_gov_comp_excl","IBS Mun. Gov. Comp. Excl.","base.br","account_template_202011092","account_template_102010834","IBS Mun. Gov. Comp. Excl."
"tax_group_ibs_zfm_pc_excl","IBS ZFM P. C. Excl.","base.br","account_template_202011093","account_template_102010835","IBS ZFM P. C. Excl."
"tax_group_cbs_tc_excl","CBS T. C. Excl.","base.br","account_template_202011094","account_template_102010836","CBS T. C. Excl."
"tax_group_ibs_tc_excl","IBS T. C. Excl.","base.br","account_template_202011095","account_template_102010837","IBS T. C. Excl."
