"id","name","active","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/use_in_tax_closing","fiscal_position_ids","original_tax_ids","children_tax_ids"
"sg_sale_tax_ds_9","9% DS","True","Deemed - Supplies required to be reported under the GST legislation","9% DS","9","percent","sale","tax_group_9","100","base","invoice","Box 1","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 6","account_account_791","","","",""
"","","","","","","","","","100","base","refund","Box 1","","","","",""
"","","","","","","","","","100","tax","refund","Box 6","account_account_791","","","",""
"sg_sale_tax_os_0","0% OS","False","Out-of-Scope - Supplies outside the scope of the GST Act","0% OS","0","percent","sale","tax_group_oos","100","base","invoice","","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_sale_tax_ng_0","0% NG","False","Supplies from Non GST registered company","0% NG","0","percent","sale","tax_group_supplies","100","base","invoice","","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_purchase_tax_tx8_9","9% TX","True","Standard Rated - Purchases from GST-registered suppliers","9% TX","9","percent","purchase","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_txca_9","9% TXCA","True","Standard-rated purchase of prescribed goods subject to Customer Accounting","9% TXCA","9","percent","none","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_sale_tax_txna_0","0% TXNA","True","Purchases of goods/services with no GST charged as the supplies were made under specific GST schemes","0% TXNA","0","percent","purchase","tax_group_0","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_purchase_tax_zp_0","0% ZP","True","0% Zero-rated Purchases - purchases from GST-registered suppliers that are subject to GST at 0%","0% ZP","0","percent","purchase","tax_group_0","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_purchase_tax_im_9","9% IM","True","Import of Goods - GST paid to Singapore Customs on the import of goods into Singapore","9% IM","9","percent","purchase","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_mes_0","0% ME","False","Major Exporter Scheme (MES) - imports where the GST payable is suspended","0% ME","0","percent","purchase","tax_group_0","100","base","invoice","Box 9||Box 5","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","Box 9||Box 5","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_purchase_tax_igds_9","9% IGDS","False","Import GST Deferment Scheme - Imports where the GST payment is deferred until the filing of the GST return","9% IGDS","9","percent","purchase","tax_group_9","100","base","invoice","Box 5||Box 21","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 7||Box 19","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5||Box 21","","","","",""
"","","","","","","","","","100","tax","refund","Box 7||Box 19","account_account_738","","","",""
"sg_purchase_tax_bl_9","9% BL","True","Disallowed Expenses / Blocked Input Tax - Purchases where GST is incurred but is specifically not claimable","9% BL","9","percent","purchase","tax_group_9","100","base","invoice","","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","","account_account_738","False","","",""
"","","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","","100","tax","refund","","account_account_738","False","","",""
"sg_purchase_tax_nr_0","0% NR","True","Purchases from non-GST registered suppliers","0% NR","0","percent","purchase","tax_group_supplies","100","base","invoice","","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_purchase_tax_ep_0","0% EP","False","Exempt purchases - purchases that are specifically exempted from GST","0% EP","0","percent","purchase","tax_group_exempt","100","base","invoice","","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_purchase_tax_op_0","0% OP","True","Out-of-Scope - supplies outside the scope of the GST Act","0% OP","0","percent","purchase","tax_group_0","100","base","invoice","","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_purchase_tax_txrc_ts_9","9% TXRC-TS","False","Imported services & LVG directly attributable to the making of taxable supplies","9% TXRC-TS","9","percent","none","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_txe33_9","9% TX-ESS","False","Purchases from GST-registered supplies that are subject to GST and are directly attributable to the making of Regulation 33 exempt supplies","9% TX-ESS","9","percent","purchase","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_txrc_ess_9","9% TXRC-ESS","False","Imported services and LVG that are subject to reverse charge and are directly attributable to Regulation 33 exempt supplies","9% TXRC-ESS","9","percent","none","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_im_ess_9","9% IM-ESS","False","Import of goods that are subject to GST and are directly attributable to the making of Regulation 33 exempt supplies","9% IM-ESS","9","percent","purchase","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_txn33_9","9% TX-N33","True","Purchases from GST-registered suppliers that are subject to GST and are directly attributable to the making of Non-Regulation 33 exempt supplies","9% TX-N33","9","percent","purchase","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_txrc_n33_9","9% TXRC-N33","True","Imported services and LVG that are subject to the reverse charge and are directly attibutable to Non-Regulation 33 exempt supplies","9% TXRC-N33","9","percent","none","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_im_n33_9","9% IM-N33","True","Import of goods that are subject to GST and are directly attributaible to the making of Non-Regulation 33 exempt supplies","9% IM-N33","9","percent","purchase","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_txre_9","9% TX-RE","True","Purchases from GST-registered suppliers that are subject to GST and are either attributable to the making of both taxable and exempt supplies or incurred for the overall running of the business","9% TX-RE","9","percent","purchase","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_txrc_re_9","9% TXRC-RE","True","Imported services and LVG that are subject to reverse charge and are either attributable to the making of both taxable and exempt supplies or incurred for the overall running of the business","9% TXRC-RE","9","percent","none","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_purchase_tax_im_re_9","9% IM-RE","True","Import of goods that are subject to GST and are either attributable to the making of both taxable and exempt supplies or incurred for the overall running of the business","9% IM-RE","9","percent","purchase","tax_group_9","100","base","invoice","Box 5","","","l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 7","account_account_738","","","",""
"","","","","","","","","","100","base","refund","Box 5","","","","",""
"","","","","","","","","","100","tax","refund","Box 7","account_account_738","","","",""
"sg_group_tax_rc_srrc_txrc_ts","Reverse Charge - SRRC + TXRC-TS","True","Reverse Charge (Taxable): For Imported services & LVG used entirely for making taxable supplies.","9% SRRC + TXRC-TS","","group","purchase","tax_group_9","","","","","","","l10n_sg_fiscal_position_domestic","","sg_purchase_tax_srrc_9,sg_purchase_tax_txrc_ts_9"
"sg_group_tax_rc_srrc_txrc_ess","Reverse Charge - SRRC + TXRC-ESS","True","Reverse Charge (Reg 33 Exempt): For Imported services & LVG used specifically to make Regulation 33 exempt supplies (e.g., financial services like interest income).","9% SRRC + TXRC-ESS","","group","purchase","tax_group_9","","","","","","","l10n_sg_fiscal_position_domestic","","sg_purchase_tax_srrc_9,sg_purchase_tax_txrc_ess_9"
"sg_group_tax_rc_srrc_txrc_n33","Reverse Charge - SRRC + TXRC-N33","True","Reverse Charge (Non-Reg 33 Exempt): For Imported services & LVG used specifically to make Non-Regulation 33 exempt supplies (e.g., sale or lease of residential property).","9% SRRC + TXRC-N33","","group","purchase","tax_group_9","","","","","","","l10n_sg_fiscal_position_domestic","","sg_purchase_tax_srrc_9,sg_purchase_tax_txrc_n33_9"
"sg_group_tax_rc_srrc_txrc_re","Reverse Charge - SRRC + TXRC-RE","True","Reverse Charge (Mixed): For Imported services & LVG used for both taxable and exempt supplies.","9% SRRC + TXRC-RE","","group","purchase","tax_group_9","","","","","","","l10n_sg_fiscal_position_domestic","","sg_purchase_tax_srrc_9,sg_purchase_tax_txrc_re_9"
"sg_group_tax_ca_srca_c_txca","Customer Accounting - SRCA-C + TXCA","True","Customer Accounting Purchase: Used for local purchases of prescribed goods (e.g., mobile phones, laptops) exceeding S$10,000","9% SRCA-C + TXCA","","group","purchase","tax_group_9","","","","","","","l10n_sg_fiscal_position_domestic","","sg_purchase_tax_srca_c_9,sg_purchase_tax_txca_9"
