id,name,description,type_tax_use,amount_type,amount,sequence,chart_template_id:id
lu_2011_tax_VP-IC-3-n,Vente Prestations 3% - Intracommunautaire (-),VP-IC-3-n,sale,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_VP-IC-0,Vente Prestations 0% - Intracommunautaire,VP-IC-0,sale,percent,0,215,lu_2011_chart_1
lu_2011_tax_VP-IC-EX,Vente Prestations - Intracommunautaire exonérées dans l'état membre,VP-IC-EX,sale,percent,0,501,lu_2011_chart_1
lu_2011_tax_VP-EC-15,Vente Prestations 15% - Extracommunautaire,VP-EC-15,sale,percent,1,311,lu_2011_chart_1
lu_2011_tax_VP-EC-15-p,Vente Prestations 15% - Extracommunautaire (+),VP-EC-15-p,sale,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_VP-EC-15-n,Vente Prestations 15% - Extracommunautaire (-),VP-EC-15-n,sale,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_VP-EC-12,Vente Prestations 12% - Extracommunautaire,VP-EC-12,sale,percent,1,312,lu_2011_chart_1
lu_2011_tax_VP-EC-12-p,Vente Prestations 12% - Extracommunautaire (+),VP-EC-12-p,sale,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_VP-EC-12-n,Vente Prestations 12% - Extracommunautaire (-),VP-EC-12-n,sale,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_VP-EC-6,Vente Prestations 6% - Extracommunautaire,VP-EC-6,sale,percent,1,313,lu_2011_chart_1
lu_2011_tax_VP-EC-6-p,Vente Prestations 6% - Extracommunautaire (+),VP-EC-6-p,sale,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_VP-EC-6-n,Vente Prestations 6% - Extracommunautaire (-),VP-EC-6-n,sale,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_VP-EC-3,Vente Prestations 3% - Extracommunautaire,VP-EC-3,sale,percent,1,314,lu_2011_chart_1
lu_2011_tax_VP-EC-3-p,Vente Prestations 3% - Extracommunautaire (+),VP-EC-3-p,sale,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_VP-EC-3-n,Vente Prestations 3% - Extracommunautaire (-),VP-EC-3-n,sale,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_VP-EC-0,Vente Prestations 0% - Extracommunautaire,VP-EC-0,sale,percent,0,315,lu_2011_chart_1
lu_2011_tax_VP-TR-15,Vente Prestations 15% - Triangulaire,VP-TR-15,sale,percent,1,411,lu_2011_chart_1
lu_2011_tax_VP-TR-15-p,Vente Prestations 15% - Triangulaire (+),VP-TR-15-p,sale,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_VP-TR-15-n,Vente Prestations 15% - Triangulaire (-),VP-TR-15-n,sale,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_VP-TR-12,Vente Prestations 12% - Triangulaire,VP-TR-12,sale,percent,1,412,lu_2011_chart_1
lu_2011_tax_VP-TR-12-p,Vente Prestations 12% - Triangulaire (+),VP-TR-12-p,sale,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_VP-TR-12-n,Vente Prestations 12% - Triangulaire (-),VP-TR-12-n,sale,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_VP-TR-6,Vente Prestations 6% - Triangulaire,VP-TR-6,sale,percent,1,413,lu_2011_chart_1
lu_2011_tax_VP-TR-6-p,Vente Prestations 6% - Triangulaire (+),VP-TR-6-p,sale,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_VP-TR-6-n,Vente Prestations 6% - Triangulaire (-),VP-TR-6-n,sale,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_VP-TR-3,Vente Prestations 3% - Triangulaire,VP-TR-3,sale,percent,1,414,lu_2011_chart_1
lu_2011_tax_VP-TR-3-p,Vente Prestations 3% - Triangulaire (+),VP-TR-3-p,sale,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_VP-TR-3-n,Vente Prestations 3% - Triangulaire (-),VP-TR-3-n,sale,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_V-ART-43,Vente - Autres Exonérations (Article 43),V-ART-43,sale,percent,0,502,lu_2011_chart_1
lu_2011_tax_V-ART-44_58q,Vente - Autres Exonérations (Article 44 et 58 quater),V-ART-44_58q,sale,percent,0,503,lu_2011_chart_1
lu_2011_tax_VP-OPER,Vente Prestations - Opérations réalisées à l'étranger ,VP-OPER,sale,percent,0,504,lu_2011_chart_1
lu_2011_tax_FB-PA-15,Frais Biens 15% - Pays,FB-PA-15,purchase,percent,0.15,121,lu_2011_chart_1
lu_2011_tax_FB-PA-12,Frais Biens 12% - Pays,FB-PA-12,purchase,percent,0.12,122,lu_2011_chart_1
lu_2011_tax_FB-PA-6,Frais Biens 6% - Pays,FB-PA-6,purchase,percent,0.06,123,lu_2011_chart_1
lu_2011_tax_FB-PA-3,Frais Biens 3% - Pays,FB-PA-3,purchase,percent,0.03,124,lu_2011_chart_1
lu_2011_tax_FB-PA-0,Frais Biens 0% - Pays,FB-PA-0,purchase,percent,0,125,lu_2011_chart_1
lu_2011_tax_FB-IC-15,Frais Biens 15% - Intracommunautaire,FB-IC-15,purchase,percent,1,221,lu_2011_chart_1
lu_2011_tax_FB-IC-15-p,Frais Biens 15% - Intracommunautaire (+),FB-IC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_FB-IC-15-n,Frais Biens 15% - Intracommunautaire (-),FB-IC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_FB-IC-12,Frais Biens 12% - Intracommunautaire,FB-IC-12,purchase,percent,1,222,lu_2011_chart_1
lu_2011_tax_FB-IC-12-p,Frais Biens 12% - Intracommunautaire (+),FB-IC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_FB-IC-12-n,Frais Biens 12% - Intracommunautaire (-),FB-IC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_FB-IC-6,Frais Biens 6% - Intracommunautaire,FB-IC-6,purchase,percent,1,223,lu_2011_chart_1
lu_2011_tax_FB-IC-6-p,Frais Biens 6% - Intracommunautaire (+),FB-IC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_FB-IC-6-n,Frais Biens 6% - Intracommunautaire (-),FB-IC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_FB-IC-3,Frais Biens 3% - Intracommunautaire,FB-IC-3,purchase,percent,1,224,lu_2011_chart_1
lu_2011_tax_FB-IC-3-p,Frais Biens 3% - Intracommunautaire (+),FB-IC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_FB-IC-3-n,Frais Biens 3% - Intracommunautaire (-),FB-IC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_FB-IC-0,Frais Biens 0% - Intracommunautaire,FB-IC-0,purchase,percent,0,225,lu_2011_chart_1
lu_2011_tax_FB-EC-15,Frais Biens 15% - Extracommunautaire,FB-EC-15,purchase,percent,1,321,lu_2011_chart_1
lu_2011_tax_FB-EC-15-p,Frais Biens 15% - Extracommunautaire (+),FB-EC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_FB-EC-15-n,Frais Biens 15% - Extracommunautaire (-),FB-EC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_FB-EC-12,Frais Biens 12% - Extracommunautaire,FB-EC-12,purchase,percent,1,322,lu_2011_chart_1
lu_2011_tax_FB-EC-12-p,Frais Biens 12% - Extracommunautaire (+),FB-EC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_FB-EC-12-n,Frais Biens 12% - Extracommunautaire (-),FB-EC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_FB-EC-6,Frais Biens 6% - Extracommunautaire,FB-EC-6,purchase,percent,1,323,lu_2011_chart_1
lu_2011_tax_FB-EC-6-p,Frais Biens 6% - Extracommunautaire (+),FB-EC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_FB-EC-6-n,Frais Biens 6% - Extracommunautaire (-),FB-EC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_FB-EC-3,Frais Biens 3% - Extracommunautaire,FB-EC-3,purchase,percent,1,324,lu_2011_chart_1
lu_2011_tax_FB-EC-3-p,Frais Biens 3% - Extracommunautaire (+),FB-EC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_FB-EC-3-n,Frais Biens 3% - Extracommunautaire (-),FB-EC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_FB-EC-0,Frais Biens 0% - Extracommunautaire,FB-EC-0,purchase,percent,0,325,lu_2011_chart_1
lu_2011_tax_FP-PA-15,Frais Prestations 15% - Pays,FP-PA-15,purchase,percent,0.15,131,lu_2011_chart_1
lu_2011_tax_FP-PA-12,Frais Prestations 12% - Pays,FP-PA-12,purchase,percent,0.12,132,lu_2011_chart_1
lu_2011_tax_FP-PA-6,Frais Prestations 6% - Pays,FP-PA-6,purchase,percent,0.06,133,lu_2011_chart_1
lu_2011_tax_FP-PA-3,Frais Prestations 3% - Pays,FP-PA-3,purchase,percent,0.03,134,lu_2011_chart_1
lu_2011_tax_FP-PA-0,Frais Prestations 0% - Pays,FP-PA-0,purchase,percent,0,135,lu_2011_chart_1
lu_2011_tax_FP-IC-15,Frais Prestations 15% - Intracommunautaire,FP-IC-15,purchase,percent,1,231,lu_2011_chart_1
lu_2011_tax_FP-IC-15-p,Frais Prestations 15% - Intracommunautaire (+),FP-IC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_FP-IC-15-n,Frais Prestations 15% - Intracommunautaire (-),FP-IC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_FP-IC-12,Frais Prestations 12% - Intracommunautaire,FP-IC-12,purchase,percent,1,232,lu_2011_chart_1
lu_2011_tax_FP-IC-12-p,Frais Prestations 12% - Intracommunautaire (+),FP-IC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_FP-IC-12-n,Frais Prestations 12% - Intracommunautaire (-),FP-IC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_FP-IC-6,Frais Prestations 6% - Intracommunautaire,FP-IC-6,purchase,percent,1,233,lu_2011_chart_1
lu_2011_tax_FP-IC-6-p,Frais Prestations 6% - Intracommunautaire (+),FP-IC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_FP-IC-6-n,Frais Prestations 6% - Intracommunautaire (-),FP-IC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_FP-IC-3,Frais Prestations 3% - Intracommunautaire,FP-IC-3,purchase,percent,1,234,lu_2011_chart_1
lu_2011_tax_FP-IC-3-p,Frais Prestations 3% - Intracommunautaire (+),FP-IC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_FP-IC-3-n,Frais Prestations 3% - Intracommunautaire (-),FP-IC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_FP-IC-0,Frais Prestations 0% - Intracommunautaire,FP-IC-0,purchase,percent,0,235,lu_2011_chart_1
lu_2011_tax_FP-EC-15,Frais Prestations 15% - Extracommunautaire,FP-EC-15,purchase,percent,1,331,lu_2011_chart_1
lu_2011_tax_FP-EC-15-p,Frais Prestations 15% - Extracommunautaire (+),FP-EC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_FP-EC-15-n,Frais Prestations 15% - Extracommunautaire (-),FP-EC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_FP-EC-12,Frais Prestations 12% - Extracommunautaire,FP-EC-12,purchase,percent,1,332,lu_2011_chart_1
lu_2011_tax_FP-EC-12-p,Frais Prestations 12% - Extracommunautaire (+),FP-EC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_FP-EC-12-n,Frais Prestations 12% - Extracommunautaire (-),FP-EC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_FP-EC-6,Frais Prestations 6% - Extracommunautaire,FP-EC-6,purchase,percent,1,333,lu_2011_chart_1
lu_2011_tax_FP-EC-6-p,Frais Prestations 6% - Extracommunautaire (+),FP-EC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_FP-EC-6-n,Frais Prestations 6% - Extracommunautaire (-),FP-EC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_FP-EC-3,Frais Prestations 3% - Extracommunautaire,FP-EC-3,purchase,percent,1,334,lu_2011_chart_1
lu_2011_tax_FP-EC-3-p,Frais Prestations 3% - Extracommunautaire (+),FP-EC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_FP-EC-3-n,Frais Prestations 3% - Extracommunautaire (-),FP-EC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_FP-EC-0,Frais Prestations 0% - Extracommunautaire,FP-EC-0,purchase,percent,0,335,lu_2011_chart_1
lu_2011_tax_IB-PA-15,Investissement Biens 15% - Pays,IB-PA-15,purchase,percent,0.15,141,lu_2011_chart_1
lu_2011_tax_IB-PA-12,Investissement Biens 12% - Pays,IB-PA-12,purchase,percent,0.12,142,lu_2011_chart_1
lu_2011_tax_IB-PA-6,Investissement Biens 6% - Pays,IB-PA-6,purchase,percent,0.06,143,lu_2011_chart_1
lu_2011_tax_IB-PA-3,Investissement Biens 3% - Pays,IB-PA-3,purchase,percent,0.03,144,lu_2011_chart_1
lu_2011_tax_IB-PA-0,Investissement Biens 0% - Pays,IB-PA-0,purchase,percent,0,145,lu_2011_chart_1
lu_2011_tax_IB-IC-15,Investissement Biens 15% - Intracommunautaire,IB-IC-15,purchase,percent,1,241,lu_2011_chart_1
lu_2011_tax_IB-IC-15-p,Investissement Biens 15% - Intracommunautaire (+),IB-IC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_IB-IC-15-n,Investissement Biens 15% - Intracommunautaire (-),IB-IC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_IB-IC-12,Investissement Biens 12% - Intracommunautaire,IB-IC-12,purchase,percent,1,242,lu_2011_chart_1
lu_2011_tax_IB-IC-12-p,Investissement Biens 12% - Intracommunautaire (+),IB-IC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_IB-IC-12-n,Investissement Biens 12% - Intracommunautaire (-),IB-IC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_IB-IC-6,Investissement Biens 6% - Intracommunautaire,IB-IC-6,purchase,percent,1,243,lu_2011_chart_1
lu_2011_tax_IB-IC-6-p,Investissement Biens 6% - Intracommunautaire (+),IB-IC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_IB-IC-6-n,Investissement Biens 6% - Intracommunautaire (-),IB-IC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_IB-IC-3,Investissement Biens 3% - Intracommunautaire,IB-IC-3,purchase,percent,1,244,lu_2011_chart_1
lu_2011_tax_IB-IC-3-p,Investissement Biens 3% - Intracommunautaire (+),IB-IC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_IB-IC-3-n,Investissement Biens 3% - Intracommunautaire (-),IB-IC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_IB-IC-0,Investissement Biens 0% - Intracommunautaire,IB-IC-0,purchase,percent,0,245,lu_2011_chart_1
lu_2011_tax_IB-EC-15,Investissement Biens 15% - Extracommunautaire,IB-EC-15,purchase,percent,1,341,lu_2011_chart_1
lu_2011_tax_IB-EC-15-p,Investissement Biens 15% - Extracommunautaire (+),IB-EC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_IB-EC-15-n,Investissement Biens 15% - Extracommunautaire (-),IB-EC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_IB-EC-12,Investissement Biens 12% - Extracommunautaire,IB-EC-12,purchase,percent,1,342,lu_2011_chart_1
lu_2011_tax_IB-EC-12-p,Investissement Biens 12% - Extracommunautaire (+),IB-EC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_IB-EC-12-n,Investissement Biens 12% - Extracommunautaire (-),IB-EC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_IB-EC-6,Investissement Biens 6% - Extracommunautaire,IB-EC-6,purchase,percent,1,343,lu_2011_chart_1
lu_2011_tax_IB-EC-6-p,Investissement Biens 6% - Extracommunautaire (+),IB-EC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_IB-EC-6-n,Investissement Biens 6% - Extracommunautaire (-),IB-EC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_IB-EC-3,Investissement Biens 3% - Extracommunautaire,IB-EC-3,purchase,percent,1,344,lu_2011_chart_1
lu_2011_tax_IB-EC-3-p,Investissement Biens 3% - Extracommunautaire (+),IB-EC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_IB-EC-3-n,Investissement Biens 3% - Extracommunautaire (-),IB-EC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_IB-EC-0,Investissement Biens 0% - Extracommunautaire,IB-EC-0,purchase,percent,0,345,lu_2011_chart_1
lu_2011_tax_IP-PA-15,Investissement Prestations 15% - Pays,IP-PA-15,purchase,percent,0.15,151,lu_2011_chart_1
lu_2011_tax_IP-PA-12,Investissement Prestations 12% - Pays,IP-PA-12,purchase,percent,0.12,152,lu_2011_chart_1
lu_2011_tax_IP-PA-6,Investissement Prestations 6% - Pays,IP-PA-6,purchase,percent,0.06,153,lu_2011_chart_1
lu_2011_tax_IP-PA-3,Investissement Prestations 3% - Pays,IP-PA-3,purchase,percent,0.03,154,lu_2011_chart_1
lu_2011_tax_IP-PA-0,Investissement Prestations 0% - Pays,IP-PA-0,purchase,percent,0,155,lu_2011_chart_1
lu_2011_tax_IP-IC-15,Investissement Prestations 15% - Intracommunautaire,IP-IC-15,purchase,percent,1,251,lu_2011_chart_1
lu_2011_tax_IP-IC-15-p,Investissement Prestations 15% - Intracommunautaire (+),IP-IC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_IP-IC-15-n,Investissement Prestations 15% - Intracommunautaire (-),IP-IC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_IP-IC-12,Investissement Prestations 12% - Intracommunautaire,IP-IC-12,purchase,percent,1,252,lu_2011_chart_1
lu_2011_tax_IP-IC-12-p,Investissement Prestations 12% - Intracommunautaire (+),IP-IC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_IP-IC-12-n,Investissement Prestations 12% - Intracommunautaire (-),IP-IC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
