"parent_id:id","code","sign","id","name"
"account_tax_code_template_70",31,1,"account_tax_code_template_26","Taxe en amont déductible"
"account_tax_code_template_26",27,1,"account_tax_code_template_22","Taxe déclarée comme débiteur"
"account_tax_code_template_26",28,1,"account_tax_code_template_23","Taxe acquittée comme caution solidaire"
"account_tax_code_template_26",29,-1,"account_tax_code_template_24","Taxe non déductible / op. exonérée"
"account_tax_code_template_26",30,-1,"account_tax_code_template_25","Taxe non déductible (art 50)"
"account_tax_code_template_26",23,1,"account_tax_code_template_18","Achat de B. et S. à l'intérieur du pays"
"account_tax_code_template_26",24,1,"account_tax_code_template_19","Acquisitions intracom. de biens"
"account_tax_code_template_26",26,1,"account_tax_code_template_21","Affectations de biens"
"account_tax_code_template_26",25,1,"account_tax_code_template_20","Importations de biens"
"account_tax_code_template_69",70,1,"account_tax_code_template_59","Total Taxe Importation (entr.)"
"account_tax_code_template_69",219,1,"account_tax_code_template_88","Taxe des prestations de services (art.26/1/c et d)"
"account_tax_code_template_69",87,1,"account_tax_code_template_44","Report"
"account_tax_code_template_44",86,1,"account_tax_code_template_43","A reporter"
"account_tax_code_template_43",51,1,"account_tax_code_template_49","Total Taxe intracom."
"account_tax_code_template_49",47,1,"account_tax_code_template_45","Taxe intracom. 15%"
"account_tax_code_template_49",81,1,"account_tax_code_template_53","Base à un taux exonéré"
"account_tax_code_template_49",59,1,"account_tax_code_template_62","Base Importation (privées) 3%"
"account_tax_code_template_49",50,1,"account_tax_code_template_48","Taxe intracom. 12%"
"account_tax_code_template_49",48,1,"account_tax_code_template_46","taxe intracom. 6%"
"account_tax_code_template_49",49,1,"account_tax_code_template_47","Taxe intracom. 3%"
"account_tax_code_template_49",65,1,"account_tax_code_template_58","Taxe Importation (entr.) 12%"
"account_tax_code_template_69",71,1,"account_tax_code_template_68","Total Taxe Importation (privées)"
"account_tax_code_template_58",63,1,"account_tax_code_template_84","Taxe importation (entr.) 6%"
"account_tax_code_template_58",64,1,"account_tax_code_template_57","Taxe Importation (entr.) 3%"
"account_tax_code_template_58",62,1,"account_tax_code_template_56","Taxe Importation (entr.) 15%"
"account_tax_code_template_63",58,1,"account_tax_code_template_61","Base Importation (privées) 6%"
"account_tax_code_template_63",54,1,"account_tax_code_template_52","Base Importation (entr.) 6%"
"account_tax_code_template_63",57,1,"account_tax_code_template_60","Base Importation (privées) 15%"
"account_tax_code_template_63",56,1,"account_tax_code_template_55","Base Importation (entr.) 12%"
"account_tax_code_template_63",55,1,"account_tax_code_template_54","Base Importation (entr.) 3%"
"account_tax_code_template_63",53,1,"account_tax_code_template_51","Base importation (entr.) 15%"
"account_tax_code_template_63",60,1,"account_tax_code_template_85","Base importation (privées.) 12%"
"account_tax_code_template_68",68,1,"account_tax_code_template_66","Taxe Importation (privées) 3%"
"account_tax_code_template_68",69,1,"account_tax_code_template_67","Taxe Importation (privées) 12%"
"account_tax_code_template_68",67,1,"account_tax_code_template_65","Taxe Importation (privées) 6%"
"account_tax_code_template_68",66,1,"account_tax_code_template_64","Taxe Importation (privées) 15%"
"account_tax_code_template_87",89,1,"account_tax_code_template_75","Prestations de services (art. 26) 6%"
"account_tax_code_template_87",88,1,"account_tax_code_template_74","Prestations de services (art. 26) 15%"
"account_tax_code_template_87",91,1,"account_tax_code_template_77","Prestations de services (art. 26) 12%"
"account_tax_code_template_87",90,1,"account_tax_code_template_76","Prestations de services (art. 26) 3%"
"account_tax_code_template_88",94,1,"account_tax_code_template_79","Taxe prestations de services (art. 26) 6%"
"account_tax_code_template_88",93,1,"account_tax_code_template_86","Taxe prestation de services (Art.26) 15%"
"account_tax_code_template_88",96,1,"account_tax_code_template_81","Taxe prestations de services (art. 26) 12%"
"account_tax_code_template_88",95,1,"account_tax_code_template_80","Taxe prestations de services (art. 26) 3%"
"account_tax_code_template_43",41,1,"account_tax_code_template_89",41
"account_tax_code_template_89",40,1,"account_tax_code_template_35","Taxes CA 12%"
"account_tax_code_template_89",83,1,"account_tax_code_template_36","Taxe au taux indéfini"
"account_tax_code_template_89",39,1,"account_tax_code_template_34","Taxe CA 3%"
"account_tax_code_template_89",37,1,"account_tax_code_template_32","Taxe CA 15%"
"account_tax_code_template_89",38,1,"account_tax_code_template_33","Taxe CA 6%"
