"id","parent_id:id","code","sign","name"
"lu_2009_account_tax_code_template_54","lu_2009_account_tax_code_template_63",55,1,"Base Importation (entr.) 3%"
"lu_2009_account_tax_code_template_51","lu_2009_account_tax_code_template_63",53,1,"Base importation (entr.) 15%"
"lu_2009_account_tax_code_template_85","lu_2009_account_tax_code_template_63",60,1,"Base importation (privées.) 12%"
"lu_2009_account_tax_code_template_66","lu_2009_account_tax_code_template_68",68,1,"Taxe Importation (privées) 3%"
"lu_2009_account_tax_code_template_67","lu_2009_account_tax_code_template_68",69,1,"Taxe Importation (privées) 12%"
"lu_2009_account_tax_code_template_65","lu_2009_account_tax_code_template_68",67,1,"Taxe Importation (privées) 6%"
"lu_2009_account_tax_code_template_64","lu_2009_account_tax_code_template_68",66,1,"Taxe Importation (privées) 15%"
"lu_2009_account_tax_code_template_75","lu_2009_account_tax_code_template_87",89,1,"Prestations de services (art. 26) 6%"
"lu_2009_account_tax_code_template_74","lu_2009_account_tax_code_template_87",88,1,"Prestations de services (art. 26) 15%"
"lu_2009_account_tax_code_template_77","lu_2009_account_tax_code_template_87",91,1,"Prestations de services (art. 26) 12%"
"lu_2009_account_tax_code_template_76","lu_2009_account_tax_code_template_87",90,1,"Prestations de services (art. 26) 3%"
"lu_2009_account_tax_code_template_79","lu_2009_account_tax_code_template_88",94,1,"Taxe prestations de services (art. 26) 6%"
"lu_2009_account_tax_code_template_86","lu_2009_account_tax_code_template_88",93,1,"Taxe prestation de services (Art.26) 15%"
"lu_2009_account_tax_code_template_81","lu_2009_account_tax_code_template_88",96,1,"Taxe prestations de services (art. 26) 12%"
"lu_2009_account_tax_code_template_80","lu_2009_account_tax_code_template_88",95,1,"Taxe prestations de services (art. 26) 3%"
"lu_2009_account_tax_code_template_89","lu_2009_account_tax_code_template_43",41,1,41
"lu_2009_account_tax_code_template_35","lu_2009_account_tax_code_template_89",40,1,"Taxes CA 12%"
"lu_2009_account_tax_code_template_36","lu_2009_account_tax_code_template_89",83,1,"Taxe au taux indéfini"
"lu_2009_account_tax_code_template_34","lu_2009_account_tax_code_template_89",39,1,"Taxe CA 3%"
"lu_2009_account_tax_code_template_32","lu_2009_account_tax_code_template_89",37,1,"Taxe CA 15%"
"lu_2009_account_tax_code_template_33","lu_2009_account_tax_code_template_89",38,1,"Taxe CA 6%"
