id,code,name,account_type,tag_ids,reconcile,name@fr
l10n_tn_1514,1514,Provisions for fines and penalties,liability_non_current,,False,Provisions pour amendes et pénalités
l10n_tn_1515,1515,Provisions for foreign exchange losses,liability_non_current,,False,Provisions pour pertes de change
l10n_tn_1518,1518,Other provisions for risks,liability_non_current,,False,Autres provisions pour risques
l10n_tn_1522,1522,Provisions for major repairs,liability_non_current,,False,Provisions pour grosses réparations
l10n_tn_153,153,Provisions for pensions and similar obligations,liability_non_current,,False,Provisions pour retraites et obligations similaires
l10n_tn_154,154,Provisions for regulatory purposes,liability_non_current,,False,Provisions d'origine réglementaire
l10n_tn_155,155,Provisions for taxes,liability_non_current,,False,Provisions pour impôts
l10n_tn_156,156,Provisions for replacement of fixed assets,liability_non_current,,False,Provisions pour renouvellement des immobilisations
l10n_tn_157,157,Provisions for depreciation,liability_non_current,,False,Provisions pour amortissement
l10n_tn_158,158,Other provisions for charges,liability_non_current,,False,Autres provisions pour charges
l10n_tn_1611,1611,Bonds convertible into shares,liability_non_current,,False,Emprunts obligataires convertibles en actions
l10n_tn_1618,1618,Other bonds,liability_non_current,,False,Autres emprunts obligataires
l10n_tn_1621,1621,Bank loans,liability_non_current,,False,Emprunts bancaires
l10n_tn_1626,1626,Acquired refinancing,liability_non_current,,False,Refinancements acquis
l10n_tn_163,163,Borrowings from other financial institutions (secured),liability_non_current,,False,Emprunts auprès d'autres établissements financiers (assorties de sûretés)
l10n_tn_1641,1641,Blocked advances for capital increase,liability_non_current,,False,Avances bloquées pour augmentation du capital
l10n_tn_1642,1642,Advances received and blocked current accounts of partners,liability_non_current,,False,Avances reçues et comptes courants des associes bloques
l10n_tn_1644,1644,Conditional advances from the State and international organisations,liability_non_current,,False,Avances conditionnées de L’État et organismes internationaux
l10n_tn_165,1650,Unsecured loans (to be subdivided according to the order of the loan accounts),liability_non_current,,False,Emprunts non assorties de sûretés (a subdiviser selon l'ordre des comptes des emprunts)
l10n_tn_1661,1661,Debts related to participating interests (group),liability_non_current,,False,Dettes rattachées à des participations (groupe)
l10n_tn_1662,1662,Debts related to participating interests (non-group),liability_non_current,,False,Dettes rattachées à des participations (hors groupe)
l10n_tn_1663,1663,Debts to joint ventures,liability_non_current,,False,Dettes rattachées à des sociétés en participation
l10n_tn_1670,167,Deposits and guarantees received,liability_non_current,,False,Dépôts et cautionnements reçus
l10n_tn_1681,1681,Other loans,liability_non_current,,False,Autres emprunts
l10n_tn_1685,1685,Credit to suppliers of fixed assets,liability_non_current,,False,Crédit fournisseurs d'immobilisations
l10n_tn_1688,1688,Other non-current liabilities,liability_non_current,,False,Autres dettes non courantes
l10n_tn_171,171,Liaison accounts of establishments,liability_non_current,,False,Comptes des liaison des établissements
l10n_tn_176,176,Goods and services exchanged between establishments (expenses),liability_non_current,,False,Biens et prestations de services échangés entre établissements (charges)
l10n_tn_177,177,Goods and services exchanged between establishments (income),liability_non_current,,False,Biens et prestations de services échangés entre établissements (produits)
l10n_tn_185,185,Exchange rate differences on other non-current liabilities,liability_non_current,,False,Écarts de conversion sur autres passifs non courants
l10n_tn_188,188,Other non current liabilities,liability_non_current,,False,Autres passifs non courants
l10n_tn_211,211,Investment in research and development,asset_non_current,,False,Investissement recherche et développement
l10n_tn_212,212,"Concessions of trademarks, patents, licences, brands, processes and similar assets",asset_non_current,,False,"Concessions de marques, brevets, licences, marques, procédés et valeurs similaires"
l10n_tn_213,213,Software,asset_non_current,,False,Logiciels
l10n_tn_214,214,Goodwill,asset_non_current,,False,Fonds commercial
l10n_tn_216,216,Leasehold rights,asset_non_current,,False,Droit au bail
l10n_tn_218,218,Other intangible assets,asset_non_current,,False,Autres immobilisations incorporelles
l10n_tn_2213,2213,Bare land,asset_fixed,,False,Terrains nus
l10n_tn_2214,2214,Developed land,asset_fixed,,False,Terrains amenagés
l10n_tn_2215,2215,Built land,asset_fixed,,False,Terrains bâtis
l10n_tn_2216,2216,Land improvements and fittings,asset_fixed,,False,Agencements et aménagements des terrains
l10n_tn_2221,2221,Buildings,asset_fixed,,False,Bâtiments
l10n_tn_2225,2225,"General installations, fittings and improvements to buildings",asset_fixed,,False,"Installations générales, agencements et aménagements des constructions"
l10n_tn_2226,2226,Infrastructure works,asset_fixed,,False,Ouvrages d'infrastructure
l10n_tn_2227,2227,Buildings on non-building land,asset_fixed,,False,Constructions sur sol d'autrui
l10n_tn_2231,2231,Technical installations,asset_fixed,,False,Installations techniques
l10n_tn_2234,2234,Industrial equipment,asset_fixed,,False,Matériel industriel
l10n_tn_2235,2235,Industrial tools,asset_fixed,,False,Outillage industriel
l10n_tn_2237,2237,Fixtures and fittings for industrial equipment and tools,asset_fixed,,False,Agencements et aménagements du matériel et outillage industriels
l10n_tn_2241,2241,Equipment for the transport of goods,asset_fixed,,False,Matériel de transport de biens
l10n_tn_2244,2244,Equipment for the transport of persons,asset_fixed,,False,Matériel de transport de personnes
l10n_tn_2281,2281,"General installations, fixtures and fittings",asset_fixed,,False,"Installations générales, agencements et aménagements divers"
l10n_tn_2282,2282,Office equipment,asset_fixed,,False,Équipement de bureau
l10n_tn_2286,2286,Identifiable recoverable packaging,asset_fixed,,False,Emballages récupérables identifiables
l10n_tn_231,231,Intangible assets in progress,asset_non_current,,False,Immobilisations incorporelles en cours
l10n_tn_232,232,Tangible assets in progress,asset_fixed,,False,Immobilisations corporelles en cours
l10n_tn_237,237,Advances and deposits paid on intangible assets,asset_non_current,,False,Avances et acomptes verses sur immobilisations incorporelles
l10n_tn_238,238,Advances and deposits paid on orders for tangible fixed assets,asset_fixed,,False,Avances et acomptes verses sur commandes d'immobilisations corporelles
l10n_tn_24,24,Fixed assets with special legal status,asset_non_current,,False,Immobilisations à statut juridique particulier
l10n_tn_2511,2511,Shares in participating interests,asset_non_current,,False,Actions de titres de participation
l10n_tn_2518,2518,Other equity securities,asset_non_current,,False,Autres titres de participation
l10n_tn_256,256,Other forms of participation,asset_non_current,,False,Autres formes de participation
l10n_tn_2571,2571,Receivables from participating interests (group),asset_non_current,,False,Créances rattachées à des participations (groupe)
l10n_tn_2574,2574,Receivables from participations (non-group),asset_non_current,,False,Créances rattachées à des participations (hors groupe)
l10n_tn_2575,2575,Payments representing non-capitalised contributions (call for funds),asset_non_current,,False,Versements représentatifs d'apports non capitalises (appel de fonds)
l10n_tn_2576,2576,Consolidatable advances,asset_non_current,,False,Avances consolidables
l10n_tn_2577,2577,Other receivables from participating interests,asset_non_current,,False,Autres créances rattachées à des participations
l10n_tn_258,258,Receivables from joint ventures,asset_non_current,,False,Créances rattachées à des sociétés en participation
l10n_tn_259,259,Payments outstanding on unpaid equity securities,asset_non_current,,False,Versements restant à effectuer sur titres de participation non libérés
l10n_tn_2611,2611,Shares in fixed assets,asset_non_current,,False,Actions de titres immobilisés
l10n_tn_2618,2618,Other long-term securities,asset_non_current,,False,Autres titres immobilisés
l10n_tn_2621,2621,Bonds,asset_non_current,,False,Obligations
l10n_tn_2622,2622,Bonds,asset_non_current,,False,Bons
l10n_tn_2641,2641,Equity loans,asset_non_current,,False,Prêts participatifs
l10n_tn_2642,2642,Loans to partners,asset_non_current,,False,Prêts aux associes
l10n_tn_2643,2643,Loans to employees,asset_non_current,,False,Prêts au personnel
l10n_tn_2645,2645,Secured loans (to be subdivided),asset_non_current,,False,Prêts assortis de sûretés (a subdiviser)
l10n_tn_2648,2648,Other loans,asset_non_current,,False,Autres prêts
l10n_tn_2651,2651,Deposits,asset_non_current,,False,Dépôts
l10n_tn_2655,2655,Guarantees,asset_non_current,,False,Cautionnements
l10n_tn_2656,2656,Non-current bank deposits,asset_non_current,,False,Dépôts bancaires non courants
l10n_tn_2658,2658,Other deposits and guarantees paid,asset_non_current,,False,Autres dépôts et cautionnements versés
l10n_tn_2661,2661,Fixed assets,asset_non_current,,False,Créances immobilisées
l10n_tn_2667,2667,Other receivables,asset_non_current,,False,Créances diverses
l10n_tn_2668,2668,Other non-current receivables,asset_non_current,,False,Autres créances non courantes
l10n_tn_269,269,Outstanding payments on fixed assets not paid up,asset_non_current,,False,Versements restant à effectuer sur titres immobilisés non libérés
l10n_tn_271,271,Preliminary expenses,asset_non_current,,False,Frais préliminaires
l10n_tn_272,272,Deferred charges,asset_non_current,,False,Charges à répartir
l10n_tn_273,273,Issuance costs and loan redemption premiums,asset_non_current,,False,Frais d’émission et primes de remboursement des emprunts
l10n_tn_275,275,Exchange rate differences on other non-current assets,asset_non_current,,False,Écarts de conversion sur autres actifs non courants
l10n_tn_278,278,Other non-current assets,asset_non_current,,False,Autres actifs non courants
l10n_tn_281,281,Amortisation of intangible assets (same breakdown as for account 21),asset_non_current,,False,Amortissements des immobilisations incorporelles (même ventilation que celle du compte 21)
l10n_tn_282,282,Depreciation of tangible fixed assets (same breakdown as for account 22),asset_non_current,,False,Amortissements des immobilisations corporelles (même ventilation que celle du compte 22)
l10n_tn_284,284,Depreciation of assets with special legal status,asset_non_current,,False,Amortissements des immobilisations à statut juridique particulier
l10n_tn_291,291,Provisions for depreciation of intangible assets (same breakdown as for account 21),asset_non_current,,False,Provisions pour dépréciation des immobilisations incorporelles (même ventilation que celle du compte 21)
l10n_tn_292,292,Provisions for depreciation of tangible assets (same breakdown as for account 22),asset_non_current,,False,Provisions pour dépréciation des immobilisations corporelles (même ventilation que celle du compte 22)
l10n_tn_2931,2931,Provisions for depreciation of intangible assets under construction,asset_non_current,,False,Provisions pour dépréciation des immobilisations en cours d'immobilisations incorporelles
l10n_tn_2932,2932,Provisions for impairment of tangible assets under construction,asset_non_current,,False,Provisions pour dépréciation des immobilisations en cours d'immobilisations corporelles
l10n_tn_294,294,Provisions for impairment of assets with special legal status,asset_non_current,,False,Provisions pour dépréciation des immobilisations à statut juridique particulier
l10n_tn_295,295,Provisions for impairment of participating interests and receivables related to participating interests (same breakdown as for account 25),asset_non_current,,False,Provisions pour dépréciation des participations et des créances liées à des participations (même ventilation que celle du compte 25)
l10n_tn_296,296,Provisions for impairment of other financial assets (same breakdown as for account 26),asset_non_current,,False,Provisions pour dépréciation des autres immobilisations financières (même ventilation que celle du compte 26)
l10n_tn_311,311,Raw materials,asset_current,,False,Matières premières
l10n_tn_313,313,Supplies,asset_current,,False,Fournitures
l10n_tn_317,317,Other raw materials and related supplies,asset_current,,False,Autres matières premières et fournitures liées
l10n_tn_321,321,Consumable materials,asset_current,,False,Matières consommables
l10n_tn_322,322,Consumable supplies,asset_current,,False,Fournitures consommables
l10n_tn_326,326,Packaging,asset_current,,False,Emballages
l10n_tn_327,327,Other supplies,asset_current,,False,Autres approvisionnements
l10n_tn_331,331,Products in progress,asset_current,,False,Produits en cours
l10n_tn_335,335,Works in progress,asset_current,,False,Travaux en cours
l10n_tn_341,341,Studies in progress,asset_current,,False,Études en cours
l10n_tn_345,345,Services in progress,asset_current,,False,Prestations de services en cours
l10n_tn_351,351,Intermediate products,asset_current,,False,Produits intermédiaires
l10n_tn_355,355,Finished goods,asset_current,,False,Produits finis
l10n_tn_357,357,Residual products,asset_current,,False,Produits résiduels
l10n_tn_37,37,Inventories of goods,asset_current,,False,Stocks de marchandises
l10n_tn_39,39,Provisions for depreciation of inventories (to be broken down according to the nomenclature of this class),asset_current,,False,Provisions pour dépréciation des stocks (a ventiler selon la nomenclature de cette classe)
l10n_tn_4011,4011,Suppliers - Purchase of goods and services,liability_payable,,True,Fournisseurs - Achats de biens et prestations de services
l10n_tn_4017,4017,Suppliers - Holdbacks,liability_payable,,True,Fournisseurs - Retenues de garantie
l10n_tn_403,403,Operating suppliers - Notes payable,liability_payable,,True,Fournisseurs d'exploitation  - Effets à payer
l10n_tn_4041,4041,Suppliers - Purchases of fixed assets,liability_payable,,True,Fournisseurs - Achats d'immobilisations
l10n_tn_4047,4047,Suppliers of fixed assets - Holdbacks,liability_payable,,True,Fournisseurs d'immobilisations - Retenues de garantie
l10n_tn_405,405,Fixed Asset Suppliers - Notes Payable,liability_payable,,True,Fournisseurs d'immobilisations - Effets à payer
l10n_tn_4081,4081,Operating suppliers,liability_payable,,True,Fournisseurs d'exploitation
l10n_tn_4084,4084,Fixed assets suppliers,liability_payable,,True,Fournisseurs d'immobilisations
l10n_tn_4088,4088,Suppliers - Accrued interest,liability_payable,,True,Fournisseurs - Intérêts courus
l10n_tn_4091,4091,Suppliers - Advances and deposits paid on orders,liability_payable,,True,Fournisseurs - Avances et acomptes verses sur commandes
l10n_tn_4096,4096,Suppliers - Receivables for packaging and materials to be returned,liability_payable,,True,Fournisseurs - Créances pour emballages et matériel à rendre
l10n_tn_40971,40971,Operating suppliers,liability_payable,,True,Fournisseurs d'exploitation
l10n_tn_40974,40974,Suppliers of fixed assets,liability_payable,,True,Fournisseurs d'immobilisations
l10n_tn_4098,4098,"Discounts, rebates, refunds and other credits not yet received",liability_payable,,True,"Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus"
l10n_tn_4111,4111,Customers - Sales of goods or services,asset_receivable,,True,Clients - Ventes de biens ou de prestations de services
l10n_tn_4117,4117,Customers - Holdbacks,asset_receivable,,True,Clients - Retenues de garantie
l10n_tn_413,413,Customers - Bills receivable,asset_receivable,,True,Clients - Effets à recevoir
l10n_tn_416,416,Doubtful or disputed customers,asset_receivable,,True,Clients douteux ou litigieux
l10n_tn_417,417,Receivables on work not yet billable,asset_receivable,,True,Créances sur travaux non encore facturables
l10n_tn_4181,4181,Invoices to be issued,asset_receivable,,True,Factures à établir
l10n_tn_4188,4188,Accrued interest,asset_receivable,,True,Intérêts courus
l10n_tn_4191,4191,Customers - Advances and deposits received on orders,asset_receivable,,True,Clients - Avances et acomptes reçus sur commandes
l10n_tn_4196,4196,Customers - Payables for packaging and deposit materials,asset_receivable,,True,Clients - Dettes pour emballages et matériel consignés
l10n_tn_4197,4197,Customers - Other credit notes,asset_receivable,,True,Clients - Autres avoirs
l10n_tn_4198,4198,"Discounts, rebates, refunds and other credit notes to be issued",asset_receivable,,True,"Rabais, remises, ristournes à accorder et autres avoirs à établir"
l10n_tn_421,421,Personnel - Advances and deposits,liability_current,,False,Personnel - Avances et acomptes
l10n_tn_422,422,Works councils and other staff representative bodies,liability_current,,False,Comités d'entreprises et autres organes représentatifs du personnel
l10n_tn_423,423,"Staff, social works",liability_current,,False,"Personnel, œuvres sociales"
l10n_tn_425,425,Staff - Remuneration due,liability_current,,False,Personnel - Rémunérations dues
l10n_tn_426,426,Staff - Deposits,liability_current,,False,Personnel - Dépôts
l10n_tn_427,427,Staff - Objections,liability_current,,False,Personnel - Oppositions
l10n_tn_4282,4282,Accrued holiday payables,liability_current,,False,Dettes provisionnées pour congés à payer
l10n_tn_4286,4286,Other accrued charges,liability_current,,False,Autres charges à payer
l10n_tn_4287,4287,Accrued income,liability_current,,False,Produits à recevoir
l10n_tn_431,431,Government - Grants receivable,liability_current,,False,État - Subventions à recevoir
l10n_tn_432,432,"State, withholding taxes",liability_current,,False,"État, Impôts et taxes retenus à la source"
l10n_tn_433,433,"Special transactions with the State, public authorities, international organisations",liability_current,,False,"Opérations particulières avec L’État, les collectivités publiques, les organismes internationaux"
l10n_tn_4341,4341,Withholding tax,liability_current,,False,Retenue à la source
l10n_tn_4342,4342,Instalments,liability_current,,False,Acomptes provisionnels
l10n_tn_4343,4343,Tax to be settled,liability_current,,False,Impôt à liquider
l10n_tn_4349,4349,Deferred taxes,liability_current,,False,Impôts différés
l10n_tn_435,435,Guaranteed bonds,liability_current,,False,Obligations cautionnées
l10n_tn_43651,43651,VAT payable,liability_current,,False,TVA à payer
l10n_tn_43658,43658,Other turnover taxes,liability_current,,False,Autres taxes sur le chiffre d'affaires
l10n_tn_43662,43662,VAT on fixed assets,asset_current,,False,TVA sur immobilisations
l10n_tn_43663,43663,VAT transferred from other enterprises,asset_current,,False,TVA transférée par d'autres entreprises
l10n_tn_43666,43666,VAT on other goods and services,asset_current,,False,TVA sur autres biens et services
l10n_tn_43667,43667,VAT credit to be carried forward,asset_current,,False,Crédit de TVA à reporter
l10n_tn_43668,43668,Other taxes on turnover,asset_current,,False,Autres taxes sur le chiffre d'affaires
l10n_tn_43671,43671,VAT collected,liability_current,,False,TVA collectée
l10n_tn_43678,43678,Other taxes on turnover,liability_current,,False,Autres taxes sur le chiffre d'affaires
l10n_tn_4368,4368,Turnover taxes to be regularised or pending,liability_current,,False,Taxes sur le chiffre d'affaires à régulariser ou en attente
l10n_tn_437,437,Other taxes and similar payments,liability_current,,False,"Autres impôts, taxes et versements assimiles"
l10n_tn_4371,4371,Stamp duty collected,liability_current,,False,Droit de timbre collecté
l10n_tn_4382,4382,Tax expenses on holidays to be paid,liability_current,,False,Charges fiscales sur congés à payer
l10n_tn_4386,4386,Other accrued expenses,liability_current,,False,Autres charges à payer
l10n_tn_4387,4387,Accrued income,asset_current,,False,Produits à recevoir
l10n_tn_4411,4411,Group - Receivables and accrued interest,asset_current,,False,Groupe - Créances et intérêts courus
l10n_tn_4412,4412,Group - Payables and accrued interest,liability_current,,False,Groupe - Dettes et intérêts à payer
l10n_tn_4421,4421,Associates - Principal,liability_current,,False,Associés - Principal
l10n_tn_4428,4428,Associates - Accrued interest,liability_current,,False,Associés - Intérêts courus
l10n_tn_446,446,Associates - Capital transactions,liability_current,,False,Associés - Opérations sur le capital
l10n_tn_447,447,Associates - Dividends payable,liability_current,,False,Associés - Dividendes à payer
l10n_tn_4481,4481,Associates - Current transactions,liability_current,,False,Associés - Opérations courantes
l10n_tn_4488,4488,Associates - Accrued interest,liability_current,,False,Associés - Intérêts courus
l10n_tn_452,452,Receivables on disposal of fixed assets,asset_current,,False,Créances sur cessions d'immobilisations
l10n_tn_45311,45311,Social organisations - CNSS,liability_current,,False,Organismes sociaux - CNSS
l10n_tn_45318,45318,Social organisations - Other,liability_current,,False,Organismes sociaux - Autres
l10n_tn_45382,45382,Social security bodies - Social security charges on leave payable,liability_current,,False,Organismes sociaux - Charges sociales sur congés à payer
l10n_tn_45387,45387,Social security bodies - Accrued income,asset_current,,False,Organismes sociaux - Produits à recevoir
l10n_tn_454,454,Debts on acquisitions of marketable securities,liability_current,,False,Dettes sur acquisitions de valeurs mobilières de placement
l10n_tn_455,455,Receivables on sales of marketable securities,asset_current,,False,Créances sur cessions de valeurs mobilières de placement
l10n_tn_457,457,Other accounts receivable or payable,liability_current,,False,Autres comptes débiteurs ou créditeurs
l10n_tn_4586,4586,Various accrued charges,liability_current,,False,Diverses charges à payer
l10n_tn_4587,4587,Various accrued income,asset_current,,False,Divers produits à recevoir
l10n_tn_461,461,Suspense account,asset_current,,False,Compte d'attente
l10n_tn_4651,4651,Exchange rate differences on assets,asset_current,,False,Différences de conversion actif
l10n_tn_4652,4652,Exchange rate differences on liabilities,liability_current,,False,Différences de conversion passif
l10n_tn_468,468,Other transitory accounts,liability_current,,False,Autres comptes transitoires
l10n_tn_471,471,Prepaid expenses,liability_current,,False,Charges constatées d'avance
l10n_tn_472,472,Deferred income,asset_current,,False,Produits constates d'avance
l10n_tn_4786,4786,Periodic expense allocation accounts,liability_current,,False,Comptes de répartition périodique de charges
l10n_tn_4787,4787,Accounts for periodic distribution of income,asset_current,,False,Comptes de répartition périodique de produits
l10n_tn_48,48,Current provisions for risks and charges,liability_current,,False,Provisions courantes pour risques et charges
l10n_tn_491,491,Provisions for impairment of trade receivables,liability_current,,False,Provisions pour dépréciation des comptes clients
l10n_tn_4941,4941,Provisions for impairment of group accounts,liability_current,,False,Provisions pour dépréciation des comptes du groupe
l10n_tn_4942,4942,Provisions for depreciation of partners' current accounts,liability_current,,False,Provisions pour dépréciation des comptes courants des associés
l10n_tn_4948,4948,Provisions for depreciation of joint ventures,liability_current,,False,Provisions pour dépréciation des pérations faites en commun
l10n_tn_4952,4952,Receivables on disposal of fixed assets,liability_current,,False,Créances sur cession d'immobilisation
l10n_tn_4955,4955,Receivables on disposal of marketable securities,liability_current,,False,Créances sur cession des valeurs mobilières de placement
l10n_tn_4957,4957,Other accounts receivable,liability_current,,False,Autres comptes débiteurs
l10n_tn_501,501,Current loans related to the operating cycle,liability_current,,False,Emprunts courants lies au cycle d'exploitation
l10n_tn_505,505,Maturities of non-current loans at less than one year,liability_current,,False,Échéances à moins d'un an sur emprunts non courants
l10n_tn_5061,5061,Credit for mobilisation of trade receivables,liability_current,,False,Crédit de mobilisation de créances commerciales
l10n_tn_5063,5063,Mobilisation of receivables arising abroad,liability_current,,False,Mobilisation de créances nées à l’étranger
l10n_tn_5067,5067,Other bank loans,liability_current,,False,Autres concours bancaires
l10n_tn_507,507,Matured and unpaid loans,liability_current,,False,Emprunts échus et impayés
l10n_tn_508,508,Accrued interest (to be subdivided according to the same breakdown as account 50),liability_current,,False,Intérêts courus (a subdiviser selon la même ventilation que le compte 50)
l10n_tn_511,511,Current loans related to the operating cycle,asset_current,,False,Prêts courants lies au cycle d'exploitation
l10n_tn_516,516,Non-current loans due within one year,asset_current,,False,Échéances à moins d'un an sur prêts non courants
l10n_tn_517,517,Current maturities of other financial receivables,asset_current,,False,Échéances à moins d'un an sur autres créances financières
l10n_tn_518,518,Accrued interest,asset_current,,False,Intérêts courus
l10n_tn_5231,5231,Listed securities on shares,liability_current,,False,Titres cotés sur actions
l10n_tn_5235,5235,Unlisted securities on shares,liability_current,,False,Titres non cotés sur actions
l10n_tn_524,524,Other securities with property rights,liability_current,,False,Autres titres conférant un droit de propriété
l10n_tn_525,525,Bonds and notes issued and redeemed by the company,liability_current,,False,Obligations et bons émis par la société et rachetés par elle
l10n_tn_5261,5261,Listed securities on bonds,liability_current,,False,Titres cotés sur obligations
l10n_tn_5265,5265,Unlisted securities on bonds,liability_current,,False,Titres non cotés sur obligations
l10n_tn_5266,5266,Maturities within one year on fixed-interest securities,liability_current,,False,Échéances à moins d'un an sur les obligations immobilisées
l10n_tn_527,527,Short-term treasury bills and notes,liability_current,,False,Bons du trésor et bons de caisse à court terme
l10n_tn_5281,5281,Other securities,liability_current,,False,Autres valeurs mobilières
l10n_tn_5288,5288,Accrued interest on bonds and similar securities,liability_current,,False,Intérêts courus sur obligations  bons et valeurs assimilées
l10n_tn_529,529,Payments outstanding on unpaid marketable securities,liability_current,,False,Versements restant à effectuer sur valeurs mobilières de placement non libérées
l10n_tn_5311,5311,Coupons due for collection,asset_cash,,False,Coupons échus à l'encaissement
l10n_tn_5312,5312,Cheques to be cashed,asset_cash,,False,Chèques à encaisser
l10n_tn_5313,5313,Bills of exchange for collection,asset_cash,,False,Effets à l'encaissement
l10n_tn_5314,5314,Bills for discounting,asset_cash,,False,Effets à l'escompte
l10n_tn_5324,5324,Foreign currency accounts,asset_cash,,False,Comptes en devises
l10n_tn_534,534,CCP,asset_cash,,False,CCP
l10n_tn_535,535,Treasury accounts,asset_cash,,False,Comptes au trésor
l10n_tn_537,537,Other financial institutions,asset_cash,,False,Autres organismes financiers
l10n_tn_5411,5411,Cash in dinars,asset_cash,,False,Caisse en dinars
l10n_tn_5414,5414,Cash in foreign currencies,asset_cash,,False,Caisse en devises
l10n_tn_542,542,Branch offices,asset_cash,,False,Caisses succursales
l10n_tn_55,55,Imprest accounts and letters of credit,asset_cash,,False,Régies d'avances et accréditifs
l10n_tn_58,58,Internal transfers,asset_current,,False,Virements internes
l10n_tn_59,59,Provisions for depreciation of financial accounts (Same breakdown as class 5 accounts),liability_current,,False,Provisions pour dépréciation des comptes financiers (Même ventilation que les comptes de la classe 5)
l10n_tn_601,601,Stocked purchases - Raw materials and related supplies,expense,account.account_tag_operating,False,Achats stockés - Matières premières et fournitures liées
l10n_tn_6021,6021,Stocked purchases - consumables,expense,account.account_tag_operating,False,Achats stockés - Matières consommables
l10n_tn_6022,6022,Purchases in stock - Consumable supplies,expense,account.account_tag_operating,False,Achats stockés - Fournitures consommables
l10n_tn_6026,6026,Purchases in stock - Packaging,expense,account.account_tag_operating,False,Achats stockés - Emballages
l10n_tn_6031,6031,Change in stocks of raw materials (and supplies),expense,account.account_tag_operating,False,Variation des stocks de matières premières (et fournitures)
l10n_tn_6032,6032,Change in stocks of other supplies,expense,account.account_tag_operating,False,Variation des stocks des autres approvisionnements
l10n_tn_6037,6037,Change in stocks of goods,expense,account.account_tag_operating,False,Variation des stocks de marchandises
l10n_tn_604,604,Purchases of studies and services (including purchases of production subcontractors),expense,account.account_tag_operating,False,Achats d’études et de prestations de services (y compris achat de sous-traitance de production)
l10n_tn_605,605,"Purchases of materials, equipment and works",expense,account.account_tag_operating,False,"Achats de matériel, équipements et travaux"
l10n_tn_606,606,Non-stock purchases of materials and supplies,expense,account.account_tag_operating,False,Achats non stockes de matières et fournitures
l10n_tn_607,607,Purchases of goods,expense,account.account_tag_operating,False,Achats de marchandises
l10n_tn_608,608,Purchases related to an accounting change to be taken into account in the result of the period or to a discontinued activity,expense,account.account_tag_operating,False,Achats liés à une modification comptable à prendre en compte dans le résultat de l'exercice ou à une activité abandonnée
l10n_tn_609,609,"Discounts, rebates and refunds obtained on purchases",expense,account.account_tag_operating,False,"Rabais, remises et ristournes obtenus sur achats"
l10n_tn_611,611,General subcontracting,expense,account.account_tag_operating,False,Sous-traitance générale
