"id","code_prefix_start","code_prefix_end","name","name@ar_001"
"lb_group_145","6792","6792","Provision for diminution in value financial Fixed Assets","حكم لتناقص قيمة الأصول المالية الثابتة"
"lb_group_146","6794","6794","Provision for diminution in value securities placements","حكم لتناقص قيمة إيداعات الأوراق المالية"
"lb_group_147","6795","6795","Provision for risks & financial charges","أحكام المخاطر والرسوم المالية"
"lb_group_148","6810","6810","Net book value of Fixed Assets disposed","صافي القيمة الدفترية للأصول الثابتة التي تم التصرف فيها"
"lb_group_149","6811","6811","Net book value of disposed intangible fixed assets","صافي القيمة الدفترية للأصول الثابتة غير الملموسة المتصرف فيها"
"lb_group_150","6812","6812","Net Book value of disposed tangible fixed assets","صافي القيمة الدفترية للأصول الثابتة الملموسة المتصرف فيها"
"lb_group_151","6815","6815","Net Book value of disposed financial fixed assets","صافي القيمة الدفترية للأصول المالية الثابتة المتصرف فيها"
"lb_group_152","6851","6851","Charges on administrative operations","رسوم العمليات الإدارية"
"lb_group_153","6855","6855","Charges on capital operations","رسوم العمليات الرأسمالية"
"lb_group_154","6880","6880","Losses exceptional events","خسائر الأحداث الاستثنائية"
"lb_group_155","6890","6890","Depreciation & provisions non-operating","الإهلاك والمخصصات غير التشغيلية"
"lb_group_156","6891","6891","Exceptional depreciation of fixed assets","الإهلاك الاستثنائي للأصول الثابتة"
"lb_group_157","6892","6892","Provision for exceptional diminution in prices","حكم الانخفاض الاستثنائي في الأسعار"
"lb_group_158","6895","6895","Provisions for risks & charges non-operational","أحكام المخاطر والرسوم غير التشغيلية"
"lb_group_159","6901","6901","Income tax on profit","ضريبة الدخل على الأرباح"
"lb_group_160","6905","6905","Tax due in Lebanon","الضريبة المستحقة الدفع في لبنان"
"lb_group_161","7010","7010","Sales of merchandises","مبيعات البضائع"
"lb_group_162","7090","7090","Discount & Allowances allowed","الخصم والبدلات المسموح بها"
"lb_group_163","7110","7110","Sales of production","مبيعات الإنتاج"
"lb_group_164","7111","7111","Sales of manufactured goods","مبيعات البضائع المصنّعة"
"lb_group_165","7112","7112","Sales of by-products items","مبيعات المنتجات الثانوية"
"lb_group_166","7113","7113","Sales of scrap","مبيعات مخلفات التصنيع"
"lb_group_167","7120","7120","Sales of works","مبيعات الأشغال"
"lb_group_168","7130","7130","Revenue of services","إيرادات الخدمات"
"lb_group_169","7170","7170","Proceeds from ancillary activities","عائدات الأنشطة الإضافية"
"lb_group_170","7171","7171","Proceeds from ancillary activities","عائدات الأنشطة الإضافية"
"lb_group_171","7172","7172","Proceeds from ancillary activities - workshop","عائدات الأنشطة الإضافية - ورشة عمل"
"lb_group_172","7173","7173","Proceeds from ancillary activities - services","عائدات الأنشطة الإضافية - الخدمات"
"lb_group_173","7190","7190","Discount & allowances allowed","الخصم والبدلات المسموح بها"
"lb_group_174","7191","7191","Discount & allowances allowed - Production","الخصومات والبدلات المسموح بها - الإنتاج"
"lb_group_175","7192","7192","Discount & allowances allowed - Works","الخصومات والبدلات المسموح بها - الأشغال"
"lb_group_176","7193","7193","Discount & allowances allowed - Services","الخصومات والبدلات المسموح بها - الخدمات"
"lb_group_177","7210","7210","Works in process (variation)","الأعمال قيد التنفيذ (متنوعة)"
"lb_group_178","7211","7211","Production in process","الإنتاج قيد التنفيذ"
"lb_group_179","7212","7212","Works in progress","العمل قيد التنفيذ"
"lb_group_180","7220","7220","Studies & services in progress (variation)","الدراسات والخدمات قيد التنفيذ (متنوعة)"
"lb_group_181","7225","7225","Studies in progress","الدراسات قيد التنفيذ"
"lb_group_182","7226","7226","Services in progress","الخدمات قيد التنفيذ"
"lb_group_183","7250","7250","Produced items (variation)","العناصر التي تم إنتاجها (متنوعة)"
"lb_group_184","7251","7251","By products items","عناصر المنتجات الثانوية"
"lb_group_185","7255","7255","Manufactured goods","البضائع المصنّعة"
"lb_group_186","7258","7258","Scrap","مخلفات التصنيع"
"lb_group_187","7310","7310","Production of Intangible fixed assets","إنتاج الأصول الثابتة غير الملموسة"
"lb_group_188","7320","7320","Production of Tangible fixed assets","إنتاج الأصول الثابتة الملموسة"
"lb_group_189","7410","7410","Operating subsidies related to products","الدعم التشغيلي المتعلق بالمنتجات"
"lb_group_190","7420","7420","Operating subsidies related to production","الدعم التشغيلي المتعلق بالإنتاج"
"lb_group_191","7520","7520","Write-back diminution in value of fixed assets","إرجاع التناقص في قيمة الأصول الثابتة"
"lb_group_192","7521","7521","Write-back diminution value of intangible fixed assets","إرجاع قيمة التناقص في الأصول الثابتة غير الملموسة"
"lb_group_193","7522","7522","Write-back diminution value of tangible fixed assets","إرجاع قيمة التناقص في الأصول الثابتة الملموسة"
"lb_group_194","7530","7530","Write-back diminution value of current assets","إرجاع قيمة تناقص الأصول المتداولة"
"lb_group_195","7533","7533","Write-back diminution in value of stock","إرجاع النقصان في قيمة المخزون بعد استرجاعه"
"lb_group_196","7534","7534","Write-back diminution in value of doubtful debts","إرجاع النقصان في قيمة الديون المشكوك في تحصيلها"
"lb_group_197","7550","7550","Returned provision in risks - charges exploitation","الأحكام المستردة في المخاطر - استغلال الرسوم"
"lb_group_198","7551","7551","Returned provision in risks - charges exploitation","الأحكام المستردة في المخاطر - استغلال الرسوم"
"lb_group_199","7552","7552","Returned provision in charges many years","الأحكام المستردة في الرسوم لسنوات عديدة"
"lb_group_200","7610","7610","Ordinary income","الدخل العادي"
"lb_group_201","7611","7611","Royalties patents licenses trademarks know-how","الإتاوات براءات الاختراع التراخيص العلامات التجارية المعرفة"
"lb_group_202","7612","7612","Rent income","إيرادات الإيجار"
"lb_group_203","7613","7613","Director's attendance fees & allowances","رسوم وبدلات حضور المدير العام"
"lb_group_204","7615","7615","Income deferred resulting from exploitation","الدخل المؤجل الناتج عن الاستغلال"
"lb_group_205","7619","7619","Allocation of operating expenses","تخصيص نفقات التشغيل"
"lb_group_206","7650","7650","Joint venture income","إيرادات المشاريع المشتركة"
"lb_group_207","7651","7651","Joint venture income net transfers allocated charges","صافي إيرادات المشاريع المشتركة والرسوم المخصّصة"
"lb_group_208","7655","7655","Joint venture income net attributions","صافي إيرادات المشاريع المشتركة"
"lb_group_209","7710","7710","Revenues from equity participations","الإيرادات من المشاركات في حقوق الملكية"
"lb_group_210","7720","7720","Revenues from other blocked equity","الإيرادات من حقوق الملكية الأخرى المحجوبة"
"lb_group_211","7730","7730","Interest & similar revenues","الفوائد والإيرادات المماثلة"
"lb_group_212","7751","7751","Difference on exchange current operations","الفرق في عمليات الصرف الجارية"
"lb_group_213","7755","7755","Difference on exchange capital","فرق رأس المال المتداول"
"lb_group_214","7780","7780","Other financial income","مصادر الدخل المالية الأخرى"
"lb_group_215","7781","7781","Net Income on sale of security placement","صافي الإيرادات من بيع الأوراق المالية المودعة"
"lb_group_216","7789","7789","Allocation of financial charges","تخصيص الرسوم المالية"
"lb_group_217","7790","7790","Write-back of financial charges","استرداد الرسوم المالية"
"lb_group_218","7793","7793","Write-back of provisions for diminution of values","إرجاع أحكام تناقص القيم"
"lb_group_219","7794","7794","Write-back of provisions for diminution of bills","إرجاع أحكام تناقص الفواتير"
"lb_group_220","7795","7795","Write-back of provisions for risks & charges","إرجاع أحكام المخاطر والرسوم"
"lb_group_221","7811","7811","Revenues from intangible Fixed Assets disposals","إيرادات التصرف في الأصول الثابتة غير الملموسة"
"lb_group_222","7812","7812","Revenues from tangible Fixed Assets disposals","إيرادات التصرف في الأصول الثابتة الملموسة"
"lb_group_223","7815","7815","Revenues from financial Fixed Assets disposals","إيرادات التصرف في الأصول المالية الثابتة"
"lb_group_224","7819","7819","Charges from Fixed Assets disposals","رسوم التصرف في الأصول الثابتة"
"lb_group_225","7820","7820","Investment subsidies transferred to profit & loss","تحويل إعانات الاستثمار إلى الأرباح والخسائر"
"lb_group_226","7880","7880","Other non-operating revenues","الإيرادات غير التشغيلية الأخرى"
"lb_group_227","7881","7881","Exceptional revenues on business operation","إيرادات استثنائية من العمليات التجارية"
"lb_group_228","7888","7888","Other revenue on exceptional capital operations","الإيرادات الأخرى من العمليات الرأسمالية الاستثنائية"
"lb_group_229","7889","7889","Allocation of exceptional charges","تخصيص الرسوم الاستثنائية"
"lb_group_230","7890","7890","Write-back of non-operating provisions","استرداد المخصصات غير التشغيلية"
"lb_group_231","7891","7891","Write-back of provision for diminution in values","إرجاع حكم تناقص القيمة"
"lb_group_232","7895","7895","Write-back of provision of risks & charges","إرجاع أحكام المخاطر والرسوم"
"lb_group_233","8100","8100","Accounts external to accounting Dr. (Hors Bilan)","الحسابات الخارجية للمحاسبة Dr. (Hors Bilan)"
"lb_group_234","9000","9000","Accounts external to accounting Cr. (Hors Bilan)","الحسابات الخارجية للمحاسبة Cr. (Hors Bilan)"
