id,code,description
l10n_ro_saft_tax_type_484,484,"The insurative contribution for labour, due by employers who carry out the activity in the field of constructions according to art. 60 point 5 of Law no. 227/2015 on the Fiscal Code"
l10n_ro_saft_tax_type_485,485,Social insurance contributions due by insured persons on the basis of an insurance contract
l10n_ro_saft_tax_type_486,486,Social insurance contribution for agriculture (art.60 pct. 7 from Fiscal Code)
l10n_ro_saft_tax_type_500,500,Tax on gambling
l10n_ro_saft_tax_type_501,501,Tax on gambling in advance or monthly during gambling license availability
l10n_ro_saft_tax_type_502,502,Periodically regulated tax on gambling according to income within reporting time
l10n_ro_saft_tax_type_503,503,Gambling social stamp tax
l10n_ro_saft_tax_type_504,504,"Periodically regulated annual gambling authorization fee, according to income"
l10n_ro_saft_tax_type_510,510,Duty for organizing and operating gambling activities due until 01.01.2014
l10n_ro_saft_tax_type_511,511,Gambling license duty for lottery games
l10n_ro_saft_tax_type_512,512,Gambling license duty for totalizator
l10n_ro_saft_tax_type_513,513,Gambling license duty for fixed odds betting
l10n_ro_saft_tax_type_514,514,Gambling license duty for casino activities
l10n_ro_saft_tax_type_515,515,Gambling license duty for slot-machines
l10n_ro_saft_tax_type_516,516,Gambling license duty for bingo halls
l10n_ro_saft_tax_type_517,517,Gambling license duty for TV bingo games
l10n_ro_saft_tax_type_518,518,Authorization duty for operating gambling for lottery games
l10n_ro_saft_tax_type_519,519,Authorization duty for operating gambling for totalizator
l10n_ro_saft_tax_type_520,520,Authorization duty for operating gambling for fixed odds betting
l10n_ro_saft_tax_type_521,521,Authorization duty for operating gambling for casino activities
l10n_ro_saft_tax_type_522,522,Authorization duty for operating gambling for slot-machines
l10n_ro_saft_tax_type_523,523,Authorization duty for operating gambling for bingo halls
l10n_ro_saft_tax_type_524,524,Authorization duty for operating gambling for TV bingo games
l10n_ro_saft_tax_type_535,535,Gambling access fee
l10n_ro_saft_tax_type_536,536,Duty for obtaining license for organizing gambling activities
l10n_ro_saft_tax_type_537,537,Annual duty for obtaining authorization for operating gambling games
l10n_ro_saft_tax_type_538,538,Special fee for video lottery
l10n_ro_saft_tax_type_539,539,Addiction fee for slotmachine gaming features
l10n_ro_saft_tax_type_540,540,Administrative fees for applying for a license for remote gambling
l10n_ro_saft_tax_type_541,541,"Monthly fee calculated on the total participation fees collected monthly, due by the organizers of online gambling, provided in GEO 77/2009 on the organization and operation of gambling"
l10n_ro_saft_tax_type_551,551,Fee owed to the Romanian Olympic and Sports Committee
l10n_ro_saft_tax_type_552,552,Fee owed to the Romanian Paralympic Committee
l10n_ro_saft_tax_type_600,600,Income tax
l10n_ro_saft_tax_type_601,601,Income tax from independent services
l10n_ro_saft_tax_type_602,602,Payroll taxes
l10n_ro_saft_tax_type_603,603,Tax on property and granting property
l10n_ro_saft_tax_type_604,604,Tax on dividends for natural persons
l10n_ro_saft_tax_type_605,605,Interest tax
l10n_ro_saft_tax_type_606,606,Liquidation / dissolution without liquidation of a legal person income tax
l10n_ro_saft_tax_type_607,607,Pensions income tax
l10n_ro_saft_tax_type_608,608,Financial awards income tax
l10n_ro_saft_tax_type_609,609,Transfer of ownership of securities income tax
l10n_ro_saft_tax_type_610,610,Regularizations
l10n_ro_saft_tax_type_611,611,Intellectual property income tax
l10n_ro_saft_tax_type_612,612,"Tax on incomes obtained in Romania by non-residents - individuals, collected up to 31/01/2014"
l10n_ro_saft_tax_type_613,613,Tax on income from agricultural activities
l10n_ro_saft_tax_type_614,614,"Tax on income from the sale of assets in a consignment and from activities carried out under an agent contract, commission or commercial mandate"
l10n_ro_saft_tax_type_615,615,"Tax on income from accounting, technical, judicial and extrajudicial expertise"
l10n_ro_saft_tax_type_616,616,Tax on income from activities performed under contracts / civil agreements concluded according to the Civil Code and agent contracts
l10n_ro_saft_tax_type_617,617,"Tax on income from sale operations - buying foreign currency, other than those with financial instruments traded on authorized markets"
l10n_ro_saft_tax_type_618,618,Tax on income from commercial activities - tax on income based on conventions / civil contracts concluded according to the Civil Code
l10n_ro_saft_tax_type_619,619,Leasing agricultural goods income tax
l10n_ro_saft_tax_type_620,620,Transfer of real estates from the personal property income tax
l10n_ro_saft_tax_type_621,621,Gambling income tax
l10n_ro_saft_tax_type_622,622,"Income tax for individuals' income from an association with a taxpayer legal entity, according to Title II of the Fiscal Code"
l10n_ro_saft_tax_type_623,623,"Income tax on natural persons' income from an association with a taxable legal person, according to title III of the Fiscal Code"
l10n_ro_saft_tax_type_624,624,"Tax on incomes obtained by individuals from an association with a taxpayer legal entity, according to Law no. 170/2016"
l10n_ro_saft_tax_type_625,625,Tax on incomes realized by natural persons from independent activity realized on the basis of sports activity contracts.
l10n_ro_saft_tax_type_626,626,"Advance payments of the tax for some incomes from independent activities, as well as for incomes from other sources provided in art. 114 para. (2) lit. k ^ 1) of Law 227/2015"
l10n_ro_saft_tax_type_631,631,Tax on income from dividends obtained in Romania by non-residents
l10n_ro_saft_tax_type_632,632,Tax on income from interests obtained in Romania by non-residents
l10n_ro_saft_tax_type_633,633,Tax on income from royalties obtained in Romania by non-residents
l10n_ro_saft_tax_type_634,634,Tax on income from commissions obtained in Romania by non-residents
l10n_ro_saft_tax_type_635,635,Tax on income obtained in Romania by non-residents from sports and entertainment activities
l10n_ro_saft_tax_type_636,636,Tax on income from services provided in Romania and outside Romania by non-residents
l10n_ro_saft_tax_type_637,637,Tax on income obtained by non-residents individuals from financial award granted at contests held in Romania
l10n_ro_saft_tax_type_638,638,Tax on income obtained from gambling in Romania by non-residents
l10n_ro_saft_tax_type_639,639,Tax on income obtained by liquidation of a legal person by non-residents
l10n_ro_saft_tax_type_640,640,"Tax on income representing remunerations received by non-resident legal persons who act as administrator, founder or member of a board of directors of a Romanian legal person"
l10n_ro_saft_tax_type_641,641,Tax on income from the transfer of fiduciary patrimony from the fiduciary to non-resident beneficiary
l10n_ro_saft_tax_type_642,642,Tax on income from the transfer of securities and operations with derivative financial instruments
l10n_ro_saft_tax_type_675,675,Income tax related to the Unique Declaration
l10n_ro_saft_tax_type_690,690,Tax on income from other sources
l10n_ro_saft_tax_type_699,699,Payroll Taxes (residual)
l10n_ro_saft_tax_type_701,701,Property tax
l10n_ro_saft_tax_type_708,708,Contribution to the energy transition fund
l10n_ro_saft_tax_type_709,709,Solidarity contribution
l10n_ro_saft_tax_type_710,710,Natural gas and oil intern production tax
l10n_ro_saft_tax_type_711,711,Tax on additional income obtained as a result of the natural gas prices deregulation
l10n_ro_saft_tax_type_712,712,"Tax on income from exploitation activities of natural resources, others than natural gas"
l10n_ro_saft_tax_type_713,713,Tax on natural monopoly of the energy and natural gas sectors
l10n_ro_saft_tax_type_720,720,Tax on nocive activities to human health
l10n_ro_saft_tax_type_721,721,Penalties not paid on time
l10n_ro_saft_tax_type_725,725,Tax and tariffs on the issuing of licenses and operation authorizations
l10n_ro_saft_tax_type_730,730,"Share of the income realized by the Romanian legal persons provided at art. 2, letter a) from the OG no. 47/1998 regarding the establishment and use of the Special Fund of civil aviation"
l10n_ro_saft_tax_type_735,735,"Share applied to the monthly wages fund, including monthly gainings achieved by individuals (art. 53/OUG no. 102/1999)"
l10n_ro_saft_tax_type_740,740,Social stamp tax on the value of imported new vehicles with engine capacity of more than 2000 cm3
l10n_ro_saft_tax_type_750,750,"Tax on prospecting, exploration, resource exploitation"
l10n_ro_saft_tax_type_751,751,Directed income from the flat tax on automotive fuels delivered internally by producers as well as automotive fuels consumed and imported by them
l10n_ro_saft_tax_type_752,752,Refund for advanced state judicial expenses
l10n_ro_saft_tax_type_753,753,Income from the recovery of payments in advance for state legal expenses from non-residents
l10n_ro_saft_tax_type_754,754,Compensation related to the right of passage (tool-tax) in exchange for the limitations brought to the right of use
l10n_ro_saft_tax_type_755,755,Mining royalties
l10n_ro_saft_tax_type_756,756,Oil royalties
l10n_ro_saft_tax_type_757,757,Other revenues from concessions and rentals of Public Institutions
l10n_ro_saft_tax_type_758,758,"Royalties from concessions contracts, lease and other efficient exploitation of agricultural land contracts"
l10n_ro_saft_tax_type_759,759,Compensation for all damages caused by the exercise of the right of passage
l10n_ro_saft_tax_type_760,760,Development tax included in the tariff of electricity and heating
l10n_ro_saft_tax_type_761,761,Judicial stamp taxes
l10n_ro_saft_tax_type_762,762,Incomes from judicial stamp
l10n_ro_saft_tax_type_763,763,Tax on financial aassets
l10n_ro_saft_tax_type_765,765,Income from the application of the extinctive prescription
l10n_ro_saft_tax_type_770,770,Income tax from higher education institutions
l10n_ro_saft_tax_type_771,771,Income from custom benefits tax
l10n_ro_saft_tax_type_772,772,Consular fees
l10n_ro_saft_tax_type_773,773,"Income from technical, judicial and extrajudicial expertise"
l10n_ro_saft_tax_type_774,774,Income from provision of services
l10n_ro_saft_tax_type_776,776,"Car pollution tax, compensated/ refunded"
l10n_ro_saft_tax_type_777,777,Fees and other income from environmental protection
l10n_ro_saft_tax_type_778,778,Payments from public institutions' liquidities and self-financed activities
l10n_ro_saft_tax_type_779,779,Special taxes for cars and vehicles at first registration in Romania
l10n_ro_saft_tax_type_780,780,Payments from net profit of autonomous administrations
l10n_ro_saft_tax_type_781,781,Dividends paid to the state budget by central public authorities
l10n_ro_saft_tax_type_790,790,"Authorization fees for marketing alcohol, alcoholic beverages, tobacco and coffee"
l10n_ro_saft_tax_type_791,791,Environmental stamp
l10n_ro_saft_tax_type_810,810,Payments from legal persons for unqualified disabled people
l10n_ro_saft_tax_type_811,811,Amounts payable due to special protection and qualification of disabled people
l10n_ro_saft_tax_type_814,814,Income tax deducted shares
l10n_ro_saft_tax_type_820,820,Contribution to public education
l10n_ro_saft_tax_type_825,825,Individual contribution to the state budget (pensions for military personel)
l10n_ro_saft_tax_type_830,830,Contribution by tourism undertakings
l10n_ro_saft_tax_type_840,840,Collections from redemption of loans granted for arrears coverage toward CONEL and ROMGAZ
l10n_ro_saft_tax_type_850,850,Custom duties from legal persons
l10n_ro_saft_tax_type_910,910,Revenues from fines and other penalties imposed by other specialized institutions
l10n_ro_saft_tax_type_911,911,Income for state social insurance budget from fines and other penalties imposed under legal provisions
l10n_ro_saft_tax_type_912,912,Revenues from fines and other penalties imposed by the Directorate General for Tax Fraud
l10n_ro_saft_tax_type_913,913,Income from fines applied to non-residents
l10n_ro_saft_tax_type_915,915,"Collections from retained share, according to the Penal Code"
l10n_ro_saft_tax_type_916,916,Refunds from budget financing of previous years
l10n_ro_saft_tax_type_920,920,Penalties for failure to file or late filing of the declaration of taxes
l10n_ro_saft_tax_type_921,921,Penalties due to scheduled payments
l10n_ro_saft_tax_type_922,922,Income from compensations
l10n_ro_saft_tax_type_923,923,"Collections from the sale of seized, abandoned goods and other amounts identified with the appropriate seizure law"
l10n_ro_saft_tax_type_924,924,Court fines
l10n_ro_saft_tax_type_925,925,Increases due to revenue not paid on time
l10n_ro_saft_tax_type_926,926,"Other fines, penalties and confiscations"
l10n_ro_saft_tax_type_927,927,Non-tax fileing penalties
l10n_ro_saft_tax_type_930,930,Tax on profits earned from illicit commercial activities or from not respecting the laws regarding consumer protection
l10n_ro_saft_tax_type_931,931,Other direct tax collection
l10n_ro_saft_tax_type_932,932,"Encashments from the capitalization of confiscated, abandoned goods and other amounts ascertained together with the confiscation according to the law"
l10n_ro_saft_tax_type_933,933,"Encashments from the capitalization of confiscated, abandoned goods and other amounts ascertained together with the confiscation according to the law by the General Directorate for Fiscal Antifraud"
l10n_ro_saft_tax_type_940,940,Quarterly contribution for financing health services expenses
l10n_ro_saft_tax_type_941,941,Contribution to health services expenses for domestic tobacco production
l10n_ro_saft_tax_type_942,942,Contribution to health services expenses for imported tobacco products
l10n_ro_saft_tax_type_943,943,Contribution to health services expenses for intern alcoholic beverages products production
l10n_ro_saft_tax_type_944,944,Contribution to health services expenses for imported alcoholic beverages
l10n_ro_saft_tax_type_945,945,Contribution to health services expenses from publicity activities on tobacco and alcoholic beverages products
l10n_ro_saft_tax_type_946,946,"Quarterly contribution to medications covered from the National Fund of Health Insurance and from the Ministry of Health's budget, outstanding at 1 October 2011"
l10n_ro_saft_tax_type_947,947,Available from cars emission tax
l10n_ro_saft_tax_type_950,950,Income from capitalization of public goods
l10n_ro_saft_tax_type_951,951,Amounts of debt collection from undue rights
l10n_ro_saft_tax_type_952,952,"Income from recovery of court fees, imputations and compensations"
l10n_ro_saft_tax_type_953,953,Other incomes from capitalization of assets
l10n_ro_saft_tax_type_954,954,Amounts from the recovery of debts arising from undue income related to the state budget
l10n_ro_saft_tax_type_955,955,Hedge fund
l10n_ro_saft_tax_type_956,956,Revenue from the recovery of the State Aids
l10n_ro_saft_tax_type_957,957,Income from expenses recovery incurred in the process of foreclosure
l10n_ro_saft_tax_type_958,958,Amounts from the recovery of debts arising from undue rights related to the public pension system
l10n_ro_saft_tax_type_959,959,Amounts from the recovery of debts arising from undue rights related to the insurance system for accidents at work and occupational diseases
l10n_ro_saft_tax_type_960,960,Payments from salary reduction
l10n_ro_saft_tax_type_961,961,Income from commission charged by territorial labor inspectorates due until 31 December 2010
l10n_ro_saft_tax_type_970,970,Other income
l10n_ro_saft_tax_type_971,971,Income from guarantees granted and paid to credit institutions within <PRIMA CASA> program
l10n_ro_saft_tax_type_972,972,Receivables recovered by joint liability
l10n_ro_saft_tax_type_981,981,Refund of budgetary financing of previous years - SB
l10n_ro_saft_tax_type_982,982,Refund of budgetary financing of previous years - BCAS
l10n_ro_saft_tax_type_983,983,Refund of budgetary financing of previous years - BSAN
l10n_ro_saft_tax_type_984,984,Refund of budgetary financing of previous years - BSOM
l10n_ro_saft_tax_type_985,985,Receivables compensation SB
l10n_ro_saft_tax_type_986,986,Receivables compensation CAS (contributions to the social health fund)
l10n_ro_saft_tax_type_987,987,Receivables compensation CASS (contributions to the social welfare found)
l10n_ro_saft_tax_type_988,988,Receivables compensation SOMAJ (unemployment contributions)
l10n_ro_saft_tax_type_990,990,Amounts representing income tax and social contributions due by individuals being distributed
l10n_ro_saft_tax_type_991,991,Single account for non-residents
l10n_ro_saft_tax_type_992,992,"State budget income collected in the single account, ongoing distribution"
l10n_ro_saft_tax_type_993,993,"Social insurance income budget collected in the single account, ongoing distribution"
