"id","name","description","invoice_label","l10n_es_type","l10n_es_bien_inversion","l10n_es_exempt_reason","tax_scope"
"account_tax_template_s_irpf195a","Retenciones a cuenta 19,5% (Arrendamientos)","","","retencion","","",""
"account_tax_template_p_irpf19","Retenciones IRPF 19%","","","retencion","","",""
"account_tax_template_p_irpf20a","Retenciones 20% (Arrendamientos)","","","retencion","","",""
"account_tax_template_p_irpf18","Retenciones IRPF 18%","","","retencion","","",""
"account_tax_template_p_irpf19a","Retenciones 19% (Arrendamientos)","","","retencion","","",""
"account_tax_template_p_irpf195a","Retenciones 19,5% (Arrendamientos)","","","retencion","","",""
"account_tax_template_p_irpf7","Retenciones IRPF 7%","","","retencion","","",""
"account_tax_template_p_irpf9","Retenciones IRPF 9%","","","retencion","","",""
"account_tax_template_p_irpf24","Retenciones IRPF 14%","","","retencion","","",""
"account_tax_template_s_irpf20","Retenciones a cuenta IRPF 20%","","","retencion","","",""
"account_tax_template_s_irpf20a","Retenciones a cuenta 20% (Arrendamientos)","","","retencion","","",""
"account_tax_template_s_irpf24","Retenciones a cuenta IRPF 24%","","","retencion","","",""
"account_tax_template_p_iva12_agr","12% IVA Soportado régimen agricultura","","","sujeto_agricultura","","",""
"account_tax_template_p_iva105_gan","10,5% IVA Soportado régimen ganadero o pesca","","","","","",""
"account_tax_template_s_iva0_e","IVA 0% Exportaciones","","","exento","","E2","consu"
"account_tax_template_s_iva0_ic","IVA 0% Entregas Intracomunitarias exentas","","","exento","","E5","consu"
"account_tax_template_p_req014","1.4% Recargo Equivalencia Compras","","","recargo","","",""
"account_tax_template_p_req05","0.50% Recargo Equivalencia Compras","","","recargo","","",""
"account_tax_template_p_req52","5.2% Recargo Equivalencia Compras","","","recargo","","",""
"account_tax_template_s_irpf1","Retenciones a cuenta IRPF 1%","","","retencion","","",""
"account_tax_template_s_irpf2","Retenciones a cuenta IRPF 2%","","","retencion","","",""
"account_tax_template_s_irpf21","Retenciones a cuenta IRPF 21%","","","retencion","","",""
"account_tax_template_s_irpf21a","Retenciones a cuenta 21% (Arrendamientos)","","","retencion","","",""
"account_tax_template_s_irpf7","Retenciones a cuenta IRPF 7%","","","retencion","","",""
"account_tax_template_s_irpf15","Retenciones a cuenta IRPF 15%","","","retencion","","",""
"account_tax_template_p_irpf1","Retenciones IRPF 1%","","","retencion","","",""
"account_tax_template_p_irpf15","Retenciones IRPF 15%","","","retencion","","",""
"account_tax_template_p_irpf21t","Retenciones IRPF (Trabajadores)","","","retencion","","",""
"account_tax_template_p_iva10_sp_in","IVA 10% Adquisición de servicios intracomunitarios","","","retencion","","",""
"account_tax_template_p_iva4_sp_in","IVA 4% Adquisición de servicios intracomunitarios","","","retencion","","",""
"account_tax_template_p_irpf21te","Retenciones IRPF (Trabajadores) en especie","","","retencion","","",""
"account_tax_template_p_irpf20","Retenciones IRPF 20%","","","retencion","","",""
"account_tax_template_p_irpf21a","Retenciones 21% (Arrendamientos)","","","retencion","","",""
"account_tax_template_p_irpf21p","Retenciones IRPF 21%","","","retencion","","",""
"account_tax_template_p_irpf2","Retenciones IRPF 2%","","","retencion","","",""
"account_tax_template_s_iva0_isp","IVA 0% Venta con Inversión del Sujeto Pasivo","","","sujeto_isp","","",""
"account_tax_template_p_iva4_isp","IVA 4% Compra con Inversión del Sujeto Pasivo Nacional","","","sujeto_isp","","",""
"account_tax_template_p_iva10_isp","IVA 10% Compra con Inversión del Sujeto Pasivo Nacional","","","sujeto_isp","","",""
"account_tax_template_p_iva21_isp","IVA 21% Compra con Inversión del Sujeto Pasivo Nacional","","","sujeto_isp","","",""
"account_tax_template_p_rp19","Retenciones 19% (préstamos)","","","retencion","","",""
"account_tax_template_p_rrD19","Retenciones 19% (reparto de dividendos)","","","retencion","","",""
