id,code,name,name@ar
l10n_eg_activity_type_0322,0322,River farms,المزارع النهرية
l10n_eg_activity_type_0411,0411,Earn a job,كسب عمل
l10n_eg_activity_type_0412,0412,Income from government agencies salaries,ايرادات من مرتبات جهات حكوميه
l10n_eg_activity_type_0413,0413,Income and salaries from the public business sector,إيرادات ومرتبات من قطاع الاعمال العام
l10n_eg_activity_type_0414,0414,Income and salaries from the private sector,ايرادات ومرتبات من قطاع خاص
l10n_eg_activity_type_0415,0415,Income and salary from non-subject entities,ايرادات ومرتبات من جهات غير خاضعه
l10n_eg_activity_type_0416,0416,Inspection and sting,تفتيش ودمغة
l10n_eg_activity_type_0441,0441,Income of agricultural lands,ايرادالاراضي الزراعيه
l10n_eg_activity_type_0442,0442,Revenue from constructed real estate,ايراد العقارات المبنيه
l10n_eg_activity_type_0444,0444,Income of real estate activities,ايراد الانشطه العقاريه
l10n_eg_activity_type_0451,0451,Errand stamp,دمغة مأمورية
l10n_eg_activity_type_0461,0461,Revenue from non-funders,ايرادات غير الممولين
l10n_eg_activity_type_0462,0462,Revenue of transferred capital,إيراد رؤوس الأموال المنقولة
l10n_eg_activity_type_0463,0463,Income earned from abroad,ايرادات محصله من الخارج
l10n_eg_activity_type_0464,0464,Other categories / miscellaneous other income,فئات اخري/ ايرادات اخري متنوعه
l10n_eg_activity_type_0471,0471,Free market revenue,ايرادات أسواق حرة
l10n_eg_activity_type_0472,0472,Free Zones revenue,ايرادات مناطق حره
l10n_eg_activity_type_0510,0510,Hard coal mining,تعدين الفحم الصلب
l10n_eg_activity_type_0520,0520,Lignite mining,تعدين الليجنيت
l10n_eg_activity_type_0610,0610,Extract the crude oil,استخرج البترول الخام
l10n_eg_activity_type_0620,0620,Extract natural gas,استخرج االغاز الطبيعى
l10n_eg_activity_type_0710,0710,Iron ore mining,تعدين الحديد الخام
l10n_eg_activity_type_0721,0721,Uranium and raw thorium mining,تعدين اليورانيوم والثوريوم الخام
l10n_eg_activity_type_0729,0729,Mining other non-ferrous metals,تعدين المعادن الخام الاخرى غير الحديدية
l10n_eg_activity_type_0810,0810,"Quarrying to extract stones, sand and shale",استغلال المحاجر لاستخراج الاحجار والرمال والطفل
l10n_eg_activity_type_0891,0891,Chemical minerals and fertilizer extraction,استخراج المعادن الكيميائية والاسمدة
l10n_eg_activity_type_0892,0892,Peat extraction,استخراج الخث
l10n_eg_activity_type_0893,0893,Salt extraction,استخراج الملح
l10n_eg_activity_type_0899,0899,Other mining and quarrying activities are not elsewhere classified,الانشطة الاخرى للتعدين واستغلال المحاجر غير مصنفة فى موضع اخر
l10n_eg_activity_type_0910,0910,Service activities in support of oil and natural gas extraction,انشطة الخدمات الداعمة لاعمال استخراج البترول والغاز الطبيعى
l10n_eg_activity_type_0990,0990,Service activities in support of other mining and quarrying activities,انشطة الخدمات الداعمة للاعمال الاخرى للتعدين واستغلال المحاجر
l10n_eg_activity_type_1010,1010,Meat processing and preservation,تصنيع وحفظ اللحوم
l10n_eg_activity_type_1020,1020,"Manufacture and preservation of fish, crustaceans and mollusks",تصنيع وحفظ الاسماك والقشريات والرخويات
l10n_eg_activity_type_1030,1030,Manufacturing and preserving fruits and vegetables,تصنيع وحفظ الفواكهة و الخضراوات
l10n_eg_activity_type_1040,1040,Manufacture of vegetable and animal oils and fats,تصنيع الزيوت و الدهون الحيوانية والنباتية
l10n_eg_activity_type_1050,1050,Dairy products manufacturing,تصنيع منتجات الالبان
l10n_eg_activity_type_1061,1061,Manufacture of grain mill products,تصنيع منتجات طواحين الحبوب
l10n_eg_activity_type_1062,1062,Manufacture of starch and starch products,تصنيع منتجات النشاء ومنتجات النشاء
l10n_eg_activity_type_1071,1071,Manufacturing bakery products,تصنيع منتجات المخابز
l10n_eg_activity_type_1072,1072,Sugar industry,صناعة السكر
l10n_eg_activity_type_1073,1073,"Manufacture of cocoa, chocolate and sugar confectionery",تصنيع الكاكاو والشيكولاتة والحلويات السكرية
l10n_eg_activity_type_1074,1074,"Manufacturing pasta, strips, couscous and similar starchy products",تصنيع المعكرونة وشرائطها والكسكسى والمنتجات النشوية المماثلة
l10n_eg_activity_type_1075,1075,Meals and ready-made food industry,صناعة الوجبات و الاغذية الجاهزة
l10n_eg_activity_type_1079,1079,Manufacture of other products not classified elsewhere,صناعة المنتجات الاخرى غير مصنفة فى موضع اخر
l10n_eg_activity_type_1080,1080,Prepared animal food industry,صناعة الاغذية الحيوانية المجهزة
l10n_eg_activity_type_1101,1101,"Spirits distilled, refined and mixed",تقطير المشروبات الروحية وتكريرها وخلطها
l10n_eg_activity_type_1102,1102,Winemaking,صناعة النبيذ
l10n_eg_activity_type_1103,1103,The manufacture of alcoholic drinks derived from the molten and the manufacture of molten,صناعة المشروبات الكحولية المشتقة من المولت وصنع المولت
l10n_eg_activity_type_1104,1104,Manufacturing soft drinks and producing mineral water,صناعة المشروبات المرطبة وانتاج المياة المعدنية
l10n_eg_activity_type_1200,1200,Manufacture of tobacco products,صناعة منتجات التبغ
l10n_eg_activity_type_1311,1311,Processing and spinning of textile fibers,تجهيز وغزل الياف المنسوجات
l10n_eg_activity_type_1312,1312,Textile weave,نسج المنسوجات
l10n_eg_activity_type_1313,1313,The textile industry,صناعة المنسوجات
l10n_eg_activity_type_1391,1391,Manufacture of knitted and crocheted fabrics,صناعة الاقمشة التريكو والكروشية
l10n_eg_activity_type_1392,1392,"Manufacture of ready-made textile accessories, except garment wear",صناعة مستلزمات المنسوجات الجاهزة باستثناء ملابس الزينة
l10n_eg_activity_type_1393,1393,Carpet and blanket industry,صناعة السجاد والبطاطين
l10n_eg_activity_type_1394,1394,"Manufacture of ropes, thick and double ropes and nets",صناعة الحبال والحبال الغليظة والمذدوجة والشباك
l10n_eg_activity_type_1399,1399,Other textile industry not elsewhere classified,صناعة المنسوجات الاخرى غير مصنفة فى موضع اخر
l10n_eg_activity_type_1410,1410,Manufacture of garment with the exception of fur,صناعة الملابس ذات الزينة باستثناء الفراء
l10n_eg_activity_type_1420,1420,Fur accessories industry,صناعة مستلزمات الفراء
l10n_eg_activity_type_1430,1430,"The manufacture of clothing, knitted and crocheted",صناعة ملابس الزينة بالتريكو والكروشية
l10n_eg_activity_type_1511,1511,"Tanning and processing of leather, fillings and dyeing of fur",دبغ وتجهيز الجلود والحشوات وصباغة الفراء
l10n_eg_activity_type_1512,1512,"Luggage, handbags and similar industries, along with saddles and horse sets",صناعة حفائب الامتعة وحقائب اليد وما شابهة ذلك الى جانب السروج واطقم الجياد
l10n_eg_activity_type_1520,1520,Shoe manufacturing,صناعة الاحذية
l10n_eg_activity_type_1610,1610,Sawing wood and abrasion,نشر الخشب وسحجة
l10n_eg_activity_type_1621,1621,Sheets made of wood veneer and wood-based panels,الصفائح من قشرة الخشب والالواح ذات الاساس الخشبى
l10n_eg_activity_type_1622,1622,Manufacture of carpentry accessories intended for buildings and installations,صناعة مستلزمات النجارة المعدة للابنية والمنشات
l10n_eg_activity_type_1623,1623,Wooden boxes industry,صناعة الصناديق الخشبية
l10n_eg_activity_type_1629,1629,"Manufacture of wood, wood products and cork, except furniture, and manufacture of articles produced from straw and sheets",صناعة الاخشاب والمنتجات الخشبية والفلين باستثناء الاثاث وصناعة الاصناف المنتجة من القش والصفائح
l10n_eg_activity_type_1701,1701,Paper and carvatard pulp industry,صناعة عجائن الورق و الورق المقوى ( الكارتون )
l10n_eg_activity_type_1702,1702,Manufacture of corrugated paper and paperboard and boxes made of paper and paperboard,صناعة الورق والورق المقوى المموج والصناديق المصنوعة من الورق والورق المقوى
l10n_eg_activity_type_1709,1709,Manufacture of other articles of paper and paperboard,صناعة اصناف اخرى من الورق والورق المقوى
l10n_eg_activity_type_1811,1811,printing,الطباعة
l10n_eg_activity_type_1812,1812,Printing service activities,انشطة الخدمات المرتبطة بالطباعة
l10n_eg_activity_type_1820,1820,Clone recorded media,استنساخ وسائل الاعلام المسجلة
l10n_eg_activity_type_1910,1910,Coke oven products industry,صناعة منتجات افران الكوك
l10n_eg_activity_type_1920,1920,Refined petroleum products,المنتجات النفطية المكررة
l10n_eg_activity_type_2011,2011,Basic chemicals,المواد الكيميائية الاساسية
l10n_eg_activity_type_2012,2012,Manufacture of fertilizers and nitrogen compounds,صناعة الاسمدة والمركبات الازوتية
l10n_eg_activity_type_2013,2013,Plastics industry in its primary forms and synthetic rubber,صناعة اللادائن فى اشكالها الاولية والمطاط الصناعى
l10n_eg_activity_type_2021,2021,Pesticide industry and other agricultural chemical products,صناعة مبيدات الافات والمنتجات الكيميائية الزراعية الاخرى
l10n_eg_activity_type_2022,2022,"Manufacture of paints, varnishes, and similar coatings, printing inks and molds",صناعة الدهانات والورنيش والطلاء المماثلة واحبار الطباعة والمصطكات
l10n_eg_activity_type_2023,2023,"Manufacture of soap, disinfectants, cleaning and polishing preparations, perfumes and cosmetics",صناعة الصابون والمطهرات ومستحضرات التنظيف والتلميع والعطور ومستحضرات التجميل
l10n_eg_activity_type_2029,2029,Manufacture of other chemical products not classified elsewhere,صناعة المنتجات الكيميائية الاخرى غير المصنفة فى موضع اخر
l10n_eg_activity_type_2030,2030,Industrial fiber industry,صناعة الالياف الصناعية
l10n_eg_activity_type_2100,2100,"Manufacture of pharmaceutical, chemical, and plant products",صناعة المستحضرات الصيدلانية والكيميائية الدواءية والمنتجات النباتية
l10n_eg_activity_type_2211,2211,"Manufacture of rubber tires and tubes, renewing and rebuilding the outer surfaces of rubber tires",صناعة الاطارات والانابيب المطاطية وتجديد الاسطح الخارجية للاطارات المطاطية واعادة بنائها
l10n_eg_activity_type_2219,2219,Manufacture of other rubber products,صناعة المنتجات المطاطية الاخرى
l10n_eg_activity_type_2220,2220,Plastics industry,صناعة منتجات اللادائن
l10n_eg_activity_type_2310,2310,Glass and its products industry,صناعة الزجاج ومنتجاتة
l10n_eg_activity_type_2391,2391,Manufacture of fusion products,صناعة المنتجات المقاومة للانصهار
l10n_eg_activity_type_2392,2392,Manufacture of Shale products for Building,صناعة مواد الطفلة الخاصة بالبناء
l10n_eg_activity_type_2393,2393,Manufacture of other Porcelain and ceramic products,صناعة منتجات البرسولين والسيراميك الاخرى
l10n_eg_activity_type_2394,2394,"Cement, lime and plaster industry",صناعة الاسمنت والجير والجص
l10n_eg_activity_type_2395,2395,"Manufacture of concrete products, cement and plaster",صناعة منتجات الخرسانة والاسمنت والجص
l10n_eg_activity_type_2396,2396,"Cutting, forming and completing the stone processing",قطع وتشكيل واتمام تجهيز الاحجار
l10n_eg_activity_type_2399,2399,Manufacture of non-metallic minerals products not classified elsewhere,صناعة منتجات المعادن الافلزية الاخرى غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_2410,2410,The industry of basic iron and steel,صناعة الحديد والصلب القاعديين
l10n_eg_activity_type_2420,2420,Manufacture of precious and non-ferrous basic metals,صناعة الفلزات الثمينة وغير الحديدية القاعدية
l10n_eg_activity_type_2431,2431,Iron and steel casting,سبك الحديدوالصلب
l10n_eg_activity_type_2432,2432,Non-ferrous metal casting,سبك المعادن غير الحديدية
l10n_eg_activity_type_2511,2511,Structural metal products industry,صناعة المنتجات المعدنية الانشائية
l10n_eg_activity_type_2512,2512,Industry of tanks and metal containers,صناعة الصهاريج والخزانات و الحاويات المعدنية
l10n_eg_activity_type_2513,2513,Water vapor generators except for central heating boilers in hot water,مولدات بخار الماء باستثناء مراجل التدفئةالمركزية بالمياة الساخنة
l10n_eg_activity_type_2520,2520,Arms and ammunition industry,صناعة الاسلحة والذخائر
l10n_eg_activity_type_2591,2591,"Forming metals by hammering, pressing, casting, rolling, and treatment of metal powders",تشكيل المعادن بالطرق والكبس و السبك والدلفنة ومعالجة مساحيق المعادن
l10n_eg_activity_type_2592,2592,Metal processing and coating,معالجة وطلى المعادن
l10n_eg_activity_type_2593,2593,"Manufacture of cutting tools, hand tools and general metal tools",صناعة ادوات القطع والعدد اليدوية والادوات المعدنية العامة
l10n_eg_activity_type_2599,2599,Manufacture of other fabricated metal products not classified elsewhere,صناعة منتجات المعادن المشكلة الاخرى غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_2610,2610,Electronic components and panels industry,صناعة المكونات والالواح الاليكترونية
l10n_eg_activity_type_2620,2620,The manufacture of electronic computers and related devices,صناعة الحاسبات الاليكترونية و الاجهزة المتصلة بة
l10n_eg_activity_type_2630,2630,Communications equipment industry,صناعة اجهزة الاتصالات
l10n_eg_activity_type_2640,2640,Electronic devices industry,صناعة الاجهزة الاليكترونية
l10n_eg_activity_type_2651,2651,"Manufacturing measuring, testing, navigation and control devices",صناعة اجهزة القياس والاختبار و الملاحة والتحكم
l10n_eg_activity_type_2652,2652,Watch and alarm clock industry,صناعة الساعات والمنبهات
l10n_eg_activity_type_2660,2660,"Radiation, medical and therapeutic electronic devices industry",صناعة الاجهزة الاشعاعية والطبية والعلاجية اللاليكترونية
l10n_eg_activity_type_2670,2670,Optical equipment and imaging equipment industry,صناعة المعدات البصرية واجهزة التصوير
l10n_eg_activity_type_2680,2680,Optical and magnetic conveyor industry,صناعة الوسائل الناقلة البصرية والمغنطيسية
l10n_eg_activity_type_2710,2710,"Manufacture of motors, generators, electrical transformers, devices and control panels for electricity distribution",صناعة المحركات والمولدات والمحولات الكهربائية واجهزة ولوحات التحكم فى توزيع الكهرباء
l10n_eg_activity_type_2720,2720,Manufacture of dry and stored batteries,صناعة البطاريات الجافة والمختزنة
l10n_eg_activity_type_2731,2731,Industrial fiber cable industry,صناعة كابلات الالياف الصناعية
l10n_eg_activity_type_2732,2732,Other electrical and electronic wires and cables,صناعة الاسلاك الكهربائية والاليكترونية الاخرى والكابلات
l10n_eg_activity_type_2733,2733,Wire devices industry,صناعة اجهزة الاسلاك
l10n_eg_activity_type_2740,2740,Electrical lighting devices industry,صناعة اجهزة الانارة الكهربائية
l10n_eg_activity_type_2750,2750,Home appliances industry,صناعة الاجهزة المنزلية
l10n_eg_activity_type_2790,2790,Other electrical appliances industry,صناعة الاجهزة الكهربائية الاخرى
l10n_eg_activity_type_2811,2811,"Manufacture of generators and engines, with the exception of aircraft, vehicles and motorcycles",صناعة المولدات والمحركات باسقثناء الطائرات والمركبات ومحركات الموتيسيكلات
l10n_eg_activity_type_2812,2812,Liquid power devices industry,صناعة اجهزة الطاقة السائلة
l10n_eg_activity_type_2813,2813,"Manufacture of pumps, compressors, tapes and other valves",صناعة المضخات والضواغط والاشرطة والصمامات الاخرى
l10n_eg_activity_type_2814,2814,"Gears, carriers and driving devices industry",صناعة التروس والحاملات واجهزة القيادة
l10n_eg_activity_type_2815,2815,"Manufacture of furnaces, furnaces and their incinerators",صناعة الافران و الاتونات ومحرقاتها
l10n_eg_activity_type_2816,2816,The elevators and equipment needed for it,صناعة المصاعد والمعدات الازمة لها
l10n_eg_activity_type_2817,2817,Manufacture of office equipment and equipment (excluding electronic computers and their accessories),صناعة الاجهزة والمعدات المكتبية ( باستثناء الحاسبات الاليكترونية ومستلزماتها )
l10n_eg_activity_type_2818,2818,Manufacture of manual power steering equipment,صناعة المعدات اليدوية لتوجية الطاقة
l10n_eg_activity_type_2819,2819,Other equipment industry of various purposes,صناعة المعدات الاخرى ذات الاغراض المتنوعة
l10n_eg_activity_type_2821,2821,Agricultural and forestry equipment industry,صناعة المعدات الزراعية والخاصة بالغابات
l10n_eg_activity_type_2822,2822,Manufacture of equipment and machinery for forming metals,صناعة معدات واجهزة تشكيل المعادن
l10n_eg_activity_type_2823,2823,Metal equipment industry,صناعة معدات المعادن
l10n_eg_activity_type_2824,2824,Mining and quarrying and building equipment industry,صناعة معدات المناجم و المحاجر والبناء
l10n_eg_activity_type_2825,2825,"Manufacture of food, beverage and tobacco industries equipment",صناعة معدات الصناعات الغذائية والمشرؤبات والتبغ
l10n_eg_activity_type_2826,2826,"Manufacture of ready-made clothes, accessories, and leather production",صناعة معدات الملابس الجاهزة وهدوات الزينة وانتاج الجلود
l10n_eg_activity_type_2829,2829,Manufacture of other special-purpose equipment,صناعة المعدات الاخرى ذات الاغراض الخاصة
l10n_eg_activity_type_2910,2910,Manufacture of motor vehicles,صناعة المركبات ذات المحركات
l10n_eg_activity_type_2920,2920,Manufacture of motor vehicle bodies and the manufacture of trailers and semi-trailers,صناعة هياكل المركبات ذات المحركات وصناعة المقطورات ونصف المقطورات
l10n_eg_activity_type_2930,2930,Manufacture of accessories and spare parts for motor vehicles,صناعة مستلزمات وقطع غيار المركبات ذات المحركات
l10n_eg_activity_type_3011,3011,Building ship hulls and rafts,بناء هياكل السفن و الطوافات
l10n_eg_activity_type_3012,3012,Manufacture of pleasure boats and sport boats,صناعة قوارب النزهة والقوارب الرياضية
l10n_eg_activity_type_3020,3020,Railroad locomotives and rolling stock industry,صناعة قاطرات السكك الحديدية والمعدات الدارجة على السكك الحديدية
l10n_eg_activity_type_3030,3030,Air and spacecraft industry,صناعة المركبات الهوائية والفضائية
l10n_eg_activity_type_3040,3040,Manufacture of military military vehicles,صناعة المركبات العسكرية الحربية
l10n_eg_activity_type_3091,3091,Industry,صناعة
l10n_eg_activity_type_3092,3092,Manufacture of ordinary bicycles and infirm vehicles,صناعة الدراجات العادية ومركبات العجزة
l10n_eg_activity_type_3099,3099,Other transportation equipment industry not classified elsewhere,صناعة معدات النقل الاخرى غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_3100,3100,Furniture Industry,صناعة الاثاث
l10n_eg_activity_type_3211,3211,Manufacture of jewelry and related items,صناعة المجوهرات والاصناف المتصلة بها
l10n_eg_activity_type_3212,3212,Manufacture of imitation jewelry and related items,صناعة المجوهرات المقلدة والاصناف المتصلة بها
l10n_eg_activity_type_3220,3220,Musical instrument industry,صناعة الالات الموسيقية
l10n_eg_activity_type_3230,3230,Sports products industry,صناعة المنتجات الرياضية
l10n_eg_activity_type_3240,3240,Make games and play,صناعة الالعاب واللعب
l10n_eg_activity_type_3250,3250,Manufacturing of dental and medical equipment and tools,صناعة المعدات والادوات الطبية والخاصة بالاسنان
l10n_eg_activity_type_3290,3290,Other industries not classified elsewhere,الصناعات الاخرى غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_3311,3311,Repair of manufactured metal products,اصلاح المنتجات المعدنية المصنعة
l10n_eg_activity_type_3312,3312,Machinery repair,اصلاح الالات
l10n_eg_activity_type_3313,3313,Repair of electronic and optical devices,اصلاح الاجهزة الاليكترونية و البصرية
l10n_eg_activity_type_3314,3314,Electronic devices repair,اصلاح الاجهزة الاليكترونية
l10n_eg_activity_type_3315,3315,"Repair of transport devices, except for motor vehicles",اصلاح اجهزة النقل باستثناء المركبات ذات المحركات
l10n_eg_activity_type_3319,3319,Repair other devices,اصلاح الاجهزة الاخرى
l10n_eg_activity_type_3320,3320,Installation of industrial equipment and devices,تركيب المعدات و الاجهزة الصناعية
l10n_eg_activity_type_3510,3510,"Electric generators, transformers and power distributors",المولدات الكهربائية ومحولات وموزعات الكهرباء
l10n_eg_activity_type_3520,3520,Manufacture of sulfur gas and distribution of gaseous fuels by means of main pipes,صناعة غاز الاستصباح وتوزيع انواع الوقود الغازية عن طريق مواسير رئيسية
l10n_eg_activity_type_3530,3530,Steam supply and air conditioning,توريد البخار واجهزة تكييف الهواء
l10n_eg_activity_type_3600,3600,"Water collection, treatment and supply",تجميع ومعالجة وتوريد المياة
l10n_eg_activity_type_3700,3700,Sewer,المجارى
l10n_eg_activity_type_3811,3811,Collection of non-hazardous waste,تجميع المخلفات غير الخطرة
l10n_eg_activity_type_3812,3812,Collection of hazardous waste,تجميع المخلفات الخطرة
l10n_eg_activity_type_3821,3821,Treatment and disposal of non-hazardous waste,معالجة والتصرف فى المخلفات غير الخطرة
l10n_eg_activity_type_3822,3822,Treatment and disposal of hazardous waste,معالجة والتصرف فى المخلفات الخطرة
l10n_eg_activity_type_3830,3830,Material handling,معالجة المواد
l10n_eg_activity_type_3900,3900,Recycling activities and services and the disposal of other waste,انشطة وخدمات اعادة التدوير والتصرف فى النفايات الاخرى
l10n_eg_activity_type_4100,4100,Building constructions,انشاءات المبانى
l10n_eg_activity_type_4210,4210,Road and railway constructions,الانشاءات الخاصة بالطرق والسكك الحديدية
l10n_eg_activity_type_4220,4220,Construction for projects of public benefit,الانشاءات الخاصة بالمشاريع ذات المنفعة العامة
l10n_eg_activity_type_4290,4290,Construction for other civil engineering projects,الانشاءات الخاصة بالمشاريع الهندسية المدنية الاخرى
l10n_eg_activity_type_4311,4311,Remove the installations,ازالة المنشات
l10n_eg_activity_type_4312,4312,Preparing sites,اعداد المواقع
l10n_eg_activity_type_4321,4321,Electrical installations,التركيبات الكهربائية
l10n_eg_activity_type_4322,4322,"Plumbing, heating and air-conditioning installations",التركيبات الخاصة بالسباكة والتدفئة ومكيفات الهواء
l10n_eg_activity_type_4329,4329,Other structural installations,التركيبات الانشائية الاخرى
l10n_eg_activity_type_4330,4330,Completion and finishing of buildings,استكمال وتشطيب المبانى
l10n_eg_activity_type_4390,4390,Other specialized construction activities,انشطة الانشاءات المتخصصة الاخرى
l10n_eg_activity_type_4510,4510,Sale of motor vehicles,بيع المركبات ذات المحركات
l10n_eg_activity_type_4520,4520,Maintenance and repair of motor vehicles,صيانة واصلاح المركبات ذات المحركات
l10n_eg_activity_type_4530,4530,Sale of motor vehicle parts and accessories,بيع قطع غيار ومستلزمات المركبات ذات المحركات
l10n_eg_activity_type_4540,4540,"Sale, maintenance and repair of motorcycles, parts and accessories thereof",بيع وصيانة واصلاح الدراجات النارية وقطع الغيار والمستلزمات الخاصة بها
l10n_eg_activity_type_4610,4610,Wholesale trade on the basis of a contract or a fee,تجارة الجملة على اساس عقد او نظير رسم
l10n_eg_activity_type_4620,4620,Wholesale trade in agricultural raw materials and live animals,تجارة الجملة الخاصة بالمواد الاولية الزراعية والحيوانات الحية
l10n_eg_activity_type_4630,4630,"Wholesale trade of food, beverages and tobacco",تجارة الجملة الخاصة بالاغذية والمشرؤبات والتبغ
l10n_eg_activity_type_4641,4641,"Wholesale trade of clothes, fabrics and shoes",تجارة الجملة الخاصة بالملابس والاقمشة والاحذية
l10n_eg_activity_type_4649,4649,Wholesale trade for other household appliances,تجارة الجملة الخاصة بالادوات المنزلية الاخرة
l10n_eg_activity_type_4651,4651,"Wholesale trade of computer hardware, accessories and computer software",تجارة الجملة الخاصة باجهزة الكمبيوتر ومستلزماتها وبرامج الكمبيوتر
l10n_eg_activity_type_4652,4652,"Wholesale trade of electronic devices, communications devices and accessories",تجارة الجملة الخاصة بالاجهزة الاليكترونية واجهزة الاتصالات ومستلزماتها
l10n_eg_activity_type_4653,4653,"Wholesale trade for agricultural equipment, machinery and supplies",تجارة الجملة الخاصة بالمعدات والالات والتوريدات الزراعية
l10n_eg_activity_type_4659,4659,Wholesale trade of equipment and other devices,تجارة الجملة الخاصة بالمعدات والاجهزة الاخرى
l10n_eg_activity_type_4661,4661,"Wholesale trade of dry, liquid and gaseous fuels and related products",تجارة الجملة الخاصة بالوقود الجاف والسائل والغازى والمنتجات المرتبطة بذلك
l10n_eg_activity_type_4662,4662,Wholesale trade in precious metals and minerals,تجارة الجملة الخاصة بالمعادن والمعادن النفيسة
l10n_eg_activity_type_4663,4663,"Wholesale trade, supplies and equipment for building materials, hardware, plumbing and heating appliances",تجارة الجملة والتوريدات والاجهزة الخاصة بمواد البناء والادوات المعدنية والسباكة واجهزة التدفئة
l10n_eg_activity_type_4669,4669,"Wholesale trade for waste, waste and other products not classified elsewhere",تجارة الجملة الخاصة بالنفايات والمخلفات والمنتجات الاخرى غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_4690,4690,Non-specialized wholesale trade,تجارة الجملة غير المتخصصة
l10n_eg_activity_type_4711,4711,"Retail sale in non-specialized stores of food, beverages or tobacco",البيع بالتجزئة بالمتاجر غير المتخصصة للاغذية والمشروبات اوالتبغ
l10n_eg_activity_type_4719,4719,Other retail types in non-specialized stores,انواع البيع بالتجزئةالاخرى بالمتاجر غير المتخصصة
l10n_eg_activity_type_4721,4721,Retail sale in specialized food stores,البيع بالتجزئة بالمتاجر المتخصصة للاغذية
l10n_eg_activity_type_4722,4722,Retail sale in specialized stores for drinks,البيع بالتجزئة بالمتاجر المتخصصة للمشروبات
