"id","sequence","name","amount","amount_type","type_tax_use","tax_group_id","active","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description","invoice_label","name@es","description@es","price_include_override","fiscal_position_ids","original_tax_ids","repartition_line_ids/tag_ids"
"l10n_co_tax_6","1","0% EXC VAT","0.0","percent","purchase","tax_group_iva_0","","","base","invoice","","VAT Purchase Excluded","0%","0% IVA Exc","IVA Compra Excluido","","","","IVA_EXCL_PURCH"
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","","IVA_EXCL_PURCH"
"","","","","","","","","","tax","refund","","","","","","","","",""
"l10n_co_tax_7","1","0% EXEMPT","0.0","percent","purchase","tax_group_iva_0","","","base","invoice","","VAT Exempt Purchase","0%","0% IVA Exen","IVA Compra Exento","","","","IVA_EXEMPT_PURCH"
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","","IVA_EXEMPT_PURCH"
"","","","","","","","","","tax","refund","","","","","","","","",""
"l10n_co_tax_12","1","15% RteVAT 19%","-2.85","percent","purchase","tax_group_r_iva_285","","","base","invoice","","RteVAT 15% over 19% VAT (-2.85%)","-2.85%","15%  RteIVA 19%","RteIVA 15% sobre el 19% IVA","","","","RTEIVA_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_236700","","","","","","","","RTEIVA_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","RTEIVA_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_236700","","","","","","","","RTEIVA_PURCH"
"l10n_co_tax_13","1","15% RteVAT 5%","-0.75","percent","purchase","tax_group_r_iva_075","","","base","invoice","","RteVAT 15% over 5% VAT (-0.75%)","-0.75%","15% RteIVA 5%","RteIVA 15% sobre el 5% IVA","","","","RTEIVA_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_236700","","","","","","","","RTEIVA_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","RTEIVA_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_236700","","","","","","","","RTEIVA_PURCH"
"l10n_co_tax_14","1","15% RteVAT 19% C","0.75","percent","purchase","tax_group_r_iva_075","False","","base","invoice","","RteVAT 15% over 5% VAT Counterpart (0.75%)","0.75%","15%  RteIVA 19% C","RteIVA 15% sobre el 5% IVA Contrapartida","","","",""
"","","","","","","","","","tax","invoice","co_puc_240821","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","co_puc_240821","","","","","","","",""
"l10n_co_tax_15","1","15% RteVAT 5% C","2.85","percent","purchase","tax_group_r_iva_285","False","","base","invoice","","RteVAT 15% over 19% VAT Counterpart (2.85%)","2.85%","15% RteIVA 5% C","RteIVA 15% sobre el 19% IVA Contrapartida","","","",""
"","","","","","","","","","tax","invoice","co_puc_240821","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","co_puc_240821","","","","","","","",""
"l10n_co_tax_16","1","0.1% RteFte F C","-0.1","percent","purchase","tax_group_r_ren_01","","","base","invoice","","RteFte Fuel Purchase (-0.1%)","-0.1%","0.1% RteFte F C","RteFte Compra Combustibles (0.1%)","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","invoice","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","refund","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"l10n_co_tax_17","1","0.5% RteFte C","-0.5","percent","purchase","tax_group_r_ren_05","","","base","invoice","","RteFte Buy Coffee (-0.5%).","-0.5%","0.5% RteFte Caf","RteFte Compra Cafe (0.5%)","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","invoice","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","refund","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"l10n_co_tax_18","1","10% RteFte C N P","-10.0","percent","purchase","tax_group_r_ren_10","","","base","invoice","","RteFte Commissions Natural Person (-10%)","-10%","10% RteFte Com PN","RteFte Comisiones Persona Natural (-10%)","","","","RTEFTE_COM_BASE"
"","","","","","","","","","tax","invoice","co_puc_236520","","","","","","","","RTEFTE_COM"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COM_BASE"
"","","","","","","","","","tax","refund","co_puc_236520","","","","","","","","RTEFTE_COM"
"l10n_co_tax_19","1","2.5% RteFte D","-2.5","percent","purchase","tax_group_r_ren_25","","","base","invoice","","RteFte Purchases Declarants (-2.5%)","-2.5%","2.5% RteFte Dec","RteFte Compras Declarantes (-2.5%)","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","invoice","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","refund","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"l10n_co_tax_20","1","10% RteFte C T T","-10.0","percent","purchase","tax_group_r_ren_10","","","base","invoice","","RteFte Consulting, Technical Services and Technical Assistance Payments Abroad (-10%)","-10%","10% RteFte Const ST","RteFte Consultorias, Servicios Tecnicos y Asistencia Tecnica Pagos al Exterior (-10%)","","","","RTEFTE_EXT_BASE"
"","","","","","","","","","tax","invoice","co_puc_236550","","","","","","","","RTEFTE_EXT"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_EXT_BASE"
"","","","","","","","","","tax","refund","co_puc_236550","","","","","","","","RTEFTE_EXT"
"l10n_co_tax_21","1","1% RteFte A Car","-1.0","percent","purchase","tax_group_r_ren_1","","","base","invoice","","RteFte Acquisition of Vehicles (-1%) ","-1%","1% RteFte Veh","RteFte Adquisicion de Vehiculos (-1%)","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","invoice","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","refund","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"l10n_co_tax_22","1","1% RteFte IMMO","-1.0","percent","purchase","tax_group_r_ren_1","","","base","invoice","","RteFte Real Estate Purchases (-1%)","-1%","1% RteFte BR","RteFte Compras de Bienes Raices (-1%)","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","invoice","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","refund","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"l10n_co_tax_23","1","4% RteFte S L","-4.0","percent","purchase","tax_group_r_ren_4","","","base","invoice","","RteFte Services P Legal and PN Declarant (-4%) ","-4%","4% RteFte Serv Decl","RteFte Servicios P Jurídicas y PN Declarantes (-4%)","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","invoice","co_puc_236525","","","","","","","","RTEFTE_SERV"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","refund","co_puc_236525","","","","","","","","RTEFTE_SERV"
"l10n_co_tax_24","1","1% RteFte F T","-1.0","percent","purchase","tax_group_r_ren_1","","","base","invoice","","RteFte National Freight Transport Service (-1%)","-1%","1% RteFte Transp Nac","RteFte Servicio TranspoRteFte Nacional Carga (-1%)","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","invoice","co_puc_236525","","","","","","","","RTEFTE_SERV"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","refund","co_puc_236525","","","","","","","","RTEFTE_SERV"
"l10n_co_tax_25","1","6% RteFte S G","-6.0","percent","purchase","tax_group_r_ren_6","","","base","invoice","","RteFte Services in General Individuals Not Filing Income Tax Returns (-6%)","-6%","6% RteFte Serv Grles PN No Dec","RteFte Servicios en General Personas Naturales No Declarantes Renta (-6%)","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","invoice","co_puc_236525","","","","","","","","RTEFTE_SERV"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","refund","co_puc_236525","","","","","","","","RTEFTE_SERV"
"l10n_co_tax_26","1","2% RteFte S C","-2.0","percent","purchase","tax_group_r_ren_2","","","base","invoice","","RteFte Surveillance and Cleaning Service (Over AIU) (-2%)","-2%","2% RteFte Serv Vig","RteFte Servicio de Vigilancia y Aseo (Sobre AIU) (-2%)","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","invoice","co_puc_236525","","","","","","","","RTEFTE_SERV"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","refund","co_puc_236525","","","","","","","","RTEFTE_SERV"
"l10n_co_tax_27","1","3.5% RteFte Soft","-3.5","percent","purchase","tax_group_r_ren_35","","","base","invoice","","RteFte Service Fees Software Licenses (-3.5%) ","-3.5%","3.5% RteFte Serv Soft","RteFte Honorarios Servicios Licencias Software (-3.5%)","","","","RTEFTE_HON_BASE"
"","","","","","","","","","tax","invoice","co_puc_236515","","","","","","","","RTEFTE_HON"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_HON_BASE"
"","","","","","","","","","tax","refund","co_puc_236515","","","","","","","","RTEFTE_HON"
"l10n_co_tax_28","1","2% RteFte W C IMMO","-2.0","percent","purchase","tax_group_r_ren_2","","","base","invoice","","RteFte Works Contracts Real Estate (-2%)","-2%","2% RteFte Cont OI","RteFte Contratos de Obra Inmuebles (-2%)","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","invoice","co_puc_236525","","","","","","","","RTEFTE_SERV"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","refund","co_puc_236525","","","","","","","","RTEFTE_SERV"
"l10n_co_tax_29","1","4% RteFte L L","-4.0","percent","purchase","tax_group_r_ren_4","","","base","invoice","","RteFte Leasehold Leases Movable Property (-4%)","-4%","4% RteFte Arr BI","RteFte Arrendamientos Bienes Muebles (-4%)","","","","RTEFTE_ARR_BASE"
"","","","","","","","","","tax","invoice","co_puc_236530","","","","","","","","RTEFTE_ARR"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_ARR_BASE"
"","","","","","","","","","tax","refund","co_puc_236530","","","","","","","","RTEFTE_ARR"
"l10n_co_tax_30","1","3.5% RteFte IMMO L","-3.5","percent","purchase","tax_group_r_ren_35","","","base","invoice","","RteFte Real Estate Leases (-3.5%) ","-3.5%","3.5% RteFte Arr BI","RteFte Arrendamientos Bienes Inmuebles (-3.5%)","","","","RTEFTE_ARR_BASE"
"","","","","","","","","","tax","invoice","co_puc_236530","","","","","","","","RTEFTE_ARR"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_ARR_BASE"
"","","","","","","","","","tax","refund","co_puc_236530","","","","","","","","RTEFTE_ARR"
"l10n_co_tax_31","1","7% RteFte G F","-7.0","percent","purchase","tax_group_r_ren_7","","","base","invoice","","RteFte General Financial Income (-7%) ","-7%","7% RteFte Rend Fin Gles","RteFte Rendimientos Financieros Generales (-7%)","","","","RTEFTE_REND_FIN_BASE"
"","","","","","","","","","tax","invoice","co_puc_236535","","","","","","","","RTEFTE_REND_FIN"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_REND_FIN_BASE"
"","","","","","","","","","tax","refund","co_puc_236535","","","","","","","","RTEFTE_REND_FIN"
"l10n_co_tax_32","1","10% RteFte N","-10.0","percent","purchase","tax_group_r_ren_10","","","base","invoice","","RteFte Fees Natural Person (-10%)","-10%","10% RteFte Hon PN","RteFte Honorarios Persona Natural (-10%)","","","","RTEFTE_HON_BASE"
"","","","","","","","","","tax","invoice","co_puc_236515","","","","","","","","RTEFTE_HON"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_HON_BASE"
"","","","","","","","","","tax","refund","co_puc_236515","","","","","","","","RTEFTE_HON"
"l10n_co_tax_33","1","3.5% RteFte IT","-3.5","percent","purchase","tax_group_r_ren_35","","","base","invoice","","RteFte Web Design and IT Consulting Fees (-3.5%)","-3.5","3.5% RteFte Hon IT","RteFte Honorarios Diseno Web y Consultoria Informatica (-3.5%)","","","","RTEFTE_HON_BASE"
"","","","","","","","","","tax","invoice","co_puc_236515","","","","","","","","RTEFTE_HON"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_HON_BASE"
"","","","","","","","","","tax","refund","co_puc_236515","","","","","","","","RTEFTE_HON"
"l10n_co_tax_34","1","2.5% RteFte C IMMO","-2.5","percent","purchase","tax_group_r_ren_25","","","base","invoice","","RteFte Acquisition of Commercial Real Estate (-2.5%)","-2.5","2.5% RteFte Adq BRC","RteFte Adquisicion de Bienes Raices Comerciales (-2.5%)","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","invoice","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","refund","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"l10n_co_tax_35","1","3.5% RteFte NR","-3.5","percent","purchase","tax_group_r_ren_35","","","base","invoice","","RteFte Non-reporting Purchases (-3.5%) ","-3.5%","3.5% RteFte NR","RteFte Compras No Declarantes (-3.5%)","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","invoice","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","refund","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"l10n_co_tax_36","1","11% RteFte C L E","-11.0","percent","purchase","tax_group_r_ren_11","","","base","invoice","","RteFte Commissions Legal Entity (-11%) ","-11%","11% RteFte Com PJ","RteFte Comisiones Persona Juridica (-11%)","","","","RTEFTE_COM_BASE"
"","","","","","","","","","tax","invoice","co_puc_236520","","","","","","","","RTEFTE_COM"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COM_BASE"
"","","","","","","","","","tax","refund","co_puc_236520","","","","","","","","RTEFTE_COM"
"l10n_co_tax_37","1","1.5% RteFte A","-1.5","percent","purchase","tax_group_r_ren_15","","","base","invoice","","RteFte Purchases of Agricultural Goods (-1.5%)","-1.5%","1.5% RteFte BA","RteFte Compras Bienes Agricolas (-1.5%)","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","invoice","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_COMPRAS_BASE"
"","","","","","","","","","tax","refund","co_puc_236540","","","","","","","","RTEFTE_COMPRAS"
"l10n_co_tax_38","1","3.5% RteFte T","-3.5","percent","purchase","tax_group_r_ren_35","","","base","invoice","","RteFte National Land Transportation Service Passengers (-3.5%)","-3.5%","3.5% RteFte Serv Trans TN","RteFte Servicio Transporte Terrestre Nacional Pasajeros (-3.5%)","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","invoice","co_puc_236525","","","","","","","","RTEFTE_SERV"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","refund","co_puc_236525","","","","","","","","RTEFTE_SERV"
"l10n_co_tax_39","1","1% RteFte T E S","-1.0","percent","purchase","tax_group_r_ren_11","","","base","invoice","","RteFte Temporary Employment Services (On AIU) (-1%)","-1%","1% RteFte Serv Temp Emp","RteFte Servicio Temporales de Empleo (Sobre AIU) (-1%)","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","invoice","co_puc_236525","","","","","","","","RTEFTE_SERV"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","refund","co_puc_236525","","","","","","","","RTEFTE_SERV"
"l10n_co_tax_40","1","11% RteFte F L E","-11.0","percent","purchase","tax_group_r_ren_11","","","base","invoice","","RteFte Fees Legal Entity (-11%)","-11%","11% RteFte Hon PJ","RteFte Honorarios Persona Juridica (-11%)","","","","RTEFTE_HON_BASE"
"","","","","","","","","","tax","invoice","co_puc_236515","","","","","","","","RTEFTE_HON"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_HON_BASE"
"","","","","","","","","","tax","refund","co_puc_236515","","","","","","","","RTEFTE_HON"
"l10n_co_tax_41","1","2% RteFte H","-2.0","percent","purchase","tax_group_r_ren_2","","","base","invoice","","RteFte Integral Health Services (-2%)","-2%","2% RteFte Serv Int S","RteFte Servicio Integrales de Salud (-2%)","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","invoice","co_puc_236525","","","","","","","","RTEFTE_SERV"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","refund","co_puc_236525","","","","","","","","RTEFTE_SERV"
"l10n_co_tax_42","1","3.5% RteFte H R","-3.5","percent","purchase","tax_group_r_ren_35","","","base","invoice","","RteFte Hotel and Restaurant Services (-3.5%)","-3.5%","3.5% RteFte Serv Hot y Res","RteFte Servicio de Hoteles y Restaurantes (-3.5%)","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","invoice","co_puc_236525","","","","","","","","RTEFTE_SERV"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SERV_BASE"
"","","","","","","","","","tax","refund","co_puc_236525","","","","","","","","RTEFTE_SERV"
"l10n_co_tax_43","1","0% RteICA","0.0","percent","purchase","tax_group_r_ica_0","","","base","invoice","","RteICA","0%","0% RteICA","RteICA","","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"l10n_co_tax_44","1","0.69% RteICA","-0.69","percent","purchase","tax_group_r_ica_069","","","base","invoice","","RteICA (-0.69%)","-0.69","0.69% RteICA","RteICA (-0.69%)","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_236800","","","","","","","","RTEICA_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_236800","","","","","","","","RTEICA_PURCH"
"l10n_co_tax_45","1","1.104% RteICA","-1.104","percent","purchase","tax_group_r_ica_1104","","","base","invoice","","RteICA (-1.104%)","-1.104%","1.104% RteICA","RteICA (-1.104%)","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_236800","","","","","","","","RTEICA_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_236800","","","","","","","","RTEICA_PURCH"
"l10n_co_tax_46","1","0.414% RteICA","-0.414","percent","purchase","tax_group_r_ica_0414","","","base","invoice","","RteICA (-0.414%)","-0.414%","0.414% RteICA","RteICA (-0.414%)","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_236800","","","","","","","","RTEICA_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_236800","","","","","","","","RTEICA_PURCH"
"l10n_co_tax_47","1","1.38% RteICA","-1.38","percent","purchase","tax_group_r_ica_138","","","base","invoice","","RteICA (-1.38%)","-1.38%","1.38% RteICA","RteICA (-1.38%)","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_236800","","","","","","","","RTEICA_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_236800","","","","","","","","RTEICA_PURCH"
"l10n_co_tax_48","1","0.966% RteICA","-0.966","percent","purchase","tax_group_r_ica_0966","","","base","invoice","","RteICA (-0.966%)","-0.966%","0.966% RteICA","RteICA (-0.966%)","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_236800","","","","","","","","RTEICA_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","RTEICA_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_236800","","","","","","","","RTEICA_PURCH"
"l10n_co_tax_49","1","19% RC","19.0","group","purchase","tax_group_iva_19","False","l10n_co_tax_1,l10n_co_tax_12","","","","VAT Purchase 19% RC","19%","19% RC","IVA Compra 19% RC","","","",""
"l10n_co_tax_50","1","19% RS","19.0","group","purchase","tax_group_iva_19","False","l10n_co_tax_12,l10n_co_tax_15","","","","VAT Purchase 19% RS","19%","19% RS","IVA Compra 19% RS","","","",""
"l10n_co_tax_51","1","5% RS","5.0","group","purchase","tax_group_iva_5","False","l10n_co_tax_13,l10n_co_tax_14","","","","VAT Purchase 5% RS","5%","5% RS","IVA Compra 5% RS","","","",""
"l10n_co_tax_52","1","5% RC","5.0","group","purchase","tax_group_iva_5","False","l10n_co_tax_0,l10n_co_tax_13","","","","VAT Purchase 5% RC","5%","5% RC","IVA Compra 5% RC","","","",""
"l10n_co_tax_62","1","4% INC","4","percent","purchase","tax_group_inc_4","","","base","invoice","","National Consumption Tax 4%","4% INC","4% INC","Impuesto Nacional al Consumo 4%","","","","INC_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_240830","","","","","","","","INC_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","INC_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_240830","","","","","","","","INC_PURCH"
"l10n_co_tax_63","1","8% INC","8","percent","purchase","tax_group_inc_8","","","base","invoice","","National Consumption Tax 8%","8% INC","8% INC","Impuesto Nacional al Consumo 8%","","","","INC_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_240830","","","","","","","","INC_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","INC_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_240830","","","","","","","","INC_PURCH"
"l10n_co_tax_64","1","16% INC","16","percent","purchase","tax_group_inc_16","","","base","invoice","","National Consumption Tax 16%","16% INC","16% INC","Impuesto Nacional al Consumo 16%","","","","INC_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_240830","","","","","","","","INC_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","INC_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_240830","","","","","","","","INC_PURCH"
"l10n_co_tax_8","0","19%","19.0","percent","sale","tax_group_iva_19","","","base","invoice","","VAT Sales 19%","19%","19% IVA","IVA Ventas 19%","","","","IVA_19_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_240805","","","","","","","","IVA_19_SALE"
"","","","","","","","","","base","refund","","","","","","","","","IVA_19_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_240805","","","","","","","","IVA_19_SALE"
"l10n_co_tax_9","1","5%","5.0","percent","sale","tax_group_iva_5","","","base","invoice","","VAT Sales 5%","5%","5% IVA","IVA Ventas 5%","","","","IVA_5_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_240805","","","","","","","","IVA_5_SALE"
"","","","","","","","","","base","refund","","","","","","","","","IVA_5_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_240805","","","","","","","","IVA_5_SALE"
"l10n_co_tax_4","1","16% D","16.0","percent","sale","tax_group_iva_16","False","","base","invoice","","VAT Sales Refunds 16% 2016","16%","16% Dev","IVA Devoluciones Ventas 16% 2016","","","","IVA_19_SALE_BASE"
"","","","","","","","","","tax","invoice","","","","","","","","","IVA_19_SALE"
"","","","","","","","","","base","refund","","","","","","","","","IVA_19_SALE_BASE"
"","","","","","","","","","tax","refund","","","","","","","","","IVA_19_SALE"
"l10n_co_tax_10","1","0% EXEMPT","0.0","percent","sale","tax_group_iva_0","","","base","invoice","","VAT Exempt","0%","0% IVA Ee","IVA Exento","","","","IVA_EXEMPT_SALE"
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","","IVA_EXEMPT_SALE"
"","","","","","","","","","tax","refund","","","","","","","","",""
"l10n_co_tax_11","1","0% E","0.0","percent","sale","tax_group_iva_0","","","base","invoice","","VAT Excluded","0%","0% IVA Exc","IVA Excluido","","","","IVA_EXCL_SALE"
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","","IVA_EXCL_SALE"
"","","","","","","","","","tax","refund","","","","","","","","",""
"l10n_co_tax_53","1","2.5% RteFte","-2.5","percent","sale","tax_group_r_ren_25","","","base","invoice","","RteFte -2.5% Sales","-2.5%","2.5% RteFte","RteFte -2.50% Ventas","tax_excluded","","","RTEFTE_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_135515","","","","","","","","RTEFTE_SALE"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_135515","","","","","","","","RTEFTE_SALE"
"l10n_co_tax_54","1","3.50% RteFte","-3.5","percent","sale","tax_group_r_ren_35","","","base","invoice","","RteFte -3.50% Sales","-3.5%","3.50% RteFte","RteFte -3.50% Ventas","tax_excluded","","","RTEFTE_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_135515","","","","","","","","RTEFTE_SALE"
"","","","","","","","","","base","refund","","","","","","","","","RTEFTE_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_135515","","","","","","","","RTEFTE_SALE"
