id,name,name@es,code_prefix_start,code_prefix_end
l10n_co_group_14,Inventories,Inventarios,14,14
l10n_co_group_1405,Raw Materials,Materias primas,1405,1405
l10n_co_group_1410,Work in Process,Productos en proceso,1410,1410
l10n_co_group_1415,Construction in Progress,Obras de construcción en curso,1415,1415
l10n_co_group_1417,Urban Development Works,Obras de urbanismo,1417,1417
l10n_co_group_1420,Contracts in Execution,Contratos en ejecución,1420,1420
l10n_co_group_1425,Crops in Development,Cultivos en desarrollo,1425,1425
l10n_co_group_1428,Agricultural Plantations,Plantaciones agrícolas,1428,1428
l10n_co_group_1430,Finished Goods,Productos terminados,1430,1430
l10n_co_group_1435,Merchandise Not Manufactured by the Company,Mercancías no fabricadas por la empresa,1435,1435
l10n_co_group_1440,Real Estate for Sale,Bienes raíces para la venta,1440,1440
l10n_co_group_1445,Livestock,Semovientes,1445,1445
l10n_co_group_1450,Land,Terrenos,1450,1450
l10n_co_group_1455,"Materials, Spare Parts, and Accessories","Materiales, repuestos y accesorios",1455,1455
l10n_co_group_1460,Containers and Packaging,Envases y empaques,1460,1460
l10n_co_group_1465,Inventory in Transit,Inventarios en tránsito,1465,1465
l10n_co_group_1499,Provisions,Provisiones,1499,1499
l10n_co_group_15,"Property, Plant, and Equipment","Propiedades, planta y equipo",15,15
l10n_co_group_1504,Land,Terrenos,1504,1504
l10n_co_group_1506,Petroleum Project Materials,Materiales proyectos petroleros,1506,1506
l10n_co_group_1508,Construction in Progress,Construcciones en curso,1508,1508
l10n_co_group_1512,Machinery and Equipment in Assembly,Maquinaria y equipos en montaje,1512,1512
l10n_co_group_1516,Buildings and Constructions,Construcciones y edificaciones,1516,1516
l10n_co_group_1520,Machinery and Equipment,Maquinaria y equipo,1520,1520
l10n_co_group_1524,Office Equipment,Equipo de oficina,1524,1524
l10n_co_group_1528,Computer and Communication Equipment,Equipo de computación y comunicación,1528,1528
l10n_co_group_1532,Medical-Scientific Equipment,Equipo médico-científico,1532,1532
l10n_co_group_1536,Hotel and Restaurant Equipment,Equipo de hoteles y restaurantes,1536,1536
l10n_co_group_1540,Transportation Fleet and Equipment,Flota y equipo de transporte,1540,1540
l10n_co_group_1544,River and/or Maritime Fleet and Equipment,Flota y equipo fluvial y/o marítimo,1544,1544
l10n_co_group_1548,Air Fleet and Equipment,Flota y equipo aéreo,1548,1548
l10n_co_group_1552,Railway Fleet and Equipment,Flota y equipo férreo,1552,1552
l10n_co_group_1556,"Aqueducts, Plants, and Networks","Acueductos, plantas y redes",1556,1556
l10n_co_group_1560,Surveillance Armament,Armamento de vigilancia,1560,1560
l10n_co_group_1562,Containers and Packaging,Envases y empaques,1562,1562
l10n_co_group_1564,Agricultural and Forest Plantations,Plantaciones agrícolas y forestales,1564,1564
l10n_co_group_1568,Communication Routes,Vías de comunicación,1568,1568
l10n_co_group_1572,Mines and Quarries,Minas y canteras,1572,1572
l10n_co_group_1576,Artesian Wells,Pozos artesianos,1576,1576
l10n_co_group_1580,Deposits,Yacimientos,1580,1580
l10n_co_group_1584,Livestock,Semovientes,1584,1584
l10n_co_group_1588,"Property, Plant, and Equipment in Transit","Propiedades, planta y equipo en tránsito",1588,1588
l10n_co_group_1592,Accumulated Depreciation,Depreciación acumulada,1592,1592
l10n_co_group_1596,Deferred Depreciation,Depreciación diferida,1596,1596
l10n_co_group_1597,Accumulated Amortization,Amortización acumulada,1597,1597
l10n_co_group_1598,Accumulated Depletion,Agotamiento acumulado,1598,1598
l10n_co_group_1599,Provisions,Provisiones,1599,1599
l10n_co_group_16,Intangibles,Intangibles,16,16
l10n_co_group_1605,Goodwill,Crédito mercantil,1605,1605
l10n_co_group_1610,Trademarks,Marcas,1610,1610
l10n_co_group_1615,Patents,Patentes,1615,1615
l10n_co_group_1620,Concessions and Franchises,Concesiones y franquicias,1620,1620
l10n_co_group_1625,Rights,Derechos,1625,1625
l10n_co_group_1630,Know-how,Know how,1630,1630
l10n_co_group_1635,Licenses,Licencias,1635,1635
l10n_co_group_1698,Accumulated Depreciation and/or Amortization,Depreciación y/o amortización acumulada,1698,1698
l10n_co_group_1699,Provisions,Provisiones,1699,1699
l10n_co_group_17,Deferred Assets,Diferidos,17,17
l10n_co_group_1705,Prepaid Expenses,Gastos pagados por anticipado,1705,1705
l10n_co_group_1710,Deferred Charges,Cargos diferidos,1710,1710
l10n_co_group_1715,Exploration Costs to be Amortized,Costos de exploración por amortizar,1715,1715
l10n_co_group_1720,Exploitation and Development Costs,Costos de explotación y desarrollo,1720,1720
l10n_co_group_1730,Charges for Deferred Monetary Correction,Cargos por corrección monetaria diferida,1730,1730
l10n_co_group_1798,Accumulated Amortization,Amortización acumulada,1798,1798
l10n_co_group_18,Other Assets,Otros activos,18,18
l10n_co_group_1805,Art and Cultural Assets,Bienes de arte y cultura,1805,1805
l10n_co_group_1895,Miscellaneous,Diversos,1895,1895
l10n_co_group_1899,Provisions,Provisiones,1899,1899
l10n_co_group_19,Appraisals,Valorizaciones,19,19
l10n_co_group_1905,Of Investments,De inversiones,1905,1905
l10n_co_group_1910,"Of Property, Plant, and Equipment","De propiedades, planta y equipo",1910,1910
l10n_co_group_1995,Of Other Assets,De otros activos,1995,1995
l10n_co_group_2,Liabilities,Pasivo,2,2
l10n_co_group_21,Financial Obligations,Obligaciones financieras,21,21
l10n_co_group_2105,Domestic Banks,Bancos nacionales,2105,2105
l10n_co_group_2110,Foreign Banks,Bancos del exterior,2110,2110
l10n_co_group_2115,Financial Corporations,Corporaciones financieras,2115,2115
l10n_co_group_2120,Commercial Financing Companies,Compañías de financiamiento comercial,2120,2120
l10n_co_group_2125,Savings and Housing Corporations,Corporaciones de ahorro y vivienda,2125,2125
l10n_co_group_2130,Foreign Financial Entities,Entidades financieras del exterior,2130,2130
l10n_co_group_2135,Repurchase Commitments for Negotiated Investments,Compromisos de recompra de inversiones negociadas,2135,2135
l10n_co_group_2140,Repurchase Commitments for Negotiated Portfolio,Compromisos de recompra de cartera negociada,2140,2140
l10n_co_group_2145,Government Obligations,Obligaciones gubernamentales,2145,2145
l10n_co_group_2195,Other Obligations,Otras obligaciones,2195,2195
l10n_co_group_22,Suppliers,Proveedores,22,22
l10n_co_group_2205,Domestic,Nacionales,2205,2205
l10n_co_group_2210,Foreign,Del exterior,2210,2210
l10n_co_group_2215,Commercial Current Accounts,Cuentas corrientes comerciales,2215,2215
l10n_co_group_2220,Parent Company,Casa matriz,2220,2220
l10n_co_group_2225,Related Companies,Compañías vinculadas,2225,2225
l10n_co_group_23,Accounts Payable,Cuentas por pagar,23,23
l10n_co_group_2305,Commercial Current Accounts,Cuentas corrientes comerciales,2305,2305
l10n_co_group_2310,To Parent Company,A casa matriz,2310,2310
l10n_co_group_2315,To Related Companies,A compañías vinculadas,2315,2315
l10n_co_group_2320,To Contractors,A contratistas,2320,2320
l10n_co_group_2330,Purchase Orders to be Used,Órdenes de compra por utilizar,2330,2330
l10n_co_group_2335,Accrued Costs and Expenses,Costos y gastos por pagar,2335,2335
l10n_co_group_2340,Installments Payable,Instalamentos por pagar,2340,2340
l10n_co_group_2345,Official Creditors,Acreedores oficiales,2345,2345
l10n_co_group_2350,Royalties Payable,Regalías por pagar,2350,2350
l10n_co_group_2355,Debts with Shareholders or Partners,Deudas con accionistas o socios,2355,2355
l10n_co_group_2357,Debts with Directors,Deudas con directores,2357,2357
l10n_co_group_2360,Dividends or Participations Payable,Dividendos o participaciones por pagar,2360,2360
l10n_co_group_2365,Withholding at Source,Retención en la fuente,2365,2365
l10n_co_group_2367,Withheld Sales Tax,Impuesto a las ventas retenido,2367,2367
l10n_co_group_2368,Withheld Industry and Commerce Tax,Impuesto de industria y comercio retenido,2368,2368
l10n_co_group_2370,Payroll Withholdings and Contributions,Retenciones y aportes de nómina,2370,2370
l10n_co_group_2375,Quotas to be Returned,Cuotas por devolver,2375,2375
l10n_co_group_2380,Miscellaneous Creditors,Acreedores varios,2380,2380
l10n_co_group_24,"Taxes, Levies, and Rates","Impuestos, gravámenes y tasas",24,24
l10n_co_group_2404,Income and Complementary Taxes,De renta y complementarios,2404,2404
l10n_co_group_2408,Sales Tax Payable,Impuesto sobre las ventas por pagar,2408,2408
l10n_co_group_2412,Industry and Commerce Tax,De industria y comercio,2412,2412
l10n_co_group_2416,Real Estate Tax,A la propiedad raíz,2416,2416
l10n_co_group_2420,Duties on Public Instruments,Derechos sobre instrumentos públicos,2420,2420
l10n_co_group_2424,Valuation Tax,De valorización,2424,2424
l10n_co_group_2428,Tourism Tax,De turismo,2428,2428
l10n_co_group_2432,Port Usage Fee,Tasa por utilización de puertos,2432,2432
l10n_co_group_2436,Vehicle Tax,De vehículos,2436,2436
l10n_co_group_2440,Public Entertainment Tax,De espectáculos públicos,2440,2440
l10n_co_group_2444,Hydrocarbons and Mines Tax,De hidrocarburos y minas,2444,2444
l10n_co_group_2448,Royalties and Taxes on Small and Medium Mining,Regalías e impuestos a la pequeña y mediana minería,2448,2448
l10n_co_group_2452,On Coffee Exports,A las exportaciones cafeteras,2452,2452
l10n_co_group_2456,On Imports,A las importaciones,2456,2456
l10n_co_group_2460,Development Quotas,Cuotas de fomento,2460,2460
l10n_co_group_2464,"On Liquors, Beers, and Cigarettes","De licores, cervezas y cigarrillos",2464,2464
l10n_co_group_2468,On Livestock Slaughter,Al sacrificio de ganado,2468,2468
l10n_co_group_2472,On Gambling and Games,Al azar y juegos,2472,2472
l10n_co_group_2476,Levies and Royalties for Land Use,Gravámenes y regalías por utilización del suelo,2476,2476
l10n_co_group_2495,Others,Otros,2495,2495
l10n_co_group_25,Labor Obligations,Obligaciones laborales,25,25
l10n_co_group_2505,Salaries Payable,Salarios por pagar,2505,2505
l10n_co_group_2510,Consolidated Severance Pay,Cesantías consolidadas,2510,2510
l10n_co_group_2515,Interest on Severance Pay,Intereses sobre cesantías,2515,2515
l10n_co_group_2520,Service Bonus,Prima de servicios,2520,2520
l10n_co_group_2525,Consolidated Vacation Pay,Vacaciones consolidadas,2525,2525
l10n_co_group_2530,Extra-legal Benefits,Prestaciones extralegales,2530,2530
l10n_co_group_2532,Pensions Payable,Pensiones por pagar,2532,2532
l10n_co_group_2535,Pension Quotas for Retirement,Cuotas partes pensiones de jubilación,2535,2535
l10n_co_group_2540,Labor Indemnities,Indemnizaciones laborales,2540,2540
l10n_co_group_26,Estimated Liabilities and Provisions,Pasivos estimados y provisiones,26,26
l10n_co_group_2605,For Costs and Expenses,Para costos y gastos,2605,2605
l10n_co_group_2610,For Labor Obligations,Para obligaciones laborales,2610,2610
l10n_co_group_2615,For Tax Obligations,Para obligaciones fiscales,2615,2615
l10n_co_group_2620,Retirement Pensions,Pensiones de jubilación,2620,2620
l10n_co_group_2625,For Urban Development Works,Para obras de urbanismo,2625,2625
l10n_co_group_2630,For Maintenance and Repairs,Para mantenimiento y reparaciones,2630,2630
l10n_co_group_2635,For Contingencies,Para contingencias,2635,2635
l10n_co_group_2640,For Warranty Obligations,Para obligaciones de garantías,2640,2640
l10n_co_group_2695,Miscellaneous Provisions,Provisiones diversas,2695,2695
l10n_co_group_27,Deferred Liabilities,Diferidos,27,27
l10n_co_group_2705,Unearned Revenue,Ingresos recibidos por anticipado,2705,2705
l10n_co_group_2710,Deferred Credits,Abonos diferidos,2710,2710
l10n_co_group_2715,Deferred Profit on Installment Sales,Utilidad diferida en ventas a plazos,2715,2715
l10n_co_group_2720,Credit for Deferred Monetary Correction,Crédito por corrección monetaria diferida,2720,2720
l10n_co_group_2725,Deferred Taxes,Impuestos diferidos,2725,2725
l10n_co_group_28,Other Liabilities,Otros pasivos,28,28
l10n_co_group_2805,Advances and Down Payments Received,Anticipos y avances recibidos,2805,2805
l10n_co_group_2810,Deposits Received,Depósitos recibidos,2810,2810
l10n_co_group_2815,Income Received for Third Parties,Ingresos recibidos para terceros,2815,2815
l10n_co_group_2820,Joint Operation Accounts,Cuentas de operación conjunta,2820,2820
l10n_co_group_2825,Withholdings from Third Parties on Contracts,Retenciones a terceros sobre contratos,2825,2825
l10n_co_group_2830,Judicial Liens,Embargos judiciales,2830,2830
l10n_co_group_2835,System Creditors,Acreedores del sistema,2835,2835
l10n_co_group_2840,Joint Venture Accounts,Cuentas en participación,2840,2840
l10n_co_group_2895,Miscellaneous,Diversos,2895,2895
l10n_co_group_29,Bonds and Commercial Papers,Bonos y papeles comerciales,29,29
l10n_co_group_2905,Bonds in Circulation,Bonos en circulación,2905,2905
l10n_co_group_2910,Bonds Mandatorily Convertible into Shares,Bonos obligatoriamente convertibles en acciones,2910,2910
l10n_co_group_2915,Commercial Papers,Papeles comerciales,2915,2915
l10n_co_group_2920,Pension Bonds,Bonos pensionales,2920,2920
l10n_co_group_2925,Pension Titles,Títulos pensionales,2925,2925
l10n_co_group_3,Equity,Patrimonio,3,3
l10n_co_group_31,Capital Stock,Capital social,31,31
l10n_co_group_3105,Subscribed and Paid-in Capital,Capital suscrito y pagado,3105,3105
l10n_co_group_3115,Social Contributions,Aportes sociales,3115,3115
l10n_co_group_3120,Assigned Capital,Capital asignado,3120,3120
l10n_co_group_3125,Supplementary Investment to Assigned Capital,Inversión suplementaria al capital asignado,3125,3125
l10n_co_group_3130,Capital of Natural Persons,Capital de personas naturales,3130,3130
l10n_co_group_3135,State Contributions,Aportes del Estado,3135,3135
l10n_co_group_3140,Social Fund,Fondo social,3140,3140
l10n_co_group_32,Capital Surplus,Superávit de capital,32,32
l10n_co_group_3205,"Premium on Placement of Shares, Quotas or Parts of Social Interest","Prima en colocación de acciones, cuotas o partes de interés social",3205,3205
l10n_co_group_3210,Donations,Donaciones,3210,3210
l10n_co_group_3215,Goodwill,Crédito mercantil,3215,3215
l10n_co_group_3220,Know-how,Know how,3220,3220
l10n_co_group_3225,Equity Method Surplus,Superávit método de participación,3225,3225
l10n_co_group_33,Reserves,Reservas,33,33
l10n_co_group_3305,Legal Reserves,Reservas obligatorias,3305,3305
l10n_co_group_3310,Statutory Reserves,Reservas estatutarias,3310,3310
l10n_co_group_3315,Occasional Reserves,Reservas ocasionales,3315,3315
l10n_co_group_34,Revaluation of Equity,Revalorización del patrimonio,34,34
l10n_co_group_3405,Inflation Adjustments,Ajustes por inflación,3405,3405
l10n_co_group_3410,Fiscal Cleanup,Saneamiento fiscal,3410,3410
l10n_co_group_3415,Inflation Adjustments Decree 3019 of 1989,Ajustes por inflación Decreto 3019 de 1989,3415,3415
l10n_co_group_35,"Dividends or Participations Decreed in Shares, Quotas or Parts of Social Interest","Dividendos o participaciones decretados en acciones, cuotas o partes de interés social",35,35
l10n_co_group_3505,Dividends Decreed in Shares,Dividendos decretados en acciones,3505,3505
l10n_co_group_3510,Participations Decreed in Quotas or Parts of Social Interest,Participaciones decretadas en cuotas o partes de interés social,3510,3510
l10n_co_group_36,Results of the Period,Resultados del ejercicio,36,36
l10n_co_group_3605,Profit for the Period,Utilidad del ejercicio,3605,3605
l10n_co_group_3610,Loss for the Period,Pérdida del ejercicio,3610,3610
l10n_co_group_37,Results of Prior Periods,Resultados de ejercicios anteriores,37,37
l10n_co_group_3705,Retained Earnings,Utilidades acumuladas,3705,3705
l10n_co_group_3710,Accumulated Losses,Pérdidas acumuladas,3710,3710
l10n_co_group_38,Surplus from Appraisals,Superávit por valorizaciones,38,38
l10n_co_group_3805,Of Investments,De inversiones,3805,3805
l10n_co_group_3810,"Of Property, Plant, and Equipment","De propiedades, planta y equipo",3810,3810
l10n_co_group_3895,Of Other Assets,De otros activos,3895,3895
l10n_co_group_4,Revenue,Ingresos,4,4
l10n_co_group_41,Operating,Operacionales,41,41
l10n_co_group_4105,"Agriculture, Livestock, Hunting, and Forestry","Agricultura, ganadería, caza y silvicultura",4105,4105
l10n_co_group_4110,Fishing,Pesca,4110,4110
l10n_co_group_4115,Mining and Quarrying,Explotación de minas y canteras,4115,4115
l10n_co_group_4120,Manufacturing Industries,Industrias manufactureras,4120,4120
l10n_co_group_4125,"Electricity, Gas, and Water Supply","Suministro de electricidad, gas y agua",4125,4125
l10n_co_group_4130,Construction,Construcción,4130,4130
l10n_co_group_4135,Wholesale and Retail Trade,Comercio al por mayor y al por menor,4135,4135
l10n_co_group_4140,Hotels and Restaurants,Hoteles y restaurantes,4140,4140
l10n_co_group_4145,"Transportation, Storage, and Communications","Transporte, almacenamiento y comunicaciones",4145,4145
l10n_co_group_4150,Financial Activity,Actividad financiera,4150,4150
l10n_co_group_4155,"Real Estate, Business, and Rental Activities","Actividades inmobiliarias, empresariales y de alquiler",4155,4155
l10n_co_group_4160,Education,Enseñanza,4160,4160
l10n_co_group_4165,Social and Health Services,Servicios sociales y de salud,4165,4165
l10n_co_group_4170,"Other Community, Social, and Personal Service Activities","Otras actividades de servicios comunitarios, sociales y personales",4170,4170
l10n_co_group_4175,Sales Returns (DR),Devoluciones en ventas (DB),4175,4175
l10n_co_group_42,Non-Operating,No operacionales,42,42
l10n_co_group_4205,Other Sales,Otras ventas,4205,4205
l10n_co_group_4210,Financial,Financieros,4210,4210
l10n_co_group_4215,Dividends and Participations,Dividendos y participaciones,4215,4215
l10n_co_group_4218,Equity Method Income,Ingresos método de participación,4218,4218
l10n_co_group_4220,Leases,Arrendamientos,4220,4220
l10n_co_group_4225,Commissions,Comisiones,4225,4225
l10n_co_group_4230,Fees,Honorarios,4230,4230
l10n_co_group_4235,Services,Servicios,4235,4235
l10n_co_group_4240,Gain on Sale of Investments,Utilidad en venta de inversiones,4240,4240
l10n_co_group_4245,"Gain on Sale of Property, Plant, and Equipment","Utilidad en venta de propiedades, planta y equipo",4245,4245
l10n_co_group_4248,Gain on Sale of Other Assets,Utilidad en venta de otros bienes,4248,4248
l10n_co_group_4250,Recoveries,Recuperaciones,4250,4250
l10n_co_group_4255,Indemnities,Indemnizaciones,4255,4255
l10n_co_group_4260,Participations in Concessions,Participaciones en concesiones,4260,4260
l10n_co_group_4265,Income from Prior Periods,Ingresos de ejercicios anteriores,4265,4265
l10n_co_group_4275,Returns on Other Sales (DR),Devoluciones en otras ventas (DB),4275,4275
l10n_co_group_4295,Miscellaneous,Diversos,4295,4295
l10n_co_group_47,Inflation Adjustments,Ajustes por inflación,47,47
l10n_co_group_4705,Monetary Correction,Corrección monetaria,4705,4705
l10n_co_group_5,Expenses,Gastos,5,5
l10n_co_group_51,Operating and Administrative,Operacionales de administración,51,51
l10n_co_group_5105,Personnel Expenses,Gastos de personal,5105,5105
l10n_co_group_5110,Fees,Honorarios,5110,5110
l10n_co_group_5115,Taxes,Impuestos,5115,5115
l10n_co_group_5120,Leases,Arrendamientos,5120,5120
l10n_co_group_5125,Contributions and Affiliations,Contribuciones y afiliaciones,5125,5125
l10n_co_group_5130,Insurance,Seguros,5130,5130
l10n_co_group_5135,Services,Servicios,5135,5135
l10n_co_group_5140,Legal Expenses,Gastos legales,5140,5140
l10n_co_group_5145,Maintenance and Repairs,Mantenimiento y reparaciones,5145,5145
l10n_co_group_5150,Adaptation and Installation,Adecuación e instalación,5150,5150
l10n_co_group_5155,Travel Expenses,Gastos de viaje,5155,5155
l10n_co_group_5160,Depreciation,Depreciaciones,5160,5160
l10n_co_group_5165,Amortization,Amortizaciones,5165,5165
l10n_co_group_5195,Miscellaneous,Diversos,5195,5195
l10n_co_group_5199,Provisions,Provisiones,5199,5199
l10n_co_group_52,Operating Sales Expenses,Operacionales de ventas,52,52
l10n_co_group_5205,Personnel Expenses,Gastos de personal,5205,5205
l10n_co_group_5210,Fees,Honorarios,5210,5210
l10n_co_group_5215,Taxes,Impuestos,5215,5215
l10n_co_group_5220,Leases,Arrendamientos,5220,5220
l10n_co_group_5225,Contributions and Affiliations,Contribuciones y afiliaciones,5225,5225
l10n_co_group_5230,Insurance,Seguros,5230,5230
l10n_co_group_5235,Services,Servicios,5235,5235
l10n_co_group_5240,Legal Expenses,Gastos legales,5240,5240
l10n_co_group_5245,Maintenance and Repairs,Mantenimiento y reparaciones,5245,5245
l10n_co_group_5250,Adaptation and Installation,Adecuación e instalación,5250,5250
l10n_co_group_5255,Travel Expenses,Gastos de viaje,5255,5255
l10n_co_group_5260,Depreciation,Depreciaciones,5260,5260
l10n_co_group_5265,Amortization,Amortizaciones,5265,5265
l10n_co_group_5270,Financial - System Readjustment,Financieros-reajuste del sistema,5270,5270
l10n_co_group_5275,Equity Method Losses,Pérdidas método de participación,5275,5275
l10n_co_group_5295,Miscellaneous,Diversos,5295,5295
l10n_co_group_5299,Provisions,Provisiones,5299,5299
l10n_co_group_53,Non-Operating,No operacionales,53,53
l10n_co_group_5305,Financial,Financieros,5305,5305
l10n_co_group_5310,Loss on Sale and Retirement of Assets,Pérdida en venta y retiro de bienes,5310,5310
l10n_co_group_5313,Equity Method Losses,Pérdidas método de participación,5313,5313
l10n_co_group_5315,Extraordinary Expenses,Gastos extraordinarios,5315,5315
l10n_co_group_5395,Miscellaneous Expenses,Gastos diversos,5395,5395
l10n_co_group_54,Income and Complementary Tax,Impuesto de renta y complementarios,54,54
l10n_co_group_5405,Income and Complementary Tax,Impuesto de renta y complementarios,5405,5405
l10n_co_group_59,Gains and Losses,Ganancias y pérdidas,59,59
l10n_co_group_5905,Gains and Losses,Ganancias y pérdidas,5905,5905
l10n_co_group_6,Cost of Sales,Costos de ventas,6,6
l10n_co_group_61,Cost of Sales and Services Rendered,Costo de ventas y de prestación de servicios,61,61
l10n_co_group_6105,"Agriculture, Livestock, Hunting, and Forestry","Agricultura, ganadería, caza y silvicultura",6105,6105
l10n_co_group_6110,Fishing,Pesca,6110,6110
l10n_co_group_6115,Mining and Quarrying,Explotación de minas y canteras,6115,6115
l10n_co_group_6120,Manufacturing Industries,Industrias manufactureras,6120,6120
l10n_co_group_6125,"Electricity, Gas, and Water Supply","Suministro de electricidad, gas y agua",6125,6125
l10n_co_group_6130,Construction,Construcción,6130,6130
l10n_co_group_6135,Wholesale and Retail Trade,Comercio al por mayor y al por menor,6135,6135
l10n_co_group_6140,Hotels and Restaurants,Hoteles y restaurantes,6140,6140
l10n_co_group_6145,"Transportation, Storage, and Communications","Transporte, almacenamiento y comunicaciones",6145,6145
l10n_co_group_6150,Financial Activity,Actividad financiera,6150,6150
l10n_co_group_6155,"Real Estate, Business, and Rental Activities","Actividades inmobiliarias, empresariales y de alquiler",6155,6155
l10n_co_group_6160,Education,Enseñanza,6160,6160
l10n_co_group_6165,Social and Health Services,Servicios sociales y de salud,6165,6165
l10n_co_group_6170,"Other Community, Social, and Personal Service Activities","Otras actividades de servicios comunitarios, sociales y personales",6170,6170
l10n_co_group_62,Purchases,Compras,62,62
l10n_co_group_6205,Of Merchandise,De mercancías,6205,6205
l10n_co_group_6210,Of Raw Materials,De materias primas,6210,6210
l10n_co_group_6215,Of Indirect Materials,De materiales indirectos,6215,6215
l10n_co_group_6220,Purchase of Energy,Compra de energía,6220,6220
l10n_co_group_6225,Purchase Returns (CR),Devoluciones en compras (CR),6225,6225
l10n_co_group_7,Production or Operating Costs,Costos de producción o de operación,7,7
l10n_co_group_71,Raw Material,Materia prima,71,71
l10n_co_group_72,Direct Labor,Mano de obra directa,72,72
l10n_co_group_73,Indirect Costs,Costos indirectos,73,73
l10n_co_group_74,Service Contracts,Contratos de servicios,74,74
l10n_co_group_8,Memorandum Accounts (Debit),Cuentas de orden deudoras,8,8
l10n_co_group_81,Contingent Rights,Derechos contingentes,81,81
l10n_co_group_8105,Goods and Securities Held in Custody,Bienes y valores entregados en custodia,8105,8105
l10n_co_group_8110,Goods and Securities Pledged as Collateral,Bienes y valores entregados en garantía,8110,8110
l10n_co_group_8115,Goods and Securities Held by Third Parties,Bienes y valores en poder de terceros,8115,8115
l10n_co_group_8120,Litigation and/or Lawsuits,Litigios y/o demandas,8120,8120
l10n_co_group_8125,Purchase and Sale Agreements,Promesas de compraventa,8125,8125
l10n_co_group_8195,Miscellaneous,Diversas,8195,8195
l10n_co_group_82,Fiscal Debits,Deudoras fiscales,82,82
l10n_co_group_83,Control Debits,Deudoras de control,83,83
l10n_co_group_8305,Assets Received under Financial Lease,Bienes recibidos en arrendamiento financiero,8305,8305
l10n_co_group_8310,Unplaced Investment Securities,Títulos de inversión no colocados,8310,8310
l10n_co_group_8315,"Fully Depreciated, Depleted, and/or Amortized Property, Plant, and Equipment","Propiedades, planta y equipo totalmente depreciados, agotados y/o amortizados",8315,8315
l10n_co_group_8320,Unused Lines of Credit,Créditos a favor no utilizados,8320,8320
l10n_co_group_8325,Written-off Assets,Activos castigados,8325,8325
l10n_co_group_8330,Amortized Investment Securities,Títulos de inversión amortizados,8330,8330
